"Index" "Open" "High" "Low" "Price"
"2012-09-17" 868.5 871.98999 860.380005 864
"2012-09-18" 862.109985 865.72998 851.01001 857.409973
"2012-09-19" 853.01001 868.200012 851.559998 866.650024
"2012-09-20" 864.890015 865.820007 857.47998 860.130005
"2012-09-21" 863.849976 864.549988 847.429993 860.299988
"2012-09-24" 855.849976 862 852 858.25
"2012-09-25" 859.75 869.539978 854.72998 861.780029
"2012-09-26" 861 862 833.549988 841.950012
"2012-09-27" 847.450012 852.97998 839.409973 848.23999
"2012-09-28" 845.960022 850.109985 842 844.5
"2012-10-01" 845.559998 855.789978 833.880005 843.289978
"2012-10-02" 841.609985 852.419983 830 851.789978
"2012-10-03" 853 869.52002 853 861.5
"2012-10-04" 863.780029 872.909973 860.900024 872.909973
"2012-10-05" 873.159973 886.380005 872.460022 881.059998
"2012-10-08" 878.049988 881.400024 872.02002 875.200012
"2012-10-09" 870.219971 876.5 860 864.140015
"2012-10-10" 863 877.630005 863 872.210022
"2012-10-11" 875.25 879.299988 864.23999 864.299988
"2012-10-12" 866.539978 870.700012 847.080017 865
"2012-10-15" 869.940002 879.320007 863.429993 879.320007
"2012-10-16" 881.26001 886.690002 872.52002 877.619995
"2012-10-17" 885.75 902.130005 875.98999 875.98999
"2012-10-18" 888.789978 915.049988 888.789978 906.929993
"2012-10-19" 905 915.049988 893.659973 905
"2012-10-22" 905.799988 905.799988 886.960022 900.599976
"2012-10-23" 894.75 902.98999 890.080017 902.98999
"2012-10-24" 908 908 897.400024 902.01001
"2012-10-25" 905.890015 908.950012 889.059998 899
"2012-10-26" 895.349976 906.210022 887.75 902.72998
"2012-10-31" 901.909973 906.580017 894.330017 903.73999
"2012-11-01" 905 919.179993 902.48999 918.98999
"2012-11-02" 919.309998 919.309998 898.890015 905.390015
"2012-11-05" 906.030029 912.75 897.059998 911.599976
"2012-11-06" 909.919983 920.590027 907.380005 913.01001
"2012-11-07" 909.73999 923.26001 902.659973 914.690002
"2012-11-08" 913.909973 920.02002 902.299988 914.5
"2012-11-09" 908.950012 913.690002 891.51001 891.539978
"2012-11-12" 891.98999 895.98999 871.679993 874.299988
"2012-11-13" 869.97998 872.950012 858.409973 866
"2012-11-14" 867 867 842.390015 848.77002
"2012-11-15" 844.710022 851.98999 832.400024 847.590027
"2012-11-16" 844 873.630005 838.880005 869.419983
"2012-11-19" 882.799988 893.059998 871.059998 876.840027
"2012-11-20" 881.109985 893.840027 876.48999 891.200012
"2012-11-21" 897.75 902.840027 887.070007 895.72998
"2012-11-23" 892.090027 907.799988 892.090027 907.799988
"2012-11-26" 903 906 884.549988 895.960022
"2012-11-27" 901 906.390015 882.299988 893.950012
"2012-11-28" 888.400024 900.26001 880.340027 892.070007
"2012-11-29" 899.890015 903.599976 887.950012 893.679993
"2012-11-30" 875.039978 903.799988 875.039978 899.840027
"2012-12-03" 904.950012 904.950012 884.150024 888.150024
"2012-12-04" 891.099976 910 888.320007 909.320007
"2012-12-05" 905.25 906.590027 880 892.469971
"2012-12-06" 890.98999 897.900024 871.390015 886
"2012-12-07" 886.070007 898.919983 872.75 895.299988
"2012-12-10" 897.5 909.400024 883.840027 902.059998
"2012-12-11" 901.869995 911.51001 892.809998 910.859985
"2012-12-12" 915 940 910.119995 929.98999
"2012-12-13" 930 935.960022 913.580017 926.450012
"2012-12-14" 926.460022 930.640015 910.049988 917.52002
"2012-12-17" 920.75 938.950012 920.75 938.549988
"2012-12-18" 936.049988 959.780029 936.049988 956.619995
"2012-12-19" 958.099976 958.099976 936.469971 950.98999
"2012-12-20" 948.900024 966.929993 947.369995 959.25
"2012-12-21" 951.200012 954 928 943.02002
"2012-12-24" 943.849976 943.849976 935.119995 942.909973
"2012-12-26" 943.849976 952 928.650024 931.049988
"2012-12-27" 934.140015 938.109985 920 933.830017
"2012-12-28" 934 940.950012 926.919983 932.5
"2012-12-31" 932.52002 948.809998 920 920
"2013-01-02" 935 949.359985 920 930.130005
"2013-01-03" 930.97998 968.789978 930 949
"2013-01-04" 946.01001 954.809998 942.320007 954.48999
"2013-01-07" 948 971.48999 948 966.890015
"2013-01-08" 968.690002 974.97998 960.02002 974.5
"2013-01-09" 979.400024 993.179993 971.650024 981.630005
"2013-01-10" 988.130005 988.130005 966.190002 969.919983
"2013-01-11" 971.97998 975.380005 955.179993 971.330017
"2013-01-14" 975.75 978.940002 960 968.400024
"2013-01-15" 965.200012 980 963.5 978.650024
"2013-01-16" 974 974 967.059998 973.580017
"2013-01-17" 978.75 987.98999 977.5 978
"2013-01-18" 980.549988 985.77002 965.02002 970
"2013-01-22" 973.840027 974.22998 963.570007 968.549988
"2013-01-23" 974 987.950012 971.099976 981.690002
"2013-01-24" 995 1026.790039 993.119995 1000.890015
"2013-01-25" 996.109985 1043.219971 996.109985 1034.400024
"2013-01-28" 1033.75 1040.099976 1002.340027 1024
"2013-01-29" 1028.969971 1033.800049 1008.090027 1031.48999
"2013-01-30" 1034.800049 1055.939941 1029.130005 1040.859985
"2013-01-31" 1032.02002 1040.25 1019.01001 1029.660034
"2013-02-01" 1033.849976 1046.219971 1008.700012 1023
"2013-02-04" 1021.98999 1028 1008.780029 1009.929993
"2013-02-05" 1013 1023.25 995.289978 1013.75
"2013-02-06" 1011.960022 1019.950012 999.359985 1006.97998
"2013-02-07" 1006.849976 1006.849976 999.440002 1006.469971
"2013-02-08" 1007.880005 1014.109985 1002.090027 1004.169983
"2013-02-11" 1006.580017 1020.700012 1002.059998 1011
"2013-02-12" 1014 1033.98999 1011.119995 1032
"2013-02-13" 1036.5 1043.910034 1030.75 1038.910034
"2013-02-14" 1040 1041.390015 1025.689941 1030.26001
"2013-02-15" 1033 1046.890015 1032.540039 1039.699951
"2013-02-19" 1038.449951 1046 1012 1019.73999
"2013-02-20" 1021.380005 1021.380005 975.169983 980
"2013-02-21" 981.880005 988.27002 961.349976 981.419983
"2013-02-22" 988.880005 1011 986.48999 998.530029
"2013-02-25" 1008.400024 1008.400024 975.01001 982
"2013-02-26" 980.23999 1005.97998 980.23999 1001.409973
"2013-02-27" 1001.380005 1026 998.400024 1024.069946
"2013-02-28" 1023.690002 1030 1003.799988 1009.200012
"2013-03-01" 1000.599976 1021 996.099976 1014.390015
"2013-03-04" 1012.900024 1029.170044 1005.030029 1023.799988
"2013-03-05" 1027 1051 1027 1040.219971
"2013-03-06" 1046.75 1050.02002 1039.660034 1044
"2013-03-07" 1045.800049 1050.02002 1040.400024 1043.900024
"2013-03-08" 1047.900024 1049.52002 1035.180054 1046
"2013-03-11" 1048.949951 1048.949951 1039 1045.560059
"2013-03-12" 1045 1045.290039 1030.98999 1038.599976
"2013-03-13" 1041.5 1041.5 1032 1035
"2013-03-14" 1039.280029 1050.300049 1037 1045.359985
"2013-03-15" 1039.26001 1045.160034 1036.680054 1044.609985
"2013-03-18" 1036.449951 1048 1035 1046.949951
"2013-03-19" 1048.560059 1079 1048.430054 1075.449951
"2013-03-20" 1078.310059 1086 1073 1080.079956
"2013-03-21" 1078.939941 1079.449951 1045 1049.25
"2013-03-22" 1050.829956 1056.98999 1048.180054 1056
"2013-03-25" 1057.119995 1066.810059 1052.26001 1063.900024
"2013-03-26" 1065.5 1071 1058 1068.47998
"2013-03-27" 1069 1100 1035.319946 1077.550049
"2013-03-28" 1082 1088.189941 1075.060059 1080.109985
"2013-04-01" 1065.099976 1084 1056.189941 1070.349976
"2013-04-02" 1075 1075 1040.089966 1061.969971
"2013-04-03" 1060.349976 1062.98999 1029 1033.949951
"2013-04-04" 1032.849976 1041.98999 1021.650024 1041.98999
"2013-04-05" 1034.670044 1048 1019.01001 1046.75
"2013-04-08" 1047.02002 1069.01001 1038.109985 1063.319946
"2013-04-09" 1064.339966 1066 1045 1053.109985
"2013-04-10" 1053.25 1054 1036 1038
"2013-04-11" 1034.98999 1042.790039 1023.590027 1042.790039
"2013-04-12" 1038.900024 1044.72998 1013.02002 1014
"2013-04-15" 1009.390015 1010 984.169983 992.25
"2013-04-16" 994.599976 1016.789978 960.780029 1016.780029
"2013-04-17" 1010 1013 1000 1009
"2013-04-18" 1015.5 1015.5 984.380005 995.969971
"2013-04-19" 991 1006.130005 986.349976 1006.130005
"2013-04-22" 947.5 985.01001 910 983.5
"2013-04-23" 989.150024 1007 986.01001 1002.98999
"2013-04-24" 1006.820007 1026.22998 981 990
"2013-04-25" 998.289978 1007.97998 983.460022 1000.390015
"2013-04-26" 1005 1023.419983 995.150024 1018.460022
"2013-04-29" 1018.099976 1027.689941 1010.390015 1018.359985
"2013-04-30" 1024.25 1032.829956 1013.02002 1030
"2013-05-01" 1023.25 1030 1007.200012 1015.590027
"2013-05-02" 1020.549988 1027.650024 1008.900024 1023.690002
"2013-05-03" 1027.849976 1042.01001 1013.039978 1022.200012
"2013-05-06" 1023.75 1023.75 1002.450012 1017.859985
"2013-05-07" 1015.400024 1016.880005 991.200012 1002.640015
"2013-05-08" 1000.349976 1006.799988 993.200012 1003.280029
"2013-05-09" 1001 1006.969971 993.950012 997
"2013-05-10" 1005.659973 1010.080017 1001.599976 1004.419983
"2013-05-13" 996.5 1011.219971 992.030029 996
"2013-05-14" 999.75 1010 995.070007 997.400024
"2013-05-15" 994.950012 1012.219971 994.950012 1010.950012
"2013-05-16" 1006.5 1011 990.700012 1001.830017
"2013-05-17" 1006.5 1016.539978 1001.570007 1006
"2013-05-20" 1003.349976 1009.890015 997.5 1001.450012
"2013-05-21" 1002.570007 1002.570007 994.5 1000.119995
"2013-05-22" 1004.5 1012 992.400024 1001.349976
"2013-05-23" 997.919983 1006.700012 992.530029 1004
"2013-05-24" 996.419983 999 977.840027 995.309998
"2013-05-28" 1006.900024 1014.719971 999.75 1007.219971
"2013-05-29" 1002.97998 1003.919983 981 986.940002
"2013-05-30" 988.5 994 981.390015 984.51001
"2013-05-31" 980.359985 991.630005 977.030029 983.309998
"2013-06-03" 987.789978 987.789978 976.98999 983.349976
"2013-06-04" 985 989.869995 957.530029 964
"2013-06-05" 958.929993 963.080017 943.200012 950.900024
"2013-06-06" 951 972.97998 947.830017 972.97998
"2013-06-07" 976.940002 985 967.599976 983
"2013-06-10" 983 983 964.099976 966.219971
"2013-06-11" 954.75 964.140015 948 952.359985
"2013-06-12" 956.27002 956.27002 935.25 939.049988
"2013-06-13" 943.48999 962 939.530029 956.890015
"2013-06-14" 961.799988 970.969971 959.099976 963.599976
"2013-06-17" 967.950012 987.47998 967.429993 983.340027
"2013-06-18" 987.5 991.97998 981.539978 987.289978
"2013-06-19" 983.549988 985 967.51001 969.98999
"2013-06-20" 962.5 966.98999 930 939.330017
"2013-06-21" 941.400024 941.419983 907.559998 915.25
"2013-06-24" 907.73999 921.880005 885.429993 916.150024
"2013-06-25" 924.109985 935.349976 905.969971 913.98999
"2013-06-26" 923 926.780029 903.599976 907.22998
"2013-06-27" 910.97998 932.22998 907 930
"2013-06-28" 926 927.98999 918 922
"2013-07-01" 929.900024 937.890015 923.26001 935.900024
"2013-07-02" 939.950012 946.98999 931.799988 936.900024
"2013-07-03" 932.25 938 929.390015 937.969971
"2013-07-05" 934 934 912.679993 924.140015
"2013-07-08" 923 932 915 917.659973
"2013-07-09" 926.97998 934.26001 920.400024 930.789978
"2013-07-10" 932.599976 935.22998 918 925.51001
"2013-07-11" 939.23999 964.609985 939.23999 962.400024
"2013-07-12" 957.349976 967 944.369995 955.969971
"2013-07-15" 953.200012 955.01001 938 942.950012
"2013-07-16" 936.349976 936.97998 928 930.26001
"2013-07-17" 924.150024 944.169983 920.01001 941.450012
"2013-07-18" 942.890015 952 940 940.98999
"2013-07-19" 940 946 934.98999 940.650024
"2013-07-22" 925.109985 941.47998 911.059998 922.97998
"2013-07-23" 927 939.869995 918.549988 937.460022
"2013-07-24" 938.429993 938.429993 909 912.75
"2013-07-25" 902.700012 908.109985 890.849976 908.109985
"2013-07-26" 905.359985 908.01001 894.73999 900.76001
"2013-07-29" 900.47998 911.97998 889.340027 896.98999
"2013-07-30" 903.5 903.98999 889.320007 896.330017
"2013-07-31" 892.25 933.549988 892.23999 925.599976
"2013-08-01" 935 948.98999 930.549988 934.75
"2013-08-02" 930.01001 947 930.01001 940
"2013-08-05" 933.349976 936.210022 920 924
"2013-08-06" 918 918 896.330017 899
"2013-08-07" 892.5 893.190002 875.26001 881.27002
"2013-08-08" 884.73999 900.849976 880.25 893.599976
"2013-08-09" 888.059998 897.900024 884.049988 889.099976
