"Index" "Open" "High" "Low" "Price"
"2013-06-19" 15.21 16.030001 14.96 14.026018
"2013-06-20" 16.25 16.299999 15.36 13.944737
"2013-06-21" 15.98 15.98 15.46 14.269874
"2013-06-24" 15.79 15.79 15.19 14.016991
"2013-06-25" 15.5 15.67 15.35 14.143432
"2013-06-26" 15.54 15.55 15.31 13.971833
"2013-06-27" 14.78 15.74 14.66 13.881516
"2013-06-28" 15.29 15.68 15.25 13.890546
"2013-07-01" 15.48 15.5 14.84 13.429938
"2013-07-02" 14.68 15.19 14.67 13.538315
"2013-07-03" 14.88 15.12 14.84 13.520251
"2013-07-05" 14.96 15.94 14.96 14.098273
"2013-07-08" 15.83 16.08 15.55 14.468568
"2013-07-09" 15.81 16.02 15.67 14.206654
"2013-07-10" 15.5 15.6 15.22 13.953768
"2013-07-11" 15.8 15.8 15.06 13.73701
"2013-07-12" 15 15.18 14.97 13.538315
"2013-07-15" 15 15.08 14.52 13.366716
"2013-07-16" 14.71 15.47 14.7 13.899578
"2013-07-17" 15.28 16.120001 15.28 14.468568
"2013-07-18" 16.040001 16.25 15.46 14.089243
"2013-07-19" 15.37 16.26 15.37 14.558885
"2013-07-22" 16.15 16.26 15.75 14.360187
"2013-07-23" 15.85 16.049999 15.71 14.315031
"2013-07-24" 15.79 16.049999 15.62 14.378251
"2013-07-25" 15.91 16.049999 15.64 14.233748
"2013-07-26" 15.76 16.16 15.5 14.531789
"2013-07-29" 15.98 16.07 15.61 14.188589
"2013-07-30" 15.73 16.18 15.67 14.576947
"2013-07-31" 16.09 16.370001 16.040001 14.531789
"2013-08-01" 16.110001 16.42 16.09 14.802734
"2013-08-02" 16.290001 16.639999 16.25 14.902083
"2013-08-05" 16.41 16.48 16.08 14.640164
"2013-08-06" 16.129999 16.450001 16.030001 14.802734
"2013-08-07" 16.24 16.299999 16.040001 14.595008
"2013-08-08" 16.32 16.51 16.15 14.793702
"2013-08-09" 16.41 16.41 16.219999 14.667261
"2013-08-12" 16.1 16.299999 15.97 14.549851
"2013-08-13" 16.23 16.23 16 14.495664
"2013-08-14" 16 16.209999 15.87 14.613074
"2013-08-15" 16.059999 16.389999 15.94 14.739514
"2013-08-16" 16.26 16.450001 16.16 14.622104
"2013-08-19" 16.209999 16.219999 15.88 14.351158
"2013-08-20" 15.91 15.98 15.72 14.342126
"2013-08-21" 15.83 16 15.7 14.396314
"2013-08-22" 15.99 16.030001 15.82 14.342126
"2013-08-23" 15.84 16.02 15.77 14.378251
"2013-08-26" 15.94 16.129999 15.94 14.504694
"2013-08-27" 15.98 16.200001 15.93 14.396314
"2013-08-28" 15.97 16.02 15.89 14.423409
"2013-08-29" 15.98 16.09 15.83 14.414377
"2013-08-30" 15.91 15.97 15.76 14.306002
"2013-09-03" 16.02 16.200001 15.88 14.450503
"2013-09-04" 15.9 16.280001 15.9 14.640164
"2013-09-05" 16.200001 16.440001 16.07 14.802734
"2013-09-06" 16.43 16.49 16.23 14.757577
"2013-09-09" 16.33 16.5 16.299999 14.893051
"2013-09-10" 16.530001 16.719999 16.41 15.10078
"2013-09-11" 16.709999 17.200001 16.68 15.534291
"2013-09-12" 17.190001 17.459999 17.110001 15.624608
"2013-09-13" 17.290001 17.290001 16.98 15.453009
"2013-09-16" 17.370001 17.379999 17 15.507195
"2013-09-17" 17.16 17.290001 17.120001 15.552356
"2013-09-18" 17.200001 17.34 17.07 15.57945
"2013-09-19" 17.389999 17.389999 16.91 15.471068
"2013-09-20" 17.1 17.23 16.719999 15.272377
"2013-09-23" 16.82 16.85 16.610001 15.164
"2013-09-24" 16.77 17.43 16.77 15.651705
"2013-09-25" 17.23 17.299999 16.99 15.434945
"2013-09-26" 17.120001 17.120001 16.469999 15.05562
"2013-09-27" 16.469999 16.59 16.370001 14.956273
"2013-09-30" 16.52 16.52 16.290001 14.838861
"2013-10-01" 16.450001 16.450001 16.16 14.71242
"2013-10-02" 16.17 16.57 16.02 14.893051
"2013-10-03" 16.5 16.59 16.209999 14.694359
"2013-10-04" 16.24 16.4 16.200001 14.694359
"2013-10-07" 16.15 16.360001 16.110001 14.694359
"2013-10-08" 16.209999 16.35 16.17 14.658231
"2013-10-09" 16.209999 16.4 16.17 14.757577
"2013-10-10" 16.389999 16.67 16.389999 15.037553
"2013-10-11" 16.6 17.059999 16.6 15.281408
"2013-10-14" 16.76 17.139999 16.75 15.407848
"2013-10-15" 17.040001 17.18 16.940001 15.49817
"2013-10-16" 17.200001 17.290001 17.08 15.588481
"2013-10-17" 17.190001 17.27 17.1 15.588481
"2013-10-18" 17.360001 17.389999 17.24 15.64267
"2013-10-21" 17.360001 17.450001 17.24 15.624608
