"Index" "Open" "High" "Low" "Price"
"2013-06-19" 15.28 16.25 15.2 14.23942
"2013-06-20" 16.370001 16.370001 15.25 13.788805
"2013-06-21" 15.7 15.8 15.4 14.077198
"2013-06-24" 15.64 15.84 15.2 13.996085
"2013-06-25" 15.55 15.74 15.35 14.167322
"2013-06-26" 15.69 15.69 15.18 13.878927
"2013-06-27" 15.34 15.87 14.85 13.969049
"2013-06-28" 15.5 15.77 15.25 13.743742
"2013-07-01" 14.79 15.59 14.75 13.329178
"2013-07-02" 14.69 15.12 14.69 13.518435
"2013-07-03" 14.95 15.09 14.73 13.401278
"2013-07-05" 14.95 15.95 14.89 14.113247
"2013-07-08" 15.63 16.040001 15.5 14.383615
"2013-07-09" 15.79 15.97 15.5 14.158308
"2013-07-10" 15.5 15.57 15.15 13.869914
"2013-07-11" 15.6 15.6 14.96 13.635595
"2013-07-12" 15.07 15.12 14.9 13.45535
"2013-07-15" 14.93 15.03 14.39 13.221031
"2013-07-16" 14.57 15.34 14.57 13.770779
"2013-07-17" 15.36 15.96 15.29 14.320529
"2013-07-18" 15.94 16.1 15.33 13.942013
"2013-07-19" 15.35 16.08 15.26 14.392628
"2013-07-22" 16.09 16.129999 15.61 14.176332
"2013-07-23" 15.69 15.87 15.54 14.104233
"2013-07-24" 15.65 15.89 15.42 14.158308
"2013-07-25" 15.66 15.87 15.45 14.032136
"2013-07-26" 15.54 15.97 15.31 14.320529
"2013-07-29" 15.87 15.87 15.4 13.978063
"2013-07-30" 15.6 15.96 15.46 14.374602
"2013-07-31" 16 16.209999 15.83 14.356579
"2013-08-01" 15.94 16.280001 15.94 14.608923
"2013-08-02" 16.15 16.469999 16.120001 14.726084
"2013-08-05" 16.33 16.33 15.89 14.419664
"2013-08-06" 15.99 16.25 15.82 14.581885
"2013-08-07" 16.15 16.15 15.85 14.374602
"2013-08-08" 16.07 16.309999 15.91 14.536824
"2013-08-09" 16.09 16.16 15.96 14.401639
"2013-08-12" 15.88 16.059999 15.74 14.347566
"2013-08-13" 15.91 15.95 15.8 14.266457
"2013-08-14" 15.83 16.01 15.66 14.329541
"2013-08-15" 15.79 16.190001 15.7 14.509788
"2013-08-16" 16.040001 16.25 15.96 14.401639
"2013-08-19" 16.049999 16.059999 15.69 14.149296
"2013-08-20" 15.83 15.83 15.52 14.149296
"2013-08-21" 15.61 15.78 15.49 14.203371
"2013-08-22" 15.76 15.82 15.63 14.158308
"2013-08-23" 15.71 15.79 15.57 14.194358
"2013-08-26" 15.79 15.9 15.71 14.293492
"2013-08-27" 15.75 16 15.69 14.176332
"2013-08-28" 15.76 15.81 15.68 14.203371
"2013-08-29" 15.73 15.89 15.64 14.212382
"2013-08-30" 15.75 15.78 15.59 14.149296
"2013-09-03" 15.89 16.030001 15.69 14.221394
"2013-09-04" 15.79 16.08 15.76 14.446703
"2013-09-05" 15.97 16.27 15.88 14.635961
"2013-09-06" 16.309999 16.34 16.08 14.5909
"2013-09-09" 16.16 16.34 16.16 14.726084
"2013-09-10" 16.379999 16.57 16.25 14.91534
"2013-09-11" 16.65 17.059999 16.5 15.365955
"2013-09-12" 17.120001 17.26 16.940001 15.420031
"2013-09-13" 17.059999 17.08 16.77 15.221757
"2013-09-16" 17.120001 17.200001 16.780001 15.284842
"2013-09-17" 17.030001 17.17 16.889999 15.320896
"2013-09-18" 16.99 17.18 16.84 15.365955
"2013-09-19" 17.1 17.1 16.66 15.203733
"2013-09-20" 16.92 17 16.469999 14.99645
"2013-09-23" 16.620001 16.639999 16.370001 14.897317
"2013-09-24" 16.530001 17.200001 16.5 15.356944
"2013-09-25" 17.030001 17.040001 16.68 15.140645
"2013-09-26" 16.77 16.870001 16.1 14.681024
"2013-09-27" 16.1 16.25 15.99 14.572874
"2013-09-30" 16.200001 16.26 15.91 14.473739
"2013-10-01" 16.049999 16.139999 15.8 14.338555
"2013-10-02" 15.85 16.27 15.7 14.545836
"2013-10-03" 16.139999 16.25 15.79 14.302505
"2013-10-04" 15.84 16.01 15.79 14.275469
"2013-10-07" 15.7 15.98 15.69 14.338555
"2013-10-08" 15.51 15.98 15.51 14.23942
"2013-10-09" 15.8 15.95 15.75 14.311518
"2013-10-10" 15.98 16.25 15.94 14.617934
"2013-10-11" 16.16 16.6 16.139999 14.78917
"2013-10-14" 16.309999 16.620001 16.23 14.924354
"2013-10-15" 16.459999 16.67 16.42 14.942377
"2013-10-16" 16.719999 16.790001 16.57 15.122623
"2013-10-17" 16.639999 16.809999 16.629999 15.140645
"2013-10-18" 16.85 16.9 16.75 15.185712
"2013-10-21" 16.860001 16.98 16.790001 15.185712
"2013-10-22" 16.889999 17.059999 16.790001 15.320896
"2013-10-23" 16.799999 17.24 16.799999 15.420031
"2013-10-24" 17.07 17.4 17.02 15.58225
"2013-10-25" 17.549999 17.549999 17.09 15.456078
"2013-10-28" 17.120001 17.32 17.030001 15.58225
"2013-10-29" 17.299999 17.51 17.24 15.735456
"2013-10-30" 17.459999 17.51 17.309999 15.636325
"2013-10-31" 17.370001 17.77 17.34 15.861634
"2013-11-01" 17.620001 17.809999 17.450001 16.014839
"2013-11-04" 17.73 17.860001 17.67 16.005829
"2013-11-05" 17.57 17.85 17.48 15.933732
"2013-11-06" 17.73 17.82 17.35 15.690397
"2013-11-07" 17.51 17.620001 17.25 15.555213
"2013-11-08" 17.309999 17.620001 17.17 15.861634
"2013-11-11" 17.6 17.65 17.35 15.699411
"2013-11-12" 16.85 17.309999 16.719999 15.456078
"2013-11-13" 17.02 17.290001 16.950001 15.519163
"2013-11-14" 17.24 17.379999 17.18 15.546202
"2013-11-15" 17.32 17.809999 17.32 16.005829
"2013-11-18" 17.77 17.82 17.370001 15.699411
"2013-11-19" 17.43 17.66 17.379999 15.753484
"2013-11-20" 17.540001 17.790001 17.450001 15.92472
"2013-11-21" 17.709999 17.75 17.540001 15.82558
"2013-11-22" 17.610001 17.690001 17.5 15.816572
"2013-11-25" 17.629999 17.68 17.360001 15.753484
"2013-11-26" 17.43 17.709999 17.370001 15.942744
"2013-11-27" 17.66 17.940001 17.51 16.095951
"2013-11-29" 17.85 17.969999 17.84 16.186073
"2013-12-02" 17.92 17.969999 17.6 15.906693
"2013-12-03" 17.629999 17.629999 17.4 15.771508
"2013-12-04" 17.440001 17.620001 17.379999 15.843606
"2013-12-05" 16.540001 17.549999 16.540001 15.735456
"2013-12-06" 17.66 17.860001 17.52 16.023853
"2013-12-09" 17.889999 17.9 17.459999 15.789532
"2013-12-10" 17.49 17.719999 17.440001 15.89768
"2013-12-11" 17.65 17.74 17.48 15.861634
"2013-12-12" 17.639999 17.66 17.49 15.762494
"2013-12-13" 17.49 17.700001 17.32 15.915706
"2013-12-16" 17.77 17.799999 17.58 16.014839
"2013-12-17" 17.57 17.57 17.17 15.636325
"2013-12-18" 17.299999 17.530001 17.07 15.771508
"2013-12-19" 17.41 17.469999 17.290001 15.645337
"2013-12-20" 17.43 17.969999 17.309999 15.996816
"2013-12-23" 17.93 17.969999 17.73 16.131998
"2013-12-24" 17.959999 18.01 17.780001 16.131998
"2013-12-26" 17.99 18.07 17.65 16.014839
"2013-12-27" 17.74 17.82 17.559999 15.978792
"2013-12-30" 17.780001 17.93 17.700001 16.141014
"2013-12-31" 17.98 18.09 17.84 16.24015
"2014-01-02" 18.049999 18.17 17.82 16.177061
"2014-01-03" 17.93 18.01 17.780001 16.0599
"2014-01-06" 17.879999 17.959999 17.48 15.843606
"2014-01-07" 17.65 17.65 17.33 15.681383
"2014-01-08" 17.35 17.4 17.15 15.58225
"2014-01-09" 17.379999 17.48 17.27 15.627308
"2014-01-10" 17.41 17.52 17.280001 15.681383
"2014-01-13" 17.41 17.440001 17.07 15.456078
"2014-01-14" 17.200001 17.35 17.129999 15.59126
"2014-01-15" 17.24 17.33 17.1 15.510153
"2014-01-16" 17.200001 17.26 17.049999 15.392993
"2014-01-17" 17.09 17.18 16.940001 15.392993
"2014-01-21" 17.15 17.15 16.690001 15.104598
"2014-01-22" 16.75 16.99 16.559999 15.005465
"2014-01-23" 16.5 16.58 16.360001 14.897317
"2014-01-24" 16.27 16.33 16.01 14.572874
"2014-01-27" 16.25 16.559999 16.190001 14.771143
"2014-01-28" 16.379999 16.459999 16.23 14.635961
"2014-01-29" 16.09 16.280001 16.01 14.617934
"2014-01-30" 16.280001 16.299999 16.16 14.599913
"2014-01-31" 16.139999 16.24 15.95 14.383615
"2014-02-03" 16 16.059999 15.48 13.987076
"2014-02-04" 15.55 15.72 15.44 13.987076
"2014-02-05" 15.56 15.9 15.55 14.068185
"2014-02-06" 15.64 16.110001 15.61 14.437691
"2014-02-07" 17.48 18 17.07 15.690397
"2014-02-10" 17.030001 17.59 16.969999 15.780522
"2014-02-11" 17.530001 18 17.41 16.159042
"2014-02-12" 17.93 18.049999 17.6 15.906693
"2014-02-13" 17.549999 17.82 17.41 15.915706
"2014-02-14" 17.620001 17.84 17.540001 15.933732
"2014-02-18" 17.719999 17.82 17.559999 15.996816
"2014-02-19" 17.700001 17.860001 17.559999 15.85262
"2014-02-20" 17.6 17.639999 17.309999 15.771508
"2014-02-21" 17.450001 17.76 17.440001 15.933732
"2014-02-24" 17.75 18.049999 17.74 16.168051
"2014-02-25" 17.93 18.110001 17.9 16.186073
"2014-02-26" 17.950001 18.139999 17.83 16.249159
"2014-02-27" 17.950001 18.059999 17.860001 16.24015
"2014-02-28" 18.059999 18.4 17.92 16.519529
"2014-03-03" 18.190001 18.34 17.950001 16.330273
"2014-03-04" 18.200001 18.41 18.15 16.582615
"2014-03-05" 18.43 18.530001 18.129999 16.492491
"2014-03-06" 18.32 18.43 18.190001 16.47447
"2014-03-07" 18.299999 18.360001 17.84 16.141014
"2014-03-10" 17.959999 18 17.709999 16.005829
"2014-03-11" 17.76 17.809999 17.52 15.960766
"2014-03-12" 17.700001 17.889999 17.4 16.068913
"2014-03-13" 17.82 17.91 17.309999 15.627308
"2014-03-14" 17.370001 17.639999 17.25 15.708423
"2014-03-17" 17.549999 17.809999 17.290001 15.672371
"2014-03-18" 17.42 17.74 17.379999 15.960766
"2014-03-19" 17.67 17.799999 17.459999 15.816572
"2014-03-20" 17.450001 17.57 17.32 15.780522
"2014-03-21" 17.73 17.73 17.33 15.843606
"2014-03-24" 17.6 17.67 17.389999 15.74447
"2014-03-25" 17.57 17.59 17.27 15.645337
"2014-03-26" 17.370001 17.42 17.02 15.347933
"2014-03-27" 17.09 17.23 16.99 15.33892
"2014-03-28" 17.01 17.280001 17 15.347933
"2014-03-31" 17.15 17.25 17 15.519163
"2014-04-01" 17.34 17.5 17.200001 15.717433
"2014-04-02" 17.4 17.52 17.27 15.717433
"2014-04-03" 17.469999 17.52 17.09 15.420031
"2014-04-04" 17.23 17.540001 17.110001 15.429044
"2014-04-07" 17.110001 17.379999 17 15.392993
"2014-04-08" 17.18 17.209999 16.92 15.365955
"2014-04-09" 17.059999 17.219999 16.959999 15.50114
"2014-04-10" 17.23 17.32 16.83 15.167686
"2014-04-11" 16.780001 17.16 16.469999 14.906328
"2014-04-14" 16.66 16.809999 16.5 15.113613
"2014-04-15" 16.780001 16.950001 16.32 14.987439
"2014-04-16" 16.719999 16.9 16.450001 15.131637
"2014-04-17" 16.719999 17.02 16.719999 15.212746
"2014-04-21" 16.870001 17.040001 16.549999 15.275834
"2014-04-22" 16.940001 17.049999 16.73 15.329907
"2014-04-23" 17.030001 17.24 16.93 15.528173
"2014-04-24" 17.290001 17.440001 17.01 15.573236
"2014-04-25" 17.26 17.26 17.08 15.438055
"2014-04-28" 17.17 17.219999 16.82 15.438055
"2014-04-29" 17.25 17.42 17.110001 15.510153
"2014-04-30" 17.200001 17.200001 16.780001 15.33892
"2014-05-01" 17.209999 17.389999 17.059999 15.59126
"2014-05-02" 17.23 17.440001 17.02 15.600273
"2014-05-05" 17.26 17.43 17.139999 15.681383
"2014-05-06" 17.32 17.34 17.129999 15.447066
"2014-05-07" 17.139999 17.200001 16.92 15.392993
"2014-05-08" 17.09 17.17 16.879999 15.420031
"2014-05-09" 17.51 18.02 17.27 16.222122
"2014-05-12" 18.049999 18.18 17.76 16.086941
"2014-05-13" 17.84 17.940001 17.65 15.96978
"2014-05-14" 17.74 17.790001 17.17 15.49213
"2014-05-15" 17.18 17.23 16.870001 15.203733
"2014-05-16" 16.889999 17.1 16.67 15.365955
"2014-05-19" 16.98 17.16 16.92 15.347933
"2014-05-20" 16.98 17 16.66 15.09559
"2014-05-21" 16.790001 17.040001 16.77 15.239785
"2014-05-22" 16.98 17.219999 16.83 15.474106
"2014-05-23" 17.16 17.219999 17 15.402004
"2014-05-27" 17.129999 17.290001 17.059999 15.519163
"2014-05-28" 17.190001 17.24 16.780001 15.420031
"2014-05-29" 17.09 17.17 16.969999 15.429044
"2014-05-30" 17.09 17.18 17.01 15.374967
"2014-06-02" 17.1 17.33 17.030001 15.555213
"2014-06-03" 17.129999 17.48 17.129999 15.654347
"2014-06-04" 17.299999 17.6 17.280001 15.74447
"2014-06-05" 17.540001 17.74 17.33 15.96978
"2014-06-06" 17.719999 17.92 17.6 15.942744
"2014-06-09" 17.639999 17.940001 17.6 15.915706
"2014-06-10" 17.66 17.75 17.48 15.870646
"2014-06-11" 17.629999 17.68 17.51 15.88867
"2014-06-12" 17.559999 17.559999 17.299999 15.59126
"2014-06-13" 17.379999 17.6 17.139999 15.528173
