"Index" "Open" "High" "Low" "Price"
"2012-09-17" 26.5 26.6 25.860001 25.004549
"2012-09-18" 26.540001 26.91 25.799999 25.155687
"2012-09-19" 26.459999 26.65 26.16 24.862848
"2012-09-20" 26.190001 26.24 25.41 24.409422
"2012-09-21" 25.969999 26.469999 25.690001 24.286623
"2012-09-24" 25.129999 25.59 24.799999 24.012684
"2012-09-25" 25.719999 26 24.08 22.860224
"2012-09-26" 24.35 24.43 23.219999 22.44458
"2012-09-27" 24 25.65 23.780001 23.965448
"2012-09-28" 25 25.48 24.610001 23.625381
"2012-10-01" 25.16 25.48 24.82 23.710396
"2012-10-02" 25.040001 25.389999 24.709999 23.653717
"2012-10-03" 25.43 25.43 24.51 23.190844
"2012-10-04" 24.83 24.83 24.389999 23.190844
"2012-10-05" 24.639999 25.6 24.620001 23.880428
"2012-10-08" 25.190001 25.459999 24.75 23.644274
"2012-10-09" 25 25 24.379999 23.105825
"2012-10-10" 23.77 23.790001 22.860001 21.915586
"2012-10-11" 23.799999 23.799999 22.629999 21.443264
"2012-10-12" 22.99 22.99 21.690001 20.744228
"2012-10-15" 22.1 23.09 22.1 21.669975
"2012-10-16" 23.059999 23.629999 23 22.132851
"2012-10-17" 23.200001 23.5 22.9 21.906141
"2012-10-18" 22.9 23.6 22.65 21.915586
"2012-10-19" 22.950001 23.17 22.02 20.980394
"2012-10-22" 22.370001 22.469999 21.4 20.517519
"2012-10-23" 21.42 22.74 21.219999 21.367691
"2012-10-24" 22.620001 22.969999 20.57 19.771254
"2012-10-25" 22.129999 24.01 22 22.189531
"2012-10-26" 23.059999 24.09 23.059999 22.690189
"2012-10-31" 24 24.26 23.790001 22.916901
"2012-11-01" 23.75 26.379999 23.639999 24.740051
"2012-11-02" 25.42 26.1 25.389999 24.267733
"2012-11-05" 25.02 26.110001 24.860001 24.390533
"2012-11-06" 25.73 25.98 25.5 24.333857
"2012-11-07" 25.4 25.700001 25.049999 24.003235
"2012-11-08" 25.540001 25.780001 25.209999 23.92766
"2012-11-09" 24.809999 25.18 24.74 23.644274
"2012-11-12" 25.01 25.309999 24.879999 23.804861
"2012-11-13" 24.51 24.99 24.459999 23.105825
"2012-11-14" 24.76 24.77 23.99 22.784647
"2012-11-15" 24.190001 24.41 22.9 21.717211
"2012-11-16" 23.200001 23.200001 22.59 21.433821
"2012-11-19" 23.219999 23.700001 23.049999 22.208422
"2012-11-20" 23.450001 23.450001 22.719999 22.010048
"2012-11-21" 23.35 23.57 22.83 22.057278
"2012-11-23" 23.389999 24.120001 23.389999 22.671293
"2012-11-26" 23.66 24.190001 23.57 22.652399
"2012-11-27" 24.049999 24.43 23.68 22.557938
"2012-11-28" 23.5 24.379999 23.34 22.850775
"2012-11-29" 24.59 25.1 24.34 23.587595
"2012-11-30" 24.92 25.09 24.34 23.124718
"2012-12-03" 24.709999 24.709999 24.23 22.983023
"2012-12-04" 24.389999 24.549999 24.030001 22.794096
"2012-12-05" 24.299999 24.52 24 23.134167
"2012-12-06" 24.48 24.49 23.85 22.671293
"2012-12-07" 23.799999 24 23.200001 22.019491
"2012-12-10" 23.25 23.889999 23.25 22.501257
"2012-12-11" 24.08 25.6 24.08 23.653717
"2012-12-12" 24.99 25.43 24.940001 23.729288
"2012-12-13" 24.959999 25.309999 24.809999 23.606485
"2012-12-14" 24.82 24.969999 24.5 23.143612
"2012-12-17" 24.57 25.440001 24.5 23.984337
"2012-12-18" 25.42 26.200001 25.389999 24.551123
"2012-12-19" 25.91 26.200001 25.559999 24.418877
"2012-12-20" 25.74 26.08 25.5 24.617245
"2012-12-21" 25.219999 25.540001 24.75 23.946556
"2012-12-24" 25.120001 25.76 25.120001 23.993784
"2012-12-26" 25.459999 25.969999 25.35 24.03157
"2012-12-27" 25.610001 25.610001 25.059999 24.022121
"2012-12-28" 25.24 25.75 25.129999 23.955997
"2012-12-31" 25.5 26.5 25.299999 24.862848
"2013-01-02" 27.1 28 27 26.289251
"2013-01-03" 27.549999 28.07 27.5 26.157009
"2013-01-04" 27.59 27.780001 27.030001 25.82638
"2013-01-07" 27.16 27.530001 26.889999 25.637453
"2013-01-08" 27.23 27.48 26.51 25.08012
"2013-01-09" 26.6 26.99 26.48 25.420191
"2013-01-10" 27.209999 28.51 27.17 26.742678
"2013-01-11" 28.25 29 27.66 26.449844
"2013-01-14" 28.09 28.51 27.75 26.799364
"2013-01-15" 28.35 28.51 28.07 26.723787
"2013-01-16" 28.33 29.809999 28.299999 27.67787
"2013-01-17" 29.34 30.08 29 28.320221
"2013-01-18" 29.959999 29.959999 29.290001 27.989601
"2013-01-22" 29.879999 29.9 29.16 27.592854
"2013-01-23" 29.33 29.67 29.309999 27.866795
"2013-01-24" 29.620001 29.92 29.24 27.87624
"2013-01-25" 29.700001 30.27 29.58 28.424133
"2013-01-28" 30.15 30.620001 30.120001 28.81144
"2013-01-29" 30.129999 30.530001 29.42 27.87624
"2013-01-30" 29.559999 30.459999 29.41 28.320221
"2013-01-31" 30.33 30.700001 28.4 28.339117
"2013-02-01" 30.299999 31.280001 30.25 29.057041
"2013-02-04" 30.33 30.4 29.35 27.725103
"2013-02-05" 29.790001 30.049999 29.51 28.169083
"2013-02-06" 29.76 30.450001 29.639999 28.764204
"2013-02-07" 30.450001 30.52 29.799999 28.792545
"2013-02-08" 30.610001 32.119999 30.559999 30.190607
"2013-02-11" 31.48 32.349998 31.309999 30.332306
"2013-02-12" 32 32.830002 31.82 30.766832
"2013-02-13" 32.549999 32.959999 32.279999 30.974659
"2013-02-14" 32.619999 32.880001 32.419998 30.842409
"2013-02-15" 32.639999 32.740002 31.85 30.464552
"2013-02-19" 32.259998 32.990002 32.16 30.899088
