"Index" "Open" "High" "Low" "Price"
"2012-09-17" 40.901161 41.211239 40.852715 26.107042
"2012-09-18" 41.007751 41.017441 40.484497 25.896475
"2012-09-19" 40.581394 40.794575 40.242249 25.716909
"2012-09-20" 40.135658 40.174419 39.796513 25.506363
"2012-09-21" 40.096897 40.135658 39.796513 25.487795
"2012-09-24" 39.88372 40.387596 39.815891 25.642614
"2012-09-25" 40.125969 40.368217 39.525192 25.289644
"2012-09-26" 39.534885 39.738373 39.098839 25.153408
"2012-09-27" 39.428295 39.631783 39.302326 25.309431
"2012-09-28" 39.457363 39.825581 39.244186 25.415081
"2012-10-01" 39.796513 39.854652 39.108528 25.33429
"2012-10-02" 39.593021 39.825581 39.486435 25.539398
"2012-10-03" 40.029072 40.300388 39.77713 25.701002
"2012-10-04" 40.184109 40.290699 39.767441 25.669907
"2012-10-05" 40.067829 40.261627 39.854652 25.632616
"2012-10-08" 39.961239 40.009689 39.670544 25.545599
"2012-10-09" 39.815891 40.009689 39.612404 25.433725
"2012-10-10" 39.83527 40.087208 39.680233 25.56424
"2012-10-11" 40.05814 40.125969 39.71899 25.508322
"2012-10-12" 39.728683 40 39.622093 25.483458
"2012-10-15" 40.145348 40.406979 39.77713 25.756947
"2012-10-16" 40.261627 40.339146 39.932171 25.688583
"2012-10-17" 39.980621 40.087208 39.505814 25.570478
"2012-10-18" 39.912792 40.193798 39.874031 25.688583
"2012-10-19" 40.038761 40.184109 39.670544 25.446154
"2012-10-22" 39.670544 39.815891 39.486435 25.446154
"2012-10-23" 39.505814 39.71899 39.127907 25.253485
"2012-10-24" 39.389534 39.563953 39.263565 25.328058
"2012-10-25" 39.515503 39.612404 38.817829 24.97378
"2012-10-26" 38.924419 38.924419 37.60659 24.619499
"2012-10-31" 38.362404 38.556202 37.713177 24.501568
"2012-11-01" 37.945736 38.604652 37.635658 24.682518
"2012-11-02" 38.498062 38.556202 38.158916 24.620131
"2012-11-05" 38.391472 38.401161 37.926357 24.507835
"2012-11-06" 38.246124 38.246124 37.887596 24.526539
"2012-11-07" 37.887596 38.062016 37.509689 24.227045
"2012-11-08" 37.596897 37.625969 37.344959 24.083551
"2012-11-09" 37.21899 37.461239 36.773254 23.958763
"2012-11-12" 37.21899 37.267441 36.821705 23.721664
"2012-11-13" 36.618217 36.976746 36.385658 23.609362
"2012-11-14" 36.550388 36.812016 36.172482 23.372278
"2012-11-15" 36.288761 36.821705 36.211239 23.397219
"2012-11-16" 36.346897 37.374031 36.346897 23.958763
"2012-11-19" 37.5 37.55814 37.015503 23.971241
"2012-11-20" 37.39341 38.081394 37.325581 24.520296
"2012-11-21" 38.226746 38.391472 37.635658 24.57645
"2012-11-23" 38.333332 38.46899 37.945736 24.539011
"2012-11-26" 38.062016 38.420544 37.858528 24.65132
"2012-11-27" 38.100777 38.323643 37.655041 24.613892
"2012-11-28" 38.003876 38.304264 37.916668 24.526539
"2012-11-29" 38.149223 38.255814 37.713177 24.639904
"2012-11-30" 38.149223 39.418606 38.091084 25.479187
"2012-12-03" 39.312016 39.408916 38.827518 25.209871
"2012-12-04" 38.885658 39.205425 38.885658 25.259968
"2012-12-05" 39.166668 39.215115 38.817829 25.15976
"2012-12-06" 38.924419 39.408916 38.905041 25.466652
"2012-12-07" 39.350777 39.525192 39.302326 25.45414
"2012-12-10" 39.321705 39.583332 39.166668 25.404032
"2012-12-11" 39.418606 39.525192 39.176357 25.410282
"2012-12-12" 39.321705 39.486435 39.050388 25.272493
"2012-12-13" 39.118217 39.302326 38.905041 25.228651
"2012-12-14" 39.021317 39.224808 38.982559 25.278765
"2012-12-17" 39.234497 39.583332 38.885658 25.548086
"2012-12-18" 39.554264 39.709301 39.360466 25.654558
"2012-12-19" 39.786823 39.786823 39.321705 25.435347
"2012-12-20" 39.593021 39.748062 39.389534 25.604458
"2012-12-21" 39.437984 39.815891 39.321705 25.497982
"2012-12-24" 39.447674 39.767441 39.408916 25.529308
"2012-12-26" 39.486435 39.738373 39.098839 25.422819
"2012-12-27" 39.360466 39.486435 39.021317 25.397762
"2012-12-28" 39.050388 39.331394 38.875969 25.235575
"2012-12-31" 38.846897 39.186047 38.759689 25.27957
"2013-01-02" 39.583332 39.89341 39.215115 25.84539
"2013-01-03" 39.874031 40.067829 39.612404 25.769947
"2013-01-04" 39.757751 40.067829 39.573643 25.983715
"2013-01-07" 40.067829 40.804264 39.651161 26.247746
"2013-01-08" 40.387596 40.687984 40.05814 26.360931
"2013-01-09" 40.746124 40.959301 40.474808 26.543236
"2013-01-10" 41.017441 41.47287 40.697674 26.907858
"2013-01-11" 41.337208 41.618217 41.211239 26.970726
"2013-01-14" 41.511627 42.005814 41.47287 27.171928
"2013-01-15" 41.879845 42.160854 41.715115 27.234804
"2013-01-16" 41.937984 42.228683 41.753876 27.303959
"2013-01-17" 42.199612 42.693798 42.112404 27.612017
"2013-01-18" 42.674419 42.974808 42.325581 27.687458
"2013-01-22" 42.538761 42.72287 42.228683 27.687458
"2013-01-23" 42.713177 42.771317 42.248062 27.467409
"2013-01-24" 42.33527 42.66473 42.160854 27.473694
"2013-01-25" 42.44186 42.538761 41.937984 27.335382
"2013-01-28" 42.529072 42.926357 42.403103 27.750319
"2013-01-29" 42.751938 42.771317 42.054264 27.391975
"2013-01-30" 42.102715 42.509689 41.870155 27.499931
"2013-01-31" 42.141472 42.364342 41.870155 27.575678
"2013-02-01" 42.374031 42.480621 41.967052 27.398918
"2013-02-04" 41.996124 42.27713 41.967052 27.41153
"2013-02-05" 42.189922 42.296513 41.957363 27.43679
"2013-02-06" 42.102715 42.39341 42.063953 27.43679
"2013-02-07" 42.238373 42.238373 41.908916 27.455725
"2013-02-08" 42.170544 42.199612 41.831394 27.272654
"2013-02-11" 42.025192 42.325581 41.889534 27.544107
"2013-02-12" 42.344959 43.120155 42.228683 28.093349
"2013-02-13" 43.081394 43.168606 42.839146 28.124916
"2013-02-14" 42.936047 43.032948 42.655041 27.960773
"2013-02-15" 43.003876 43.120155 42.877907 28.068079
"2013-02-19" 43.391472 43.604652 43.149223 28.219622
"2013-02-20" 43.381783 43.488373 43.071705 28.162794
"2013-02-21" 43.313953 43.439922 42.713177 27.967094
"2013-02-22" 42.906979 43.158916 42.839146 28.074411
"2013-02-25" 43.129845 43.275192 42.897285 28.004971
"2013-02-26" 43.158916 43.52713 42.877907 28.345869
"2013-02-27" 43.120155 44.060078 43.013565 28.764866
"2013-02-28" 44.011627 44.437984 43.963177 28.936008
"2013-03-01" 44.079456 44.457363 43.79845 29.018414
"2013-03-04" 44.263565 44.699612 44.118217 29.221262
"2013-03-05" 44.932171 45.203487 44.757751 29.550858
"2013-03-06" 43.953487 44.641472 43.943798 29.189566
"2013-03-07" 44.476746 44.622093 44.360466 29.164173
"2013-03-08" 44.612404 44.612404 43.982559 29.094473
"2013-03-11" 44.341084 44.341084 43.323643 28.562037
"2013-03-12" 43.682171 43.730621 43.168606 28.31481
"2013-03-13" 43.362404 43.478683 42.877907 28.169018
"2013-03-14" 43.207363 43.459301 43.139534 28.371878
"2013-03-15" 43.381783 43.439922 43.042637 28.359192
"2013-03-18" 43.091084 43.236435 42.897285 28.169018
"2013-03-19" 42.974808 43.139534 42.306202 27.921812
"2013-03-20" 42.693798 42.877907 42.364342 27.940832
"2013-03-21" 42.655041 43.013565 42.635658 27.972544
"2013-03-22" 42.897285 43.120155 42.868217 28.181704
"2013-03-25" 43.042637 43.304264 42.645348 28.023241
"2013-03-26" 43.120155 43.546513 42.936047 28.485966
"2013-03-27" 43.410854 43.63372 43.255814 28.639336
"2013-03-28" 43.420544 43.963177 43.362404 28.862095
"2013-04-01" 43.895348 44.156979 43.507751 29.002115
"2013-04-02" 44.273254 44.331394 44.069767 29.116671
"2013-04-03" 44.331394 44.379845 43.934109 29.021212
"2013-04-04" 44.302326 44.486435 44.137596 29.199396
"2013-04-05" 44.108528 44.612404 43.982559 29.294855
"2013-04-08" 44.622093 44.961239 44.534885 29.530325
"2013-04-09" 44.961239 45.184109 44.689922 29.568518
"2013-04-10" 45.203487 45.445736 45.096897 29.784927
"2013-04-11" 45.387596 46.220928 45.348839 30.357702
"2013-04-12" 46.094959 46.25 45.920544 30.376789
"2013-04-15" 46.172482 46.492249 45.416668 29.829472
"2013-04-16" 45.610466 46.434109 45.377907 30.47863
"2013-04-17" 46.19186 46.220928 45.843021 30.313156
"2013-04-18" 46.220928 46.627907 45.998062 30.612282
"2013-04-19" 46.666668 47.480621 46.540699 31.185066
"2013-04-22" 47.480621 47.61628 47.063953 31.267799
"2013-04-23" 47.693798 48.032948 47.60659 31.465092
"2013-04-24" 47.693798 47.829456 47.54845 31.36326
"2013-04-25" 47.887596 48.410854 47.296513 31.509644
"2013-04-26" 47.703487 48.449612 47.703487 31.611479
"2013-04-29" 48.236435 48.827518 48.110466 32.16143
"2013-04-30" 48.682171 49.389534 48.58527 32.557468
"2013-05-01" 49.302326 49.389534 48.905041 32.327518
"2013-05-02" 49.108528 49.757751 49.040699 32.634121
"2013-05-03" 49.874031 50.174419 49.525192 33.074871
"2013-05-06" 49.990311 50.232559 49.699612 32.998211
"2013-05-07" 50.232559 50.436047 50.038761 33.234558
"2013-05-08" 50.387596 50.920544 50.329456 33.521999
"2013-05-09" 51.007751 51.007751 50.474808 33.33675
"2013-05-10" 50.581394 50.939922 50.494186 33.349525
"2013-05-13" 50.697674 51.705425 50.697674 34.045773
"2013-05-14" 51.463177 51.957363 51.453487 34.052174
"2013-05-15" 51.744186 52.55814 51.443798 34.646202
"2013-05-16" 52.587208 52.916668 52.209301 34.49929
"2013-05-17" 52.480621 53.381783 52.238373 35.189144
"2013-05-20" 53.275192 53.275192 52.732559 34.952801
"2013-05-21" 53.023254 53.536823 53.023254 35.15081
