"Index" "Open" "High" "Low" "Price"
"2012-09-17" 20.459999 20.48 20.059999 19.690306
"2012-09-18" 20.026667 20.106667 19.786667 19.468479
"2012-09-19" 19.993334 20.473333 19.846666 19.859934
"2012-09-20" 20.120001 20.333332 19.573334 19.27928
"2012-09-21" 19.973333 19.973333 19.586666 19.22056
"2012-09-24" 19.6 20.026667 19.506666 19.566341
"2012-09-25" 20.073334 20.18 19.533333 19.181408
"2012-09-26" 19.606667 20.126667 19.606667 19.683779
"2012-09-27" 20.106667 20.459999 19.940001 19.957794
"2012-09-28" 20.219999 20.366667 19.860001 19.670732
"2012-10-01" 20.1 20.273333 19.799999 19.657684
"2012-10-02" 19.866667 19.893333 19.166668 18.99873
"2012-10-03" 19.386667 19.506666 19.226667 18.985682
"2012-10-04" 19.42 19.799999 19.293333 19.311899
"2012-10-05" 19.873333 20.02 19.666668 19.33799
"2012-10-08" 19.613333 19.766666 19.58 19.214031
"2012-10-09" 19.6 19.833332 19.42 19.103121
"2012-10-10" 19.606667 19.906668 19.526667 19.285801
"2012-10-11" 19.82 19.953333 19.613333 19.233606
"2012-10-12" 19.780001 20.066668 19.68 19.409758
"2012-10-15" 19.833332 20.059999 19.693333 19.527195
"2012-10-16" 20.126667 20.506666 19.913334 19.925177
"2012-10-17" 20.413334 20.586666 20.213333 20.133955
"2012-10-18" 20.493334 20.606667 20.286667 20.101334
"2012-10-19" 20.333332 20.559999 20.133333 19.814268
"2012-10-22" 20.246668 20.246668 20 19.657684
"2012-10-23" 20.053333 20.646667 19.846666 20.192673
"2012-10-24" 20.686666 20.926666 20.446667 20.127438
"2012-10-25" 20.84 21.333332 20.326668 20.727667
"2012-10-26" 21.246668 21.52 20.9 20.975588
"2012-10-31" 21.52 22.493334 21.34 21.90856
"2012-11-01" 22.306667 22.686666 22.226667 22.202156
"2012-11-02" 22.886667 22.913334 22.506666 22.039051
"2012-11-05" 22.586666 22.833332 22.473333 22.221731
"2012-11-06" 22.686666 23.42 22.686666 22.737148
"2012-11-07" 23.040001 23.1 22.713333 22.319593
"2012-11-08" 22.84 22.933332 22.573334 22.110817
"2012-11-09" 22.293333 22.606667 22.213333 21.954233
"2012-11-12" 22.553333 23.02 22.379999 22.293495
"2012-11-13" 22.620001 23.02 22.566668 22.104292
"2012-11-14" 22.706667 22.846666 21.946667 21.497532
"2012-11-15" 22.040001 22.08 21.6 21.360527
"2012-11-16" 21.813334 22.293333 21.52 21.673691
"2012-11-19" 22.333332 22.393333 22.053333 21.784599
"2012-11-20" 22.266666 22.333332 21.993334 21.562777
"2012-11-21" 21.940001 22.286667 21.76 21.778076
"2012-11-23" 22.299999 22.386667 22.053333 21.849846
"2012-11-26" 22.333332 22.646667 22.193333 21.849846
"2012-11-27" 22.299999 22.639999 22.266666 21.882465
"2012-11-28" 22.326668 22.473333 22.006666 21.934662
"2012-11-29" 22.613333 22.626667 22.133333 21.862888
"2012-11-30" 22.433332 22.493334 22.226667 21.817221
"2012-12-03" 22.353333 22.426666 21.66 21.3801
"2012-12-04" 21.84 21.959999 21.533333 21.340948
"2012-12-05" 21.833332 22.153334 21.700001 21.477961
"2012-12-06" 22.046667 22.233334 21.953333 21.647594
"2012-12-07" 22.32 22.32 22 21.745453
"2012-12-10" 22.219999 22.586666 22.073334 21.784599
"2012-12-11" 22.426666 22.5 22.059999 21.73893
"2012-12-12" 22.306667 22.379999 21.873333 21.42576
"2012-12-13" 21.853333 22.206667 21.673332 21.288755
"2012-12-14" 21.826668 22.153334 21.786667 21.510582
"2012-12-17" 22.026667 22.273333 21.933332 21.654118
"2012-12-18" 22.146667 22.6 22.113333 21.967285
"2012-12-19" 22.4 22.793333 22.333332 22.097767
"2012-12-20" 22.526667 22.860001 22.4 22.319593
"2012-12-21" 22.6 23.026667 22.273333 22.365261
"2012-12-24" 22.913334 22.933332 22.713333 22.417458
"2012-12-26" 22.940001 22.959999 22.6 22.273922
"2012-12-27" 22.713333 22.98 22.5 22.34569
"2012-12-28" 22.666668 23.18 22.58 22.215202
"2012-12-31" 22.700001 22.913334 22.68 22.365261
"2013-01-02" 23.266666 23.793333 23.266666 23.180796
"2013-01-03" 23.786667 23.926666 23.346666 22.932875
"2013-01-04" 23.613333 23.84 23.446667 23.187321
"2013-01-07" 23.693333 24.006666 23.433332 23.337378
"2013-01-08" 23.753332 24.139999 23.326668 22.932875
"2013-01-09" 23.573334 23.92 23.406668 23.180796
"2013-01-10" 24.166668 24.166668 23.673332 23.285187
"2013-01-11" 23.906668 23.959999 23.719999 23.291712
"2013-01-14" 23.42 23.653334 23.146667 23.063368
"2013-01-15" 23.413334 23.533333 23.32 22.900251
"2013-01-16" 23.440001 23.719999 23.306667 23.128601
"2013-01-17" 23.733334 24.42 23.673332 23.754934
"2013-01-18" 23.806667 24.253332 23.806667 23.709265
"2013-01-22" 24.299999 24.5 24.206667 23.970236
"2013-01-23" 24.493334 24.68 24.253332 23.95719
"2013-01-24" 24.700001 25.273333 24.68 24.635712
"2013-01-25" 25.266666 25.266666 24.866667 24.511753
"2013-01-28" 25.073334 25.273333 24.966667 24.687908
"2013-01-29" 25.146667 25.266666 24.926666 24.518276
"2013-01-30" 24.98 25.08 24.553333 24.192064
"2013-01-31" 24.566668 25.073334 24.566668 24.322546
"2013-02-01" 25.02 25.299999 24.853333 24.511753
"2013-02-04" 24.853333 25.053333 24.459999 24.205111
"2013-02-05" 24.806667 25.033333 24.68 24.348644
"2013-02-06" 24.733334 24.860001 24.559999 24.172487
"2013-02-07" 24.113333 24.113333 23.1 22.893728
"2013-02-08" 23.473333 23.76 23.26 23.128601
"2013-02-11" 23.593332 23.74 23.433332 23.226467
"2013-02-12" 23.746668 23.826668 23.639999 23.232992
"2013-02-13" 23.746668 24.120001 23.713333 23.604876
"2013-02-14" 24 24.426666 23.966667 23.68317
"2013-02-15" 24.353333 24.493334 24.02 23.526583
"2013-02-19" 23.926666 24.106667 23.866667 23.526583
"2013-02-20" 23.993334 24.313334 23.6 23.24604
"2013-02-21" 23.719999 23.753332 23.053333 22.671904
"2013-02-22" 23.306667 23.533333 23.106667 23.024214
"2013-02-25" 23.573334 23.639999 23.086666 22.606665
"2013-02-26" 23.313334 23.393333 23.146667 22.835009
"2013-02-27" 23.459999 23.966667 23.333332 23.24604
"2013-02-28" 23.766666 24.086666 23.606667 23.474386
"2013-03-01" 23.746668 23.886667 23.426666 23.102505
"2013-03-04" 23.493334 23.799999 23.493334 23.232992
"2013-03-05" 23.913334 24.466667 23.913334 23.761461
"2013-03-06" 24.266666 24.506666 23.913334 23.500486
"2013-03-07" 23.953333 24.013332 23.719999 23.369999
"2013-03-08" 24.093332 24.266666 23.84 23.748409
"2013-03-11" 24.046667 24.226667 23.973333 23.546154
"2013-03-12" 24.086666 24.113333 23.806667 23.50701
"2013-03-13" 24.02 24.966667 24.02 24.355175
"2013-03-14" 24.940001 25.193333 24.673332 24.655285
"2013-03-15" 25.146667 25.18 24.753332 24.485659
"2013-03-18" 24.766666 25.120001 24.693333 24.394316
"2013-03-19" 24.9 24.98 24.459999 24.185535
"2013-03-20" 24.573334 25.046667 24.52 24.329075
"2013-03-21" 24.793333 24.846666 24.073334 23.689693
"2013-03-22" 25.040001 25.700001 24.726667 24.948881
"2013-03-25" 25.706667 25.84 25.046667 24.831444
"2013-03-26" 25.5 25.726667 25.18 24.740105
"2013-03-27" 25.173332 25.466667 24.92 24.896687
"2013-03-28" 25.48 25.68 25.366667 24.922785
"2013-04-01" 25.5 25.546667 24.846666 24.446507
"2013-04-02" 25.040001 25.453333 24.666668 24.179016
"2013-04-03" 24.773333 24.806667 24.026667 23.820183
"2013-04-04" 24.353333 24.393333 24.113333 23.826704
"2013-04-05" 23.959999 24.966667 23.446667 24.348644
"2013-04-08" 24.873333 24.986668 24.719999 24.374741
"2013-04-09" 24.986668 24.986668 24.633333 24.244257
"2013-04-10" 24.9 25.686666 24.780001 25.059792
"2013-04-11" 25.559999 25.793333 25.353333 24.916252
"2013-04-12" 25.286667 25.5 25.18 24.935831
"2013-04-15" 25.326668 25.393333 23.973333 23.552687
"2013-04-16" 25.02 25.286667 24.746668 24.590048
"2013-04-17" 25.006666 25.106667 24.433332 24.361694
"2013-04-18" 24.986668 25.1 24.386667 24.02243
"2013-04-19" 24.573334 24.933332 24.426666 24.198587
"2013-04-22" 24.82 25.046667 24.346666 24.28993
"2013-04-23" 25.066668 25.066668 24.506666 24.309502
"2013-04-24" 24.9 25.046667 24.620001 24.244257
"2013-04-25" 25.766666 25.933332 24.773333 24.857542
"2013-04-26" 25.433332 25.586666 25.273333 24.896687
"2013-04-29" 25.52 25.719999 25.413334 25.131559
"2013-04-30" 25.653334 25.813334 25.426666 25.118513
"2013-05-01" 25.666668 25.666668 24.700001 24.172487
"2013-05-02" 24.793333 25.486668 24.793333 24.53133
"2013-05-03" 25.453333 26 25.226667 25.412111
"2013-05-06" 26 26.666668 25.799999 25.94709
"2013-05-07" 26.626667 26.893333 26.373333 26.195023
"2013-05-08" 26.633333 26.959999 26.413334 26.11673
"2013-05-09" 26.726667 26.793333 26.173332 25.699175
"2013-05-10" 26.373333 26.513332 26.200001 25.907953
"2013-05-13" 26.486668 26.52 26.186666 25.829659
"2013-05-14" 26.459999 27.166668 26.459999 26.501661
"2013-05-15" 27.1 27.373333 26.986668 26.730009
"2013-05-16" 27.293333 27.4 26.913334 26.416845
"2013-05-17" 27.040001 27.486668 27.02 26.899645
"2013-05-20" 27.446667 27.973333 27.299999 27.356342
"2013-05-21" 28.033333 28.6 27.866667 27.976152
"2013-05-22" 28.6 28.986668 28.540001 27.982677
"2013-05-23" 28.32 28.6 28.093332 27.969625
"2013-05-24" 28.440001 28.799999 28.139999 27.917429
"2013-05-28" 28.873333 29.333332 28.773333 28.419806
"2013-05-29" 28.886667 29.066668 28.586666 28.178402
"2013-05-30" 28.886667 29.033333 28.666668 28.256693
"2013-05-31" 28.646667 29.16 28.646667 28.093586
"2013-06-03" 28.693333 28.746668 27.966667 27.878292
"2013-06-04" 28.433332 28.793333 27.940001 27.51293
"2013-06-05" 28.066668 28.200001 27.459999 27.101892
"2013-06-06" 27.620001 27.986668 27.459999 27.388966
"2013-06-07" 28.386667 29.006666 28.253332 28.100117
"2013-06-10" 29.006666 29.333332 28.693333 28.45895
"2013-06-11" 28.726667 28.986668 28.52 28.067492
"2013-06-12" 28.933332 29.033333 28.379999 27.891336
"2013-06-13" 28.466667 28.940001 28.173332 28.152308
"2013-06-14" 28.74 28.92 28.526667 28.028347
"2013-06-17" 28.873333 28.973333 28.213333 27.760851
"2013-06-18" 28.379999 28.866667 28.16 28.152308
"2013-06-19" 28.853333 28.946667 28.526667 28.002245
"2013-06-20" 28.306667 28.66 27.860001 27.454212
"2013-06-21" 28.166668 28.313334 27.646667 27.545546
"2013-06-24" 27.866667 28.046667 27.34 26.899645
"2013-06-25" 27.786667 28.026667 27.546667 27.154097
"2013-06-26" 28.026667 28.186666 27.626667 27.049702
"2013-06-27" 27.813334 28.253332 27.653334 27.565123
"2013-06-28" 28.193333 28.473333 27.706667 27.154097
"2013-07-01" 27.966667 28.673332 27.953333 27.910913
"2013-07-02" 28.533333 28.74 28.32 27.871758
"2013-07-03" 28.4 28.626667 28.200001 27.969625
"2013-07-05" 28.9 29.193333 28.706667 28.563339
"2013-07-08" 29.379999 29.586666 29.173332 28.719919
"2013-07-09" 29.493334 29.753332 29.459999 28.961317
"2013-07-10" 29.613333 29.713333 29.153334 28.61553
"2013-07-11" 29.82 29.82 29.333332 28.915649
"2013-07-12" 29.346666 29.66 29.24 28.824301
"2013-07-15" 29.686666 29.686666 29.333332 28.902596
"2013-07-16" 29.58 29.753332 28.793333 28.328465
"2013-07-17" 29.173332 29.266666 28.693333 28.139257
"2013-07-18" 28.893333 29.553333 28.873333 28.713394
"2013-07-19" 29.34 29.48 29.026667 28.628582
"2013-07-22" 29.266666 29.453333 28.98 28.602484
"2013-07-23" 29.326668 29.326668 28.646667 28.074017
"2013-07-24" 28.706667 28.860001 28.293333 27.773897
"2013-07-25" 29.786667 29.860001 28.606667 28.230598
"2013-07-26" 28.84 29.68 28.706667 28.961317
"2013-07-29" 29.52 29.52 29.106667 28.511145
"2013-07-30" 29.286667 29.286667 28.879999 28.406754
"2013-07-31" 29.013332 29.280001 28.953333 28.4981
"2013-08-01" 29.346666 30.206667 29.200001 29.496309
"2013-08-02" 30.08 30.113333 29.673332 29.170097
"2013-08-05" 29.726667 30.059999 29.653334 29.26796
"2013-08-06" 30.333332 30.333332 29.780001 29.189667
"2013-08-07" 29.639999 29.726667 29.219999 28.909126
"2013-08-08" 29.806667 30.02 29.733334 29.202711
"2013-08-09" 29.700001 30.18 29.586666 29.437592
"2013-08-12" 29.893333 30.133333 29.813334 29.40497
"2013-08-13" 30.086666 30.440001 29.799999 29.783381
"2013-08-14" 30.413334 30.540001 30.193333 29.639843
"2013-08-15" 30.040001 30.5 29.6 29.222288
"2013-08-16" 29.753332 30.106667 29.6 29.117899
"2013-08-19" 29.673332 29.799999 29.6 28.987419
"2013-08-20" 29.626667 29.933332 29.506666 29.150522
"2013-08-21" 29.726667 30.16 29.686666 29.398445
"2013-08-22" 30.126667 30.446667 30.059999 29.685513
"2013-08-23" 30.326668 30.459999 30.006666 29.489782
"2013-08-26" 30.08 30.333332 29.986668 29.41802
"2013-08-27" 29.653334 29.746668 29.226667 28.67425
"2013-08-28" 29.306667 29.406668 28.953333 28.556812
"2013-08-29" 29.193333 29.546667 29.16 28.628582
"2013-08-30" 29.353333 29.353333 28.873333 28.328465
"2013-09-03" 29.306667 29.620001 28.833332 28.517666
"2013-09-04" 29.153334 29.846666 29.093332 29.196192
"2013-09-05" 29.98 30 29.593332 29.130951
"2013-09-06" 29.879999 29.9 29.246668 29.111382
"2013-09-09" 29.793333 30.093332 29.793333 29.326679
"2013-09-10" 30.16 30.666668 30.026667 30.005205
"2013-09-11" 30.66 30.986668 30.34 30.292269
"2013-09-12" 30.993334 31 30.52 30.135695
"2013-09-13" 30.833332 30.933332 30.426666 30.096544
"2013-09-16" 31.073334 31.186666 29.173332 29.842094
"2013-09-17" 30.373333 30.58 29.993334 29.574598
"2013-09-18" 30.299999 30.360001 29.780001 29.444115
"2013-09-19" 30.133333 30.866667 30.133333 30.018255
"2013-09-20" 30.673332 30.913334 30.453333 30.090023
"2013-09-23" 30.713333 30.753332 30.393333 30.01173
"2013-09-24" 31.773333 31.773333 30.426666 30.01173
"2013-09-25" 30.6 30.68 29.946667 29.457167
"2013-09-26" 30.406668 30.566668 30.200001 29.796429
"2013-09-27" 30.366667 30.506666 30.113333 29.561556
"2013-09-30" 30 30.68 29.733334 30.005205
"2013-10-01" 30.633333 31.233334 30.633333 30.540195
"2013-10-02" 31.08 31.366667 30.826668 30.696781
"2013-10-03" 31.233334 31.373333 30.913334 30.488003
"2013-10-04" 31.166668 31.546667 31.040001 30.768541
"2013-10-07" 31.24 31.333332 31.02 30.520622
"2013-10-08" 31.166668 31.353333 30.673332 30.129166
"2013-10-09" 30.76 30.833332 30.433332 29.933435
