"Index" "Open" "High" "Low" "Price"
"2021-05-14" 31 33.25 31 31.884329
"2021-05-17" 34 35 34 32.699417
"2021-05-18" 34.48 38.421001 34.48 35.959766
"2021-05-19" 37 37.75 37 35.959766
"2021-05-20" 37.5 37.75 37.5 36.199501
"2021-05-21" 38.5 38.5 37.5 36.055656
"2021-05-24" 38 38.25 37.900002 36.439232
"2021-05-25" 38.75 38.75 36.900002 35.432358
"2021-05-26" 38 38 36 35.317287
"2021-05-27" 37 37 35.5 34.04192
"2021-05-28" 36 37.109001 35.75 34.281647
"2021-06-01" 36.650002 37.459 35.900002 34.521378
"2021-06-02" 36.5 36.740002 34.5 33.811768
"2021-06-03" 34.150002 38.240002 32.220001 35.480297
"2021-06-04" 36.150002 36.169998 33.709999 32.74736
"2021-06-07" 33.599998 33.880001 30.85 30.129492
"2021-06-08" 30.33 30.91 28.530001 27.722584
"2021-06-09" 28.299999 29.440001 27.25 27.281479
"2021-06-10" 28.459999 31.16 28.4 29.084259
"2021-06-11" 30.379999 30.379999 29.4 28.432188
"2021-06-14" 30.08 30.629999 29.27 29.036314
"2021-06-15" 30.030001 32.09 29.799999 30.503471
"2021-06-16" 31.52 31.65 30.27 29.439064
"2021-06-17" 30.49 31.73 30.1 30.167847
"2021-06-18" 31.5 31.709999 29.959999 28.748634
"2021-06-21" 30.200001 30.67 29.360001 28.202044
"2021-06-22" 29.25 29.870001 28.844999 28.31712
"2021-06-23" 29.530001 30.08 29.1 28.288349
"2021-06-24" 29.389999 30.07 29.299999 28.54726
"2021-06-25" 29.77 30.870001 29.209999 28.95001
"2021-06-28" 29.690001 31.030001 29.41 29.669207
"2021-06-29" 30.98 31.32 30.459999 29.295223
"2021-06-30" 30.33 30.83 30.25 29.017136
"2021-07-01" 30.110001 31.24 30.059999 29.554134
"2021-07-02" 30.709999 31.120001 30.299999 29.592493
"2021-07-06" 30.6 31.1 29.9 29.726744
"2021-07-07" 31 31.040001 29.870001 28.882887
"2021-07-08" 29.65 30.18 29.26 28.432188
"2021-07-09" 29.950001 30.280001 29.59 28.863707
"2021-07-12" 29.77 30.379999 29.57 28.518492
"2021-07-13" 29.5 29.885 28.959999 27.904778
"2021-07-14" 28.98 29.4 28.84 28.134922
"2021-07-15" 28.85 29.49 28.690001 27.722584
"2021-07-16" 28.77 29 28.42 27.684227
"2021-07-19" 28.629999 29.17 28.540001 27.943136
"2021-07-20" 29.17 29.780001 29.059999 28.393833
"2021-07-21" 29.66 30.5 29.530001 29.20892
"2021-07-22" 30.43 31.059999 30.25 29.650026
"2021-07-23" 30.889999 30.92 29.712 28.576029
"2021-07-26" 29.709999 30.209999 29.18 28.44178
"2021-07-27" 29.360001 29.639999 28.825001 27.92396
"2021-07-28" 29.129999 29.870001 29 28.518492
"2021-07-29" 29.59 29.860001 29.209999 28.02944
"2021-07-30" 29.059999 29.4 28.91 27.818476
"2021-08-02" 29.08 29.635 29.040001 28.31712
"2021-08-03" 29.280001 29.58 29.01 28.297939
"2021-08-04" 29.32 29.32 28.610001 27.454084
