"Index" "Open" "High" "Low" "Price"
"2012-09-17" 6.9 6.91 6.76 6.83
"2012-09-18" 6.79 6.88 6.75 6.88
"2012-09-19" 6.88 6.94 6.8 6.86
"2012-09-20" 6.77 6.86 6.69 6.73
"2012-09-21" 6.74 6.81 6.54 6.54
"2012-09-24" 6.48 6.62 6.46 6.62
"2012-09-25" 6.61 6.69 6.07 6.1
"2012-09-26" 6.05 6.18 6 6.13
"2012-09-27" 6.14 6.26 6.06 6.19
"2012-09-28" 6.19 6.19 6.06 6.18
"2012-10-01" 6.19 6.26 6.09 6.13
"2012-10-02" 6.37 6.4 6.12 6.21
"2012-10-03" 6.21 6.29 6.13 6.18
"2012-10-04" 6.25 6.25 6.11 6.15
"2012-10-05" 6.21 6.26 6.13 6.16
"2012-10-08" 6.12 6.2 6.05 6.16
"2012-10-09" 6.12 6.15 5.96 6.05
"2012-10-10" 6.04 6.07 5.85 5.87
"2012-10-11" 5.9 6 5.88 5.95
"2012-10-12" 5.93 6 5.84 5.86
"2012-10-15" 5.86 6.05 5.86 6.03
"2012-10-16" 6.04 6.3 6.02 6.26
"2012-10-17" 6.26 6.3 6.15 6.28
"2012-10-18" 6.3 6.34 6.18 6.26
"2012-10-19" 6.26 6.26 5.99 6.03
"2012-10-22" 5.97 6.13 5.93 6.05
"2012-10-23" 5.97 6.12 5.95 6.12
"2012-10-24" 6.17 6.19 5.9 5.91
"2012-10-25" 5.94 6.05 5.92 6.02
"2012-10-26" 6.04 6.16 5.97 6.15
"2012-10-31" 6.13 6.2 6.08 6.15
"2012-11-01" 6.16 6.37 6.12 6.27
"2012-11-02" 6.2 6.46 6.01 6.1
"2012-11-05" 6.13 6.5 6.09 6.46
"2012-11-06" 6.47 6.67 6.43 6.56
"2012-11-07" 6.46 6.52 6.25 6.26
"2012-11-08" 6.26 6.32 6.15 6.17
"2012-11-09" 6.15 6.29 6.11 6.16
"2012-11-12" 6.18 6.27 6.07 6.2
"2012-11-13" 6.17 6.25 6.1 6.15
"2012-11-14" 6.15 6.24 5.91 5.94
"2012-11-15" 5.95 6 5.74 5.87
"2012-11-16" 5.88 5.91 5.7 5.82
"2012-11-19" 5.88 6.08 5.88 5.93
"2012-11-20" 5.95 6 5.83 5.94
"2012-11-21" 5.97 5.98 5.87 5.96
"2012-11-23" 6.03 6.21 5.99 6.17
"2012-11-26" 6.19 6.31 6.16 6.23
"2012-11-27" 6.19 6.54 6.11 6.44
"2012-11-28" 6.37 6.66 6.26 6.61
"2012-11-29" 6.66 6.81 6.64 6.75
"2012-11-30" 6.7 6.75 6.54 6.62
"2012-12-03" 6.73 6.73 6.6 6.62
"2012-12-04" 6.64 6.74 6.58 6.71
"2012-12-05" 6.71 6.77 6.59 6.7
"2012-12-06" 6.67 6.78 6.66 6.71
"2012-12-07" 6.71 6.74 6.57 6.72
"2012-12-10" 6.7 6.85 6.66 6.77
"2012-12-11" 6.82 6.98 6.76 6.96
"2012-12-12" 6.99 7 6.88 6.92
"2012-12-13" 6.92 7.02 6.84 6.88
"2012-12-14" 6.89 6.99 6.85 6.92
"2012-12-17" 7.05 7.06 6.97 6.98
"2012-12-18" 6.99 7.08 6.97 7.06
"2012-12-19" 7.07 7.11 6.98 7
"2012-12-20" 7.02 7.02 6.84 6.95
"2012-12-21" 6.85 6.88 6.68 6.84
"2012-12-24" 6.86 6.86 6.74 6.8
"2012-12-26" 6.84 6.94 6.76 6.89
"2012-12-27" 6.87 6.93 6.78 6.86
"2012-12-28" 6.8 6.96 6.8 6.85
"2012-12-31" 6.83 7.07 6.8 7.05
"2013-01-02" 7.25 7.39 7.22 7.37
"2013-01-03" 7.33 7.44 7.26 7.31
"2013-01-04" 7.3 7.48 7.25 7.42
"2013-01-07" 7.37 7.5 7.3 7.33
"2013-01-08" 7.28 7.37 7.2 7.34
"2013-01-09" 7.31 7.59 7.31 7.45
"2013-01-10" 7.55 7.65 7.5 7.63
"2013-01-11" 7.64 7.77 7.57 7.71
"2013-01-14" 7.64 7.71 7.62 7.66
"2013-01-15" 7.61 7.67 7.55 7.6
"2013-01-16" 7.6 7.77 7.52 7.75
"2013-01-17" 7.84 7.95 7.75 7.83
"2013-01-18" 7.76 7.82 7.71 7.75
"2013-01-22" 7.74 7.77 7.65 7.77
"2013-01-23" 7.78 7.88 7.73 7.84
"2013-01-24" 7.75 7.99 7.68 7.71
"2013-01-25" 7.79 7.9 7.72 7.8
"2013-01-28" 7.78 7.97 7.78 7.92
"2013-01-29" 7.91 7.91 7.77 7.8
"2013-01-30" 7.85 8.07 7.82 7.87
"2013-01-31" 7.82 7.91 7.76 7.86
"2013-02-01" 8.04 8.21 7.98 8.15
"2013-02-04" 8.05 8.2 8.03 8.03
"2013-02-05" 8.12 8.18 8.06 8.14
"2013-02-06" 8.14 8.2 8.03 8.19
"2013-02-07" 8.1 8.26 8.04 8.11
"2013-02-08" 8.21 8.43 8.19 8.38
"2013-02-11" 8.38 8.57 8.37 8.55
"2013-02-12" 8.55 8.68 8.52 8.65
"2013-02-13" 8.68 8.69 8.46 8.49
"2013-02-14" 8.47 8.69 8.45 8.68
"2013-02-15" 8.7 8.71 8.35 8.45
"2013-02-19" 8.51 8.62 8.38 8.45
"2013-02-20" 8.44 8.45 8.12 8.15
"2013-02-21" 8.14 8.15 7.85 7.97
"2013-02-22" 8.04 8.27 8.04 8.1
"2013-02-25" 8.12 8.22 7.93 7.93
"2013-02-26" 8.01 8.08 7.77 7.95
"2013-02-27" 7.91 8.1 7.79 8.02
"2013-02-28" 7.96 8.16 7.95 8.01
"2013-03-01" 7.95 7.98 7.74 7.88
"2013-03-04" 7.87 7.94 7.76 7.87
"2013-03-05" 7.93 8.02 7.89 8.01
"2013-03-06" 8.01 8.15 8 8.1
"2013-03-07" 8.13 8.24 8.08 8.12
