"Index" "Open" "High" "Low" "Price"
"2012-09-17" 32.810001 33.130001 32.75 28.490204
"2012-09-18" 33.099998 33.27 32.939999 28.421352
"2012-09-19" 33.009998 33.080002 32.560001 28.214775
"2012-09-20" 32.599998 32.880001 32.189999 27.767193
"2012-09-21" 33.029999 33.290001 32.279999 27.947948
"2012-09-24" 32.25 32.439999 32.080002 27.732763
"2012-09-25" 32.18 32.23 31.25 26.940891
"2012-09-26" 31.02 31.08 30.57 26.450272
"2012-09-27" 30.76 31.42 30.700001 26.872034
"2012-09-28" 31.129999 31.610001 31.07 27.078602
"2012-10-01" 31.709999 32 31.540001 27.259359
"2012-10-02" 31.790001 32.009998 31.4 27.242147
"2012-10-03" 31.809999 32.049999 31.690001 27.38847
"2012-10-04" 31.85 31.98 31.65 27.457329
"2012-10-05" 32.049999 32.09 31.280001 27.018353
"2012-10-08" 31.200001 31.379999 30.860001 26.837605
"2012-10-09" 31.059999 31.1 30.440001 26.381416
"2012-10-10" 30.58 30.719999 30.43 26.372793
"2012-10-11" 30.73 31.09 30.620001 26.493525
"2012-10-12" 30.68 31.190001 30.68 26.735004
"2012-10-15" 31.059999 31.379999 31.02 26.993729
"2012-10-16" 31.4 31.889999 31.280001 27.485308
"2012-10-17" 31.530001 31.700001 31.209999 26.933357
"2012-10-18" 31.139999 31.24 30.76 26.838493
"2012-10-19" 31.07 31.25 30.4 26.286547
"2012-10-22" 30.59 30.889999 30.309999 26.562521
"2012-10-23" 30.52 30.84 30.450001 26.381407
"2012-10-24" 30.9 30.950001 30.370001 26.390038
"2012-10-25" 30.870001 31.219999 30.709999 26.614273
"2012-10-26" 30.809999 31.1 30.610001 26.726379
"2012-10-31" 31.24 31.389999 30.860001 26.804001
"2012-11-01" 31.200001 31.52 30.93 27.148964
"2012-11-02" 31.799999 31.809999 31.18 26.916115
"2012-11-05" 30.950001 31.35 30.77 26.950611
"2012-11-06" 31.43 31.91 31.33 27.278332
"2012-11-07" 31.299999 31.35 30.76 26.5539
"2012-11-08" 30.73 30.98 30.41 26.234802
"2012-11-09" 30.4 30.73 30.27 26.174433
"2012-11-12" 30.41 30.549999 30.09 26.131308
"2012-11-13" 30.08 30.5 29.889999 25.889835
"2012-11-14" 30.1 30.15 29.52 25.510372
"2012-11-15" 29.58 30.07 29.559999 25.829464
"2012-11-16" 30.030001 30.129999 29.780001 25.872587
"2012-11-19" 30.25 30.26 29.85 25.993322
"2012-11-20" 30.02 30.200001 29.780001 26.045073
"2012-11-21" 30.190001 30.530001 30.129999 26.217554
"2012-11-23" 30.65 31.059999 30.58 26.666012
"2012-11-26" 30.719999 30.969999 30.58 26.70051
"2012-11-27" 31.200001 31.77 31.16 26.92474
"2012-11-28" 31.15 31.82 30.99 27.424936
"2012-11-29" 31.92 32.139999 31.809999 27.459438
"2012-11-30" 31.85 32.240002 31.75 27.752657
"2012-12-03" 32.369999 32.5 32.209999 27.864777
"2012-12-04" 32.220001 32.470001 32.009998 27.925144
"2012-12-05" 31.950001 32.119999 31.309999 27.597424
"2012-12-06" 31.99 32.110001 31.9 27.623295
"2012-12-07" 32.150002 32.169998 31.77 27.528433
"2012-12-10" 31.92 32.23 31.92 27.657797
"2012-12-11" 32.18 32.5 32.02 27.89065
"2012-12-12" 32.209999 32.380001 31.83 27.699856
"2012-12-13" 31.93 32.009998 31.389999 27.413662
"2012-12-14" 31.540001 32.110001 31.440001 27.717197
"2012-12-17" 32 32.470001 31.799999 28.029408
"2012-12-18" 32.490002 32.950001 32.349998 28.515068
"2012-12-19" 33.860001 34.349998 33.830002 29.56443
"2012-12-20" 34.09 34.25 33.93 29.434343
"2012-12-21" 33.509998 33.919998 33.200001 29.27825
"2012-12-24" 33.459999 33.639999 33.419998 29.148159
"2012-12-26" 33.669998 33.849998 33.34 29.148159
"2012-12-27" 33.540001 33.619999 33 28.853294
"2012-12-28" 33.040001 33.490002 33 28.636484
"2012-12-31" 32.91 33.459999 32.689999 28.896654
"2013-01-02" 34.080002 34.740002 33.93 30.084778
"2013-01-03" 34.630001 34.75 34.139999 29.755224
"2013-01-04" 34.450001 34.75 34.400002 30.015406
"2013-01-07" 34.439999 34.52 34.209999 29.859297
"2013-01-08" 34.150002 34.509998 34.060001 29.867979
"2013-01-09" 34.5 34.799999 34.380001 29.885313
"2013-01-10" 34.560001 34.919998 34.41 30.275574
"2013-01-11" 34.959999 35 34.779999 30.232216
"2013-01-14" 34.830002 35 34.599998 30.318935
"2013-01-15" 34.57 34.880001 34.52 30.093456
"2013-01-16" 34.630001 34.869999 34.560001 30.04142
"2013-01-17" 34.759998 34.810001 34.599998 30.024069
"2013-01-18" 34.59 35.130001 34.41 30.449026
"2013-01-22" 34.950001 34.98 34.529999 30.292925
"2013-01-23" 34.959999 35.200001 34.689999 30.084778
"2013-01-24" 34.880001 35.400002 34.810001 30.30158
"2013-01-25" 35 35.400002 34.880001 30.683178
"2013-01-28" 35.41 35.790001 35.380001 30.821941
"2013-01-29" 35.360001 35.869999 35.07 31.030088
"2013-01-30" 35.759998 35.880001 35.290001 30.683178
"2013-01-31" 35.27 35.689999 35.25 30.795923
"2013-02-01" 35.869999 36.310001 35.810001 31.402988
"2013-02-04" 35.810001 36 35.029999 30.466362
"2013-02-05" 35.209999 35.720001 35.139999 30.769911
"2013-02-06" 35.310001 35.419998 35.009998 30.440348
"2013-02-07" 35.150002 35.189999 34.450001 29.97204
"2013-02-08" 34.759998 34.98 34.5 30.266893
"2013-02-11" 34.98 35.040001 34.549999 30.318935
"2013-02-12" 34.889999 35.25 34.849998 30.449026
"2013-02-13" 35.209999 35.259998 34.880001 30.344954
"2013-02-14" 34.869999 35.07 34.689999 30.266893
"2013-02-15" 34.799999 34.990002 34.650002 30.188852
"2013-02-19" 34.93 35.41 34.82 30.700525
"2013-02-20" 35.5 35.59 35 30.362299
"2013-02-21" 34.950001 34.950001 34.169998 29.729208
"2013-02-22" 34.509998 34.779999 34.130001 30.136812
"2013-02-25" 35.07 35.43 34.27 29.729208
"2013-02-26" 34.279999 34.57 34.080002 29.763897
"2013-02-27" 34.25 34.970001 34.060001 30.076109
"2013-02-28" 34.700001 34.860001 34.220001 29.694525
"2013-03-01" 34.119999 34.830002 34 30.032749
"2013-03-04" 34.529999 35.080002 34.400002 30.396996
"2013-03-05" 35.220001 35.68 35.209999 30.75256
"2013-03-06" 35.5 35.93 35.48 31.099464
"2013-03-07" 35.939999 36.130001 35.759998 31.16884
"2013-03-08" 35.939999 36.09 35.669998 30.969376
"2013-03-11" 35.700001 35.98 35.639999 31.116808
"2013-03-12" 35.849998 35.849998 35.16 30.72654
"2013-03-13" 35.82 35.849998 35.349998 30.856628
"2013-03-14" 35.799999 36.330002 35.619999 31.48105
"2013-03-15" 36.110001 36.43 36.099998 31.515749
"2013-03-18" 36.099998 36.419998 36 31.255568
"2013-03-19" 36.18 36.23 35.41 30.952028
"2013-03-20" 35.98 36.07 35.400002 31.02141
"2013-03-21" 32.779999 32.939999 32.18 28.012062
"2013-03-22" 32.400002 32.5 31.639999 27.734539
"2013-03-25" 32.049999 32.200001 31.16 27.101454
"2013-03-26" 31.41 31.790001 31.41 27.352957
"2013-03-27" 31.41 32.110001 31.290001 27.708525
"2013-03-28" 31.889999 32.389999 31.790001 28.038082
"2013-04-01" 32.360001 32.459999 32.040001 28.107464
"2013-04-02" 32.650002 32.939999 32.529999 28.393648
"2013-04-03" 32.93 32.939999 32.200001 28.098789
"2013-04-04" 32.360001 32.509998 32.23 28.072767
"2013-04-05" 31.77 32.119999 31.67 27.777903
"2013-04-08" 32.07 32.360001 31.9 28.064096
"2013-04-09" 32.5 33.080002 32.459999 28.653824
"2013-04-10" 33.150002 33.950001 33.150002 29.252228
"2013-04-11" 33.619999 33.919998 33.560001 29.156824
"2013-04-12" 33.639999 33.669998 33.02 29.018074
"2013-04-15" 33.389999 33.5 32.799999 28.445683
"2013-04-16" 32.950001 33.490002 32.91 28.983376
"2013-04-17" 33.099998 33.130001 32.450001 28.176844
"2013-04-18" 32.650002 32.799999 31.9 27.855955
"2013-04-19" 31.75 32.459999 31.67 28.072767
"2013-04-22" 32.490002 32.66 32.16 28.202854
"2013-04-23" 32.720001 33 32.369999 28.150827
"2013-04-24" 32.490002 32.830002 32.439999 28.194187
"2013-04-25" 32.560001 32.580002 32.209999 27.986048
"2013-04-26" 32.200001 32.529999 32.169998 28.064096
"2013-04-29" 32.389999 32.5 32.139999 27.96003
"2013-04-30" 32.220001 32.869999 32.220001 28.428339
"2013-05-01" 32.75 33.619999 32.720001 28.757895
"2013-05-02" 33.110001 33.779999 32.98 29.217539
"2013-05-03" 33.93 33.950001 33.279999 28.948685
"2013-05-06" 33.439999 33.509998 33.080002 29.061428
"2013-05-07" 33.529999 33.790001 33.189999 28.84462
"2013-05-08" 33.09 33.57 33.09 29.018074
"2013-05-09" 33.299999 34 33.279999 29.226215
"2013-05-10" 33.830002 34.029999 33.650002 29.503729
"2013-05-13" 33.950001 34 33.650002 29.295588
"2013-05-14" 33.650002 34.25 33.549999 29.200186
"2013-05-15" 33.740002 34.099998 33.709999 29.477711
"2013-05-16" 34.09 34.610001 34.09 29.807259
"2013-05-17" 34.59 35.029999 34.439999 30.379642
"2013-05-20" 34.810001 35.029999 34.560001 30.266893
"2013-05-21" 34.900002 35.32 34.900002 30.440348
"2013-05-22" 35.07 35.150002 33.919998 29.590448
"2013-05-23" 33.950001 34.41 33.860001 29.685848
"2013-05-24" 33.689999 34.139999 33.419998 29.529749
"2013-05-28" 34.669998 34.779999 34.259998 29.946016
"2013-05-29" 34.400002 34.560001 34.119999 29.833284
"2013-05-30" 34.490002 34.790001 34.34 29.781256
"2013-05-31" 34.119999 34.459999 33.75 29.295588
"2013-06-03" 33.849998 34.400002 33.73 29.824606
"2013-06-04" 34.34 34.75 33.959999 29.625135
"2013-06-05" 34.099998 34.610001 34 29.590448
"2013-06-06" 33.98 33.98 33.130001 28.922665
"2013-06-07" 33.59 34.029999 33.32 29.321606
"2013-06-10" 33.98 34.09 33.82 29.529749
"2013-06-11" 33.66 34.150002 33.490002 29.113462
"2013-06-12" 33.830002 33.869999 33.5 29.07011
"2013-06-13" 33.470001 34.32 33.41 29.703197
"2013-06-14" 34.150002 34.32 33.700001 29.286921
"2013-06-17" 34.029999 34.630001 34 29.720541
"2013-06-18" 34.259998 34.59 34.209999 29.833284
"2013-06-19" 34.43 34.59 34.080002 29.56443
"2013-06-20" 33.880001 34.02 33.029999 28.801254
"2013-06-21" 30.709999 30.84 29.98 26.138811
"2013-06-24" 30.120001 30.440001 30.030001 26.164825
"2013-06-25" 30.5 30.530001 29.889999 25.982698
"2013-06-26" 30.190001 30.23 29.860001 26.138811
"2013-06-27" 30.309999 31.139999 30.290001 26.407652
"2013-06-28" 30.280001 30.809999 30.25 26.633146
"2013-07-01" 30.889999 30.98 30.07 26.112795
"2013-07-02" 30.09 30.35 29.950001 26.104116
"2013-07-03" 30.049999 30.799999 30.040001 26.624472
"2013-07-05" 30.99 31.200001 30.540001 27.049419
"2013-07-08" 31.35 31.65 31.25 27.448353
"2013-07-09" 31.5 31.6 31.23 27.335609
"2013-07-10" 31.360001 31.440001 31.049999 27.187614
"2013-07-11" 31.57 32 31.57 27.736073
"2013-07-12" 31.9 32 31.24 27.205027
"2013-07-15" 31.48 32.049999 31.32 27.86665
"2013-07-16" 31.99 32.150002 31.860001 27.857943
"2013-07-17" 32.07 32.439999 32.049999 27.997234
"2013-07-18" 31.959999 32.459999 31.809999 27.86665
"2013-07-19" 32.029999 32.029999 31.51 27.736073
"2013-07-22" 31.790001 31.9 31.700001 27.74478
"2013-07-23" 31.870001 32.189999 31.809999 27.918888
"2013-07-24" 32.380001 32.560001 32.299999 28.197468
"2013-07-25" 32.41 32.41 31.969999 28.180056
"2013-07-26" 32.360001 32.599998 32.16 28.328051
"2013-07-29" 32.389999 32.560001 32.169998 28.27582
