"Index" "Open" "High" "Low" "Price"
"2012-09-17" 80.370003 82.209999 80.25 80.480003
"2012-09-18" 80.449997 82 80.07 81.169998
"2012-09-19" 81.169998 83.980003 81.129997 82.480003
"2012-09-20" 82.120003 84.559998 81.769997 84.080002
"2012-09-21" 84 85.110001 83.779999 83.889999
"2012-09-24" 84 84.470001 83.620003 84.239998
"2012-09-25" 84.160004 85.25 83.970001 84.449997
"2012-09-26" 84.339996 85.32 84.019997 84.239998
"2012-09-27" 84.470001 84.720001 83.769997 84.190002
"2012-09-28" 84.050003 84.25 83.139999 83.620003
"2012-10-01" 83.580002 85.080002 83.25 83.839996
"2012-10-02" 84.129997 85.18 83.440002 83.989998
"2012-10-03" 84.580002 85 83.339996 83.470001
"2012-10-04" 83.760002 86.110001 83.699997 86.010002
"2012-10-05" 86.25 87.580002 85.970001 86.260002
"2012-10-08" 85.709999 86.419998 85.339996 85.639999
"2012-10-09" 85.760002 86.279999 85.139999 85.620003
"2012-10-10" 85.650002 86.129997 84.459999 84.669998
"2012-10-11" 85.370003 85.970001 84.019997 84.339996
"2012-10-12" 84.620003 84.620003 83.019997 83.300003
"2012-10-15" 83.709999 83.910004 82.050003 82.510002
"2012-10-16" 82.220001 82.589996 81.199997 81.620003
"2012-10-17" 81.620003 81.660004 78.910004 80.440002
"2012-10-18" 80 81.089996 78.580002 79.919998
"2012-10-19" 79.760002 80.910004 79.669998 80.580002
"2012-10-22" 78.900002 80.599998 78.699997 80.32
"2012-10-23" 79.489998 83.309998 79.239998 82.639999
"2012-10-24" 83.43 83.510002 80.889999 81.699997
"2012-10-25" 86.410004 88.449997 83.129997 84.459999
"2012-10-26" 84.629997 85 83.809998 84.580002
"2012-10-31" 84.699997 86.519997 84 85.849998
"2012-11-01" 85.949997 91.940002 85 88.050003
"2012-11-02" 88.669998 91.529999 87.370003 88.349998
"2012-11-05" 87.82 89.190002 87.230003 88.019997
"2012-11-06" 88.290001 90.080002 87.760002 89.709999
"2012-11-07" 89.379997 89.800003 88.120003 88.370003
"2012-11-08" 88.5 89.790001 88.5 88.93
"2012-11-09" 88.82 91.860001 88.699997 89.269997
"2012-11-12" 89.269997 89.5 87.940002 88.190002
"2012-11-13" 88.580002 90.43 87.970001 89.610001
"2012-11-14" 89.900002 90.639999 88.339996 88.510002
"2012-11-15" 88.940002 90 87.989998 89.769997
"2012-11-16" 90.260002 90.260002 88.720001 89.970001
"2012-11-19" 90.099998 91.690002 89.970001 91.480003
"2012-11-20" 91.5 92.410004 90.660004 91.370003
"2012-11-21" 90.839996 92.080002 90.480003 91.550003
"2012-11-23" 91.559998 93 91.089996 92.629997
"2012-11-26" 92.330002 93.209999 91.639999 92.459999
"2012-11-27" 92.080002 92.879997 91.720001 92
"2012-11-28" 91.459999 93.139999 90.959999 93.010002
"2012-11-29" 92.110001 93.440002 90.389999 92.849998
"2012-11-30" 93.099998 94.389999 93.099998 94.080002
"2012-12-03" 94.68 94.879997 93.07 93.32
"2012-12-04" 92.699997 93.32 92.050003 92.900002
"2012-12-05" 92.949997 93.019997 90.739998 91.379997
"2012-12-06" 91.269997 91.470001 90.57 90.68
"2012-12-07" 91.400002 91.589996 90.5 90.730003
"2012-12-10" 91.669998 92.449997 90.080002 90.239998
"2012-12-11" 90.57 92.580002 90.550003 91.889999
"2012-12-12" 92.410004 94.860001 92.410004 92.82
"2012-12-13" 92.550003 92.959999 90.599998 90.790001
"2012-12-14" 90.519997 91.599998 89.339996 89.480003
"2012-12-17" 89.57 90.699997 89.400002 90.589996
"2012-12-18" 90.940002 92.559998 90.720001 91.989998
"2012-12-19" 92.089996 92.57 91.150002 91.389999
"2012-12-20" 91.550003 92.150002 91 91.800003
"2012-12-21" 90.980003 91.169998 89.800003 89.989998
"2012-12-24" 89.760002 90.449997 89 90
"2012-12-26" 90.230003 90.370003 88.449997 88.839996
"2012-12-27" 88.970001 89.25 87.32 88.709999
"2012-12-28" 88.480003 88.980003 87.639999 88.099998
"2012-12-31" 87.849998 89.480003 87.760002 89.419998
"2013-01-02" 90.660004 90.739998 88.970001 89.870003
"2013-01-03" 90.099998 91.480003 89.230003 90.209999
"2013-01-04" 90.529999 91.860001 90.220001 91.650002
"2013-01-07" 89.410004 91.300003 88.760002 90.050003
"2013-01-08" 89.620003 90.32 88.32 89.199997
"2013-01-09" 89.410004 90.18 88.18 88.389999
"2013-01-10" 88.470001 89.870003 87.529999 87.739998
"2013-01-11" 88.169998 88.769997 87.059998 88.010002
"2013-01-14" 87.620003 89.330002 87.57 88.550003
"2013-01-15" 87.910004 89.959999 87.559998 89.720001
"2013-01-16" 89.220001 90.230003 87.849998 88.169998
"2013-01-17" 88.110001 89.050003 87.720001 87.790001
"2013-01-18" 87.559998 89.489998 87.510002 88.910004
"2013-01-22" 88.769997 89.720001 88.059998 88.699997
"2013-01-23" 88.519997 90.169998 87.75 89.860001
"2013-01-24" 90.269997 92.120003 90.269997 91.800003
"2013-01-25" 91.690002 92.660004 91.25 92.169998
"2013-01-28" 92.279999 92.959999 91.940002 92.440002
"2013-01-29" 92.120003 92.519997 91.610001 91.919998
"2013-01-30" 92.080002 92.949997 91.629997 91.739998
"2013-01-31" 91.830002 92.800003 91.389999 92.650002
"2013-02-01" 92.860001 93.989998 92.610001 93.389999
"2013-02-04" 93.309998 93.589996 92.209999 92.629997
"2013-02-05" 92.760002 93.720001 92.589996 93.080002
"2013-02-06" 92.730003 93.529999 92.389999 92.589996
"2013-02-07" 100 102.769997 99.099998 100.040001
"2013-02-08" 100.660004 103.660004 100.639999 101.57
"2013-02-11" 101.68 102.870003 101 102.400002
"2013-02-12" 102.050003 102.339996 100.730003 101.559998
"2013-02-13" 101.589996 103.150002 101.290001 102
"2013-02-14" 101.599998 102.239998 101.260002 101.68
"2013-02-15" 101.910004 102.779999 100.419998 101.309998
"2013-02-19" 101.5 102.309998 101.330002 102.160004
"2013-02-20" 102.169998 102.349998 101.169998 101.389999
"2013-02-21" 101.050003 101.93 100.610001 100.769997
"2013-02-22" 101.410004 102.309998 100.709999 102.25
"2013-02-25" 102.5 103.699997 101.169998 101.349998
"2013-02-26" 101.349998 103 100.550003 101.760002
"2013-02-27" 101.739998 102.790001 101.010002 102.25
"2013-02-28" 102.120003 103.120003 101.660004 101.790001
"2013-03-01" 101.68 102.860001 101.129997 102.620003
"2013-03-04" 102.669998 104.260002 102.339996 103.610001
"2013-03-05" 104 104.949997 103.779999 104.57
"2013-03-06" 104.57 104.779999 103.190002 103.440002
"2013-03-07" 103.760002 104.940002 103.139999 104.379997
"2013-03-08" 104.699997 104.889999 103.769997 104.699997
"2013-03-11" 104.379997 104.709999 103.900002 104.300003
"2013-03-12" 104.300003 104.449997 103.32 103.870003
"2013-03-13" 104.220001 104.989998 103.889999 104.300003
"2013-03-14" 104.57 104.57 103.160004 103.5
"2013-03-15" 103.029999 104.339996 102.940002 103.760002
"2013-03-18" 103.279999 105.220001 103.019997 104.360001
"2013-03-19" 104.279999 104.75 102.839996 103.25
"2013-03-20" 103.860001 104 103.099998 103.489998
"2013-03-21" 103.260002 103.800003 101.949997 102.769997
"2013-03-22" 103.099998 103.540001 102.470001 103.260002
"2013-03-25" 103.669998 104.040001 102.550003 103.330002
"2013-03-26" 103.330002 103.900002 102.82 103.589996
"2013-03-27" 102.779999 103.709999 102.230003 102.75
"2013-03-28" 102.580002 103.099998 101.860001 102.440002
"2013-04-01" 103.129997 103.400002 101.599998 102.699997
"2013-04-02" 103.300003 104.900002 102.760002 104.379997
"2013-04-03" 104.279999 104.629997 103.209999 103.480003
"2013-04-04" 103.32 104.209999 103.269997 103.769997
"2013-04-05" 102.879997 103.190002 101.75 103.050003
"2013-04-08" 102.910004 104.160004 102.910004 103.910004
"2013-04-09" 102.379997 103.080002 100.800003 102.059998
"2013-04-10" 101.989998 103.809998 101.540001 103.5
"2013-04-11" 103.790001 105.400002 103.510002 104.010002
"2013-04-12" 104.050003 104.940002 102.540001 103.139999
"2013-04-15" 102.879997 103.139999 99.559998 99.989998
"2013-04-16" 101.019997 101.110001 99.800003 99.989998
"2013-04-17" 99.669998 99.949997 97.769997 98.669998
"2013-04-18" 99 99.800003 98.010002 98.839996
"2013-04-19" 98.559998 99.82 98.370003 99.360001
"2013-04-22" 99.169998 99.75 98.800003 99.480003
