"Index" "Open" "High" "Low" "Price"
"2020-03-19" 40 46 40 43.813148
"2020-03-20" 45.009998 46.009998 45 43.571079
"2020-03-23" 42 42 39.98 38.729855
"2020-03-24" 40 40 39 38.729855
"2020-03-25" 40 44.799999 38 39.707775
"2020-03-26" 45 47.5 44.25 43.571079
"2020-03-27" 45 47.5 44.990002 43.798622
"2020-03-30" 44.25 50 44.25 48.412308
"2020-03-31" 46.5 50 44.779999 48.412308
"2020-04-01" 45.990002 48.5 44 45.217102
"2020-04-02" 45.023998 48.66 43.200001 42.602837
"2020-04-03" 43.75 49.299999 41.799999 45.817413
"2020-04-06" 47 47.849998 44.700001 44.481243
"2020-04-07" 45.150002 46.990002 42.93 42.87394
"2020-04-08" 42.209999 45.200001 41.259998 42.689976
"2020-04-09" 44.049999 50.25 44 47.579628
"2020-04-13" 48.549999 48.669998 45.720001 44.53933
"2020-04-14" 45.91 46.299999 43.970001 44.432823
"2020-04-15" 44.189999 44.849998 42.799999 43.135365
"2020-04-16" 44.080002 46.407001 43.549999 44.171394
"2020-04-17" 47 48.560001 45.919998 44.684563
"2020-04-20" 45 46.98 44.900002 43.9487
"2020-04-21" 44.5 47.200001 44.5 44.442509
"2020-04-22" 47.310001 49.549999 46 45.555984
"2020-04-23" 47.439999 48.040001 46.48 45.962654
"2020-04-24" 48.02 48.5 46.310001 46.330585
"2020-04-27" 48.080002 48.599998 47.610001 46.688835
"2020-04-28" 49.07 50.950001 48.650002 48.276756
"2020-04-29" 50.77 51.73 49.709999 49.525799
"2020-04-30" 50.970001 51.599998 50.5 49.293419
"2020-05-01" 50.330002 50.529999 48.310001 48.131519
"2020-05-04" 48.849998 49.669998 47.509998 47.957241
"2020-05-05" 49.529999 50.639999 47.959999 46.562962
"2020-05-06" 48.610001 49 47.889999 46.775982
"2020-05-07" 49.02 53.290001 48.990002 50.164837
"2020-05-08" 52.119999 54.169998 52.110001 51.268642
"2020-05-11" 52 52.400002 51.060001 50.164837
"2020-05-12" 52.189999 52.290001 49.689999 48.141205
"2020-05-13" 49 50.299999 47.884998 46.679153
"2020-05-14" 47.610001 48.400002 47.23 46.475826
"2020-05-15" 47.32 49.220001 47.200001 47.337559
"2020-05-18" 50.119999 52.34 50.119999 50.474678
"2020-05-19" 51.68 52.928001 51.055 50.648964
"2020-05-20" 52.549999 54.700001 52.474998 51.491337
"2020-05-21" 52.360001 53.549999 51.869999 50.568035
"2020-05-22" 52.459999 52.720001 50.919998 50.257027
"2020-05-26" 53.029999 53.990002 50.700001 49.460064
"2020-05-27" 51.59 52.650002 50.77 50.908195
"2020-05-28" 52.869999 52.950001 50.93 49.528095
"2020-05-29" 50.439999 52.869999 50.18 51.170612
"2020-06-01" 52.450001 54.439999 52.110001 52.560436
"2020-06-02" 54.16 54.75 53.290001 52.628468
"2020-06-03" 55 55.580002 54.549999 53.911373
"2020-06-04" 55.299999 56.66 54.689999 53.843342
"2020-06-05" 57.830002 58.709 56 56.924267
"2020-06-08" 58.68 61.32 58.360001 59.538677
"2020-06-09" 60.400002 61.459999 59.240002 58.945824
"2020-06-10" 60.610001 60.959999 59.02 57.371342
"2020-06-11" 56 58.07 55.705002 54.669456
"2020-06-12" 57.73 58.98 55.099998 54.465355
"2020-06-15" 54.509998 57.799999 53.830002 56.049553
"2020-06-16" 59.5 59.799999 57.375 56.224491
"2020-06-17" 58.119999 58.189999 56.459999 55.145691
