"Index" "Open" "High" "Low" "Price"
"2012-09-17" 87.806328 88.065002 86.158463 61.145794
"2012-09-18" 86.283012 86.512947 85.219566 60.595829
"2012-09-19" 85.114174 85.372856 83.686668 59.387344
"2012-09-20" 83.121407 84.165695 82.536987 59.475574
"2012-09-21" 84.54892 84.64473 83.265121 59.333008
"2012-09-24" 82.747765 83.619598 82.39328 58.939228
"2012-09-25" 83.619598 83.753731 81.569351 57.93438
"2012-09-26" 81.435219 82.019638 81.023254 57.717133
"2012-09-27" 82.11544 82.728607 80.975349 58.565834
"2012-09-28" 82.15377 82.968117 81.713058 58.430023
"2012-10-01" 83.006439 83.724991 82.469925 58.647282
"2012-10-02" 82.76693 83.111832 80.975349 57.812183
"2012-10-03" 81.665154 81.703476 79.710709 56.814129
"2012-10-04" 80.76458 81.933411 80.323868 57.975132
"2012-10-05" 82.39328 82.498672 80.898705 57.717133
"2012-10-08" 80.841225 81.234032 80.505898 57.167171
"2012-10-09" 80.869965 81.387321 79.844841 56.630825
"2012-10-10" 79.710709 79.950226 78.5802 55.822857
"2012-10-11" 79.653229 80.275963 79.155037 56.094471
"2012-10-12" 79.04007 79.749031 78.369423 55.625973
"2012-10-15" 78.503555 78.723907 77.229332 55.469814
"2012-10-16" 78.867615 80.065193 78.5802 56.46785
"2012-10-17" 80.199318 81.224449 79.921486 57.438763
"2012-10-18" 80.927444 82.469925 80.774155 58.063366
"2012-10-19" 82.019638 82.029221 80.275963 57.269035
"2012-10-22" 80.48674 80.64003 78.858032 56.223434
"2012-10-23" 78.273621 78.599358 77.267654 55.184662
"2012-10-24" 78.149071 78.570618 76.951492 54.777294
"2012-10-25" 79.863998 80.381355 76.443718 56.026554
"2012-10-26" 78.072426 79.164612 76.807785 54.614353
"2012-10-31" 78.235298 78.235298 74.805435 53.609501
"2012-11-01" 75.974274 76.88443 75.447334 53.677399
"2012-11-02" 76.386238 77.018555 74.652145 53.181778
"2012-11-05" 74.862923 75.207825 74.412628 52.842281
"2012-11-06" 75.016212 76.386238 74.585083 54.030483
"2012-11-07" 74.987465 75.28447 73.646179 52.584293
"2012-11-08" 74.556343 74.901245 73.167152 51.878204
"2012-11-09" 73.071342 74.412628 72.956375 52.041153
"2012-11-12" 73.665344 73.933601 73.100082 51.959663
"2012-11-13" 72.745605 72.918053 71.643829 50.825821
"2012-11-14" 71.940834 72.094124 70.609123 50.221569
"2012-11-15" 71.222282 71.806702 70.398354 50.18763
"2012-11-16" 70.781578 70.810318 69.392387 50.11293
"2012-11-19" 71.739639 72.515671 71.538445 51.233196
"2012-11-20" 71.921669 72.199509 71.212708 50.832615
"2012-11-21" 71.720474 72.199509 71.145638 50.995575
"2012-11-23" 72.745605 72.985123 72.218674 51.715252
"2012-11-26" 72.285736 72.764763 71.500122 51.083824
"2012-11-27" 71.806702 72.668961 71.136063 51.246769
"2012-11-28" 71.672577 73.090508 71.55761 51.735615
"2012-11-29" 73.368347 73.770729 72.745605 51.77636
"2012-11-30" 73.071342 73.080925 71.768379 51.063457
"2012-12-03" 72.611473 72.736023 70.321709 49.956783
"2012-12-04" 70.254646 70.704933 69.641487 50.031464
"2012-12-05" 70.455833 71.854607 70.178001 50.574623
"2012-12-06" 71.030678 71.43306 70.340866 50.964451
"2012-12-07" 71.845024 72.381538 71.643829 51.54575
"2012-12-10" 72.161186 72.381538 71.730057 51.532085
"2012-12-11" 72.716866 73.291702 72.448608 51.983452
"2012-12-12" 73.109665 73.684502 72.611473 52.263859
"2012-12-13" 73.272537 73.31086 71.883347 51.586788
"2012-12-14" 72.074959 73.119247 72.055801 52.092884
"2012-12-17" 73.18631 73.579117 72.870155 52.332249
"2012-12-18" 73.454567 75.332367 73.272537 53.665852
"2012-12-19" 75.495239 75.734756 74.939568 53.508553
"2012-12-20" 75.15992 75.801819 74.901245 54.042011
"2012-12-21" 74.585083 75.102432 74.173119 53.44017
"2012-12-24" 74.5755 74.929985 74.096474 53.01614
"2012-12-26" 74.67131 74.75753 73.473732 52.5853
"2012-12-27" 73.971924 73.971924 72.85099 52.619492
"2012-12-28" 73.12883 73.377922 72.142029 51.552605
"2012-12-31" 72.017479 73.464149 71.682152 52.39381
"2013-01-02" 75.044952 75.207825 74.038986 53.453861
"2013-01-03" 74.747955 75.993431 74.585083 53.665852
