"Index" "Open" "High" "Low" "Price"
"2012-09-17" 42.204006 42.632057 42.194901 25.647022
"2012-09-18" 42.040073 42.040073 41.174862 25.039017
"2012-09-19" 41.411659 41.420765 41.102005 24.967157
"2012-09-20" 40.892532 41.238617 40.774136 24.911882
"2012-09-21" 41.183971 41.238617 40.919853 24.834503
"2012-09-24" 40.947178 41.174862 40.810566 24.840027
"2012-09-25" 41.047359 41.129326 40.264118 24.442059
"2012-09-26" 40.35519 40.910748 40.31876 24.502861
"2012-09-27" 40.455372 40.801456 40.409836 24.585775
"2012-09-28" 40.418945 40.71949 40.182148 24.585775
"2012-10-01" 40.701275 40.765026 40.009106 24.513914
"2012-10-02" 40.564663 40.919853 40.528233 24.817924
"2012-10-03" 40.983608 41.520947 40.956284 25.04454
"2012-10-04" 41.393444 41.493626 41.07468 25.016907
"2012-10-05" 41.420765 41.566486 41.07468 25.155098
"2012-10-08" 41.366119 41.530056 41.12022 25.110868
"2012-10-09" 41.40255 41.584698 41.302368 25.110868
"2012-10-10" 41.256832 41.630238 41.256832 25.149563
"2012-10-11" 41.648453 41.648453 41.165756 25.02243
"2012-10-12" 41.275047 41.511841 41.111111 24.972691
"2012-10-15" 41.147541 41.493626 40.910748 25.160616
"2012-10-16" 41.621128 41.857922 41.40255 25.381714
"2012-10-17" 40.482697 40.856102 40.382515 24.701839
"2012-10-18" 40.828781 41.429871 40.765026 25.110868
"2012-10-19" 41.320583 41.548271 41.056465 24.917412
"2012-10-22" 41.138435 41.138435 40.646629 24.823452
"2012-10-23" 40.573769 40.710384 40.35519 24.646572
"2012-10-24" 40.75592 40.983608 40.610199 24.762646
"2012-10-25" 41.010929 41.193077 40.136612 24.480751
"2012-10-26" 40.327869 40.455372 39.772312 24.331512
"2012-10-31" 40.373405 40.737705 40.136612 24.513914
"2012-11-01" 40.273224 40.273224 39.444443 24.273523
"2012-11-02" 39.854282 40.191257 39.699455 24.53628
"2012-11-05" 39.808743 39.918034 39.480873 24.312658
"2012-11-06" 39.817852 40.154827 39.781422 24.58659
"2012-11-07" 39.754097 40.646629 39.754097 24.782263
"2012-11-08" 40.31876 40.327869 40.027321 24.581005
"2012-11-09" 40.027321 40.455372 39.790527 24.681623
"2012-11-12" 40.273224 40.519127 40.063751 24.799026
"2012-11-13" 40.218578 40.956284 40.173042 25.01705
"2012-11-14" 40.75592 40.819672 39.845173 24.519505
"2012-11-15" 39.990894 40.227688 39.663025 24.474777
"2012-11-16" 40.009106 40.737705 39.927139 24.910826
"2012-11-19" 40.974499 41.320583 40.874317 25.318926
"2012-11-20" 41.347904 41.566486 41.138435 25.509008
"2012-11-21" 41.566486 41.648453 41.08379 25.363653
"2012-11-23" 41.457195 41.639343 41.284153 25.542545
"2012-11-26" 41.466301 42.030964 41.311474 25.598457
"2012-11-27" 41.411659 41.466301 40.619308 25.212717
"2012-11-28" 41.03825 41.03825 40.582878 25.140045
"2012-11-29" 41.07468 41.092896 40.418945 25.140045
"2012-11-30" 41.08379 41.357014 40.901638 25.184759
"2012-12-03" 41.193077 41.40255 40.828781 25.140045
"2012-12-04" 41.00182 41.102005 40.71949 25.156811
"2012-12-05" 40.983608 41.065575 40.673954 25.056187
"2012-12-06" 40.974499 41.211292 40.883423 25.179178
"2012-12-07" 41.08379 41.347904 40.974499 25.363653
"2012-12-10" 41.293259 41.511841 41.165756 25.363653
"2012-12-11" 41.466301 41.557377 41.229507 25.380426
"2012-12-12" 41.384335 41.384335 40.956284 25.274212
"2012-12-13" 41.147541 41.311474 40.31876 24.87171
"2012-12-14" 40.655739 40.664845 40.154827 24.703987
"2012-12-17" 40.601093 40.601093 39.981785 24.676041
"2012-12-18" 40.282333 40.728596 40.182148 24.99469
"2012-12-19" 40.819672 40.956284 40.537342 24.882877
"2012-12-20" 40.610199 41.020035 40.573769 25.156811
"2012-12-21" 40.974499 41.020035 40.610199 25.033815
"2012-12-24" 40.664845 41.247723 40.601093 25.22389
"2012-12-26" 41.165756 41.220402 40.774136 25.123264
"2012-12-27" 40.910748 41.174862 40.610199 25.235077
"2012-12-28" 40.856102 41.165756 40.746811 25.067364
"2012-12-31" 40.710384 41.147541 40.619308 25.246256
"2013-01-02" 41.666668 41.748634 41.211292 25.458691
"2013-01-03" 41.493626 41.602913 41.183971 25.492237
"2013-01-04" 41.530056 41.730419 41.393444 25.592857
"2013-01-07" 41.530056 41.812386 41.40255 25.436333
"2013-01-08" 41.384335 41.675774 41.357014 25.536955
"2013-01-09" 41.748634 41.748634 41.502731 25.481045
"2013-01-10" 41.657558 41.958107 41.520947 25.687906
"2013-01-11" 41.79417 41.894352 41.539162 25.715851
"2013-01-14" 41.857922 42.003643 41.830601 25.782934
"2013-01-15" 41.876137 42.085609 41.630238 25.805294
"2013-01-16" 41.848816 41.985428 41.666668 25.699081
"2013-01-17" 41.985428 42.249546 41.867031 25.85561
"2013-01-18" 42.185791 42.349728 41.894352 25.984188
"2013-01-22" 42.213116 42.568306 42.167576 26.051275
"2013-01-23" 42.285973 42.404373 42.12204 25.973005
"2013-01-24" 42.404373 42.431694 42.213116 26.000959
"2013-01-25" 42.504555 42.814209 42.331512 26.274883
"2013-01-28" 42.896175 42.914391 42.504555 26.230169
"2013-01-29" 42.641167 43.123863 42.641167 26.437004
"2013-01-30" 42.978142 43.041893 42.622952 26.286072
"2013-01-31" 42.331512 42.358833 42.030964 26.226713
"2013-02-01" 42.431694 42.686703 42.258652 26.396313
"2013-02-04" 42.258652 42.668488 42.240437 26.401978
"2013-02-05" 42.595627 42.723133 42.258652 26.29455
"2013-02-06" 42.085609 42.395264 41.985428 26.317156
"2013-02-07" 42.449909 42.595627 42.131149 26.271935
"2013-02-08" 42.295082 42.568306 42.295082 26.401978
"2013-02-11" 42.613842 42.832424 42.568306 26.520689
"2013-02-12" 42.777779 42.87796 42.222221 26.616802
"2013-02-13" 43.060108 43.19672 42.914391 26.718567
"2013-02-14" 42.887066 43.078323 42.823315 26.656376
"2013-02-15" 43.051003 43.570129 42.923496 27.023863
"2013-02-19" 43.615665 43.943535 43.451729 27.278265
"2013-02-20" 43.970856 44.289616 43.688526 27.125626
"2013-02-21" 43.706741 43.943535 43.497269 27.221729
"2013-02-22" 43.888889 44.289616 43.888889 27.481792
"2013-02-25" 44.435337 44.480873 43.387978 26.933397
"2013-02-26" 43.551914 44.007286 43.406193 27.283916
"2013-02-27" 43.897995 44.571949 43.779598 27.566591
"2013-02-28" 44.307831 44.790527 44.289616 27.634436
"2013-03-01" 44.462658 44.763206 44.225864 27.645744
"2013-03-04" 44.553734 45.291439 44.526413 27.962337
"2013-03-05" 45.282333 45.300545 44.936249 28.058453
"2013-03-06" 45.264118 45.346085 44.899818 27.962337
"2013-03-07" 45.091076 45.227688 44.663025 27.764463
"2013-03-08" 44.799637 44.808743 44.344261 27.657049
"2013-03-11" 44.581055 44.64481 44.408016 27.640091
"2013-03-12" 44.890709 44.96357 44.398907 27.724899
"2013-03-13" 44.672131 44.754097 44.344261 27.566591
"2013-03-14" 44.417122 44.945354 44.380692 27.645744
"2013-03-15" 44.28051 44.499088 44.171219 27.521368
"2013-03-18" 44.162113 44.362476 43.952641 27.317837
"2013-03-19" 44.007286 44.180328 43.843353 27.272615
"2013-03-20" 44.143898 44.326046 44.089252 27.413956
"2013-03-21" 44.143898 44.417122 44.016392 27.396986
"2013-03-22" 44.207649 44.6357 44.207649 27.651405
"2013-03-25" 44.781422 44.826958 44.489983 27.679665
"2013-03-26" 44.799637 45.118397 44.626595 27.911453
"2013-03-27" 44.726776 45.063751 44.726776 27.934072
"2013-03-28" 45.100182 45.455372 44.936249 28.188475
"2013-04-01" 45.437157 45.774136 45.200363 28.414625
"2013-04-02" 46.020035 46.156647 45.865208 28.53335
"2013-04-03" 45.992714 46.056465 45.546448 28.431581
"2013-04-04" 45.938068 46.411659 45.883423 28.776449
"2013-04-05" 45.828781 46.602913 45.810566 28.917784
"2013-04-08" 46.584698 46.985428 46.40255 29.160881
"2013-04-09" 47.012749 47.249546 46.748634 29.228733
"2013-04-10" 47.067394 47.413479 46.848816 29.358763
"2013-04-11" 47.386158 47.4408 46.72131 29.09305
"2013-04-12" 46.775955 47.377048 46.621128 29.409634
"2013-04-15" 47.131149 47.304188 46.593807 28.946054
"2013-04-16" 46.657558 47.795994 46.293259 29.669714
"2013-04-17" 47.595627 47.595627 46.921677 29.370064
"2013-04-18" 47.267761 47.331512 46.602913 29.143934
"2013-04-19" 47.067394 48.032787 46.958107 29.79973
"2013-04-22" 48.041893 48.105648 47.613842 29.805391
"2013-04-23" 48.187614 48.460838 47.941711 29.991962
"2013-04-24" 48.397087 48.542805 48.078323 30.133295
"2013-04-25" 48.52459 48.542805 47.978142 29.912813
"2013-04-26" 48.27869 48.433514 47.978142 29.833666
"2013-04-29" 48.178505 48.406193 48.078323 30.003263
"2013-04-30" 48.287796 49.143898 48.178505 30.133295
"2013-05-01" 48.497269 48.870674 48.378872 30.138954
"2013-05-02" 48.041893 48.488159 47.896175 30.295975
"2013-05-03" 48.615665 48.861565 48.451729 30.530073
"2013-05-06" 48.661201 48.870674 48.588341 30.621426
"2013-05-07" 48.870674 49.225864 48.724953 30.798428
"2013-05-08" 48.861565 48.91621 47.741348 29.993351
"2013-05-09" 47.905281 47.969036 47.076504 29.553698
"2013-05-10" 47.295082 47.459015 47.021858 29.667894
"2013-05-13" 47.349728 47.468124 47.167576 29.759253
"2013-05-14" 47.586521 48.715847 47.5592 30.524361
"2013-05-15" 48.761383 49.499088 48.397087 31.032518
"2013-05-16" 49.344261 49.68124 49.025501 30.918324
"2013-05-17" 49.28051 49.6357 49.207649 31.04966
"2013-05-20" 49.535519 49.918034 49.462658 31.238081
"2013-05-21" 49.936249 50.40073 49.899818 31.56354
"2013-05-22" 50.3643 51.056465 49.061932 30.935457
"2013-05-23" 49.025501 49.043716 47.103825 29.62221
"2013-05-24" 46.939892 46.994537 45.938068 29.022692
"2013-05-28" 46.83971 46.894352 44.808743 28.297546
"2013-05-29" 44.826958 44.836067 43.506374 27.332607
"2013-05-30" 43.907104 44.234974 43.460838 27.344019
"2013-05-31" 43.488159 44.089252 42.996357 27.052826
"2013-06-03" 43.096539 43.852459 42.577412 27.423954
"2013-06-04" 43.715847 43.92532 42.795994 26.841568
"2013-06-05" 42.668488 43.023678 42.313297 26.601751
"2013-06-06" 42.185791 43.506374 42.185791 27.258379
"2013-06-07" 43.506374 43.715847 42.659382 27.155598
"2013-06-10" 43.387978 43.460838 42.331512 26.630312
"2013-06-11" 42.140255 42.777779 41.703098 26.19636
"2013-06-12" 42.140255 42.304188 41.238617 25.899446
"2013-06-13" 41.311474 42.021858 41.165756 26.259165
"2013-06-14" 41.894352 42.504555 41.666668 26.236332
"2013-06-17" 42.076504 42.204006 41.429871 26.133551
"2013-06-18" 41.712204 42.131149 41.448086 26.253452
"2013-06-19" 41.75774 41.985428 40.173042 25.214289
"2013-06-20" 39.908924 40.03643 37.832424 23.918175
"2013-06-21" 38.479053 39.790527 37.868851 24.66044
"2013-06-24" 38.743168 39.608379 37.795994 24.203665
"2013-06-25" 39.034607 40.245903 38.797813 25.082952
"2013-06-26" 40.428051 41.202187 40.418945 25.808098
"2013-06-27" 41.357014 41.648453 41.12022 26.082163
"2013-06-28" 41.530056 41.748634 41.12022 25.945131
"2013-07-01" 41.739525 41.785065 40.819672 25.665352
"2013-07-02" 41.010929 42.149361 40.910748 26.264883
"2013-07-03" 41.584698 41.639343 40.510017 25.65394
"2013-07-05" 40.992714 41.202187 39.207649 25.379866
"2013-07-08" 40.983608 41.156647 40.446266 25.442675
"2013-07-09" 40.810566 41.156647 40.637524 25.739578
"2013-07-10" 40.956284 41.147541 40.528233 25.693905
"2013-07-11" 41.548271 42.604736 41.548271 26.57892
"2013-07-12" 42.276867 42.495445 41.885246 26.481855
"2013-07-15" 42.377048 42.48634 42.094719 26.62459
"2013-07-16" 42.495445 42.5592 42.049179 26.441881
"2013-07-17" 42.377048 43.123863 42.340618 26.995726
"2013-07-18" 43.023678 43.214935 42.377048 26.744505
"2013-07-19" 42.723133 42.868851 42.204006 26.544661
"2013-07-22" 42.295082 42.48634 42.176685 26.584631
"2013-07-23" 42.531876 42.604736 42.112934 26.419043
"2013-07-24" 42.112934 42.176685 40.765026 25.671068
"2013-07-25" 40.865208 41.165756 40.68306 25.790964
"2013-07-26" 41.138435 41.293259 40.792351 25.882328
"2013-07-29" 41.256832 41.466301 40.883423 25.733879
"2013-07-30" 40.874317 41.994537 40.573769 25.505486
"2013-07-31" 40.901638 41.07468 39.426231 25.048706
"2013-08-01" 39.826958 39.826958 38.27869 24.317673
"2013-08-02" 38.387978 39.162113 38.342442 24.739531
"2013-08-05" 38.907104 39.262295 38.834244 24.831997
"2013-08-06" 38.989071 39.253189 38.56102 24.46792
"2013-08-07" 38.497269 38.52459 38.078323 24.300333
"2013-08-08" 38.460838 38.542805 38.051003 24.311892
"2013-08-09" 38.251366 38.934425 38.16029 24.491035
"2013-08-12" 38.59745 38.615665 38.169399 24.392796
"2013-08-13" 38.351547 38.351547 37.340618 23.768675
"2013-08-14" 37.431694 37.622952 36.994537 23.520176
"2013-08-15" 36.75774 36.876137 36.284153 23.242788
"2013-08-16" 36.511841 36.511841 35.710384 22.76314
"2013-08-19" 35.746811 36.220402 35.455372 22.768915
"2013-08-20" 36.03825 36.785065 35.992714 23.104101
"2013-08-21" 36.302368 37.586521 35.783241 23.375706
"2013-08-22" 36.912567 36.930782 36.329689 23.283243
"2013-08-23" 36.639343 37.367943 36.548271 23.66465
"2013-08-26" 37.340618 37.404373 36.812386 23.427721
"2013-08-27" 36.693989 37.404373 36.566486 23.647318
"2013-08-28" 37.213116 37.622952 37.012749 23.809124
"2013-08-29" 37.4408 37.4408 36.921677 23.566402
"2013-08-30" 37.213116 37.386158 36.967213 23.537518
"2013-09-03" 37.422588 37.449909 36.40255 23.398819
"2013-09-04" 36.79417 37.021858 36.602913 23.404598
"2013-09-05" 36.821495 36.930782 36.147541 22.948067
"2013-09-06" 36.83971 37.84153 36.575592 23.629982
"2013-09-09" 37.340618 37.941711 37.058289 24.074955
"2013-09-10" 38.114754 38.132969 37.185791 23.693548
"2013-09-11" 37.340618 37.823315 37.295082 23.953596
"2013-09-12" 37.814209 38.16029 37.51366 23.82646
"2013-09-13" 37.540985 37.905281 37.51366 23.942043
"2013-09-16" 38.679417 39.526413 38.287796 24.398569
"2013-09-17" 38.451729 38.761383 37.868851 24.132742
"2013-09-18" 38.087433 40.063751 37.52277 25.398323
"2013-09-19" 40.118397 40.537342 39.489983 25.06315
"2013-09-20" 39.417122 39.480873 38.324226 24.323452
"2013-09-23" 38.187614 38.542805 37.859745 24.063393
"2013-09-24" 37.969036 38.051003 37.659382 23.924702
"2013-09-25" 37.695812 38.069218 37.595627 24.080732
"2013-09-26" 37.950821 38.060108 37.714027 24.150076
"2013-09-27" 37.795994 38.069218 37.495445 24.011387
"2013-09-30" 37.595627 38.096539 37.131149 23.66465
"2013-10-01" 37.249546 38.351547 37.176685 24.219429
"2013-10-02" 38.187614 38.23315 37.504555 24.138523
"2013-10-03" 37.87796 37.914391 35.846996 23.011631
"2013-10-04" 36.147541 36.366119 35.136612 22.566666
"2013-10-07" 35.391621 36.530056 35.300545 23.034746
"2013-10-08" 36.284153 36.994537 36.284153 23.208115
"2013-10-09" 36.575592 37.021858 36.575592 23.237011
"2013-10-10" 36.885246 37.267761 36.75774 23.618423
"2013-10-11" 37.185791 37.84153 37.049179 24.005604
"2013-10-14" 37.595627 37.905281 37.331512 23.953596
"2013-10-15" 37.468124 37.868851 37.276867 23.803347
"2013-10-16" 37.714027 38.469944 37.668488 24.311892
"2013-10-17" 38.287796 39.125683 38.214935 24.756865
"2013-10-18" 39.207649 39.31694 38.542805 24.60084
"2013-10-21" 38.661201 38.743168 38.069218 24.311892
"2013-10-22" 38.715847 38.979965 38.406193 24.571936
"2013-10-23" 38.652096 38.834244 38.415302 24.606611
"2013-10-24" 38.861565 38.888889 38.570129 24.496822
"2013-10-25" 38.724953 39.28051 38.570129 24.878222
"2013-10-28" 39.344261 39.426231 38.606556 24.762648
"2013-10-29" 39.162113 39.417122 38.16029 24.358118
"2013-10-30" 38.451729 38.715847 38.096539 24.450584
"2013-10-31" 38.406193 38.406193 37.540985 24.283819
"2013-11-01" 37.795994 38.251366 37.659382 24.406702
"2013-11-04" 38.096539 38.251366 37.622952 24.506174
"2013-11-05" 37.905281 38.078323 37.040073 23.868362
"2013-11-06" 37.12204 37.641167 37.12204 23.967834
"2013-11-07" 37.413479 37.504555 36.812386 23.669407
"2013-11-08" 36.621128 36.666668 35.218578 23.189577
"2013-11-11" 36.12022 36.493626 35.919853 23.101807
"2013-11-12" 35.947178 36.020035 35.646629 22.990631
"2013-11-13" 35.655739 35.965393 35.619308 23.084259
"2013-11-14" 36.056465 36.520947 36.029144 23.160332
"2013-11-15" 35.992714 36.448086 35.928963 23.294909
"2013-11-18" 36.247723 36.47541 36.129326 23.236393
"2013-11-19" 35.819672 35.892532 35.327869 22.785826
"2013-11-20" 36.12022 36.202187 35.163933 22.721462
"2013-11-21" 35.3643 35.664845 35.154827 22.77412
"2013-11-22" 35.537342 35.546448 34.663025 22.39378
"2013-11-25" 34.936249 34.972679 34.289616 22.060244
"2013-11-26" 34.335155 34.335155 33.752277 21.685741
"2013-11-27" 33.770493 34.107468 33.606556 21.867138
"2013-11-29" 34.061932 34.134792 33.460838 21.516045
"2013-12-02" 33.652096 33.652096 32.978142 21.264431
"2013-12-03" 32.950821 33.142078 32.604736 21.100584
"2013-12-04" 32.52277 33.415302 32.48634 21.352205
"2013-12-05" 33.014572 33.415302 32.868851 21.352205
"2013-12-06" 33.469944 33.542805 33.096539 21.399015
"2013-12-09" 33.296902 33.615665 32.814209 21.574558
"2013-12-10" 33.56102 33.91621 33.497269 21.568716
"2013-12-11" 33.652096 33.652096 32.613842 20.971851
"2013-12-12" 32.641167 32.695812 32.331512 20.866528
"2013-12-13" 32.550091 33.032787 32.47723 20.930895
"2013-12-16" 32.577412 33.59745 32.51366 21.100584
"2013-12-17" 32.805099 33.096539 32.641167 21.252728
"2013-12-18" 33.20583 33.588341 32.5592 21.557005
"2013-12-19" 33.451729 33.451729 32.422588 20.94845
"2013-12-20" 32.632057 32.941711 32.449909 21.112293
"2013-12-23" 33.014572 33.20583 32.905281 21.194212
"2013-12-24" 32.969036 33.23315 32.914391 21.276133
"2013-12-26" 33.214935 33.397087 33.105648 21.34635
"2013-12-27" 33.19672 33.324226 33.032787 21.358055
"2013-12-30" 33.260475 33.397087 33.151184 21.416567
"2013-12-31" 33.306011 33.360657 32.987251 21.252728
"2014-01-02" 33.087433 33.178505 32.786884 21.18836
"2014-01-03" 32.932606 33.142078 32.741348 21.170807
"2014-01-06" 32.950821 34.016392 32.932606 21.53945
"2014-01-07" 33.52459 34.134792 33.296902 21.9081
"2014-01-08" 34.143898 34.189434 33.652096 21.861282
"2014-01-09" 34.380692 34.444443 33.816029 21.890545
"2014-01-10" 34.417122 35.564663 34.398907 22.744864
"2014-01-13" 35.291439 35.482697 34.626595 22.300154
"2014-01-14" 34.817852 34.872494 34.562843 22.229933
"2014-01-15" 34.608379 34.981785 34.59927 22.259188
"2014-01-16" 34.581055 34.972679 34.581055 22.469852
"2014-01-17" 35.027321 35.081966 34.508198 22.259188
"2014-01-21" 34.881603 35.118397 34.64481 22.463989
"2014-01-22" 35.054646 35.236794 34.845173 22.493252
"2014-01-23" 34.927139 35.118397 34.836067 22.545918
"2014-01-24" 35.081966 35.236794 34.845173 22.586866
"2014-01-27" 35.154827 35.391621 34.981785 22.475693
"2014-01-28" 35.100182 35.655739 35.100182 22.891153
"2014-01-29" 35.409836 35.628414 35.209473 22.721462
"2014-01-30" 35.528233 35.71949 35.382515 22.756569
"2014-01-31" 35.091076 35.828781 35.063751 22.908705
"2014-02-03" 35.746811 35.801456 35.31876 22.721462
"2014-02-04" 35.382515 35.564663 35.081966 22.832642
"2014-02-05" 35.446266 35.637524 34.954464 22.586866
"2014-02-06" 34.64481 35.118397 34.617485 22.637325
"2014-02-07" 34.899818 35.054646 34.626595 22.803514
"2014-02-10" 35.03643 35.446266 34.772312 23.04093
"2014-02-11" 34.653915 35.063751 33.96175 22.435526
"2014-02-12" 34.453552 34.653915 34.043716 22.316816
"2014-02-13" 34.153004 34.59927 34.125683 22.483004
"2014-02-14" 34.426231 34.562843 34.225864 22.370235
"2014-02-18" 34.380692 34.499088 33.907104 22.47707
"2014-02-19" 34.426231 35.282333 34.389801 22.631388
"2014-02-20" 34.772312 35.100182 34.271404 22.459265
"2014-02-21" 34.125683 34.171219 33.706741 22.025984
"2014-02-24" 33.870674 34.68124 33.797813 22.447393
"2014-02-25" 34.471767 34.517303 34.016392 22.221846
