"Index" "Open" "High" "Low" "Price"
"2012-09-17" 9.20416 9.357902 9.17929 9.348858
"2012-09-18" 9.35338 9.364685 9.271987 9.326249
"2012-09-19" 9.366946 9.470947 9.183812 9.430251
"2012-09-20" 9.37825 9.486774 9.287814 9.450599
"2012-09-21" 9.495817 9.561384 9.418946 9.475469
"2012-09-24" 9.448338 9.52747 9.407642 9.498078
"2012-09-25" 9.484513 9.590775 9.468686 9.500339
"2012-09-26" 9.495817 9.645037 9.464165 9.645037
"2012-09-27" 9.715125 9.721908 9.590775 9.681212
"2012-09-28" 9.656342 9.758083 9.554601 9.749039
"2012-10-01" 9.733213 9.846258 9.706082 9.839475
"2012-10-02" 9.739995 9.864345 9.706082 9.755822
"2012-10-03" 9.744517 9.798779 9.678951 9.708343
"2012-10-04" 9.737735 9.737735 9.60208 9.638255
"2012-10-05" 9.703821 9.773909 9.608863 9.669907
"2012-10-08" 9.606602 9.70156 9.556862 9.611124
"2012-10-09" 9.624689 9.658603 9.450599 9.525209
"2012-10-10" 9.495817 9.574949 9.412164 9.425729
"2012-10-11" 9.468686 9.493556 9.305901 9.314945
"2012-10-12" 9.366946 9.394076 9.186073 9.22903
"2012-10-15" 9.206421 9.301379 9.143116 9.256161
"2012-10-16" 9.269726 9.687995 9.269726 9.391816
"2012-10-17" 9.360163 9.423468 9.319466 9.40312
"2012-10-18" 9.697038 9.805562 9.518426 9.699299
"2012-10-19" 9.699299 9.699299 9.464165 9.491296
"2012-10-22" 9.468686 9.531992 9.394076 9.457382
"2012-10-23" 9.398598 9.412164 9.210943 9.285553
"2012-10-24" 9.213204 9.344336 9.109202 9.131811
"2012-10-25" 9.208682 9.271987 9.125028 9.145376
"2012-10-26" 9.188334 9.206421 8.962243 9.050418
"2012-10-31" 9.041375 9.15442 8.95546 9.140855
"2012-11-01" 9.111463 9.201899 9.068506 9.111463
"2012-11-02" 9.113724 9.17929 8.932851 9.009722
"2012-11-05" 8.987113 9.111463 8.903459 9.100158
"2012-11-06" 9.15442 9.17929 8.95546 9.043636
"2012-11-07" 8.803979 9.048157 8.666064 8.923807
"2012-11-08" 8.948677 9.025548 8.724847 8.73163
"2012-11-09" 8.73163 8.853719 8.679629 8.733891
"2012-11-12" 8.767805 8.783631 8.584671 8.63215
"2012-11-13" 8.584671 8.704499 8.564323 8.625367
"2012-11-14" 8.650237 8.668325 8.369885 8.419625
"2012-11-15" 8.40832 8.534931 8.365363 8.503278
"2012-11-16" 11.150803 11.41759 10.809405 10.904364
"2012-11-19" 10.951843 11.064888 10.680534 10.705404
"2012-11-20" 10.637576 10.775492 10.282614 10.44766
"2012-11-21" 10.601402 10.782274 10.52227 10.581054
"2012-11-23" 10.624011 10.639837 10.506444 10.628533
"2012-11-26" 10.626272 10.660185 10.42279 10.551662
"2012-11-27" 10.42279 10.929234 10.42279 10.786796
"2012-11-28" 10.687316 11.331675 10.687316 11.327154
"2012-11-29" 11.116889 11.618811 11.107845 11.553244
"2012-11-30" 11.431155 11.546462 11.397242 11.489939
"2012-12-03" 11.578114 11.752204 11.415329 11.521592
"2012-12-04" 11.505765 11.528374 11.324893 11.494461
"2012-12-05" 11.489939 11.519331 11.101063 11.123672
"2012-12-06" 11.134976 11.34298 11.130454 11.223152
"2012-12-07" 11.180194 11.449243 11.139498 11.184716
"2012-12-10" 11.272892 11.324893 11.139498 11.171151
"2012-12-11" 11.248022 11.248022 10.938277 10.999322
"2012-12-12" 11.110106 11.114628 10.922451 10.967669
"2012-12-13" 10.940538 10.988017 10.827493 10.872711
"2012-12-14" 10.852363 10.978974 10.741578 10.798101
"2012-12-17" 10.852363 10.972191 10.773231 10.972191
"2012-12-18" 10.965408 11.227674 10.947321 11.189238
"2012-12-19" 11.087497 11.245761 11.085236 11.175673
"2012-12-20" 11.157585 11.209586 11.101063 11.132715
"2012-12-21" 11.073932 11.11915 10.899842 11.033235
"2012-12-24" 11.116889 11.121411 10.956364 11.035496
"2012-12-26" 10.951843 11.071671 10.893059 10.951843
"2012-12-27" 11.049062 11.09428 10.899842 11.078454
"2012-12-28" 11.01967 11.096541 10.926973 10.954104
"2012-12-31" 10.897581 11.202804 10.868189 11.103324
"2013-01-02" 11.304544 11.4922 11.225413 11.370111
"2013-01-03" 11.304544 11.476374 11.209586 11.413068
"2013-01-04" 11.404024 11.587158 11.340719 11.487678
"2013-01-07" 11.431155 11.618811 11.347502 11.584897
"2013-01-08" 11.598463 11.598463 11.431155 11.489939
"2013-01-09" 11.573593 11.573593 11.453764 11.51707
"2013-01-10" 11.257065 11.41759 11.252544 11.34298
"2013-01-11" 11.374633 11.41759 11.302284 11.374633
"2013-01-14" 11.381415 11.460547 11.315849 11.356545
"2013-01-15" 11.338458 11.356545 11.234456 11.281935
"2013-01-16" 11.227674 11.290979 11.071671 11.209586
"2013-01-17" 11.250283 11.286457 11.092019 11.191499
"2013-01-18" 11.078454 11.175673 10.978974 11.040018
"2013-01-22" 10.981234 11.105584 10.852363 10.951843
"2013-01-23" 10.96993 11.04454 10.942799 10.999322
"2013-01-24" 10.94506 11.064888 10.822971 10.825232
"2013-01-25" 10.931494 10.931494 10.761926 10.836536
"2013-01-28" 10.902103 10.978974 10.856884 10.931494
"2013-01-29" 10.852363 10.881754 10.789057 10.804884
"2013-01-30" 10.825232 10.9948 10.807144 10.834275
"2013-01-31" 10.626272 11.578114 10.610445 11.001583
"2013-02-01" 11.067149 11.469591 10.716708 11.372372
"2013-02-04" 11.374633 11.478634 11.36785 11.46733
