"Index" "Open" "High" "Low" "Price"
"2012-09-17" 29.1 29.200001 28.77 20.43256
"2012-09-18" 28.700001 28.82 28.41 20.205772
"2012-09-19" 28.52 28.6 28.32 20.163252
"2012-09-20" 28.200001 28.309999 28.01 20.064028
"2012-09-21" 28.48 28.49 27.6 19.787624
"2012-09-24" 27.82 27.959999 27.530001 19.553745
"2012-09-25" 27.639999 27.83 26.790001 18.993851
"2012-09-26" 26.74 26.91 26.530001 18.986765
"2012-09-27" 27.030001 27.139999 26.82 19.093071
"2012-09-28" 26.780001 27.08 26.65 19.093071
"2012-10-01" 27.059999 27.4 26.84 19.064724
"2012-10-02" 27.08 27.17 26.92 19.234818
"2012-10-03" 27.370001 27.379999 27.049999 19.227732
"2012-10-04" 27.35 27.82 27.33 19.716757
"2012-10-05" 28.08 28.18 27.700001 19.674227
"2012-10-08" 27.6 27.870001 27.59 19.681318
"2012-10-09" 27.01 27.629999 27.01 19.284431
"2012-10-10" 27.209999 27.34 26.99 19.199385
"2012-10-11" 27.24 27.620001 27.08 19.397823
"2012-10-12" 27.290001 27.450001 26.889999 19.078907
"2012-10-15" 27.09 27.27 26.83 19.227732
"2012-10-16" 27.389999 28.049999 27.389999 19.787624
"2012-10-17" 28.02 28.5 28.02 20.156158
"2012-10-18" 28.379999 28.709999 28.379999 20.26247
"2012-10-19" 28.6 28.6 28.01 19.957722
"2012-10-22" 28.09 28.450001 28.07 20.141983
"2012-10-23" 27.92 28.059999 27.73 19.787624
"2012-10-24" 28.02 28.27 27.85 19.823061
"2012-10-25" 28.24 28.469999 28.07 20.049854
"2012-10-26" 28.02 28.48 27.24 19.631704
"2012-10-31" 27.809999 27.889999 27.41 19.518309
"2012-11-01" 27.629999 28.360001 27.6 20.049854
"2012-11-02" 28.58 28.6 27.91 19.964806
"2012-11-05" 27.9 28.26 27.790001 19.964806
"2012-11-06" 28.4 28.48 28.25 20.056936
"2012-11-07" 27.77 27.959999 26.959999 19.128508
"2012-11-08" 26.790001 27.290001 26.5 18.781237
"2012-11-09" 26.34 27.02 26.25 18.852108
"2012-11-12" 26.549999 26.75 26.290001 18.873365
"2012-11-13" 26.370001 26.889999 26.290001 18.781237
"2012-11-14" 26.57 26.709999 26.09 18.547356
"2012-11-15" 26.23 26.469999 26.02 18.589876
"2012-11-16" 26.200001 26.370001 25.83 18.65366
"2012-11-19" 26.67 26.9 26.559999 18.922979
"2012-11-20" 26.58 26.77 26.41 18.958418
"2012-11-21" 26.82 26.82 26.549999 18.965506
"2012-11-23" 26.93 27.33 26.780001 19.36948
"2012-11-26" 27.08 27.6 26.99 19.553745
"2012-11-27" 27.49 27.629999 27.26 19.362389
"2012-11-28" 26.67 26.83 26.15 18.993851
"2012-11-29" 26.92 27.01 26.74 19.078907
"2012-11-30" 26.940001 27.200001 26.780001 19.241901
"2012-12-03" 27.280001 27.43 27.16 19.383652
"2012-12-04" 27.32 27.68 27.299999 19.610443
"2012-12-05" 27.690001 27.99 27.6 19.759279
"2012-12-06" 27.66 27.77 27.58 19.773558
