"Index" "Open" "High" "Low" "Price"
"2012-09-17" 20.73 20.969999 20.690001 14.486618
"2012-09-18" 20.809999 20.889999 20.700001 14.521493
"2012-09-19" 20.950001 21.040001 20.74 14.619135
"2012-09-20" 20.889999 21.02 20.75 14.647037
"2012-09-21" 21.200001 21.27 20.959999 14.835352
"2012-09-24" 21.17 21.219999 21.02 14.688886
"2012-09-25" 21.120001 21.280001 20.83 14.528464
"2012-09-26" 20.74 20.860001 20.629999 14.451743
"2012-09-27" 20.799999 21.059999 20.75 14.654014
"2012-09-28" 20.92 20.93 20.73 14.465693
"2012-10-01" 20.83 21 20.709999 14.570314
"2012-10-02" 20.950001 21.33 20.860001 14.856278
"2012-10-03" 21.360001 21.67 21.200001 14.981824
"2012-10-04" 21.58 21.709999 21.49 15.079474
"2012-10-05" 21.76 21.940001 21.610001 15.211992
"2012-10-08" 21.809999 21.92 21.629999 15.218968
"2012-10-09" 21.860001 22.139999 21.65 15.13527
"2012-10-10" 22 22.4 21.98 15.421235
"2012-10-11" 22.200001 22.290001 22.030001 15.386362
"2012-10-12" 22.41 22.690001 22.17 15.484011
"2012-10-15" 21.940001 22.200001 21.82 15.470063
"2012-10-16" 22.219999 22.610001 22.16 15.637455
"2012-10-17" 22.5 23.040001 22.4 16.041994
"2012-10-18" 22.969999 23.190001 22.92 16.097786
"2012-10-19" 23.08 23.08 22.799999 15.986196
"2012-10-22" 22.84 23 22.6 15.902494
"2012-10-23" 22.629999 22.74 22.459999 15.832747
"2012-10-24" 22.76 22.879999 22.65 15.867623
"2012-10-25" 22.870001 22.93 22.530001 15.756026
"2012-10-26" 22.620001 22.75 22.389999 15.749052
"2012-10-31" 22.52 22.68 22.23 15.553759
"2012-11-01" 22.42 22.700001 22.26 15.616529
"2012-11-02" 22.129999 22.59 21.969999 15.393334
"2012-11-05" 21.950001 22.24 21.83 15.477038
"2012-11-06" 22.309999 22.440001 22.17 15.630481
"2012-11-07" 22.209999 22.27 21.93 15.407292
"2012-11-08" 22.120001 22.43 21.950001 15.407292
"2012-11-09" 22.049999 22.48 21.969999 15.588634
"2012-11-12" 22.370001 22.379999 22.15 15.525862
"2012-11-13" 22.07 22.42 22.030001 15.490986
"2012-11-14" 22.35 22.610001 21.969999 15.595607
"2012-11-15" 22.450001 22.559999 22.129999 15.504936
"2012-11-16" 22.24 22.57 22.110001 15.728122
"2012-11-19" 21.719999 21.860001 21.34 15.66974
"2012-11-20" 21.42 21.66 21.41 15.764619
"2012-11-21" 21.629999 21.690001 21.51 15.75732
"2012-11-23" 21.74 21.870001 21.629999 15.925185
"2012-11-26" 21.790001 21.85 21.6 15.815713
"2012-11-27" 21.6 21.700001 21.35 15.611353
"2012-11-28" 21.27 21.389999 21.1 15.604053
"2012-11-29" 21.48 21.639999 21.34 15.75732
"2012-11-30" 21.540001 21.549999 21.200001 15.50917
"2012-12-03" 21.4 21.450001 21.110001 15.443489
"2012-12-04" 21.200001 21.379999 21.129999 15.421594
"2012-12-05" 21.18 21.629999 21.139999 15.713529
"2012-12-06" 21.540001 21.59 21.379999 15.640543
"2012-12-07" 21.49 21.58 21.4 15.677035
"2012-12-10" 21.42 21.77 21.389999 15.808414
"2012-12-11" 21.75 21.76 21.459999 15.677035
"2012-12-12" 21.559999 21.77 21.379999 15.633248
"2012-12-13" 21.379999 21.43 21.129999 15.443489
"2012-12-14" 21.18 21.209999 20.959999 15.319412
"2012-12-17" 21.07 21.280001 21.030001 15.52377
"2012-12-18" 21.27 21.49 21.200001 15.655142
"2012-12-19" 21.459999 21.620001 21.35 15.611353
"2012-12-20" 21.370001 21.549999 21.27 15.706236
"2012-12-21" 21.34 21.59 21.059999 15.472681
"2012-12-24" 21.110001 21.290001 21.049999 15.494577
"2012-12-26" 21.25 21.299999 21.15 15.487279
"2012-12-27" 21.209999 21.209999 20.809999 15.304819
"2012-12-28" 20.870001 21 20.799999 15.217241
"2012-12-31" 20.799999 21.110001 20.690001 15.3997
"2013-01-02" 21.450001 21.690001 21.360001 15.830306
"2013-01-03" 21.709999 22.110001 21.59 16.078453
"2013-01-04" 22.030001 22.299999 22.01 16.253616
"2013-01-07" 22.16 22.24 21.870001 16.071159
