"Index" "Open" "High" "Low" "Price"
"2012-09-17" 85.959999 86.129997 84.599998 70.805313
"2012-09-18" 84.769997 85.199997 84.349998 71.022095
"2012-09-19" 85.169998 86.150002 84.949997 71.64743
"2012-09-20" 85.199997 85.629997 84.339996 71.330597
"2012-09-21" 86.040001 86.370003 85.279999 71.288895
"2012-09-24" 85 85.959999 84.82 71.363922
"2012-09-25" 85.040001 85.480003 83.120003 69.354515
"2012-09-26" 83.099998 83.43 81.839996 68.587425
"2012-09-27" 82.900002 84.279999 82.629997 69.771416
"2012-09-28" 83.169998 84.150002 82.169998 69.688042
"2012-10-01" 83.769997 85.339996 83.25 69.562958
"2012-10-02" 83.760002 84.18 83.019997 69.704712
"2012-10-03" 83.720001 84.110001 83.07 69.638031
"2012-10-04" 84 84.25 83.25 69.429558
"2012-10-05" 84.099998 84.980003 83.709999 70.380081
"2012-10-08" 83.25 83.769997 82.849998 69.412865
"2012-10-09" 83.480003 83.480003 81.449997 67.93708
"2012-10-10" 80.769997 80.779999 78.300003 66.069397
"2012-10-11" 79.980003 80.790001 79.019997 66.019356
"2012-10-12" 79.379997 79.980003 78.690002 66.202805
"2012-10-15" 79.5 80.790001 78.739998 67.261696
"2012-10-16" 80.639999 82.269997 80.629997 68.345634
"2012-10-17" 82 84.5 81.889999 70.129929
"2012-10-18" 83.580002 85.419998 83.18 70.930389
"2012-10-19" 78.07 80.150002 76.760002 65.4524
"2012-10-22" 78.120003 79.379997 77.110001 65.118866
"2012-10-23" 76.699997 77.029999 75.800003 63.984917
"2012-10-24" 76.970001 77.510002 75.93 63.48465
"2012-10-25" 77.209999 78.199997 77.050003 64.685295
"2012-10-26" 77.760002 77.900002 76.830002 64.685295
"2012-10-31" 77.669998 79.349998 77.540001 65.5858
"2012-11-01" 78.730003 81.160004 78.550003 67.428482
"2012-11-02" 81.290001 81.860001 79.32 66.227837
"2012-11-05" 78.730003 80.120003 78.120003 66.669731
"2012-11-06" 80.419998 81.029999 80.07 67.053261
"2012-11-07" 79.290001 79.290001 77.370003 64.907822
"2012-11-08" 78.419998 79.809998 78.18 65.80455
"2012-11-09" 78.18 79.68 77.5 66.282242
"2012-11-12" 79.029999 79.650002 78.410004 66.324142
"2012-11-13" 78.169998 79.620003 78.029999 65.561523
"2012-11-14" 78.639999 79.279999 77.339996 64.974854
"2012-11-15" 77.760002 79.5 77.5 65.863197
"2012-11-16" 78.739998 80.160004 78.360001 67.053253
"2012-11-19" 80.699997 81.5 80.349998 67.924828
"2012-11-20" 80.760002 80.940002 79.059998 66.801842
"2012-11-21" 79.839996 80.690002 79.449997 67.1287
"2012-11-23" 80.589996 81.730003 79.980003 68.243294
"2012-11-26" 80.989998 82.120003 80.690002 68.226555
"2012-11-27" 81.18 82.080002 80.010002 67.941612
"2012-11-28" 80.690002 82.860001 80.290001 69.257355
"2012-11-29" 83.169998 83.599998 82.699997 69.88591
"2012-11-30" 83.260002 83.370003 81.599998 68.846725
"2012-12-03" 82.75 82.779999 80.269997 67.296288
"2012-12-04" 80.470001 81.440002 80.150002 68.033813
"2012-12-05" 81.269997 83.089996 81.040001 69.475227
"2012-12-06" 82.610001 82.940002 81.580002 68.997559
"2012-12-07" 82.790001 83.879997 82.669998 70.237885
"2012-12-10" 83.830002 84.400002 83.480003 70.338463
"2012-12-11" 84.199997 84.489998 83.150002 69.894287
"2012-12-12" 83.910004 84.419998 83.040001 69.659653
"2012-12-13" 82.93 83.650002 82.650002 69.760208
"2012-12-14" 83 84.410004 83 69.969696
"2012-12-17" 83.730003 84.080002 83.18 70.053528
"2012-12-18" 83.879997 87.040001 83.720001 72.617981
"2012-12-19" 86.519997 86.720001 85.919998 72.249237
"2012-12-20" 86.080002 86.620003 85.709999 72.53418
"2012-12-21" 85.160004 85.580002 84 71.360901
"2012-12-24" 85.07 86 84.720001 71.126244
"2012-12-26" 85.230003 85.230003 84.519997 70.958611
"2012-12-27" 84.68 85.07 83.389999 70.807762
"2012-12-28" 83.739998 84.800003 83.690002 70.279808
"2012-12-31" 83.529999 85.169998 83.160004 71.285454
"2013-01-02" 87.449997 88.580002 86.510002 73.464424
"2013-01-03" 87.599998 88.730003 87.449997 74.034294
"2013-01-04" 88.650002 88.919998 88.300003 74.436577
"2013-01-07" 88.080002 88.349998 87.260002 73.958893
"2013-01-08" 88.669998 88.980003 87.510002 74.017548
"2013-01-09" 88.620003 90.25 88.589996 75.567947
"2013-01-10" 90.639999 90.730003 88.639999 75.090271
"2013-01-11" 89.519997 89.519997 88.349998 74.620956
"2013-01-14" 88.989998 89.489998 88.480003 74.855629
"2013-01-15" 88.57 90 88.540001 75.12381
"2013-01-16" 89.120003 89.949997 88.730003 75.291374
"2013-01-17" 90 91.93 89.699997 76.565262
"2013-01-18" 92.5 93.699997 90 78.526321
"2013-01-22" 93.260002 93.57 91.910004 78.174347
"2013-01-23" 93.239998 93.650002 92.669998 77.981567
"2013-01-24" 92.989998 94.690002 92.830002 78.752602
"2013-01-25" 94.379997 94.57 93.690002 79.087814
"2013-01-28" 94.75 94.809998 93.580002 78.626884
"2013-01-29" 93.580002 94.300003 93.279999 78.903419
"2013-01-30" 94.099998 94.769997 93.089996 78.174347
"2013-01-31" 93.410004 94.139999 92.800003 77.91452
"2013-02-01" 93.919998 94.110001 93.339996 78.652031
"2013-02-04" 93.050003 93.639999 92.449997 77.529022
"2013-02-05" 93.540001 94.360001 93.050003 78.735825
"2013-02-06" 92.879997 93.830002 92.129997 78.676895
"2013-02-07" 93.68 94.639999 93.07 78.971573
"2013-02-08" 93.830002 94.480003 93.690002 79.409363
"2013-02-11" 94.099998 94.57 93.43 79.468292
"2013-02-12" 94.279999 95.589996 93.949997 80.13343
"2013-02-13" 95.599998 96.57 95.370003 81.101601
"2013-02-14" 95.769997 97.029999 95.529999 81.084778
"2013-02-15" 96.269997 97.290001 95.709999 80.857445
"2013-02-19" 96.309998 97.5 96.279999 82.053001
"2013-02-20" 97.43 97.43 94.75 79.998703
"2013-02-21" 94.580002 94.580002 92.620003 78.516945
"2013-02-22" 93.889999 94.639999 93.620003 79.594582
"2013-02-25" 95.089996 95.25 90.830002 76.530029
"2013-02-26" 91.629997 92.269997 91.040001 77.161446
"2013-02-27" 91.5 93.769997 91.449997 78.769516
"2013-02-28" 93.650002 95.260002 93.059998 79.54406
"2013-03-01" 93.82 94.900002 92.75 79.518806
"2013-03-04" 94.150002 94.169998 92.519997 78.845299
"2013-03-05" 94.540001 96.720001 94.540001 81.202675
"2013-03-06" 96.980003 97.209999 95.93 81.177399
"2013-03-07" 96.629997 97.75 96.419998 81.867737
"2013-03-08" 97.669998 98.150002 97.040001 82.465492
"2013-03-11" 97.599998 98.059998 97.32 82.4487
"2013-03-12" 97.699997 97.75 96.029999 81.707771
"2013-03-13" 97.07 97.220001 96.239998 81.65728
"2013-03-14" 97.309998 97.949997 97.07 81.876175
"2013-03-15" 96.709999 97.32 96.300003 81.429955
"2013-03-18" 95.559998 96.739998 94.959999 80.891121
"2013-03-19" 96.269997 96.459999 93.870003 80.13343
"2013-03-20" 95.639999 95.919998 94.379997 79.956627
"2013-03-21" 93.800003 94.209999 91.900002 77.472977
"2013-03-22" 91.879997 92.370003 91.709999 77.523483
"2013-03-25" 92.68 92.809998 90.330002 76.597374
"2013-03-26" 91.839996 91.839996 90.190002 76.008026
"2013-03-27" 89.440002 90.32 88.690002 75.898582
"2013-03-28" 90.269997 91.580002 89.669998 77.102516
"2013-04-01" 91.389999 91.599998 89.510002 75.477638
"2013-04-02" 90.139999 90.360001 88.309998 74.753601
"2013-04-03" 88.660004 88.940002 87.209999 73.692757
"2013-04-04" 87.760002 89.669998 87.730003 75.283958
"2013-04-05" 87.769997 89.669998 87.709999 75.250298
"2013-04-08" 89.290001 90.220001 89.089996 75.688087
"2013-04-09" 90.330002 91.089996 89.709999 76.235336
"2013-04-10" 90.690002 91.089996 89.989998 76.117493
"2013-04-11" 90.510002 90.610001 89.709999 75.738609
"2013-04-12" 89.510002 89.739998 88.470001 74.964043
