"Index" "Open" "High" "Low" "Price"
"2012-09-17" 16.5 16.52 15.95 14.199206
"2012-09-18" 16.129999 16.4 15.65 13.873498
"2012-09-19" 15.78 16.9 15.78 14.463298
"2012-09-20" 16.42 16.74 16.1 14.718584
"2012-09-21" 16.950001 17.469999 16.73 14.947461
"2012-09-24" 17.01 17.07 16.459999 14.753792
"2012-09-25" 16.620001 16.940001 16.040001 14.137585
"2012-09-26" 16.1 16.299999 14.99 13.468561
"2012-09-27" 15.42 15.94 15.23 13.767862
"2012-09-28" 15.46 15.64 15.39 13.644618
"2012-10-01" 15.41 15.67 15.2 13.477364
"2012-10-02" 15.37 15.72 15.21 13.697436
"2012-10-03" 15.68 16.6 15.64 14.524916
"2012-10-04" 16.639999 16.889999 16.25 14.586535
"2012-10-05" 16.780001 17.040001 16.559999 14.639357
"2012-10-08" 16.530001 16.559999 16.030001 14.163996
"2012-10-09" 16.040001 16.1 15.72 13.8823
"2012-10-10" 15.74 16.219999 15.73 13.987938
"2012-10-11" 16.09 16.24 15.58 13.811874
"2012-10-12" 15.57 15.68 15.31 13.74145
"2012-10-15" 15.69 16.5 15.5 14.436884
"2012-10-16" 16.469999 16.719999 16.1 14.577735
"2012-10-17" 16.99 17.84 16.99 15.352396
"2012-10-18" 17.4 18.1 17.34 15.537265
"2012-10-19" 17.59 18 17.26 15.748537
"2012-10-22" 17.809999 18.299999 17.6 15.660511
"2012-10-23" 17.43 17.52 16.969999 15.237958
"2012-10-24" 17.379999 17.6 17.209999 15.3612
"2012-10-25" 17.639999 17.959999 16.5 14.973866
"2012-10-26" 17.1 17.43 16.549999 15.211549
"2012-10-31" 17.530001 17.65 17.049999 15.264368
"2012-11-01" 17.43 18.040001 17.43 15.651701
"2012-11-02" 17.969999 18.1 17.35 15.290777
"2012-11-05" 17.25 17.99 17.18 15.704515
"2012-11-06" 17.92 18.27 17.74 15.748537
"2012-11-07" 17.66 18.18 17.379999 15.634094
"2012-11-08" 17.799999 17.84 17.049999 15.290777
"2012-11-09" 17.25 17.4 16.299999 14.789007
"2012-11-12" 16.860001 17.24 16.219999 14.304842
"2012-11-13" 16.049999 16.67 15.82 14.234422
"2012-11-14" 16.280001 16.379999 15.15 13.415743
"2012-11-15" 15.23 15.93 14.55 13.415743
"2012-11-16" 15.23 15.98 15.14 13.803075
"2012-11-19" 15.99 16.48 15.72 13.996735
"2012-11-20" 16.200001 16.950001 16.200001 14.744994
"2012-11-21" 16.85 17.16 16.48 14.815413
"2012-11-23" 16.940001 17.15 16.66 14.991481
"2012-11-26" 16.950001 17.139999 16.709999 15.035489
"2012-11-27" 17.07 17.49 16.889999 15.061898
"2012-11-28" 17.049999 17.15 16.33 14.965063
"2012-11-29" 17.08 17.459999 16.959999 15.079502
"2012-11-30" 17.059999 17.129999 16.41 14.797812
"2012-12-03" 16.959999 17.18 16.73 14.921054
"2012-12-04" 17.24 17.370001 16.76 15.044296
"2012-12-05" 17.110001 17.200001 16.15 14.260829
"2012-12-06" 16.15 16.42 15.81 14.331251
"2012-12-07" 16.360001 16.639999 16.120001 14.480904
"2012-12-10" 16.469999 16.700001 16.280001 14.436884
"2012-12-11" 16.5 16.66 16.34 14.507309
"2012-12-12" 16.549999 17.34 16.459999 15.061898
"2012-12-13" 17.059999 17.5 16.969999 15.105919
"2012-12-14" 17.139999 17.27 16.969999 15.088312
"2012-12-17" 17.17 18.1 17.17 15.880575
"2012-12-18" 18.120001 18.709999 18.110001 16.382349
"2012-12-19" 18.719999 18.860001 18.129999 16.250303
"2012-12-20" 18.33 18.66 18.110001 16.276709
"2012-12-21" 18.190001 18.24 17.889999 16.012625
"2012-12-24" 18.15 18.4 18.1 15.977409
"2012-12-26" 18.200001 18.35 17.790001 15.660511
"2012-12-27" 17.76 17.93 17.299999 15.634094
"2012-12-28" 17.639999 17.85 17.5 15.493246
"2012-12-31" 17.540001 18.23 17.379999 15.986208
"2013-01-02" 18.879999 19.01 18.4 16.373547
"2013-01-03" 18.639999 18.9 18.32 16.347132
"2013-01-04" 18.6 19.139999 18.440001 16.778481
"2013-01-07" 18.99 19.469999 18.91 16.998554
"2013-01-08" 19.389999 19.51 19.09 17.165813
"2013-01-09" 19.620001 19.799999 19.32 17.157007
"2013-01-10" 19.629999 19.65 18.969999 17.08658
"2013-01-11" 19.540001 19.700001 19.200001 17.024963
"2013-01-14" 19.48 19.59 19.01 16.813688
"2013-01-15" 18.940001 19.469999 18.93 17.139406
"2013-01-16" 19.389999 19.57 19.18 17.024963
"2013-01-17" 19.6 20.540001 19.58 17.931669
"2013-01-18" 20.43 20.540001 20.15 18.03731
"2013-01-22" 20.559999 20.65 20.219999 18.09012
"2013-01-23" 20.549999 21.15 20.469999 18.345413
"2013-01-24" 20.99 21.48 20.709999 18.468649
"2013-01-25" 21.110001 21.67 20.870001 19.076056
"2013-01-28" 21.719999 21.969999 20.76 18.451042
"2013-01-29" 21.17 21.49 20.82 18.583092
"2013-01-30" 21.219999 21.43 20.82 18.530273
"2013-01-31" 20.23 20.77 19.110001 18.257381
"2013-02-01" 20.84 21.24 20.299999 17.914064
"2013-02-04" 20.139999 20.459999 19.67 17.324268
"2013-02-05" 19.799999 20.030001 19.01 17.377089
"2013-02-06" 19.67 19.950001 19.5 17.333059
"2013-02-07" 19.719999 19.809999 19.030001 17.077778
"2013-02-08" 19.42 19.540001 19.120001 17.139406
"2013-02-11" 19.4 19.709999 19.17 16.989752
"2013-02-12" 19.32 20.65 19.32 17.887651
"2013-02-13" 20.219999 20.549999 20.030001 17.808428
"2013-02-14" 20.18 20.4 20.120001 17.843643
"2013-02-15" 20.219999 20.620001 20.219999 17.878853
"2013-02-19" 20.32 20.6 19.530001 17.561949
"2013-02-20" 19.690001 19.719999 18.450001 16.373547
"2013-02-21" 18.52 19.09 17.98 16.505592
"2013-02-22" 18.93 19 18.629999 16.637634
"2013-02-25" 19.02 19.1 18.01 15.862974
"2013-02-26" 18.23 19.09 18.02 16.76967
"2013-02-27" 19.01 19.6 18.85 16.989752
"2013-02-28" 19.360001 19.690001 19.08 16.884117
"2013-03-01" 19.01 19.360001 18.6 16.945736
"2013-03-04" 19.15 19.790001 19.120001 17.359474
"2013-03-05" 19.84 20.360001 19.82 17.799629
"2013-03-06" 20.360001 20.5 19.9 17.676384
"2013-03-07" 20.17 20.26 19.9 17.77322
"2013-03-08" 20.4 20.459999 19.82 17.834833
"2013-03-11" 20.25 20.440001 20.049999 17.738007
"2013-03-12" 20.129999 20.15 19.59 17.385889
"2013-03-13" 19.74 20.15 19.57 17.491526
"2013-03-14" 20.049999 20.719999 19.950001 18.098928
"2013-03-15" 20.5 20.860001 20.41 18.266182
"2013-03-18" 20.440001 20.98 20.33 18.266182
"2013-03-19" 21.139999 21.299999 20.639999 18.327803
"2013-03-20" 21.08 21.6 20.99 18.82077
"2013-03-21" 21.299999 21.389999 20.860001 18.459852
"2013-03-22" 21.09 21.129999 20.530001 18.178158
"2013-03-25" 20.75 21.09 20.209999 17.914064
"2013-03-26" 20.530001 20.540001 20.07 17.755617
"2013-03-27" 20.030001 20.370001 19.83 17.887651
"2013-03-28" 20.35 20.540001 20.09 17.817232
"2013-04-01" 20.190001 20.42 19.780001 17.711597
"2013-04-02" 20.190001 20.469999 19.76 17.482718
"2013-04-03" 19.83 19.99 18.58 16.734465
"2013-04-04" 19.120001 19.280001 18.860001 16.708055
"2013-04-05" 18.51 19.17 18.379999 16.840101
"2013-04-08" 19.1 19.799999 18.9 17.368277
"2013-04-09" 19.610001 19.860001 19.26 17.121794
