"Index" "Open" "High" "Low" "Price"
"2012-09-17" 32.689999 32.799999 32.080002 24.226746
"2012-09-18" 31.93 32.529999 31.93 24.415426
"2012-09-19" 32.459999 32.98 32.439999 24.875805
"2012-09-20" 32.75 33.09 32.580002 24.936186
"2012-09-21" 33.959999 34.700001 33.599998 25.472038
"2012-09-24" 34.919998 35.380001 34.189999 26.37772
"2012-09-25" 35.130001 35.470001 34.970001 26.528658
"2012-09-26" 35.130001 35.689999 34.900002 26.732437
"2012-09-27" 35.490002 36.130001 35.209999 27.207911
"2012-09-28" 35.959999 36.68 35.740002 27.396605
"2012-10-01" 36.23 36.529999 35.389999 26.928669
"2012-10-02" 35.919998 36.139999 35.709999 27.01923
"2012-10-03" 35.799999 36.040001 35.759998 27.01923
"2012-10-04" 36.07 36.220001 35.919998 27.147545
"2012-10-05" 36.049999 36.380001 35.91 27.200361
"2012-10-08" 35.540001 35.889999 35.380001 26.936213
"2012-10-09" 35.740002 35.939999 35.48 26.951302
"2012-10-10" 35.66 35.709999 35.310001 26.717346
"2012-10-11" 35.639999 35.84 35.470001 26.800362
"2012-10-12" 35.509998 35.66 35.09 26.558844
"2012-10-15" 35.459999 35.77 35.07 26.868288
"2012-10-16" 34.799999 36.959999 34.5 27.366407
"2012-10-17" 35.490002 36.560001 35.490002 27.419249
"2012-10-18" 36.139999 36.380001 36.099998 27.336226
"2012-10-19" 36.119999 36.16 35.57 27.041882
"2012-10-22" 35.830002 36.130001 35.66 27.087158
"2012-10-23" 35.68 35.75 35.029999 26.694696
"2012-10-24" 35.68 35.68 34.970001 26.415453
"2012-10-25" 35.189999 35.57 34.849998 26.800362
"2012-10-26" 35.650002 35.650002 35.02 26.641874
"2012-10-31" 35.549999 35.939999 35.02 26.619228
"2012-11-01" 35.439999 36.709999 35.259998 27.419249
"2012-11-02" 36.349998 36.48 35.759998 27.094704
"2012-11-05" 35.880001 36.299999 35.400002 27.03433
"2012-11-06" 35.990002 36.41 35.810001 27.321131
"2012-11-07" 35.98 35.98 35.400002 26.883389
"2012-11-08" 35.509998 35.779999 35.009998 26.536209
"2012-11-09" 35.099998 35.720001 34.950001 26.724884
"2012-11-12" 35.48 35.66 35.189999 26.77017
"2012-11-13" 35.16 35.610001 34.900002 26.453194
"2012-11-14" 35.09 35.169998 34.290001 26.007891
"2012-11-15" 34.540001 35.080002 34.060001 25.781485
"2012-11-16" 34.25 34.700001 33.889999 26.151299
"2012-11-19" 34.82 35.849998 34.82 27.056971
"2012-11-20" 35.740002 36.029999 35.549999 27.117346
"2012-11-21" 36.029999 36.34 35.27 27.35886
"2012-11-23" 36.27 36.75 36.25 27.706034
"2012-11-26" 36.59 36.959999 36.52 27.781513
"2012-11-27" 36.669998 36.75 36.27 27.494719
"2012-11-28" 36.349998 36.73 36.009998 27.683392
"2012-11-29" 36.900002 36.990002 36.41 27.623016
"2012-11-30" 36.549999 36.639999 36.299999 27.502258
"2012-12-03" 36.689999 36.689999 36.060001 27.290934
"2012-12-04" 36.150002 36.41 36.040001 27.321131
"2012-12-05" 36.25 36.34 35.459999 27.01923
