"Index" "Open" "High" "Low" "Price"
"2012-09-17" 30.219999 30.299999 29.809999 28.758394
"2012-09-18" 30.07 30.24 29.870001 28.844416
"2012-09-19" 30.17 30.25 30.02 28.748837
"2012-09-20" 30 30.18 29.780001 28.815735
"2012-09-21" 30.389999 30.450001 30 28.720161
"2012-09-24" 29.870001 29.92 29.540001 28.500345
"2012-09-25" 30.01 30.030001 29.59 28.299633
"2012-09-26" 29.59 29.65 29.24 28.060701
"2012-09-27" 29.52 29.65 29.379999 28.242294
"2012-09-28" 29.49 29.68 29.200001 28.165827
"2012-10-01" 29.620001 29.77 29.299999 28.108488
"2012-10-02" 29.450001 29.549999 29.27 28.175386
"2012-10-03" 30.02 30.02 29.66 28.48123
"2012-10-04" 29.889999 30.33 29.68 28.863527
"2012-10-05" 30.33 30.870001 30.24 29.054676
"2012-10-08" 30.23 30.41 30.139999 28.959108
"2012-10-09" 30.299999 30.35 29.66 28.395212
"2012-10-10" 29.629999 29.66 29.15 28.089371
"2012-10-11" 29.66 29.780001 29.5 28.223183
"2012-10-12" 29.57 29.780001 29.57 28.376095
"2012-10-15" 29.790001 29.879999 29.52 28.509899
"2012-10-16" 30 30.48 29.959999 28.968658
"2012-10-17" 30.309999 30.610001 30.24 29.198565
"2012-10-18" 30.48 30.48 29.32 28.192705
"2012-10-19" 29.4 29.4 28.4 27.368872
"2012-10-22" 28.459999 28.65 28.110001 27.273081
"2012-10-23" 28.129999 28.15 27.76 26.669558
"2012-10-24" 28.02 28.379999 27.950001 27.167698
"2012-10-25" 28.559999 28.75 28.379999 27.301811
"2012-10-26" 29.790001 31.709999 29.790001 29.974522
"2012-10-31" 31.040001 31.440001 30.690001 29.629652
"2012-11-01" 30.92 31.690001 30.6 30.30022
"2012-11-02" 31.67 31.84 31.219999 29.964937
"2012-11-05" 31 31.530001 30.9 30.15653
"2012-11-06" 31.42 31.799999 31.290001 30.099047
"2012-11-07" 31.33 31.549999 30.84 29.869137
"2012-11-08" 31.23 31.33 30.67 29.380581
"2012-11-09" 30.549999 30.9 30.360001 29.4189
"2012-11-12" 30.84 30.84 30.26 29.179415
"2012-11-13" 30.34 30.860001 30.1 29.236889
"2012-11-14" 30.559999 30.66 30.02 28.872862
"2012-11-15" 30.1 30.26 29.76 28.796227
"2012-11-16" 30.1 30.32 29.790001 28.920759
"2012-11-19" 30.530001 30.68 30.309999 29.294363
"2012-11-20" 30.51 31.040001 30.389999 29.60091
"2012-11-21" 30.889999 31.030001 30.68 29.60091
"2012-11-23" 31 31.5 30.799999 30.15653
"2012-11-26" 31.360001 31.59 30.879999 29.878716
"2012-11-27" 31.309999 31.6 30.860001 29.658386
"2012-11-28" 30.950001 31.299999 30.629999 29.869137
"2012-11-29" 31.34 31.59 31.1 30.099047
"2012-11-30" 31.48 31.719999 31.219999 30.31938
"2012-12-03" 31.799999 31.92 31.15 30.08947
"2012-12-04" 31.370001 31.5 31.040001 29.945778
"2012-12-05" 31.280001 31.469999 31.02 29.792501
"2012-12-06" 31.030001 31.15 30.610001 29.591335
"2012-12-07" 31.02 31.040001 30.379999 29.48596
"2012-12-10" 30.84 31.32 30.700001 29.869137
"2012-12-11" 31.389999 31.719999 31.24 30.309797
"2012-12-12" 31.559999 31.85 31.360001 30.099047
"2012-12-13" 31.35 31.450001 31.049999 30.070309
"2012-12-14" 31.370001 31.6 31.280001 30.108627
"2012-12-17" 31.5 31.950001 31.35 30.568451
"2012-12-18" 31.889999 32.41 31.82 30.93248
"2012-12-19" 32.32 32.360001 31.790001 30.453497
"2012-12-20" 31.83 32.049999 31.75 30.702566
"2012-12-21" 31.65 31.780001 31.360001 30.194843
"2012-12-24" 31.5 31.690001 31.43 30.30022
"2012-12-26" 31.639999 31.84 31.139999 30.031996
"2012-12-27" 31.309999 31.559999 30.959999 30.079889
"2012-12-28" 31.120001 31.290001 30.98 29.725449
"2012-12-31" 31.030001 31.809999 30.870001 30.40559
"2013-01-02" 32.41 32.549999 31.84 30.740889
"2013-01-03" 32.009998 32.18 31.870001 30.654665
"2013-01-04" 32.200001 33.540001 32.200001 31.775484
"2013-01-07" 33.080002 33.419998 32.98 31.679678
"2013-01-08" 32.959999 33.310001 32.82 31.631783
"2013-01-09" 33.16 34.560001 33.150002 32.915432
"2013-01-10" 34.57 34.919998 34.380001 33.241158
"2013-01-11" 34.82 34.82 34.389999 33.001656
"2013-01-14" 34.330002 34.639999 34.150002 32.771767
"2013-01-15" 34 34.23 33.84 32.723862
"2013-01-16" 34.009998 34.099998 33.810001 32.637466
"2013-01-17" 34.450001 34.799999 34.290001 33.117424
"2013-01-18" 34.810001 35.18 34.439999 33.741383
"2013-01-22" 35 35.48 34.82 34.029362
"2013-01-23" 35.389999 35.59 35.279999 33.875755
"2013-01-24" 35.299999 35.639999 35.029999 33.846962
"2013-01-25" 35.310001 35.669998 35.200001 34.230942
"2013-01-28" 35.759998 35.84 35.27 33.962158
"2013-01-29" 35.330002 35.52 35.009998 33.856575
"2013-01-30" 35.32 35.5 34.77 33.568588
"2013-01-31" 34.98 35.400002 34.740002 33.827782
"2013-02-01" 35.240002 35.240002 33.369999 32.387882
"2013-02-04" 33.540001 33.689999 33.209999 32.167095
"2013-02-05" 33.630001 34.169998 33.57 32.695061
"2013-02-06" 33.919998 34.52 33.919998 33.098232
"2013-02-07" 34.41 34.59 34.189999 33.107826
"2013-02-08" 34.490002 34.900002 34.490002 33.357399
"2013-02-11" 34.599998 34.810001 34.439999 33.232616
"2013-02-12" 34.630001 34.939999 34.34 33.136616
"2013-02-13" 34.580002 35.009998 34.470001 33.18462
"2013-02-14" 34.470001 34.689999 34.400002 33.146217
"2013-02-15" 34.630001 34.720001 34.02 32.762241
"2013-02-19" 34.23 34.43 33.93 32.858238
"2013-02-20" 34.060001 34.130001 33.32 32.013504
"2013-02-21" 33.27 33.5 32.880001 31.667938
"2013-02-22" 33.09 33.259998 32.970001 31.907911
"2013-02-25" 33.41 33.700001 32.790001 31.47595
"2013-02-26" 33.25 33.970001 32.900002 32.47427
"2013-02-27" 33.720001 34.470001 33.599998 32.954254
"2013-02-28" 34.400002 34.75 34.169998 32.800652
"2013-03-01" 34.029999 34.66 33.849998 33.271023
"2013-03-04" 34.5 34.669998 34.240002 33.002232
"2013-03-05" 34.599998 34.889999 34.5 33.424603
"2013-03-06" 34.849998 34.959999 34.75 33.482193
"2013-03-07" 34.970001 35.32 34.68 33.885384
"2013-03-08" 35.43 35.560001 35.119999 34.134956
"2013-03-11" 35.549999 35.860001 35.43 34.42292
"2013-03-12" 35.779999 35.860001 35.369999 34.038956
"2013-03-13" 35.470001 35.490002 35.220001 33.971767
"2013-03-14" 35.439999 35.540001 35.189999 33.846962
"2013-03-15" 35.23 35.290001 35.16 33.837364
"2013-03-18" 34.869999 35.09 34.82 33.511002
"2013-03-19" 35 35.080002 34.709999 33.597393
"2013-03-20" 35.200001 35.259998 34.880001 33.616592
"2013-03-21" 34.84 34.950001 34.23 32.944645
"2013-03-22" 34.330002 34.459999 33.849998 32.656654
"2013-03-25" 34.220001 34.220001 32.759998 32.032711
"2013-03-26" 33.549999 33.740002 33.439999 32.263088
"2013-03-27" 33.389999 33.41 33.130001 31.869528
"2013-03-28" 33.139999 33.669998 33.049999 32.291893
"2013-04-01" 33.59 33.740002 33.040001 32.099903
"2013-04-02" 33.599998 33.849998 33.419998 32.493469
"2013-04-03" 33.799999 33.900002 33.450001 32.263088
"2013-04-04" 33.580002 33.919998 33.549999 32.349483
"2013-04-05" 33.299999 33.450001 33.09 32.023098
"2013-04-08" 33.34 33.610001 33.209999 32.253487
"2013-04-09" 34.400002 34.779999 34.119999 32.848644
"2013-04-10" 34.27 34.799999 34.16 33.319012
"2013-04-11" 34.720001 35.080002 34.650002 33.549385
"2013-04-12" 34.799999 34.919998 34.630001 33.511002
"2013-04-15" 35 35.290001 33.93 32.570271
"2013-04-16" 34.169998 34.639999 34.169998 33.232616
"2013-04-17" 34.279999 34.279999 33.919998 32.790165
"2013-04-18" 34.02 34.02 33.290001 32.261131
"2013-04-19" 33.639999 33.75 33.060001 31.828299
"2013-04-22" 33.209999 33.400002 32.990002 31.9918
"2013-04-23" 33.5 34.139999 33.5 32.568924
"2013-04-24" 33.959999 34.380001 33.73 32.636257
"2013-04-25" 34.139999 34.75 33.970001 33.15567
"2013-04-26" 29.620001 31.110001 29.5 29.192762
"2013-04-29" 30.360001 30.620001 30.09 29.433235
"2013-04-30" 30.309999 30.709999 30.309999 29.481319
"2013-05-01" 30.99 31.379999 30.799999 29.644844
"2013-05-02" 31.08 31.120001 30.540001 29.385139
"2013-05-03" 30.790001 31.25 30.68 29.741028
"2013-05-06" 30.799999 31.280001 30.790001 29.817976
"2013-05-07" 30.969999 31.709999 30.879999 30.50091
"2013-05-08" 31.719999 32.360001 31.700001 30.981838
"2013-05-09" 32.18 32.509998 32.130001 31.049166
"2013-05-10" 32.299999 32.740002 32.27 31.443541
"2013-05-13" 32.57 32.689999 32.200001 31.183836
"2013-05-14" 32.369999 32.540001 32.310001 31.164595
"2013-05-15" 32.48 32.720001 32.400002 31.433916
"2013-05-16" 32.57 32.740002 31.82 30.760616
"2013-05-17" 32.150002 32.290001 31.950001 30.962595
"2013-05-20" 32.169998 32.669998 32.139999 31.001078
"2013-05-21" 32.25 32.619999 32.209999 31.299255
"2013-05-22" 32.509998 32.889999 31.68 30.606716
"2013-05-23" 31.440001 31.860001 31.34 30.548994
"2013-05-24" 31.58 31.809999 31.469999 30.52014
"2013-05-28" 32.07 32.560001 31.92 30.808702
"2013-05-29" 31.879999 31.940001 31.48 30.539383
"2013-05-30" 31.76 32.060001 31.719999 30.548994
"2013-05-31" 31.67 32 31.32 30.12578
"2013-06-03" 31.459999 31.91 31.34 30.645187
"2013-06-04" 31.780001 32.279999 31.73 30.808702
"2013-06-05" 32.040001 32.189999 31.76 30.731752
"2013-06-06" 31.85 32.310001 31.74 31.078032
"2013-06-07" 32.5 32.790001 32.439999 31.433916
"2013-06-10" 32.709999 32.959999 32.529999 31.568584
"2013-06-11" 32.48 32.580002 32.080002 31.049166
"2013-06-12" 32.48 32.91 32.259998 31.347353
"2013-06-13" 32.599998 33.52 32.200001 32.145695
"2013-06-14" 33.290001 33.68 32.900002 31.780201
"2013-06-17" 33.25 33.98 33.130001 32.559311
"2013-06-18" 33.860001 34.5 33.849998 33.097954
"2013-06-19" 34.360001 34.389999 33.619999 32.376556
"2013-06-20" 33.299999 33.310001 32.639999 31.510868
"2013-06-21" 32.91 33.529999 32.860001 32.213039
"2013-06-24" 33.23 33.23 32.599998 31.491634
"2013-06-25" 33.080002 33.279999 32.470001 31.491634
"2013-06-26" 33.060001 33.23 32.68 31.510868
"2013-06-27" 33.009998 33.119999 32.740002 31.616676
"2013-06-28" 32.799999 32.889999 32.470001 31.260775
"2013-07-01" 32.700001 33.060001 32.549999 31.491634
"2013-07-02" 32.630001 33.150002 32.349998 31.289639
"2013-07-03" 32.349998 32.599998 32.220001 31.154978
"2013-07-05" 32.689999 33.009998 32.599998 31.568584
"2013-07-08" 33.040001 33.470001 32.970001 31.876377
"2013-07-09" 33.310001 33.709999 33.290001 32.386173
"2013-07-10" 33.57 33.869999 33.57 32.540073
"2013-07-11" 34.200001 34.240002 33.779999 32.693977
"2013-07-12" 33.98 34.07 33.720001 32.520832
"2013-07-15" 33.75 34.049999 33.619999 32.665104
"2013-07-16" 34 34.09 33.259998 32.107243
"2013-07-17" 33.439999 33.630001 33.259998 32.08794
"2013-07-18" 33.389999 33.799999 33.32 32.492779
"2013-07-19" 33.66 34.139999 33.650002 32.849438
"2013-07-22" 34.099998 34.259998 33.990002 32.926533
"2013-07-23" 33.990002 34.119999 33.599998 32.502422
"2013-07-24" 33.91 34.049999 33.68 32.579533
"2013-07-25" 33.740002 33.970001 33.68 32.733757
"2013-07-26" 33.790001 34.119999 33.610001 32.887989
"2013-07-29" 33.93 34.360001 33.93 33.022915
"2013-07-30" 34.450001 34.57 34.240002 33.138596
"2013-07-31" 34.43 34.580002 34.09 32.859074
"2013-08-01" 34.34 35.099998 34.049999 33.80368
"2013-08-02" 35.900002 37.669998 35.59 35.095295
"2013-08-05" 36.259998 36.490002 35.919998 35.047096
"2013-08-06" 36.360001 36.5 36.049999 34.989262
"2013-08-07" 36.209999 36.669998 36 35.239883
"2013-08-08" 36.650002 37 36.43 35.268787
"2013-08-09" 36.560001 36.919998 36.450001 35.586868
"2013-08-12" 36.84 37.689999 36.59 36.145927
"2013-08-13" 37.41 37.700001 37 36.271236
"2013-08-14" 37.52 37.66 37.360001 36.049538
"2013-08-15" 37.080002 37.279999 36.720001 35.432648
"2013-08-16" 36.639999 36.82 36.380001 35.15313
"2013-08-19" 36.470001 36.75 36.43 35.182045
"2013-08-20" 36.59 36.59 36.16 34.941074
"2013-08-21" 36.25 36.610001 36.040001 35.066383
"2013-08-22" 36.419998 36.599998 36.360001 35.076015
"2013-08-23" 36.549999 36.790001 36.400002 35.442303
"2013-08-26" 36.759998 36.939999 36.650002 35.442303
"2013-08-27" 36.32 36.490002 35.830002 34.719368
"2013-08-28" 36.060001 36.060001 35.799999 34.7001
"2013-08-29" 35.869999 36.119999 35.709999 34.738647
"2013-08-30" 36.060001 36.07 35.849998 34.671185
"2013-09-03" 36.419998 36.689999 35.970001 35.037468
"2013-09-04" 36.299999 36.700001 36.200001 35.316998
"2013-09-05" 36.689999 37.150002 36.639999 35.567604
"2013-09-06" 36.950001 37.099998 36.48 35.644707
"2013-09-09" 37.040001 37.470001 37 36.068813
"2013-09-10" 37.610001 37.919998 37.540001 36.338722
"2013-09-11" 37.75 37.98 37.73 36.579689
"2013-09-12" 37.849998 37.939999 37.470001 36.155567
"2013-09-13" 37.459999 37.75 37.41 36.329075
"2013-09-16" 38.060001 38.27 37.869999 36.570049
"2013-09-17" 38.619999 38.669998 38.32 37.148388
"2013-09-18" 38.610001 38.779999 38.139999 37.235134
"2013-09-19" 38.849998 39.049999 38.490002 37.186924
"2013-09-20" 38.639999 38.990002 38.240002 36.859207
"2013-09-23" 38.130001 38.25 37.700001 36.492928
"2013-09-24" 37.82 38.060001 37.59 36.454376
"2013-09-25" 37.810001 37.959999 37.48 36.213413
"2013-09-26" 37.75 38.119999 37.669998 36.733917
"2013-09-27" 37.759998 38.509998 37.75 36.733917
"2013-09-30" 37.849998 38.09 37.560001 36.386902
"2013-10-01" 37.779999 38.34 37.669998 36.579689
"2013-10-02" 37.630001 37.869999 37.240002 36.492928
"2013-10-03" 37.720001 37.84 37.34 36.145927
"2013-10-04" 37.43 37.939999 37.349998 36.415817
"2013-10-07" 37.419998 37.459999 37.150002 35.895329
"2013-10-08" 37.200001 37.34 36.619999 35.365177
"2013-10-09" 36.790001 36.84 36.259998 35.018192
"2013-10-10" 36.720001 37.029999 36.610001 35.692902
"2013-10-11" 36.98 37.310001 36.869999 35.914604
"2013-10-14" 37.009998 37.290001 36.810001 35.885693
"2013-10-15" 37.18 37.490002 36.380001 35.172409
"2013-10-16" 36.619999 36.990002 36.509998 35.394531
"2013-10-17" 36.610001 37.759998 36.52 36.408566
"2013-10-18" 37.939999 38.07 37.5 36.476166
"2013-10-21" 37.759998 37.889999 37.57 36.379585
"2013-10-22" 37.93 37.93 37.439999 36.418228
"2013-10-23" 37.599998 37.970001 37.419998 36.640339
"2013-10-24" 38 38.240002 37.93 36.901089
"2013-10-25" 38.209999 38.66 38.02 37.268059
"2013-10-28" 38.549999 38.59 38.139999 37.065266
"2013-10-29" 38.380001 38.709999 38.380001 37.383949
"2013-10-30" 38.610001 38.68 37.82 36.949364
"2013-10-31" 38.150002 39.09 37.549999 36.736916
"2013-11-01" 38.07 38.439999 37.75 36.659641
"2013-11-04" 38.080002 38.119999 37.869999 36.659641
"2013-11-05" 37.759998 37.84 37.279999 36.012604
"2013-11-06" 37.290001 37.529999 36.799999 35.587677
"2013-11-07" 37 37 36.389999 35.16275
"2013-11-08" 36.349998 37.200001 36.279999 35.829105
"2013-11-11" 37.119999 37.43 36.939999 35.742195
"2013-11-12" 36.990002 37.169998 36.779999 35.819462
"2013-11-13" 36.939999 37.240002 36.73 35.887062
"2013-11-14" 37.189999 37.560001 37 36.244385
"2013-11-15" 37.740002 38.330002 37.709999 36.987999
"2013-11-18" 38.439999 38.48 37.84 36.592033
"2013-11-19" 37.810001 38.029999 37.599998 36.640339
"2013-11-20" 37.98 38.290001 37.830002 36.601704
"2013-11-21" 37.91 38.360001 37.91 36.939728
"2013-11-22" 38.290001 38.290001 37.919998 36.698277
"2013-11-25" 38.02 38.150002 37.73 36.543762
"2013-11-26" 37.889999 38.130001 37.830002 36.698277
"2013-11-27" 38.040001 38.23 37.830002 36.87212
"2013-11-29" 38.200001 38.200001 37.84 36.736916
"2013-12-02" 37.990002 38.369999 37.68 36.476166
"2013-12-03" 37.490002 37.639999 37.23 36.099525
"2013-12-04" 37.290001 37.610001 37.240002 36.196091
"2013-12-05" 37.43 37.77 37.41 36.244385
"2013-12-06" 37.810001 38.169998 37.66 36.833488
"2013-12-09" 38.139999 38.75 38.119999 37.364647
"2013-12-10" 39.09 40.610001 39.060001 38.253124
