"Index" "Open" "High" "Low" "Price"
"2012-09-17" 36.939999 37.220001 36.669998 27.356318
"2012-09-18" 36.580002 36.599998 36.029999 27.020611
"2012-09-19" 36.400002 36.400002 35.75 26.669983
"2012-09-20" 35.610001 35.689999 35.060001 26.341745
"2012-09-21" 35.540001 35.610001 34.990002 26.103024
"2012-09-24" 34.830002 35.439999 34.709999 25.998575
"2012-09-25" 35.040001 35.07 34.25 25.565884
"2012-09-26" 34.279999 34.439999 33.900002 25.327164
"2012-09-27" 34.130001 34.950001 34.009998 25.931431
"2012-09-28" 34.5 35.119999 34.41 26.132854
"2012-10-01" 35.09 35.240002 34.25 25.797159
"2012-10-02" 34.77 34.849998 34.400002 25.99111
"2012-10-03" 34.900002 35.009998 34.709999 25.976198
"2012-10-04" 35.43 35.68 34.939999 26.080637
"2012-10-05" 35.220001 35.23 34.720001 26.035879
"2012-10-08" 34.68 34.970001 34.549999 25.99111
"2012-10-09" 34.779999 35.02 34.59 25.812077
"2012-10-10" 34.619999 34.939999 34.34 25.983658
"2012-10-11" 35.220001 35.389999 34.830002 25.983658
"2012-10-12" 34.82 35.23 34.68 25.99111
"2012-10-15" 34.950001 35.459999 34.700001 26.438721
"2012-10-16" 35.720001 36.060001 35.52 26.834108
"2012-10-17" 35.959999 36.279999 35.709999 26.960936
"2012-10-18" 36.080002 36.459999 36.080002 27.139982
"2012-10-19" 36.41 36.439999 35.509998 26.535704
"2012-10-22" 35.509998 35.720001 35.040001 26.229839
"2012-10-23" 34.459999 35.009998 34.240002 25.938896
"2012-10-24" 34.970001 35.299999 34.490002 25.774767
"2012-10-25" 34.799999 35.16 33.830002 25.573349
"2012-10-26" 34.34 34.369999 33.709999 25.297323
"2012-10-31" 34.009998 34.369999 33.740002 25.580811
"2012-11-01" 34.279999 34.560001 34.139999 25.558428
"2012-11-02" 34.599998 34.720001 34.349998 25.640488
"2012-11-05" 34.32 34.400002 33.68 25.498749
"2012-11-06" 34.25 34.560001 34.009998 25.662867
"2012-11-07" 34.029999 34.279999 33.939999 25.476364
"2012-11-08" 34.080002 34.279999 33.57 25.058598
"2012-11-09" 33.490002 33.799999 33.279999 24.909393
"2012-11-12" 33.48 33.720001 33.189999 24.872097
"2012-11-13" 33.130001 33.619999 33.080002 24.894474
"2012-11-14" 33.5 33.580002 32.68 24.506544
"2012-11-15" 32.889999 33.060001 32.32 24.320044
"2012-11-16" 32.639999 32.830002 32.310001 24.379725
"2012-11-19" 33.139999 33.529999 32.970001 24.872097
"2012-11-20" 33.220001 33.419998 33.049999 24.916859
"2012-11-21" 33.48 33.950001 33.389999 25.289862
"2012-11-23" 33.98 34.139999 33.790001 25.431606
"2012-11-26" 33.889999 34.419998 33.889999 25.588266
"2012-11-27" 34.029999 34.040001 33.639999 25.327164
"2012-11-28" 33.810001 33.91 33.439999 25.260017
"2012-11-29" 34.060001 34.200001 33.799999 25.379381
"2012-11-30" 34.110001 34.290001 33.880001 25.319712
"2012-12-03" 34.139999 34.299999 33.84 25.334621
"2012-12-04" 33.91 34.490002 33.549999 25.558428
"2012-12-05" 34.299999 34.470001 34.049999 25.588266
"2012-12-06" 34.310001 34.91 34.290001 26.043337
"2012-12-07" 34.939999 35.259998 34.790001 26.289518
"2012-12-10" 35.240002 35.360001 35.099998 26.244761
"2012-12-11" 35.279999 35.419998 35.169998 26.282061
"2012-12-12" 35.310001 35.43 34.959999 26.311907
"2012-12-13" 35.169998 35.169998 34.91 26.334459
"2012-12-14" 35.009998 35.439999 34.91 26.394623
"2012-12-17" 35.259998 35.330002 34.98 26.499895
"2012-12-18" 35.240002 35.849998 35.240002 26.943567
"2012-12-19" 35.860001 35.959999 35.619999 26.800694
"2012-12-20" 35.700001 36.799999 35.650002 27.507557
"2012-12-21" 36.290001 36.580002 36.060001 27.417324
"2012-12-24" 36.279999 36.650002 36.18 27.462435
"2012-12-26" 36.619999 36.619999 35.860001 27.124035
"2012-12-27" 36.07 36.369999 35.599998 27.281958
"2012-12-28" 36.049999 36.41 35.759998 26.898455
"2012-12-31" 35.700001 36.580002 35.57 27.439882
"2013-01-02" 37.240002 37.5 37.040001 28.086578
"2013-01-03" 37.439999 37.619999 37.27 28.124186
"2013-01-04" 37.419998 37.75 37.290001 28.357292
"2013-01-07" 37.580002 38.169998 37.580002 28.545294
"2013-01-08" 37.950001 38 37.639999 28.455057
"2013-01-09" 37.950001 38.279999 37.759998 28.740807
"2013-01-10" 38.43 38.43 37.790001 28.60544
"2013-01-11" 38.060001 38.290001 37.990002 28.785927
"2013-01-14" 38.299999 38.32 38.060001 28.800966
"2013-01-15" 38 38.5 37.73 28.928802
"2013-01-16" 38.27 38.490002 38.099998 28.913757
"2013-01-17" 38.560001 38.82 38.52 29.116789
"2013-01-18" 38.880001 39.549999 38.709999 29.703344
"2013-01-22" 39.380001 39.57 39.119999 29.567993
"2013-01-23" 39.23 39.68 39.09 29.80862
"2013-01-24" 39.73 40.220001 39.700001 30.214687
"2013-01-25" 40.290001 40.639999 40.02 30.560608
"2013-01-28" 40.759998 40.990002 40.650002 30.778688
"2013-01-29" 40.93 41.02 40.709999 30.635811
"2013-01-30" 40.41 40.689999 39.900002 30.116934
"2013-01-31" 39.869999 40.119999 39.470001 30.004141
"2013-02-01" 40.209999 41.009998 39.93 30.44029
"2013-02-04" 40.110001 40.630001 40 30.274853
"2013-02-05" 40.509998 40.549999 40.130001 30.2899
"2013-02-06" 39.900002 40.099998 39.439999 30.011656
"2013-02-07" 39.919998 39.939999 39.400002 29.643185
"2013-02-08" 39.41 39.540001 39.119999 29.680786
"2013-02-11" 39.509998 39.59 39.099998 29.57551
"2013-02-12" 39.400002 39.73 39.400002 29.778543
"2013-02-13" 39.68 39.889999 39.419998 29.680786
"2013-02-14" 39.32 39.380001 39.060001 29.48527
"2013-02-15" 39.299999 39.32 38.619999 29.207033
"2013-02-19" 39.02 39.700001 38.990002 29.823658
"2013-02-20" 39.610001 39.799999 39.150002 29.462709
"2013-02-21" 39.470001 39.470001 38.619999 29.161917
"2013-02-22" 38.93 39.43 38.84 29.643185
"2013-02-25" 39.599998 39.66 38.32 28.816006
"2013-02-26" 38.439999 38.75 38.130001 28.853617
"2013-02-27" 38.25 39.040001 38.25 29.064165
"2013-02-28" 38.709999 39.200001 38.610001 29.282228
"2013-03-01" 38.759998 39.380001 38.57 29.545424
"2013-03-04" 39.18 39.810001 39.119999 29.936462
"2013-03-05" 39.889999 40.080002 39.68 30.101894
"2013-03-06" 40.130001 40.18 39.66 29.966547
"2013-03-07" 39.82 39.990002 39.360001 29.665749
"2013-03-08" 39.349998 39.529999 38.970001 29.696032
"2013-03-11" 39.41 39.439999 38.950001 29.627876
"2013-03-12" 39.119999 39.150002 38.630001 29.393097
"2013-03-13" 39.200001 39.549999 38.880001 29.552153
"2013-03-14" 39.009998 39.240002 38.91 29.476414
"2013-03-15" 38.77 39.110001 38.669998 29.377956
"2013-03-18" 38.389999 38.650002 38.310001 29.196194
"2013-03-19" 38.560001 38.77 37.990002 29.021986
"2013-03-20" 38.619999 38.779999 38.419998 29.332508
"2013-03-21" 38.43 38.790001 38.43 29.173468
"2013-03-22" 38.57 39.02 38.400002 29.453682
"2013-03-25" 38.98 39.290001 38.82 29.536995
"2013-03-26" 39.209999 40.16 39.150002 30.400375
"2013-03-27" 39.84 39.91 39.52 30.188311
"2013-03-28" 39.799999 40.040001 39.610001 30.279213
"2013-04-01" 39.880001 40.009998 39.580002 30.233761
"2013-04-02" 40.080002 40.349998 39.950001 30.400375
"2013-04-03" 40.299999 40.299999 39.599998 30.021702
"2013-04-04" 39.68 40.029999 39.509998 30.036852
"2013-04-05" 39.060001 39.439999 38.849998 29.802069
"2013-04-08" 39.32 40.07 39.209999 30.332222
"2013-04-09" 40 40.060001 39.580002 30.180746
"2013-04-10" 39.91 40.59 39.869999 30.491255
"2013-04-11" 40.349998 41.189999 40.18 31.157742
"2013-04-12" 41.09 41.25 41 31.135027
"2013-04-15" 40.84 41.299999 40.529999 30.733625
"2013-04-16" 41.049999 41.450001 40.419998 31.362232
"2013-04-17" 40.970001 41.110001 40.419998 31.059288
"2013-04-18" 41 41.09 40.259998 30.763924
"2013-04-19" 40.709999 41.68 40.639999 31.498558
"2013-04-22" 41.549999 41.700001 41.169998 31.437963
"2013-04-23" 41.599998 42.119999 41.419998 31.763628
"2013-04-24" 41.869999 43.209999 41.869999 32.324074
"2013-04-25" 41.599998 41.700001 41.450001 31.392523
"2013-04-26" 41.610001 41.68 41.5 31.50613
"2013-04-29" 41.700001 41.73 41.599998 31.59701
"2013-04-30" 41.650002 41.970001 41.509998 31.771196
"2013-05-01" 41.98 42.099998 41.650002 31.740906
"2013-05-02" 42.060001 42.41 41.889999 32.096867
"2013-05-03" 42.75 42.880001 42.41 32.369526
"2013-05-06" 42.68 42.860001 42.5 32.460392
"2013-05-07" 43.09 43.27 42.73 32.551285
"2013-05-08" 42.919998 43.130001 42.889999 32.649738
"2013-05-09" 43.080002 43.150002 42.830002 32.498276
"2013-05-10" 43.049999 43.330002 42.900002 32.808781
"2013-05-13" 43.330002 43.52 43.139999 32.748196
"2013-05-14" 43.330002 43.5 43.139999 32.846649
"2013-05-15" 43.34 43.869999 43.119999 33.202606
"2013-05-16" 43.669998 44 43.619999 33.225327
"2013-05-17" 43.919998 44.049999 43.59 33.225327
"2013-05-20" 43.75 44.18 43.669998 33.460117
"2013-05-21" 44.32 44.790001 44.169998 33.906948
"2013-05-22" 44.75 45.52 43.200001 32.945114
"2013-05-23" 43.040001 43.040001 42 32.096867
"2013-05-24" 42.169998 42.560001 41.650002 32.149883
"2013-05-28" 42.889999 43.16 41.950001 32.142303
"2013-05-29" 42.060001 42.150002 41.279999 31.703041
"2013-05-30" 41.91 42.279999 41.07 31.127455
"2013-05-31" 41 41.439999 40.259998 30.521563
"2013-06-03" 40.259998 40.82 39.799999 30.612444
"2013-06-04" 40.470001 41 39.389999 29.855082
"2013-06-05" 39.290001 39.529999 38.639999 29.430967
"2013-06-06" 38.799999 39.259998 38.200001 29.733912
"2013-06-07" 39.110001 39.32 38.599998 29.772045
"2013-06-10" 39.150002 39.200001 38.139999 29.100786
"2013-06-11" 37.900002 38.02 37.43 28.574457
"2013-06-12" 38 38 36.990002 28.315092
"2013-06-13" 37.34 38.380001 37 29.192322
"2013-06-14" 38.099998 38.959999 38.09 29.352499
"2013-06-17" 38.919998 39.240002 38.220001 29.33725
"2013-06-18" 38.599998 38.75 38.25 29.245722
"2013-06-19" 38.34 38.52 36.549999 28.193052
"2013-06-20" 36.740002 36.75 35.450001 27.155643
"2013-06-21" 35.830002 36.369999 35.09 27.735374
"2013-06-24" 35.830002 36.639999 35.110001 27.338722
"2013-06-25" 36.169998 37.09 35.810001 28.162546
"2013-06-26" 37.32 37.549999 36.759998 28.322723
"2013-06-27" 37.34 38.049999 37.279999 29.001623
"2013-06-28" 37.869999 38.130001 37.380001 28.772787
"2013-07-01" 38.290001 38.290001 37.509998 28.658358
"2013-07-02" 37.450001 38.290001 37.380001 28.978739
"2013-07-03" 37.720001 37.720001 37.150002 28.574457
"2013-07-05" 37.700001 37.959999 36.779999 28.604975
"2013-07-08" 37.599998 38.029999 37.380001 28.673615
"2013-07-09" 37.849998 38.470001 37.77 29.230459
"2013-07-10" 38.18 38.52 37.77 29.184685
"2013-07-11" 38.759998 39.330002 38.720001 29.932243
"2013-07-12" 39.240002 40.02 38.599998 29.718651
"2013-07-15" 39.009998 39.369999 38.880001 29.955128
"2013-07-16" 39.299999 39.43 39.110001 29.977999
"2013-07-17" 39.549999 40.009998 39.310001 30.489092
"2013-07-18" 40 40.459999 39.970001 30.847595
"2013-07-19" 40.439999 40.560001 39.970001 30.786572
"2013-07-22" 40.349998 40.580002 40.130001 30.847595
"2013-07-23" 40.5 40.509998 40.080002 30.717924
"2013-07-24" 40.290001 40.5 39.689999 30.405161
"2013-07-25" 39.639999 39.75 39.060001 30.138195
"2013-07-26" 39.310001 39.66 39.02 30.244986
"2013-07-29" 39.419998 39.57 38.959999 29.840696
"2013-07-30" 39.360001 39.540001 38.799999 29.67289
"2013-07-31" 39.07 39.099998 37.959999 29.260975
"2013-08-01" 38.59 38.73 38.150002 29.260975
"2013-08-02" 38.419998 38.689999 38.029999 29.100786
"2013-08-05" 38.130001 38.380001 38.080002 29.131285
"2013-08-06" 38.119999 38.59 38.02 29.260975
"2013-08-07" 38.240002 38.349998 37.84 29.062647
"2013-08-08" 38.220001 38.310001 37.580002 28.810917
"2013-08-09" 37.700001 38.650002 37.68 29.222845
"2013-08-12" 38.049999 38.09 37.389999 28.742258
"2013-08-13" 37.75 37.75 37.060001 28.330359
"2013-08-14" 37.099998 37.209999 36.759998 28.200678
"2013-08-15" 36.700001 36.700001 35.98 27.582817
"2013-08-16" 36 36.07 35.060001 26.758993
"2013-08-19" 35.09 35.27 34.759998 26.530159
"2013-08-20" 34.810001 35.470001 34.810001 26.934439
"2013-08-21" 35.189999 36.040001 34.599998 27.02598
"2013-08-22" 35.330002 35.540001 35.110001 27.018345
"2013-08-23" 35.57 36.119999 35.349998 27.521791
"2013-08-26" 36.07 36.200001 35.790001 27.376858
"2013-08-27" 35.509998 35.889999 35.16 27.323463
"2013-08-28" 35.82 36.18 35.52 27.201418
"2013-08-29" 35.439999 35.669998 35.209999 27.109886
"2013-08-30" 35.66 35.799999 35.080002 26.881031
"2013-09-03" 35.630001 35.700001 34.810001 26.926809
"2013-09-04" 35.299999 35.77 35.02 27.148026
"2013-09-05" 35.599998 36.080002 35.48 27.216671
"2013-09-06" 35.950001 36.98 35.939999 27.880306
"2013-09-09" 36.59 37.59 36.23 28.673615
"2013-09-10" 37.849998 38.040001 37.119999 28.444788
"2013-09-11" 37.279999 37.490002 36.990002 28.551561
"2013-09-12" 37.330002 37.48 36.77 28.482403
"2013-09-13" 37.029999 37.200001 36.860001 28.413225
"2013-09-16" 37.369999 38.470001 37.150002 28.682224
"2013-09-17" 37.41 37.860001 37.299999 28.858986
"2013-09-18" 37.560001 39.369999 37.029999 30.096355
"2013-09-19" 39.25 39.740002 38.849998 29.888844
"2013-09-20" 38.900002 39.029999 38.09 29.274012
"2013-09-23" 38.119999 38.540001 37.889999 29.320118
"2013-09-24" 38.16 38.459999 37.82 29.089554
"2013-09-25" 37.900002 38.349998 37.66 29.197151
"2013-09-26" 37.950001 38.52 37.700001 29.589115
"2013-09-27" 38.360001 38.669998 37.900002 29.435404
"2013-09-30" 38.099998 38.34 37.52 28.912794
"2013-10-01" 37.779999 38.799999 37.310001 29.412348
"2013-10-02" 39.349998 39.380001 38.360001 29.78124
"2013-10-03" 38.560001 38.84 37.68 29.373917
"2013-10-04" 38.139999 38.34 37.630001 29.281691
"2013-10-07" 37.700001 38.119999 37.540001 29.005014
"2013-10-08" 37.740002 37.98 37.41 28.828245
"2013-10-09" 37.599998 38.110001 37.330002 28.7514
"2013-10-10" 37.82 38.599998 37.759998 29.650593
"2013-10-11" 38.580002 39.110001 38.200001 30.050232
"2013-10-14" 38.73 39.060001 38.599998 29.950327
"2013-10-15" 38.77 39.189999 38.470001 29.981073
"2013-10-16" 39.09 40.009998 39.080002 30.726563
"2013-10-17" 39.849998 40.240002 39.810001 30.772673
"2013-10-18" 40 40.150002 39.77 30.603601
"2013-10-21" 39.830002 39.939999 39.639999 30.665079
"2013-10-22" 40.169998 40.759998 40 31.264547
"2013-10-23" 40.34 40.75 40.02 30.84185
"2013-10-24" 40.349998 40.560001 39.860001 31.064722
"2013-10-25" 40.380001 40.990002 40.279999 31.448988
"2013-10-28" 40.799999 40.799999 40.110001 31.195374
"2013-10-29" 40.57 40.57 40.189999 31.080095
"2013-10-30" 40.41 40.68 39.880001 30.772673
