"Index" "Open" "High" "Low" "Price"
"2012-09-17" 89.360001 90.910004 89.349998 56.196365
"2012-09-18" 90.690002 91.849998 90.510002 56.704494
"2012-09-19" 91.300003 91.93 90.82 56.785061
"2012-09-20" 91.510002 92.25 91.510002 57.088692
"2012-09-21" 92.300003 92.589996 92.029999 57.094875
"2012-09-24" 92.010002 92.32 91.5 57.088692
"2012-09-25" 91.489998 91.949997 90.059998 56.338177
"2012-09-26" 90.089996 90.949997 89.940002 56.544586
"2012-09-27" 90.559998 91.019997 89.940002 56.700924
"2012-09-28" 90.5 90.5 89.730003 56.250633
"2012-10-01" 90.269997 91.169998 90 56.732197
"2012-10-02" 91.099998 92 91.099998 57.445175
"2012-10-03" 91.919998 92.940002 91.849998 58.020565
"2012-10-04" 93.040001 94 92.989998 58.358292
"2012-10-05" 93.75 94.129997 93.400002 58.627243
"2012-10-08" 93.699997 93.860001 93.029999 58.383327
"2012-10-09" 92.779999 93.230003 91.489998 57.226292
"2012-10-10" 91.660004 92.360001 90.699997 56.775978
"2012-10-11" 91.839996 91.839996 90.620003 56.813507
"2012-10-12" 91.480003 92.779999 91.370003 57.351349
"2012-10-15" 92.150002 92.309998 91.5 57.576504
"2012-10-16" 92.489998 92.800003 91.940002 57.864193
"2012-10-17" 92.209999 92.82 91.830002 57.445175
"2012-10-18" 89.080002 90.360001 87.959999 55.037296
"2012-10-19" 88.160004 89.57 88 55.112339
"2012-10-22" 88.279999 89.410004 88.099998 55.787804
"2012-10-23" 88.510002 88.510002 87.400002 54.981007
"2012-10-24" 87.800003 88.43 87.510002 54.868443
"2012-10-25" 88.32 88.559998 87.529999 54.868443
"2012-10-26" 87.949997 88.970001 87.480003 55.212425
"2012-10-31" 89.239998 89.5 88.260002 55.387531
"2012-11-01" 88.970001 89.43 87.559998 54.78088
"2012-11-02" 87.650002 88.470001 86.870003 54.368088
"2012-11-05" 86.610001 87.449997 85.660004 54.280537
"2012-11-06" 87 87.860001 86.919998 54.655788
"2012-11-07" 87.160004 87.589996 86.339996 54.005348
"2012-11-08" 86.419998 87.220001 85.519997 53.50502
"2012-11-09" 84.769997 86.480003 84.529999 53.423698
"2012-11-12" 85.32 86.209999 84.900002 53.148514
"2012-11-13" 84.589996 85.550003 84.349998 52.79829
"2012-11-14" 84.400002 85.169998 82.239998 51.528667
"2012-11-15" 82.199997 84.029999 82.099998 52.516842
"2012-11-16" 84.209999 85.199997 83.889999 53.117264
"2012-11-19" 85.589996 86.860001 85.540001 54.324306
"2012-11-20" 86.93 88.129997 86.860001 55.099842
"2012-11-21" 88.18 88.879997 88.010002 55.487606
"2012-11-23" 89 90.43 88.900002 56.544586
"2012-11-26" 89.839996 90 89.139999 56.206848
"2012-11-27" 90.519997 90.519997 89.07 55.744015
"2012-11-28" 89 90.040001 88.25 56.231884
"2012-11-29" 89.970001 90.839996 89.489998 56.494537
"2012-11-30" 89.93 90.400002 89.559998 56.213085
"2012-12-03" 90.010002 90.489998 89.730003 56.163067
"2012-12-04" 89.809998 89.949997 88.949997 55.631443
"2012-12-05" 89.07 89.419998 88.18 55.368782
"2012-12-06" 88.650002 89.57 88.379997 55.456333
"2012-12-07" 88.669998 89.699997 88.669998 55.956665
"2012-12-10" 89.160004 89.959999 88.989998 55.706509
"2012-12-11" 89.489998 89.720001 88.169998 55.324997
"2012-12-12" 88.900002 89.699997 88.510002 55.525131
"2012-12-13" 88.690002 89.199997 87.910004 55.162395
"2012-12-14" 87.510002 88.300003 87.510002 54.880932
"2012-12-17" 87.949997 88.470001 87.110001 54.655788
"2012-12-18" 87.279999 87.449997 85.379997 54.105408
"2012-12-19" 86.519997 86.760002 84.620003 52.942112
