"Index" "Open" "High" "Low" "Price"
"2012-09-17" 66.480003 66.75 65.449997 50.218197
"2012-09-18" 65.660004 66.139999 65.410004 50.225849
"2012-09-19" 65.669998 66.489998 65.470001 50.600609
"2012-09-20" 65.639999 65.889999 65.089996 50.279369
"2012-09-21" 66.419998 66.519997 65.839996 50.36351
"2012-09-24" 65.459999 65.980003 65.349998 50.164646
"2012-09-25" 65.650002 66.110001 64.540001 49.361588
"2012-09-26" 64.620003 64.760002 63.450001 48.573833
"2012-09-27" 63.73 64.269997 63.400002 48.818569
"2012-09-28" 63.549999 63.59 62.990002 48.260242
"2012-10-01" 63.470001 63.810001 62.639999 48.000206
"2012-10-02" 63.540001 64.150002 63.330002 48.902706
"2012-10-03" 64.199997 64.599998 63.900002 49.239208
"2012-10-04" 64.769997 64.93 64.339996 49.522202
"2012-10-05" 65.25 65.730003 64.559998 49.560444
"2012-10-08" 64.419998 64.800003 64.260002 49.323349
"2012-10-09" 64.550003 64.769997 64.330002 49.254517
"2012-10-10" 64.739998 64.830002 64.349998 49.36924
"2012-10-11" 65.099998 65.190002 64.75 49.675163
"2012-10-12" 63.330002 63.900002 62.27 48.274567
"2012-10-15" 62.990002 63.139999 62.349998 48.428471
"2012-10-16" 61.299999 61.599998 59.939999 46.481483
"2012-10-17" 60.009998 60.16 59.009998 45.996674
"2012-10-18" 59.73 60.330002 59.639999 46.050537
"2012-10-19" 59.830002 59.91 59.18 45.727322
"2012-10-22" 59.259998 59.41 58.549999 45.473358
"2012-10-23" 58.330002 58.799999 58.040001 45.127068
"2012-10-24" 58.990002 59.110001 57.939999 44.634541
"2012-10-25" 58.5 58.73 57.740002 44.973156
"2012-10-26" 58.419998 58.529999 57.650002 44.44986
"2012-10-31" 57.959999 58.470001 57.52 44.788452
"2012-11-01" 58.16 59.330002 57.77 45.596489
"2012-11-02" 59.73 59.75 59 45.55032
"2012-11-05" 58.93 58.93 57.700001 45.19632
"2012-11-06" 58.880001 59.650002 58.810001 45.465664
"2012-11-07" 58.25 58.330002 56.41 43.557167
"2012-11-08" 56.75 57.650002 56.25 43.2878
"2012-11-09" 56.110001 56.810001 56.02 43.295509
"2012-11-12" 56.509998 56.740002 56.119999 43.333988
"2012-11-13" 55.889999 56.330002 54.869999 42.295059
"2012-11-14" 55.150002 55.25 53.400002 41.317738
"2012-11-15" 53.82 54.799999 53.75 41.841045
"2012-11-16" 54.470001 54.57 53.360001 41.817955
"2012-11-19" 55.07 55.41 54.639999 42.256615
"2012-11-20" 54.880001 55.470001 54.650002 42.171955
"2012-11-21" 54.830002 54.98 54.27 42.179649
"2012-11-23" 55.009998 55.779999 54.84 42.903034
"2012-11-26" 55.490002 55.66 55.040001 42.749111
"2012-11-27" 55.470001 55.93 54.959999 42.348942
"2012-11-28" 54.75 55.380001 54.369999 42.595207
"2012-11-29" 55.48 55.740002 55.209999 42.595207
"2012-11-30" 55.459999 56.360001 55.25 43.203163
"2012-12-03" 56.380001 56.459999 55.139999 42.564423
"2012-12-04" 55.169998 55.560001 54.34 42.387432
"2012-12-05" 55.419998 56.380001 55.369999 43.010773
"2012-12-06" 55.900002 55.939999 55.02 42.579819
"2012-12-07" 55.709999 55.860001 55.330002 42.941525
"2012-12-10" 55.700001 56.02 55.490002 43.003075
"2012-12-11" 55.919998 56.669998 55.77 43.280109
"2012-12-12" 56.349998 56.990002 56.200001 43.634121
"2012-12-13" 56.560001 56.810001 56.369999 43.510983
"2012-12-14" 56.360001 56.810001 55.75 42.979988
"2012-12-17" 56.200001 57.919998 56.060001 44.534508
"2012-12-18" 57.900002 59.580002 57.57 45.804283
"2012-12-19" 59.880001 59.880001 58.630001 45.119377
"2012-12-20" 58.630001 59.209999 58.549999 45.534916
"2012-12-21" 58.110001 58.700001 57.709999 44.8731
"2012-12-24" 58.23 58.68 58.119999 45.073193
"2012-12-26" 58.619999 58.77 57.66 44.673019
"2012-12-27" 58.060001 58.279999 57.369999 44.596077
"2012-12-28" 57.470001 58.150002 57.389999 44.218979
"2012-12-31" 57.419998 58.32 57.200001 44.8731
"2013-01-02" 59.509998 59.639999 58.959999 45.819668
"2013-01-03" 59.540001 59.919998 59.23 45.981277
"2013-01-04" 59.93 60.57 59.540001 46.54306
"2013-01-07" 60.25 61.200001 60.080002 46.966316
"2013-01-08" 60.810001 60.880001 60.049999 46.366062
"2013-01-09" 59 60.560001 58.959999 46.304493
"2013-01-10" 60.5 61.150002 60.25 47.050972
"2013-01-11" 60.970001 60.970001 59.77 46.516472
"2013-01-14" 59.93 60.09 59.220001 46.051693
"2013-01-15" 59.119999 59.84 59.09 46.299587
"2013-01-16" 59.75 60.080002 59.349998 46.307308
"2013-01-17" 61.009998 62.380001 60.700001 48.03474
"2013-01-18" 62.259998 62.389999 61.27 47.903053
"2013-01-22" 61.700001 62.25 61.509998 48.119953
"2013-01-23" 61.41 61.970001 61.41 47.903053
"2013-01-24" 61.93 62.18 61.459999 47.918556
"2013-01-25" 62.049999 62.380001 61.799999 48.00375
"2013-01-28" 61.990002 62.310001 61.439999 48.00375
"2013-01-29" 61.330002 62.16 61.240002 47.957279
"2013-01-30" 61.900002 62.029999 61.470001 47.887562
"2013-01-31" 61.790001 62.02 61.43 47.872082
"2013-02-01" 62.220001 63.34 62.080002 48.956547
"2013-02-04" 62.779999 62.98 62.32 48.406574
"2013-02-05" 62.950001 63.400002 62.669998 48.948814
"2013-02-06" 62.669998 63.419998 62.669998 49.064991
"2013-02-07" 63.25 63.849998 62.98 49.305134
"2013-02-08" 63.57 63.709999 63.23 49.072754
"2013-02-11" 63.490002 64.099998 63.310001 49.576248
"2013-02-12" 64.150002 64.889999 63.73 50.172718
"2013-02-13" 64.800003 64.82 63.939999 49.707943
"2013-02-14" 63.889999 64.220001 63.700001 49.475548
"2013-02-15" 64.160004 64.230003 63.73 49.475548
"2013-02-19" 63.959999 64 63.400002 49.196697
"2013-02-20" 63.369999 63.57 63.02 48.933311
"2013-02-21" 62.919998 63.59 62.349998 48.329105
"2013-02-22" 62.779999 62.98 62.209999 48.724163
"2013-02-25" 63.25 63.25 60.82 47.112934
"2013-02-26" 61.130001 61.290001 60.369999 47.360825
"2013-02-27" 61.130001 61.799999 60.84 47.779118
"2013-02-28" 61.639999 62.610001 61.57 48.329105
"2013-03-01" 62.02 62.939999 61.52 48.631203
"2013-03-04" 62.639999 63.580002 62.419998 49.204441
"2013-03-05" 63.900002 64.360001 63.369999 49.312889
"2013-03-06" 64.099998 64.459999 63.360001 49.700195
"2013-03-07" 64.300003 64.989998 64.160004 50.203709
"2013-03-08" 65.029999 65.190002 64.440002 50.366379
"2013-03-11" 65.029999 65.900002 64.949997 51.024815
"2013-03-12" 65.779999 65.870003 65.110001 50.676228
"2013-03-13" 65.550003 65.989998 65.300003 51.071297
"2013-03-14" 66.019997 66.480003 65.82 51.32692
"2013-03-15" 66 66.93 65.839996 51.745235
"2013-03-18" 65.900002 66.470001 65.519997 51.319176
"2013-03-19" 66.279999 66.650002 65.709999 51.319176
"2013-03-20" 66.629997 66.93 66.440002 51.667755
"2013-03-21" 66.330002 66.620003 65.830002 51.148754
"2013-03-22" 66.190002 66.480003 65.970001 51.288197
"2013-03-25" 66.440002 66.629997 65.730003 51.233963
"2013-03-26" 66.629997 66.639999 66.080002 51.342415
"2013-03-27" 65.900002 66.269997 65.529999 51.272694
"2013-03-28" 66.059998 66.580002 65.800003 51.512829
"2013-04-01" 66.410004 66.550003 65.610001 50.962841
"2013-04-02" 66.150002 66.870003 65.959999 51.752956
"2013-04-03" 66.68 66.760002 64.910004 50.451588
"2013-04-04" 65.379997 65.989998 65 50.81567
"2013-04-05" 64.730003 65.349998 64.209999 50.536793
"2013-04-08" 65.150002 66.089996 64.790001 51.179737
"2013-04-09" 66.129997 66.669998 65.980003 51.396641
"2013-04-10" 66.589996 67.32 66.529999 52.047318
"2013-04-11" 67.279999 67.57 66.959999 52.140266
"2013-04-12" 66.330002 66.480003 65.629997 51.31377
"2013-04-15" 65.690002 66.510002 63.740002 49.707535
"2013-04-16" 64.279999 64.860001 63.689999 50.518448
"2013-04-17" 65.610001 66.25 64.470001 50.721176
"2013-04-18" 65.260002 65.949997 64.760002 50.869316
"2013-04-19" 65.5 65.559998 64.93 50.861538
"2013-04-22" 65.43 65.709999 65.110001 51.001881
"2013-04-23" 65.559998 67.440002 65.18 52.405392
"2013-04-24" 67.339996 68.470001 67 53.364449
"2013-04-25" 68.690002 69.650002 68.519997 53.567184
"2013-04-26" 68.610001 68.980003 67.889999 53.099346
"2013-04-29" 68.169998 68.57 68.029999 53.341045
"2013-04-30" 68.220001 68.339996 67.540001 52.927792
"2013-05-01" 67.800003 67.980003 67.080002 52.374191
"2013-05-02" 67.220001 67.550003 67.029999 52.382
"2013-05-03" 67.919998 68.57 67.900002 53.107124
"2013-05-06" 68.120003 68.459999 67.980003 53.22411
