"Index" "Open" "High" "Low" "Price"
"2012-09-17" 53.560001 53.650002 52.580002 36.123356
"2012-09-18" 52.599998 52.75 51.75 35.650757
"2012-09-19" 52.119999 52.57 52.07 35.869938
"2012-09-20" 52.34 52.66 52.200001 35.904198
"2012-09-21" 52.57 52.790001 52.369999 36.000076
"2012-09-24" 52.669998 53.639999 52.540001 36.57542
"2012-09-25" 53.439999 53.540001 53.189999 36.431587
"2012-09-26" 53.259998 53.990002 53.150002 36.630203
"2012-09-27" 53.48 53.549999 52.630001 36.054867
"2012-09-28" 52.599998 52.919998 52.459999 36.164452
"2012-10-01" 52.849998 53.139999 52.490002 35.952122
"2012-10-02" 52.759998 53.02 52.57 36.061718
"2012-10-03" 52.799999 53.310001 52.790001 36.36993
"2012-10-04" 53.299999 53.759998 53.200001 36.506931
"2012-10-05" 53.450001 53.610001 53.240002 36.472664
"2012-10-08" 53.23 53.439999 53.110001 36.486382
"2012-10-09" 53.23 53.450001 53.139999 36.417881
"2012-10-10" 53.130001 53.310001 52.84 36.219246
"2012-10-11" 53.200001 53.240002 52.810001 36.191856
"2012-10-12" 52.970001 53.139999 52.599998 36.102802
"2012-10-15" 52.709999 53.060001 52.349998 36.328838
"2012-10-16" 53.200001 53.509998 52.990002 36.390484
"2012-10-17" 53.290001 53.91 53 36.911034
"2012-10-18" 53.860001 54.200001 53.790001 37.102806
"2012-10-19" 54.040001 54.040001 53.619999 36.732944
"2012-10-22" 52.779999 54.060001 52.779999 36.787746
"2012-10-23" 52.93 53.189999 52.549999 36.205551
"2012-10-24" 52.860001 53.040001 52.59 36.150745
"2012-10-25" 53.029999 53.099998 52.459999 36.356239
"2012-10-26" 53.110001 53.150002 52.759998 36.205551
"2012-10-31" 52.810001 53.34 52.75 36.658848
"2012-11-01" 53.32 53.360001 52.799999 36.631172
"2012-11-02" 53.080002 53.080002 52.049999 36.105202
"2012-11-05" 51.939999 52.360001 51.720001 35.849129
"2012-11-06" 51.799999 52.02 51.48 35.703804
"2012-11-07" 51.380001 51.439999 50 34.817951
"2012-11-08" 50.299999 50.91 50.110001 34.679543
"2012-11-09" 49.75 50.09 49.060001 34.160484
"2012-11-12" 49.400002 49.549999 49.009998 34.105114
"2012-11-13" 49.09 49.799999 49.009998 34.312748
"2012-11-14" 49.59 49.740002 49.09 34.139736
