"Index" "Open" "High" "Low" "Price"
"2012-09-17" 40.66 40.75 40.419998 36.219845
"2012-09-18" 40.57 40.82 40.290001 36.130905
"2012-09-19" 40.669998 41.220001 40.360001 36.655689
"2012-09-20" 40.860001 41.330002 40.43 36.540062
"2012-09-21" 41.630001 41.630001 40.75 36.522274
"2012-09-24" 40.860001 41.360001 40.700001 36.691265
"2012-09-25" 41.389999 41.900002 41.029999 36.646801
"2012-09-26" 41.200001 41.279999 40.73 36.433327
"2012-09-27" 41.150002 42 40.860001 37.029289
"2012-09-28" 41.290001 42 41.259998 36.984818
"2012-10-01" 41.73 42.330002 41.139999 36.949219
"2012-10-02" 41.869999 41.880001 41.169998 36.886948
"2012-10-03" 41.470001 42.439999 41.470001 37.482918
"2012-10-04" 42.41 42.919998 41.900002 38.096664
"2012-10-05" 42.860001 43.5 42.790001 38.247879
"2012-10-08" 42.799999 43.25 42.549999 38.132236
"2012-10-09" 42.790001 42.880001 42.18 37.678604
"2012-10-10" 42.380001 42.389999 41.889999 37.313911
"2012-10-11" 42.330002 42.610001 41.66 37.198288
"2012-10-12" 41.720001 41.990002 41.23 36.744648
"2012-10-15" 41.400002 41.860001 40.59 36.548958
"2012-10-16" 41.189999 41.919998 41.189999 37.01149
"2012-10-17" 41.810001 41.919998 41.529999 37.162708
"2012-10-18" 41.889999 42.889999 41.810001 37.509594
"2012-10-19" 42.009998 43.07 41.73 38.194492
"2012-10-22" 42.880001 42.990002 41.48 37.509594
"2012-10-23" 41.880001 42.09 41.549999 37.136021
"2012-10-24" 41.970001 41.98 41.439999 36.949219
"2012-10-25" 41.91 42.130001 41.389999 37.20718
"2012-10-26" 41.84 42.07 41.279999 37.055962
"2012-10-31" 41.560001 42.119999 41.450001 37.411755
"2012-11-01" 42.049999 42.849998 42 37.998825
"2012-11-02" 42.900002 43.34 41.560001 37.01149
"2012-11-05" 41.549999 42.110001 41.099998 37.287231
"2012-11-06" 41.919998 42.700001 41.919998 37.981026
"2012-11-07" 42.330002 42.529999 41.310001 36.860275
"2012-11-08" 41.509998 41.619999 41.139999 36.709076
"2012-11-09" 40.869999 41.400002 40.84 36.592983
"2012-11-12" 41.16 41.259998 40.43 36.128654
"2012-11-13" 40.380001 41.029999 40.32 36.021484
"2012-11-14" 40.52 40.810001 40.23 36.075077
"2012-11-15" 40.369999 40.610001 39.560001 35.610744
"2012-11-16" 39.700001 39.990002 39.23 35.53931
"2012-11-19" 40 40.52 39.720001 36.164364
"2012-11-20" 40.490002 41.18 40.459999 36.762642
"2012-11-21" 41.150002 41.439999 40.889999 36.90551
"2012-11-23" 41.52 42.009998 41.48 37.512707
"2012-11-26" 41.950001 42.060001 41.48 37.521645
"2012-11-27" 41.970001 42.619999 41.77 37.316261
"2012-11-28" 41.560001 42.23 41.400002 37.63773
"2012-11-29" 42.5 42.5 40.400002 37.682373
"2012-11-30" 42.369999 42.369999 41.700001 37.405556
"2012-12-03" 42.169998 42.169998 41.490002 37.19125
"2012-12-04" 41.759998 42.099998 41.060001 36.851936
"2012-12-05" 41.259998 41.470001 41.130001 36.878735
"2012-12-06" 41.25 41.43 41.16 36.923382
"2012-12-07" 41.630001 41.669998 41.27 37.093025
"2012-12-10" 41.490002 41.639999 41.169998 37.021606
"2012-12-11" 41.540001 41.73 41.27 36.985882
"2012-12-12" 41.619999 41.639999 41.119999 36.789425
"2012-12-13" 41.119999 41.25 40.470001 36.253666
"2012-12-14" 40.389999 40.549999 39.880001 35.807194
"2012-12-17" 40.389999 41.240002 40.099998 36.601906
"2012-12-18" 41.150002 41.59 40.709999 36.816223
"2012-12-19" 41.25 41.599998 41.07 36.78051
"2012-12-20" 41.049999 41.509998 41.040001 36.985882
"2012-12-21" 41.150002 42.279999 40.900002 37.343052
"2012-12-24" 41.82 42.189999 41.720001 37.369858
"2012-12-26" 41.849998 42.009998 41.5 37.262691
"2012-12-27" 41.639999 42 41.16 37.334133
"2012-12-28" 41.52 41.880001 41.400002 37.093025
"2012-12-31" 41.459999 42.330002 41.27 37.789532
"2013-01-02" 43.200001 43.490002 42.869999 38.700321
"2013-01-03" 43.439999 43.900002 43.09 38.718201
"2013-01-04" 43.610001 43.610001 43.099998 38.637825
"2013-01-07" 42.939999 43.619999 42.790001 38.78072
"2013-01-08" 43.380001 44 42.970001 39.137882
"2013-01-09" 43.830002 44.48 43.580002 39.709381
"2013-01-10" 44.52 44.52 43.34 39.54863
"2013-01-11" 44.360001 44.360001 43.630001 39.307545
"2013-01-14" 43.959999 44.169998 43.540001 39.030724
"2013-01-15" 43.52 44.240002 43.18 39.49506
"2013-01-16" 44.200001 44.5 44.060001 39.691505
"2013-01-17" 44.560001 45 44.200001 40.155838
"2013-01-18" 44.959999 45 44.290001 40.030827
"2013-01-22" 44.73 45.209999 44.450001 40.352291
"2013-01-23" 45.049999 45.16 44.720001 40.173702
"2013-01-24" 44.919998 46.07 44.779999 40.780899
"2013-01-25" 45.830002 45.849998 45.189999 40.941635
"2013-01-28" 45.779999 46.220001 45.450001 41.129154
"2013-01-29" 46.060001 46.560001 45.950001 41.397041
"2013-01-30" 46.169998 46.470001 45.34 40.718395
"2013-01-31" 45.5 45.970001 45.299999 40.914848
"2013-02-01" 45.959999 46.240002 45.77 40.995205
"2013-02-04" 45.639999 45.790001 44.700001 40.075478
