"Index" "Open" "High" "Low" "Price"
"2012-09-17" 58.48 58.98 57.490002 38.997295
"2012-09-18" 57.75 58.07 57.290001 38.641361
"2012-09-19" 57.669998 57.970001 57.310001 38.641361
"2012-09-20" 56.91 57.48 56.540001 38.312309
"2012-09-21" 57.48 57.580002 56.830002 38.245152
"2012-09-24" 56.639999 57.459999 56.389999 38.366032
"2012-09-25" 57.32 57.5 55.560001 37.311691
"2012-09-26" 55.41 55.5 53.529999 36.089455
"2012-09-27" 54.259998 55.200001 54.119999 36.814735
"2012-09-28" 54.52 54.939999 54.139999 36.606548
"2012-10-01" 54.799999 55.380001 54.25 36.586411
"2012-10-02" 54.720001 54.959999 54.130001 36.586411
"2012-10-03" 54.59 54.630001 53.939999 36.539394
"2012-10-04" 54.790001 55.790001 54.439999 37.459423
"2012-10-05" 56.200001 57.790001 56.200001 38.077255
"2012-10-08" 56.27 56.860001 55.950001 38.05711
"2012-10-09" 56.66 57.110001 56.23 38.023533
"2012-10-10" 56.509998 56.689999 55.959999 37.640751
"2012-10-11" 56.709999 57.049999 56.139999 38.224998
"2012-10-12" 56.950001 56.950001 55.700001 37.640751
"2012-10-15" 56.09 56.75 55.799999 38.050396
"2012-10-16" 57.07 58.720001 56.990002 38.977142
"2012-10-17" 58.25 58.93 58.040001 39.574829
"2012-10-18" 58.830002 59.98 58.68 40.219521
"2012-10-19" 59.279999 59.610001 57.400002 38.977142
"2012-10-22" 57.810001 58.529999 57.25 39.017437
"2012-10-23" 57.07 57.16 56.630001 38.258579
"2012-10-24" 57.23 57.700001 56.549999 37.98996
"2012-10-25" 57.189999 57.580002 56.73 38.486908
"2012-10-26" 57.169998 57.450001 56.540001 38.480198
"2012-10-31" 58.200001 58.200001 55.84 38.312309
"2012-11-01" 57.049999 58.169998 56.330002 38.742092
"2012-11-02" 58.07 58.25 57.119999 38.439899
"2012-11-05" 57 57.169998 56.639999 38.272007
"2012-11-06" 57.060001 58.25 56.869999 38.970436
"2012-11-07" 56.959999 57.009998 55.369999 37.197521
"2012-11-08" 54.349998 56 52.610001 35.431328
"2012-11-09" 52.389999 53.689999 52.220001 35.397743
"2012-11-12" 52.970001 52.970001 52.150002 35.048534
"2012-11-13" 51.759998 52.400002 50.91 34.20237
