"Index" "Open" "High" "Low" "Price"
"2012-09-17" 148.759995 149.839996 147.429993 101.82666
"2012-09-18" 147.690002 147.690002 145.5 100.42704
"2012-09-19" 145.910004 146.5 144 99.296341
"2012-09-20" 143.080002 143.899994 141.460007 97.938072
"2012-09-21" 142.25 142.479996 141.419998 97.565788
"2012-09-24" 141.160004 141.860001 140.699997 97.165871
"2012-09-25" 140.949997 141.770004 139.660004 96.359238
"2012-09-26" 138.860001 140.389999 138.440002 96.076538
"2012-09-27" 139.809998 140.770004 138.779999 95.835258
"2012-09-28" 138.470001 139.929993 137.860001 95.952454
"2012-10-01" 139.75 139.960007 137.550003 95.807663
"2012-10-02" 139 139.529999 138.139999 95.993813
"2012-10-03" 139.490005 141.039993 139.259995 96.310989
"2012-10-04" 140.300003 140.460007 138.589996 95.849014
"2012-10-05" 139.350006 140.029999 138.830002 95.96624
"2012-10-08" 139.080002 139.669998 138.270004 95.96624
"2012-10-09" 139.399994 140 138.279999 95.621513
"2012-10-10" 139.029999 139.179993 137.740005 95.559471
"2012-10-11" 139.619995 139.75 137.509995 94.821724
"2012-10-12" 137.610001 138.509995 136.360001 94.139145
"2012-10-15" 136.789993 137.639999 136.210007 94.635551
"2012-10-16" 137.220001 138.649994 137.220001 95.014771
"2012-10-17" 137.5 137.740005 136.119995 94.594185
"2012-10-18" 137.139999 138.270004 136.880005 94.952744
"2012-10-19" 136.809998 138.979996 136.809998 95.159561
"2012-10-22" 137.389999 137.809998 135.990005 94.373573
"2012-10-23" 135.070007 137.490005 135.070007 94.532158
"2012-10-24" 137.509995 138.320007 136.970001 95.104431
"2012-10-25" 138.460007 138.860001 136.320007 94.573532
"2012-10-26" 137.199997 137.630005 135.619995 94.152924
"2012-10-31" 137 139.149994 136.460007 95.580124
"2012-11-01" 139.210007 140.529999 139.210007 96.441986
"2012-11-02" 139.539993 142.039993 139.539993 96.731544
"2012-11-05" 140.130005 140.800003 138.649994 96.552284
"2012-11-06" 140.160004 141.570007 140.059998 97.234848
"2012-11-07" 140.639999 144.830002 140.309998 98.827507
"2012-11-08" 142.509995 143.509995 141.619995 97.84848
"2012-11-09" 141.630005 147.300003 141.100006 100.454636
"2012-11-12" 145.75 146.199997 144.619995 100.16507
"2012-11-13" 144.639999 148.169998 144.550003 101.247505
"2012-11-14" 146.949997 147.399994 144.479996 99.972023
"2012-11-15" 145.190002 146.139999 143.470001 99.454903
"2012-11-16" 144.399994 144.75 142.520004 99.186028
"2012-11-19" 145.039993 146.729996 144.440002 99.930641
"2012-11-20" 144.419998 144.619995 143.050003 99.647949
"2012-11-21" 144.869995 144.970001 143.660004 99.482491
"2012-11-23" 144.889999 145.630005 144.100006 100.158157
"2012-11-26" 144.690002 145.979996 143.690002 100.178841
"2012-11-27" 143.850006 143.850006 141.589996 98.400047
"2012-11-28" 142.580002 142.970001 141.220001 98.131157
"2012-11-29" 143.600006 143.740005 140.350006 97.407219
"2012-11-30" 141.479996 142.710007 140.630005 96.965958
"2012-12-03" 141.089996 143.050003 141.020004 98.262146
"2012-12-04" 143.080002 144.110001 142.350006 98.24839
"2012-12-05" 142.589996 142.589996 141.270004 97.593369
"2012-12-06" 141.610001 142.380005 141.25 97.669212
"2012-12-07" 141.619995 142.699997 141.289993 98.124245
"2012-12-10" 140.75 142.149994 140.490005 97.978325
"2012-12-11" 141.330002 141.979996 140.809998 98.221527
"2012-12-12" 141.660004 141.710007 139.899994 97.888016
"2012-12-13" 140.839996 140.880005 138.649994 96.95002
"2012-12-14" 140.610001 140.610001 139.309998 97.346046
"2012-12-17" 140.630005 142.419998 140.220001 98.94416
"2012-12-18" 142.020004 143.789993 141.710007 99.902985
"2012-12-19" 143.460007 144.720001 143.300003 99.993347
"2012-12-20" 143.970001 146.229996 143.639999 101.542809
"2012-12-21" 146.220001 146.610001 145.070007 100.910522
"2012-12-24" 145.169998 146.75 144.509995 101.355217
"2012-12-26" 146.020004 146.100006 143.960007 100.319916
"2012-12-27" 144.160004 144.910004 142.789993 100.31295
"2012-12-28" 143.759995 144.800003 143.149994 99.680695
"2012-12-31" 143.160004 145.039993 142.899994 100.722916
"2013-01-02" 146.580002 146.580002 144.800003 101.508057
"2013-01-03" 145.990005 146.960007 145.300003 101.132889
"2013-01-04" 145.410004 146.410004 145.169998 101.598396
"2013-01-07" 145.850006 146.630005 145.679993 101.410782
"2013-01-08" 145.880005 146.020004 144.350006 100.722916
"2013-01-09" 145.350006 145.520004 144.690002 101.091194
"2013-01-10" 145.820007 146.289993 145.039993 101.640091
"2013-01-11" 146.75 147.059998 145.770004 102.17511
"2013-01-14" 147.059998 147.470001 146.050003 101.660912
"2013-01-15" 146.699997 147.869995 145.789993 102.605919
"2013-01-16" 147.229996 148.100006 146.679993 102.807404
"2013-01-17" 148.419998 148.729996 147.779999 102.897743
"2013-01-18" 149.089996 150.410004 148.389999 104.40554
"2013-01-22" 149.880005 150.960007 149.800003 104.864128
"2013-01-23" 150.460007 151.169998 150.229996 104.794655
"2013-01-24" 151 151.869995 150.639999 105.426941
"2013-01-25" 152 152.910004 151.399994 106.100914
"2013-01-28" 153 153.919998 152.179993 106.615097
"2013-01-29" 153.050003 154.380005 152.690002 107.157082
"2013-01-30" 153.710007 154.419998 152.919998 106.879158
"2013-01-31" 153.800003 154.199997 152.869995 106.955582
"2013-02-01" 154.199997 155.869995 153.929993 108.046463
"2013-02-04" 154.850006 156.990005 154.820007 108.664856
"2013-02-05" 157.169998 157.410004 156.229996 109.047005
"2013-02-06" 156.350006 157.690002 155.979996 109.102608
"2013-02-07" 157.259995 157.649994 155.580002 108.421669
"2013-02-08" 155.5 157.589996 155.5 109.366631
"2013-02-11" 157.460007 157.949997 156.699997 108.984474
"2013-02-12" 157.039993 157.679993 156.380005 109.179047
"2013-02-13" 157.220001 157.330002 155.539993 108.449478
"2013-02-14" 155.660004 155.889999 154.100006 107.143158
"2013-02-15" 152.830002 152.830002 150 105.100357
"2013-02-19" 150.860001 152.75 150.860001 106.114815
"2013-02-20" 152.389999 154.360001 152.389999 105.934174
"2013-02-21" 152.559998 152.740005 151.210007 105.621483
"2013-02-22" 152.570007 153.850006 152.020004 105.899445
"2013-02-25" 152.889999 153.119995 149.979996 104.210953
"2013-02-26" 150.759995 151.399994 149.789993 105.016968
"2013-02-27" 150.910004 153.039993 150.610001 105.503334
"2013-02-28" 152.179993 152.740005 150.990005 105.065651
"2013-03-01" 150.940002 152.309998 150.429993 105.579781
"2013-03-04" 151.699997 153.389999 151.699997 106.135651
"2013-03-05" 153.149994 154.179993 152.649994 106.990334
"2013-03-06" 154.320007 154.619995 152.169998 106.024475
"2013-03-07" 152.5 152.770004 150.25 104.544502
"2013-03-08" 150.559998 150.720001 148.770004 104.551445
"2013-03-11" 149.130005 149.679993 148.75 104.334236
"2013-03-12" 148.889999 149.199997 146.929993 102.995995
"2013-03-13" 147.029999 147.210007 146.119995 102.771774
"2013-03-14" 146.830002 147.589996 146.789993 103.171173
"2013-03-15" 147.110001 148.320007 146.449997 103.871811
"2013-03-18" 147.729996 148.75 147.5 103.96991
"2013-03-19" 148.660004 150.5 148.279999 104.992874
"2013-03-20" 150.080002 151.179993 149.550003 105.861671
"2013-03-21" 150.639999 152.520004 150.330002 105.637466
"2013-03-22" 151 151.5 150.070007 105.595459
"2013-03-25" 151.139999 151.729996 149.940002 105.273125
"2013-03-26" 150.839996 151.990005 150.639999 106.113884
"2013-03-27" 150.520004 151.380005 150.309998 105.938728
"2013-03-28" 151.470001 152.440002 150.899994 106.723427
"2013-04-01" 152.179993 152.460007 151.110001 106.772537
"2013-04-02" 152.880005 153.429993 152.360001 107.143883
"2013-04-03" 153.380005 153.720001 151.830002 106.653404
"2013-04-04" 152.490005 154.539993 151.940002 108.166824
"2013-04-05" 153.059998 155.429993 152.910004 108.671295
"2013-04-08" 154.960007 156.860001 154.419998 109.813339
"2013-04-09" 156.190002 157.360001 155.710007 110.107613
"2013-04-10" 157.619995 158.550003 156.770004 110.06559
"2013-04-11" 157.440002 159.610001 156.990005 111.095535
"2013-04-12" 158.419998 158.639999 157.479996 111.060524
"2013-04-15" 157.820007 158.330002 155.009995 108.636253
"2013-04-16" 155.539993 157.899994 154.850006 109.505074
"2013-04-17" 155.350006 157.009995 154.369995 109.505074
"2013-04-18" 156.520004 156.869995 155.649994 109.659241
"2013-04-19" 157.009995 159.039993 156.759995 111.263725
"2013-04-22" 158.839996 159.220001 157.399994 110.485962
"2013-04-23" 158.100006 159.320007 157.610001 111.158615
"2013-04-24" 158.949997 159.699997 158.490005 111.698128
"2013-04-25" 159.169998 159.600006 157.470001 111.473869
"2013-04-26" 159.330002 160.610001 159.050003 112.083473
"2013-04-29" 160.440002 162.039993 159.820007 113.498787
"2013-04-30" 161.660004 165.330002 161.600006 115.60778
"2013-05-01" 163.809998 165.589996 163.809998 115.537704
"2013-05-02" 165.350006 166.699997 164.679993 116.224327
"2013-05-03" 166.699997 167.320007 166 116.644737
"2013-05-06" 166.429993 167.679993 166 116.840919
"2013-05-07" 167.020004 167.220001 166.509995 116.932014
"2013-05-08" 166.910004 167 165.130005 115.979111
"2013-05-09" 165.229996 166.100006 164.339996 115.341484
"2013-05-10" 167 167.110001 163.800003 115.096268
"2013-05-13" 164.070007 165.490005 163.509995 115.853004
"2013-05-14" 165.25 166.080002 164.419998 115.355553
"2013-05-15" 164.419998 167.270004 164.070007 117.128181
"2013-05-16" 166.589996 167.910004 164.470001 115.747849
"2013-05-17" 165.25 167.649994 165.25 117.324348
"2013-05-20" 167.199997 167.649994 165.960007 116.96003
"2013-05-21" 167.380005 167.910004 166.460007 117.513565
"2013-05-22" 167.199997 168.660004 162.089996 114.199463
"2013-05-23" 161.279999 162.009995 158.990005 112.146553
"2013-05-24" 159.820007 162.75 159.080002 113.919182
