"Index" "Open" "High" "Low" "Price"
"2012-09-17" 25.67 25.77 25.469999 25.185562
"2012-09-18" 25.43 25.620001 25.309999 25.146116
"2012-09-19" 25.459999 25.74 25.299999 24.988337
"2012-09-20" 25.129999 25.209999 24.75 24.584028
"2012-09-21" 24.870001 25.120001 24.74 24.554447
"2012-09-24" 24.870001 25.139999 24.68 24.70236
"2012-09-25" 25.18 25.280001 24.709999 24.376942
"2012-09-26" 24.75 24.889999 24.57 24.386805
"2012-09-27" 24.870001 24.950001 24.67 24.386805
"2012-09-28" 24.6 24.860001 24.48 24.35722
"2012-10-01" 24.6 24.91 24.5 24.347361
"2012-10-02" 24.65 24.93 24.65 24.475557
"2012-10-03" 24.870001 25 24.790001 24.534721
"2012-10-04" 25 25.16 24.77 24.485413
"2012-10-05" 24.93 25.02 24.67 24.406527
"2012-10-08" 24.719999 24.799999 24.58 24.288193
"2012-10-09" 24.639999 24.67 24.16 23.844433
"2012-10-10" 24.200001 24.299999 23.889999 23.597908
"2012-10-11" 24.16 24.34 23.82 23.73596
"2012-10-12" 24.15 24.5 24.08 23.96277
"2012-10-15" 24.299999 24.43 24.030001 23.77541
"2012-10-16" 24.27 24.540001 24.24 24.159994
"2012-10-17" 24.57 24.620001 24.16 23.903601
"2012-10-18" 24.23 24.559999 24.129999 23.804989
"2012-10-19" 24.030001 24.09 23.440001 23.223179
"2012-10-22" 23.51 23.559999 23.16 23.006231
"2012-10-23" 23.030001 23.299999 22.92 22.927343
"2012-10-24" 23.34 23.41 23.16 22.956926
"2012-10-25" 23.540001 23.66 23.309999 23.223179
"2012-10-26" 23.58 23.780001 23.389999 23.272484
"2012-10-31" 25.299999 26.08 25.01 25.570152
"2012-11-01" 26.08 26.34 25.34 25.363062
"2012-11-02" 25.969999 26.059999 25.389999 25.096815
"2012-11-05" 25.33 26.1 25.190001 25.619455
"2012-11-06" 26.120001 26.66 26.049999 26.033628
"2012-11-07" 26.049999 26.690001 25.639999 26.280157
"2012-11-08" 26.6 26.6 26.01 25.678621
"2012-11-09" 26.07 26.52 26.049999 25.72793
"2012-11-12" 26.09 26.25 25.610001 25.491257
"2012-11-13" 25.65 26 25.49 25.146116
"2012-11-14" 25.59 25.639999 24.969999 24.68264
"2012-11-15" 25.059999 25.26 24.77 24.633335
"2012-11-16" 25 25.18 24.73 24.751669
"2012-11-19" 25.35 25.43 25.08 24.939032
"2012-11-20" 25.370001 25.620001 24.950001 24.791113
"2012-11-21" 25.15 25.440001 25.02 24.850279
"2012-11-23" 25.290001 25.469999 25.129999 25.116531
"2012-11-26" 25.299999 25.76 25.27 25.294035
"2012-11-27" 25.57 25.66 25.08 24.761534
"2012-11-28" 25.09 25.200001 24.700001 24.751669
"2012-11-29" 25.17 25.469999 25.129999 25.047508
"2012-11-30" 25.9 26.280001 25.76 25.50112
"2012-12-03" 26.01 26.139999 25.639999 25.451817
"2012-12-04" 25.83 26.17 25.83 25.747652
"2012-12-05" 26.059999 26.17 25.620001 25.570152
"2012-12-06" 25.91 25.950001 25.52 25.343346
"2012-12-07" 25.84 26.040001 25.700001 25.658901
"2012-12-10" 26.059999 27.049999 26.059999 26.54641
"2012-12-11" 26.93 27.049999 26.639999 26.595718
"2012-12-12" 27.16 27.700001 27.08 27.000023
"2012-12-13" 27.379999 27.41 26.91 26.674608
"2012-12-14" 27.02 27.219999 26.98 26.714052
"2012-12-17" 27.15 27.26 26.92 26.881697
"2012-12-18" 27.360001 27.719999 27.280001 27.207109
"2012-12-19" 27.959999 27.959999 27.27 26.891554
"2012-12-20" 27.23 27.610001 27.18 27.216974
"2012-12-21" 27.309999 27.530001 27.120001 26.832388
"2012-12-24" 27.309999 27.459999 27.059999 26.812662
"2012-12-26" 27.17 27.25 26.950001 26.664745
"2012-12-27" 27.01 27.040001 26.51 26.615438
"2012-12-28" 26.83 26.889999 26.450001 26.112514
"2012-12-31" 26.4 27.309999 26.4 26.911276
"2013-01-02" 27.85 27.99 27.620001 27.522673
"2013-01-03" 27.91 27.950001 27.57 27.286003
"2013-01-04" 27.77 28.209999 27.75 27.571978
"2013-01-07" 27.85 28.459999 27.82 27.857952
"2013-01-08" 28.280001 28.51 28.120001 28.0749
"2013-01-09" 28.51 28.950001 28.35 28.420046
"2013-01-10" 28.940001 29.209999 28.84 28.784906
"2013-01-11" 29.1 29.18 28.940001 28.617266
"2013-01-14" 28.85 29.129999 28.530001 28.262264
"2013-01-15" 28.450001 28.879999 28.389999 28.479208
"2013-01-16" 28.799999 28.799999 28.24 28.183378
"2013-01-17" 28.67 28.780001 28.469999 28.212959
"2013-01-18" 28.700001 28.84 28.440001 28.43977
"2013-01-22" 28.76 29.67 28.76 29.021582
"2013-01-23" 29.42 29.42 29.01 28.775049
"2013-01-24" 29.290001 29.940001 29.15 29.179358
"2013-01-25" 29.620001 29.889999 29.549999 29.307549
"2013-01-28" 29.780001 29.83 29.41 29.317413
"2013-01-29" 29.74 29.93 29.58 29.494921
"2013-01-30" 29.860001 29.889999 28.950001 28.607407
"2013-01-31" 28.91 29.07 28.690001 28.567961
"2013-02-01" 29.219999 29.34 28.59 28.262264
"2013-02-04" 28.42 28.49 27.77 27.779066
"2013-02-05" 28.280001 28.370001 27.959999 27.779066
"2013-02-06" 28.17 28.66 28.049999 28.134069
"2013-02-07" 28.540001 28.68 28.25 28.163651
"2013-02-08" 28.620001 28.68 28.309999 28.025595
"2013-02-11" 28.290001 28.51 28.17 27.79879
"2013-02-12" 28.25 28.67 28.25 28.212959
"2013-02-13" 28.77 29.59 28.77 28.587683
"2013-02-14" 28.9 29.389999 28.84 28.706022
"2013-02-15" 29.030001 29.040001 28.629999 28.341156
"2013-02-19" 28.82 29.200001 28.76 28.489069
"2013-02-20" 28.85 28.889999 28.059999 27.749479
"2013-02-21" 27.639999 28.879999 27.639999 28.045319
"2013-02-22" 28.690001 28.879999 28.450001 28.301708
"2013-02-25" 28.92 29.059999 28.16 27.769201
"2013-02-26" 28.200001 28.280001 27.77 27.502949
"2013-02-27" 28.01 28.17 27.889999 27.650871
"2013-02-28" 28.1 28.540001 27.870001 28.005873
"2013-03-01" 28.139999 28.370001 27.610001 27.79879
"2013-03-04" 28.17 28.75 27.940001 27.99601
"2013-03-05" 28.610001 29.07 28.549999 28.636993
"2013-03-06" 29.1 29.5 29.09 28.853937
"2013-03-07" 29.25 29.389999 29.059999 28.853937
"2013-03-08" 29.42 29.6 29.200001 29.08075
"2013-03-11" 29.52 29.91 29.42 29.435753
"2013-03-12" 29.85 29.85 29.360001 29.10047
"2013-03-13" 29.49 29.6 29.26 29.169495
"2013-03-14" 29.639999 29.77 29.52 29.317413
"2013-03-15" 29.620001 29.73 29.219999 29.021582
"2013-03-18" 29.07 29.5 28.92 28.913103
"2013-03-19" 29.4 29.440001 28.889999 28.863794
"2013-03-20" 29.4 29.780001 29.35 29.0413
"2013-03-21" 29.209999 29.27 28.549999 28.212959
"2013-03-22" 28.73 29.02 28.610001 28.351013
"2013-03-25" 28.790001 28.93 28.299999 28.045319
"2013-03-26" 28.559999 28.690001 28.23 28.05518
"2013-03-27" 28.26 28.360001 27.709999 27.936846
