"Index" "Open" "High" "Low" "Price"
"2012-09-17" 113.089996 114.779999 111.459999 95.658417
"2012-09-18" 111.57 111.919998 107.150002 92.840424
"2012-09-19" 108.709999 108.980003 106.580002 91.491211
"2012-09-20" 106.120003 106.900002 104.419998 90.961746
"2012-09-21" 107.989998 108.290001 106.010002 90.714111
"2012-09-24" 105.540001 105.540001 103.730003 88.878113
"2012-09-25" 104.730003 105.779999 103 87.964417
"2012-09-26" 102.269997 103.18 100.339996 86.776993
"2012-09-27" 103.220001 104.970001 102.209999 89.408134
"2012-09-28" 104 105.190002 102.709999 89.186028
"2012-10-01" 105.269997 107.519997 103.470001 88.758904
"2012-10-02" 105.309998 105.309998 103.209999 89.416687
"2012-10-03" 104.599998 104.809998 102.660004 87.930244
"2012-10-04" 103.599998 104.269997 102.860001 88.844299
"2012-10-05" 104.669998 104.989998 102.540001 87.938789
"2012-10-08" 101.839996 102.82 101.029999 87.639793
"2012-10-09" 103.029999 106.300003 102.720001 89.980492
"2012-10-10" 105.230003 105.760002 102.040001 87.614174
"2012-10-11" 103.849998 105.690002 103.769997 88.938286
"2012-10-12" 104.230003 105.349998 101.839996 87.263924
"2012-10-15" 101.940002 105.739998 100.68 90.10009
"2012-10-16" 105.839996 110.050003 105.839996 92.568939
"2012-10-17" 108.389999 109.57 107.589996 92.415192
"2012-10-18" 107.400002 108.559998 106.980003 92.073479
"2012-10-19" 107.660004 108.220001 104.279999 89.954865
"2012-10-22" 104.050003 106.650002 103.18 89.561897
"2012-10-23" 102.709999 102.959999 99.75 87.605637
"2012-10-24" 103.300003 104.360001 101.32 86.836784
"2012-10-25" 103.230003 104.559998 102.129997 89.074966
"2012-10-26" 104.040001 104.910004 102.800003 88.528236
"2012-10-31" 107.029999 110.190002 102.669998 90.25386
"2012-11-01" 103.150002 110.489998 101.800003 93.40612
"2012-11-02" 108.660004 109.989998 105.480003 90.5187
"2012-11-05" 105.809998 108 104.940002 92.064926
"2012-11-06" 108.309998 110.669998 108.07 93.201096
"2012-11-07" 107.470001 107.470001 103.760002 90.176979
"2012-11-08" 105.120003 105.559998 102.330002 87.434769
"2012-11-09" 102.279999 106.720001 101.669998 88.758904
"2012-11-12" 104.599998 104.650002 102.610001 87.767952
"2012-11-13" 102.220001 105.300003 101.410004 88.528236
"2012-11-14" 104.18 104.68 101.510002 86.95639
"2012-11-15" 107 107 101.160004 87.836288
"2012-11-16" 102.57 104.57 100.480003 87.802101
"2012-11-19" 103.82 106.489998 103.82 89.826744
"2012-11-20" 104.419998 105.529999 103.279999 90.142807
"2012-11-21" 103.040001 107.269997 103.040001 90.740799
"2012-11-23" 106.709999 108.010002 106.110001 92.252869
"2012-11-26" 106.489998 106.739998 104.790001 90.851852
"2012-11-27" 105.989998 106.540001 104.699997 89.553368
"2012-11-28" 103.940002 104.860001 102.57 89.476471
"2012-11-29" 105.959999 107.209999 105.410004 91.099617
"2012-11-30" 106.370003 108.089996 105.150002 91.40715
"2012-12-03" 107.739998 108.800003 104.559998 89.553368
"2012-12-04" 104.5 104.870003 102.099998 87.468925
"2012-12-05" 102.599998 105.050003 101.970001 89.57045
"2012-12-06" 104.489998 105.129997 102.660004 88.203621
"2012-12-07" 103.010002 104.190002 102.550003 87.947319
"2012-12-10" 102.809998 103.199997 101.089996 86.879501
"2012-12-11" 102.25 105.410004 101.699997 89.040794
"2012-12-12" 104.290001 106.739998 103.800003 90.211151
"2012-12-13" 105.339996 105.459999 102.510002 88.143837
"2012-12-14" 102.910004 103.849998 102.269997 87.947319
"2012-12-17" 103.400002 104.690002 102.699997 89.288528
"2012-12-18" 104.529999 108.470001 104.089996 92.047844
"2012-12-19" 107.699997 109 107 91.59507
"2012-12-20" 107.510002 109.220001 107.279999 92.936279
"2012-12-21" 107.139999 108.720001 106.43 92.705627
"2012-12-24" 107.690002 109.190002 106.370003 91.945313
"2012-12-26" 108.190002 109.769997 106.139999 90.809151
"2012-12-27" 106.279999 106.489998 103.480003 89.655884
"2012-12-28" 103.970001 104.470001 102.029999 87.486038
"2012-12-31" 101.879997 106.75 101.879997 91.056885
"2013-01-02" 109.43 110.080002 107.290001 93.756378
"2013-01-03" 109.300003 112.949997 108.309998 95.097595
"2013-01-04" 111.419998 114.360001 111.349998 96.678009
"2013-01-07" 112.040001 113.360001 110.699997 95.789536
"2013-01-08" 112.040001 112.900002 110.879997 96.028755
"2013-01-09" 112.830002 113.730003 110.889999 94.995079
"2013-01-10" 112.209999 113.25 111.089996 96.156891
"2013-01-11" 112.68 113.57 110.580002 95.550377
"2013-01-14" 111.739998 112.339996 110.360001 95.456383
"2013-01-15" 111.010002 111.370003 110.059998 94.704628
"2013-01-16" 110.650002 113.010002 110.010002 96.532761
"2013-01-17" 114.25 115 112.769997 97.506638
"2013-01-18" 114.029999 114.739998 111.599998 97.156395
"2013-01-22" 114.129997 114.580002 112.040001 97.737297
"2013-01-23" 113.900002 114.400002 111.650002 95.678497
"2013-01-24" 112.709999 114.559998 111.32 97.27597
"2013-01-25" 113.370003 116.300003 113.370003 98.762413
"2013-01-28" 115.940002 116.989998 114.330002 98.232765
"2013-01-29" 115.110001 117.610001 114.440002 100.265968
"2013-01-30" 120 123.860001 116 99.274963
"2013-01-31" 115.199997 118.400002 113.57 100.411156
"2013-02-01" 118.279999 120 117.739998 102.444336
"2013-02-04" 117.989998 120.57 117.790001 102.230759
"2013-02-05" 120.959999 121.82 119.459999 103.896599
"2013-02-06" 121.150002 125.120003 120.970001 106.878006
"2013-02-07" 125.120003 125.370003 123.059998 106.391075
"2013-02-08" 125 129.25 124.580002 110.175499
"2013-02-11" 128.970001 129.259995 125.75 109.816711
"2013-02-12" 128.929993 130.360001 128.089996 109.773987
"2013-02-13" 130.800003 130.800003 125.919998 108.28756
"2013-02-14" 122.43 133.679993 120.029999 111.098114
"2013-02-15" 128.990005 131.75 128.600006 111.533791
"2013-02-19" 131.419998 132.869995 131.130005 113.148369
"2013-02-20" 132.199997 132.199997 127.650002 109.210182
"2013-02-21" 127.699997 127.989998 123.269997 107.228264
"2013-02-22" 126.830002 128.25 124.639999 108.492592
"2013-02-25" 128.059998 128.380005 121.019997 103.443832
"2013-02-26" 122.169998 124.690002 119.830002 106.168938
"2013-02-27" 124.120003 126.669998 123.949997 107.72374
"2013-02-28" 125.959999 126.849998 124.529999 107.475998
"2013-03-01" 124.75 124.839996 122.449997 105.66494
"2013-03-04" 123.300003 123.989998 120.949997 105.075493
"2013-03-05" 124.279999 126.190002 122.959999 106.980507
"2013-03-06" 126.07 126.07 124.449997 106.878006
"2013-03-07" 124.879997 128 123.25 109.047867
"2013-03-08" 128.259995 129.389999 126.919998 109.039337
"2013-03-11" 127.279999 128.100006 126.18 109.064972
"2013-03-12" 128.089996 128.130005 126.169998 108.586563
"2013-03-13" 126.889999 127.120003 125.580002 107.88604
"2013-03-14" 126.610001 127.82 125.110001 109.022209
"2013-03-15" 126.82 129.970001 126.25 110.465942
"2013-03-18" 127.489998 128.479996 126.510002 108.484032
"2013-03-19" 126.839996 127.620003 123.209999 105.946861
"2013-03-20" 125.449997 126.43 122.830002 106.322723
"2013-03-21" 123.559998 124.93 121.389999 104.075989
"2013-03-22" 122.660004 123.730003 121.989998 104.844849
"2013-03-25" 123.279999 125 121.010002 104.32373
"2013-03-26" 123.300003 126.150002 122.419998 107.733406
"2013-03-27" 125.900002 126.709999 123.339996 107.887199
"2013-03-28" 125.790001 126.699997 124.07 106.178116
"2013-04-01" 124.199997 124.959999 121.639999 105.033005
"2013-04-02" 122.379997 123.82 122.379997 105.520096
"2013-04-03" 124.160004 124.400002 120.160004 103.340988
"2013-04-04" 120.410004 120.809998 116.660004 100.683334
"2013-04-05" 115.459999 119.489998 114.309998 101.341347
"2013-04-08" 118.879997 121.400002 118.75 103.72554
"2013-04-09" 121.290001 123.790001 120.110001 105.280807
"2013-04-10" 123.580002 123.959999 122.529999 105.024467
"2013-04-11" 123.449997 123.970001 122.120003 105.554291
"2013-04-12" 122.080002 122.5 117.440002 101.358444
"2013-04-15" 115.790001 117.5 110.169998 94.146027
"2013-04-16" 112.589996 115.400002 109.889999 97.08567
"2013-04-17" 111.959999 112.330002 109.18 95.359482
"2013-04-18" 111.599998 113.559998 109.730003 96.008919
"2013-04-19" 112.75 113.300003 109.639999 94.504921
"2013-04-22" 111.050003 113.32 109.900002 96.316589
"2013-04-23" 112.879997 114.07 111.870003 97.230927
"2013-04-24" 114.110001 116.160004 114.110001 98.888771
"2013-04-25" 115.75 119.260002 115.529999 100.401344
"2013-04-26" 117.440002 118.370003 115.790001 100.93972
"2013-04-29" 118.889999 121.589996 117.940002 103.409378
"2013-04-30" 120.709999 122.849998 120.160004 104.451912
"2013-05-01" 121.089996 121.089996 118.07 101.666077
"2013-05-02" 119.360001 127.860001 119.129997 107.938492
"2013-05-03" 128.419998 130.619995 128.419998 110.784164
"2013-05-06" 131.479996 134.880005 130.529999 114.116898
"2013-05-07" 134.759995 138.869995 134.289993 117.748741
"2013-05-08" 136.429993 138.740005 135.699997 117.988014
"2013-05-09" 137.470001 138.949997 136.309998 117.048027
"2013-05-10" 136.279999 137.309998 133.070007 117.184746
"2013-05-13" 136.820007 138.580002 136.690002 117.68895
"2013-05-14" 137.639999 140.570007 137.399994 119.594559
"2013-05-15" 139.350006 139.910004 137.470001 118.637474
"2013-05-16" 138.75 139.820007 137.479996 118.423843
"2013-05-17" 139.699997 142.589996 139.149994 121.560066
"2013-05-20" 142.479996 143.389999 139.880005 119.76548
"2013-05-21" 139.960007 141.639999 138.889999 118.757103
"2013-05-22" 144 146.679993 142.800003 122.653885
"2013-05-23" 140.899994 144.649994 138.630005 123.072594
"2013-05-24" 142.789993 142.990005 140.449997 120.662766
"2013-05-28" 143.910004 145.830002 143.25 124.115173
"2013-05-29" 143.619995 146.440002 143.320007 123.610962
"2013-05-30" 143.529999 145.610001 142.520004 123.457146
"2013-05-31" 143.830002 144.300003 138.619995 118.509293
"2013-06-03" 139.800003 142.190002 138.550003 120.346573
"2013-06-04" 140.320007 142.220001 138.179993 119.637299
"2013-06-05" 139.460007 140.100006 137.990005 117.928192
"2013-06-06" 137.660004 142.119995 137.440002 121.363503
"2013-06-07" 142.149994 144.940002 141.710007 123.30336
"2013-06-10" 142.279999 145.729996 142.279999 124.388603
"2013-06-11" 142.529999 144.509995 142.350006 122.312073
"2013-06-12" 144.570007 145.179993 142.360001 122.098412
"2013-06-13" 142.800003 147.990005 142.389999 125.576424
"2013-06-14" 147.119995 148.720001 145.990005 125.294464
"2013-06-17" 149.360001 154.259995 149.139999 130.165375
"2013-06-18" 153.460007 157.809998 152.570007 132.156509
"2013-06-19" 154.649994 155.139999 152.679993 130.797775
"2013-06-20" 150.419998 150.440002 145.820007 125.012451
"2013-06-21" 147.899994 147.910004 141.880005 123.57679
"2013-06-24" 142.539993 146.710007 138.910004 124.115173
"2013-06-25" 147.800003 149.419998 145.279999 126.482254
"2013-06-26" 148.380005 149.649994 146.949997 125.764442
"2013-06-27" 148.789993 149.929993 146.639999 125.371353
"2013-06-28" 145.899994 146.690002 144.270004 123.696411
"2013-07-01" 146.190002 151.339996 146.190002 127.097572
"2013-07-02" 148.809998 152.199997 148.699997 128.097336
"2013-07-03" 149.800003 150.149994 148.440002 127.114609
"2013-07-05" 150.039993 152.619995 147.830002 130.361923
"2013-07-08" 153.020004 154.690002 150.009995 128.695572
"2013-07-09" 151.869995 154.740005 149.880005 131.165192
"2013-07-10" 154.020004 155.610001 151.029999 129.960297
"2013-07-11" 154.889999 157.179993 152.160004 131.131012
"2013-07-12" 152.610001 154.429993 151.75 131.113922
"2013-07-15" 153.399994 155.710007 152.080002 130.327744
"2013-07-16" 153.190002 154.330002 150.649994 130.396118
"2013-07-17" 153.050003 154.119995 151.970001 131.096848
"2013-07-18" 153.949997 156.479996 153.610001 133.506699
"2013-07-19" 156.350006 157.889999 153.710007 134.882553
"2013-07-22" 157.210007 157.75 155.529999 133.190506
"2013-07-23" 156.190002 156.649994 154.860001 132.541046
"2013-07-24" 154.809998 155 151.410004 130.746475
"2013-07-25" 153.449997 156.229996 152.210007 132.250458
"2013-07-26" 153.389999 154.910004 153.100006 132.267609
"2013-07-29" 154.289993 155.509995 152.729996 132.361588
"2013-07-30" 154.669998 156 152.039993 131.028473
"2013-07-31" 154.350006 156.919998 153.550003 132.250458
"2013-08-01" 173.699997 181.619995 169.509995 148.820236
