"Index" "Open" "High" "Low" "Price"
"2012-09-17" 65.040001 65.050003 64.43 48.851772
"2012-09-18" 64.610001 65.349998 64.5 49.055286
"2012-09-19" 65.040001 65.449997 64.510002 49.055286
"2012-09-20" 64.650002 64.760002 63.189999 48.505028
"2012-09-21" 64.790001 64.959999 64.230003 48.444717
"2012-09-24" 63.5 63.900002 63.040001 47.992458
"2012-09-25" 64.010002 64.360001 62.68 47.283928
"2012-09-26" 62.650002 63.34 62.07 46.974869
"2012-09-27" 62.52 63.700001 62.389999 47.856785
"2012-09-28" 63.060001 63.220001 62.27 47.087936
"2012-10-01" 62.73 62.790001 61.529999 46.665836
"2012-10-02" 62.130001 62.310001 61.52 46.575382
"2012-10-03" 62.150002 62.369999 61.630001 46.786438
"2012-10-04" 62.150002 62.779999 61.669998 47.223621
"2012-10-05" 63.040001 63.75 62.419998 47.216091
"2012-10-08" 62.049999 62.32 61.380001 46.281406
"2012-10-09" 61.279999 61.650002 60.290001 45.520103
"2012-10-10" 60.200001 60.27 59.650002 45.060303
"2012-10-11" 60.450001 60.509998 59.16 44.63065
"2012-10-12" 59.200001 59.23 58.099998 44.389439
"2012-10-15" 59.23 59.470001 58.240002 44.690952
"2012-10-16" 59.490002 60.450001 59.200001 45.497498
"2012-10-17" 59.880001 61.259998 59.880001 45.964825
"2012-10-18" 61.029999 61.040001 59.610001 45.195988
"2012-10-19" 59.990002 59.990002 58.5 44.283924
"2012-10-22" 58.5 58.779999 58.029999 44.231159
"2012-10-23" 58.09 58.689999 57.669998 43.952263
"2012-10-24" 58.82 58.939999 57.470001 43.439701
"2012-10-25" 57.990002 58.209999 57.290001 43.288963
"2012-10-26" 57.799999 59.209999 57.700001 44.502518
"2012-10-31" 59.150002 59.48 58.32 44.178387
"2012-11-01" 58.709999 59.869999 58.52 45.022617
"2012-11-02" 60 60.099998 59.220001 44.698498
"2012-11-05" 60.139999 60.549999 59.799999 45.550255
"2012-11-06" 60.549999 60.720001 60.009998 45.505028
"2012-11-07" 59.400002 59.709999 58.110001 43.809048
"2012-11-08" 62.759998 62.799999 60.380001 45.731171
"2012-11-09" 61.119999 62.240002 61.040001 46.447239
"2012-11-12" 61.84 62.119999 61.150002 46.447239
"2012-11-13" 61.34 62.759998 61.200001 46.831669
"2012-11-14" 62.330002 62.57 61.52 46.530148
"2012-11-15" 61.639999 62.290001 60.84 46.190952
"2012-11-16" 61.380001 62.029999 60.75 46.680912
"2012-11-19" 62.5 62.549999 62.049999 46.801506
"2012-11-20" 61.950001 62.330002 61.380001 46.839211
"2012-11-21" 62.169998 62.549999 61.880001 46.839211
"2012-11-23" 62.349998 63.16 62.200001 47.585419
"2012-11-26" 62.75 63.040001 62.040001 47.103024
"2012-11-27" 62.610001 62.720001 61.93 46.929657
"2012-11-28" 61.860001 62.68 61.669998 47.223621
"2012-11-29" 63.049999 63.68 62.880001 47.751247
"2012-11-30" 63.619999 63.810001 63.16 47.954781
"2012-12-03" 63.91 63.950001 63.240002 47.76635
"2012-12-04" 63.439999 63.580002 63 47.841713
"2012-12-05" 63.09 63.98 62.970001 48.151981
"2012-12-06" 63.599998 64.199997 63.400002 48.583309
"2012-12-07" 64.32 64.400002 63.48 48.326027
"2012-12-10" 63.799999 64.239998 63.669998 48.379005
"2012-12-11" 64.169998 64.669998 64.089996 48.696827
"2012-12-12" 64.510002 64.720001 63.330002 48.046032
"2012-12-13" 63.07 64.010002 62.5 47.493603
"2012-12-14" 61.580002 61.970001 59.439999 45.276333
"2012-12-17" 60.209999 62.060001 59.900002 46.948757
"2012-12-18" 62.400002 63.450001 62.150002 47.947655
"2012-12-19" 63.310001 63.540001 62.529999 47.334682
"2012-12-20" 62.93 63.16 62.529999 47.569275
"2012-12-21" 61.509998 62.509998 61.360001 46.623344
"2012-12-24" 61.5 61.950001 61.400002 46.842789
"2012-12-26" 61.880001 62.259998 61.299999 46.608208
"2012-12-27" 61.57 61.75 60.720001 46.547668
"2012-12-28" 61.150002 61.599998 60.549999 45.889297
"2012-12-31" 60.52 62.25 60.220001 46.812523
"2013-01-02" 63.580002 64.75 63.540001 48.999538
"2013-01-03" 64.82 65.190002 64.089996 48.772511
"2013-01-04" 64.099998 64.349998 63.220001 48.053596
