"Index" "Open" "High" "Low" "Price"
"2012-09-17" 30.85 30.85 30.040001 25.777077
"2012-09-18" 30.049999 30.33 29.790001 25.819763
"2012-09-19" 30.42 31.620001 30.41 26.673304
"2012-09-20" 30.98 31.09 30.870001 26.417242
"2012-09-21" 31.33 31.34 30.940001 26.691441
"2012-09-24" 30.700001 30.76 30.41 26.065926
"2012-09-25" 31.5 31.969999 30.450001 26.211596
"2012-09-26" 30.209999 30.370001 29.690001 25.800297
"2012-09-27" 30.26 30.549999 29.969999 25.945963
"2012-09-28" 30.02 30.33 29.959999 25.885983
"2012-10-01" 30.290001 30.860001 30.290001 26.057356
"2012-10-02" 30.700001 30.790001 30.33 26.125906
"2012-10-03" 30.440001 30.870001 30.26 26.297279
"2012-10-04" 30.9 31.25 30.889999 26.631464
"2012-10-05" 31.6 31.940001 31.379999 27.008478
"2012-10-08" 31.299999 31.719999 31.15 26.888517
"2012-10-09" 31.42 31.5 30.889999 26.580044
"2012-10-10" 30.99 31.110001 30.57 26.28871
"2012-10-11" 30.92 31.25 30.780001 26.562906
"2012-10-12" 30.73 30.879999 30.309999 26.185884
"2012-10-15" 30.6 30.780001 30.26 26.263004
"2012-10-16" 30.85 31.309999 30.799999 26.777124
"2012-10-17" 31.360001 32.599998 31.33 27.67684
"2012-10-18" 32.360001 33.049999 32.029999 27.908201
"2012-10-19" 32.169998 32.560001 31.690001 27.428343
"2012-10-22" 32.299999 32.529999 31.84 27.616852
"2012-10-23" 31.24 31.620001 30.98 26.777124
"2012-10-24" 31.370001 31.4 30.940001 26.691441
"2012-10-25" 32.66 34.75 32.630001 28.910734
"2012-10-26" 33.470001 34.029999 33.240002 28.782192
"2012-10-31" 33.849998 33.919998 33.439999 28.850744
"2012-11-01" 34 34.689999 34 29.561941
"2012-11-02" 34.93 34.939999 34.48 29.767599
"2012-11-05" 34.43 35.040001 34.32 29.964668
"2012-11-06" 35.09 35.16 34.880001 29.938971
"2012-11-07" 34.23 34.700001 33.860001 29.476257
"2012-11-08" 34.630001 34.669998 33.439999 28.765059
"2012-11-09" 33.700001 34.700001 33.459999 29.510536
"2012-11-12" 34.52 34.68 34.18 29.382004
