"Index" "Open" "High" "Low" "Price"
"2012-09-17" 50.48 50.91 50.060001 34.928787
"2012-09-18" 50.099998 50.23 49.669998 34.810223
"2012-09-19" 49.98 50.09 49.619999 34.607964
"2012-09-20" 49.25 49.299999 48.490002 34.070915
"2012-09-21" 49.18 49.330002 48.709999 34.043018
"2012-09-24" 48.5 49.25 48.5 34.077904
"2012-09-25" 49.09 49.209999 48.5 33.910511
"2012-09-26" 48.639999 49.040001 48.139999 33.708248
"2012-09-27" 48.450001 49.02 48.310001 33.959328
"2012-09-28" 48.48 49.009998 48.220001 33.987236
"2012-10-01" 48.919998 48.990002 47.669998 33.784966
"2012-10-02" 48.549999 48.869999 48.02 33.903534
"2012-10-03" 48.619999 49.139999 48.419998 33.826817
"2012-10-04" 48.66 48.889999 48.169998 33.833782
"2012-10-05" 48.639999 48.939999 48.32 33.833782
"2012-10-08" 48.34 48.549999 48.240002 33.840767
"2012-10-09" 48.529999 48.84 48.259998 33.666397
"2012-10-10" 48.380001 48.759998 48.130001 33.980247
"2012-10-11" 48.990002 49.240002 48.84 34.182518
"2012-10-12" 49 49.419998 48.830002 34.105793
"2012-10-15" 48.93 49.080002 48.560001 34.077904
"2012-10-16" 49.049999 49.75 49.009998 34.468468
"2012-10-17" 49.330002 49.75 49.040001 34.559128
"2012-10-18" 49.43 50.09 49.419998 34.886948
"2012-10-19" 49.93 50.400002 49.380001 34.58007
"2012-10-22" 49.599998 49.610001 48.689999 34.273174
"2012-10-23" 48.799999 48.900002 48.09 33.798904
"2012-10-24" 48.48 48.740002 47.98 33.631531
"2012-10-25" 48.400002 48.830002 47.220001 33.338585
"2012-10-26" 47.849998 47.849998 46.880001 32.920116
"2012-10-31" 47.27 48.119999 46.98 33.492035
"2012-11-01" 48.040001 48.93 47.77 33.708248
"2012-11-02" 48.619999 49.18 48.529999 34.231346
"2012-11-05" 48.990002 49.41 48.139999 34.210403
"2012-11-06" 49.049999 49.34 48.630001 34.217384
"2012-11-07" 48.790001 49.080002 48.220001 33.896557
"2012-11-08" 48.389999 48.869999 47.560001 33.206066
"2012-11-09" 47.259998 47.290001 46.48 32.827858
"2012-11-12" 46.630001 46.73 46.220001 32.602489
"2012-11-13" 46.060001 46.619999 45.810001 32.651772
"2012-11-14" 46.41 46.52 45.310001 32.01086
"2012-11-15" 45.529999 45.82 44.799999 31.898169
"2012-11-16" 45.389999 45.639999 44.970001 31.996773
"2012-11-19" 45.889999 46.25 45.450001 32.165806
"2012-11-20" 45.709999 46.169998 45.52 32.454571
"2012-11-21" 46.110001 46.200001 45.23 32.433437
"2012-11-23" 46.259998 46.700001 46.189999 32.792633
"2012-11-26" 46.34 46.98 46.259998 32.905327
"2012-11-27" 46.490002 46.849998 46.080002 32.877155
