"Index" "Open" "High" "Low" "Price"
"2012-09-17" 149.070007 151.830002 149 149.710007
"2012-09-18" 149.100006 150.679993 146.869995 147.070007
"2012-09-19" 146.929993 148.25 145.429993 145.910004
"2012-09-20" 145.940002 147.729996 145.350006 146.220001
"2012-09-21" 145.449997 147.179993 144.899994 145.089996
"2012-09-24" 145.25 145.740005 142.130005 144.160004
"2012-09-25" 144.789993 148.619995 144.789993 146
"2012-09-26" 145.589996 146.300003 142.169998 142.970001
"2012-09-27" 143.229996 151.880005 143.199997 151.199997
"2012-09-28" 150.660004 153.389999 149.820007 152.660004
"2012-10-01" 153.110001 155.720001 152.270004 154.419998
"2012-10-02" 154 157.059998 153.020004 157.020004
"2012-10-03" 156.899994 158.509995 154.710007 158.070007
"2012-10-04" 158.850006 164.070007 157.970001 161.300003
"2012-10-05" 161.899994 163.889999 158.860001 159
"2012-10-08" 158.759995 159.619995 154.649994 155.279999
"2012-10-09" 154.919998 155.350006 151.360001 152.479996
"2012-10-10" 152.020004 153.75 150.009995 152.779999
"2012-10-11" 154.210007 155.619995 152.339996 153.699997
"2012-10-12" 152.800003 154.550003 150.169998 150.729996
"2012-10-15" 151.619995 155.070007 150.690002 154.490005
"2012-10-16" 155.179993 158.160004 155.050003 157.910004
"2012-10-17" 158.960007 166.389999 158.309998 164.229996
"2012-10-18" 162.860001 163.710007 159.509995 160.720001
"2012-10-19" 160.029999 161.029999 156.660004 158.240005
"2012-10-22" 158.639999 163.080002 156.830002 162.949997
"2012-10-23" 160 160.740005 152.630005 152.990005
"2012-10-24" 158.460007 163.169998 152.419998 162.690002
"2012-10-25" 164.139999 164.880005 154.210007 155.229996
"2012-10-26" 156.419998 156.600006 146.220001 149.25
"2012-10-31" 149.529999 149.699997 141.570007 142.300003
"2012-11-01" 144.5 149.699997 143.199997 146.369995
"2012-11-02" 147.259995 147.259995 141.350006 143.5
"2012-11-05" 145.419998 145.960007 141.279999 144.850006
"2012-11-06" 145 145 142.050003 144.389999
"2012-11-07" 142.830002 144.320007 136.5 138.229996
"2012-11-08" 138.279999 141.320007 137.619995 137.660004
"2012-11-09" 136.830002 142.979996 136.130005 140.740005
"2012-11-12" 142.630005 146.229996 142.240005 144.899994
"2012-11-13" 145.039993 148.979996 144.210007 148.080002
"2012-11-14" 149.75 149.960007 146 147.550003
"2012-11-15" 146.850006 147.559998 141.210007 142.470001
"2012-11-16" 143.009995 160 141.009995 157.690002
"2012-11-19" 157.679993 161.25 156.679993 160.440002
"2012-11-20" 159.860001 174.600006 159.729996 172.869995
"2012-11-21" 172 176.149994 171.5 174.550003
"2012-11-23" 175 176.5 173.5 176.080002
"2012-11-26" 174.880005 175.910004 170.729996 174.389999
"2012-11-27" 173.369995 176.570007 172 174.699997
