"Index" "Open" "High" "Low" "Price"
"2012-09-17" 7.6 7.61 7.38 5.668034
"2012-09-18" 7.39 7.41 7.25 5.583666
"2012-09-19" 7.3 7.7 7.29 5.867451
"2012-09-20" 7.57 7.6 7.37 5.81376
"2012-09-21" 7.73 7.73 7.5 5.767742
"2012-09-24" 7.45 7.53 7.41 5.706383
"2012-09-25" 7.45 7.49 7.2 5.529977
"2012-09-26" 7.17 7.25 7.08 5.483956
"2012-09-27" 7.24 7.32 7.16 5.583666
"2012-09-28" 7.21 7.28 7.17 5.522305
"2012-10-01" 7.25 7.31 7.12 5.468615
"2012-10-02" 7.19 7.2 7.1 5.499296
"2012-10-03" 7.2 7.42 7.15 5.614344
"2012-10-04" 7.35 7.63 7.34 5.760072
"2012-10-05" 7.6 7.72 7.51 5.806091
"2012-10-08" 7.51 7.6 7.47 5.752402
"2012-10-09" 7.51 7.55 7.41 5.698713
"2012-10-10" 7.42 7.6 7.42 5.790751
"2012-10-11" 7.66 7.69 7.6 5.844442
"2012-10-12" 7.46 7.53 7.25 5.583666
"2012-10-15" 7.33 7.4 7.19 5.668034
"2012-10-16" 7.41 7.45 7.05 5.453277
"2012-10-17" 7.14 7.28 7.08 5.506966
"2012-10-18" 7.22 7.35 7.15 5.537645
"2012-10-19" 7.2 7.22 7.01 5.468615
"2012-10-22" 7.08 7.21 6.98 5.43027
"2012-10-23" 6.57 6.7 6.44 5.016093
"2012-10-24" 6.59 6.63 6.38 4.954736
"2012-10-25" 6.51 6.61 6.41 5.069783
"2012-10-26" 6.6 6.62 6.45 5.046773
"2012-10-31" 6.64 6.65 6.36 5.000756
"2012-11-01" 6.54 6.68 6.44 5.123472
"2012-11-02" 6.75 6.78 6.62 5.108132
"2012-11-05" 6.59 6.63 6.53 5.046773
"2012-11-06" 6.6 6.82 6.59 5.215512
"2012-11-07" 6.67 6.7 6.52 5.008425
"2012-11-08" 6.55 6.66 6.38 4.893377
"2012-11-09" 6.36 6.55 6.35 4.947066
"2012-11-12" 6.49 6.59 6.41 5.008425
"2012-11-13" 6.48 6.61 6.44 4.947066
"2012-11-14" 6.48 6.52 6.24 4.793668
"2012-11-15" 6.23 6.41 6.19 4.832017
"2012-11-16" 6.38 6.42 6.19 4.847357
"2012-11-19" 6.43 6.52 6.4 4.962406
"2012-11-20" 6.48 6.63 6.41 5.069783
"2012-11-21" 6.62 6.63 6.49 5.046773
"2012-11-23" 6.61 6.69 6.56 5.131144
"2012-11-26" 6.68 6.68 6.55 5.100464
"2012-11-27" 6.68 6.73 6.59 5.054445
"2012-11-28" 6.55 6.64 6.49 5.077454
"2012-11-29" 6.65 6.72 6.63 5.115803
"2012-11-30" 6.68 6.72 6.6 5.115803
"2012-12-03" 6.69 6.73 6.56 5.046773
"2012-12-04" 6.56 6.58 6.4 4.947066
"2012-12-05" 6.48 6.6 6.41 5.039104
"2012-12-06" 6.64 6.65 6.48 5.016093
"2012-12-07" 6.54 6.65 6.54 5.092793
"2012-12-10" 6.62 6.78 6.58 5.146483
"2012-12-11" 6.75 6.82 6.71 5.184831
"2012-12-12" 6.8 6.9 6.74 5.207876
"2012-12-13" 6.76 6.8 6.68 5.169469
"2012-12-14" 6.73 6.76 6.7 5.146425
"2012-12-17" 6.76 6.92 6.72 5.307731
"2012-12-18" 7.01 7.09 6.93 5.415269
"2012-12-19" 7.19 7.19 7.03 5.415269
"2012-12-20" 7.05 7.19 7.04 5.515124
"2012-12-21" 7.1 7.18 7.02 5.461356
"2012-12-24" 7.03 7.09 6.94 5.369182
"2012-12-26" 7.01 7.08 6.99 5.392225
"2012-12-27" 7.03 7.07 6.9 5.369182
"2012-12-28" 6.93 7.01 6.92 5.323094
"2012-12-31" 6.89 7.14 6.88 5.476718
"2013-01-02" 7.32 7.37 7.17 5.614981
"2013-01-03" 7.3 7.37 7.2 5.630344
"2013-01-04" 7.37 7.59 7.37 5.830056
"2013-01-07" 7.59 7.59 7.41 5.730199
