"Index" "Open" "High" "Low" "Price"
"2012-09-17" 27.42 27.440001 26.91 22.418077
"2012-09-18" 27.040001 27.23 26.99 22.467821
"2012-09-19" 27.1 27.18 26.85 22.318583
"2012-09-20" 26.65 26.860001 26.459999 21.978664
"2012-09-21" 26.559999 26.98 26.559999 22.185936
"2012-09-24" 27.030001 27.26 26.559999 22.335171
"2012-09-25" 26.99 27.120001 26.389999 21.879175
"2012-09-26" 26.379999 26.6 26.120001 21.812855
"2012-09-27" 26.5 26.92 26.41 22.177637
"2012-09-28" 26.57 26.83 26.27 22.078152
"2012-10-01" 26.65 26.950001 26.26 21.821148
"2012-10-02" 26.27 26.4 25.91 21.539263
"2012-10-03" 26.01 26.209999 25.65 21.464642
"2012-10-04" 26.09 26.32 25.93 21.754818
"2012-10-05" 26.48 26.700001 26.27 21.829441
"2012-10-08" 26.24 26.309999 26.040001 21.688488
"2012-10-09" 26.139999 26.139999 25.48 21.133017
"2012-10-10" 25.459999 25.530001 25.24 21.033533
"2012-10-11" 25.610001 25.67 25.1 21.066689
"2012-10-12" 25.48 25.73 25.190001 20.925749
"2012-10-15" 25.41 25.58 25.219999 20.975491
"2012-10-16" 25.450001 25.530001 25.25 21.141308
"2012-10-17" 25.58 25.780001 25.43 21.356867
"2012-10-18" 25.639999 26.049999 25.52 21.497807
"2012-10-19" 27.299999 28.139999 26.639999 22.583889
"2012-10-22" 27.309999 27.77 26.629999 22.227386
"2012-10-23" 26.459999 26.93 26.26 22.25226
"2012-10-24" 26.940001 27.030001 26.68 22.177637
"2012-10-25" 26.9 27.190001 26.65 22.442951
"2012-10-26" 27.02 27.07 26.450001 22.202513
"2012-10-31" 26.870001 27.15 26.68 22.293709
"2012-11-01" 26.940001 27.74 26.940001 22.956972
"2012-11-02" 27.98 28 27.379999 22.898933
"2012-11-05" 27.48 27.67 27.280001 22.816032
"2012-11-06" 27.709999 28.040001 27.6 23.197393
"2012-11-07" 27.65 27.790001 27.040001 22.608763
"2012-11-08" 27.33 27.459999 26.959999 22.351751
"2012-11-09" 26.82 26.99 26.209999 22.16935
"2012-11-12" 26.870001 26.870001 26.450001 22.1196
"2012-11-13" 26.530001 27.190001 26.530001 22.384907
"2012-11-14" 27.049999 27.129999 26.59 22.16935
"2012-11-15" 26.65 26.879999 26.540001 22.235683
"2012-11-16" 26.959999 27.02 26.280001 22.078152
"2012-11-19" 26.93 27.059999 26.780001 22.434656
"2012-11-20" 26.969999 27.16 26.860001 22.376621
"2012-11-21" 26.959999 27.23 26.799999 22.701765
"2012-11-23" 27.24 27.469999 27.139999 22.893511
"2012-11-26" 27.34 28.01 27.290001 23.310369
"2012-11-27" 27.99 28.07 27.67 23.110277
"2012-11-28" 27.6 27.870001 27.34 23.218662
"2012-11-29" 27.950001 28.030001 27.799999 23.243668
"2012-11-30" 27.85 28.34 27.809999 23.56048
"2012-12-03" 28.52 28.57 28.1 23.577158
"2012-12-04" 28.280001 28.469999 27.99 23.677198
"2012-12-05" 28.389999 28.57 28.049999 23.618841
"2012-12-06" 28.32 28.65 28.27 23.860611
"2012-12-07" 28.700001 29.65 28.67 24.394184
"2012-12-10" 29.690001 30.120001 29.25 24.527578
"2012-12-11" 29.59 30.059999 29.58 24.777687
"2012-12-12" 29.77 29.889999 29.540001 24.694321
"2012-12-13" 29.620001 29.76 29.459999 24.610952
"2012-12-14" 29.5 29.860001 29.389999 24.794359
"2012-12-17" 29.73 30.030001 29.68 24.894407
"2012-12-18" 29.799999 30.5 29.66 25.394627
"2012-12-19" 30.49 31.219999 30.32 25.836491
"2012-12-20" 30.969999 31.52 30.75 26.270023
"2012-12-21" 31.24 31.709999 31.200001 26.328384
"2012-12-24" 31.41 31.540001 31.27 26.228334
"2012-12-26" 31.5 31.75 31.4 26.361729
"2012-12-27" 31.57 31.76 31.35 26.403414
"2012-12-28" 31.43 31.66 31.33 26.211658
"2012-12-31" 31.4 31.84 31.15 26.528471
"2013-01-02" 32.240002 32.650002 32.220001 27.145409
"2013-01-03" 32.5 33.060001 32.419998 27.412193
"2013-01-04" 32.990002 33.41 32.889999 27.854055
"2013-01-07" 33.169998 33.220001 32.619999 27.228771
"2013-01-08" 32.59 32.799999 32.299999 27.195433
"2013-01-09" 32.740002 32.970001 32.619999 27.328821
"2013-01-10" 32.939999 32.939999 32.650002 27.295475
"2013-01-11" 32.779999 32.950001 32.700001 27.412193
"2013-01-14" 32.830002 33.299999 32.830002 27.728996
"2013-01-15" 33.16 33.709999 32.900002 27.9541
"2013-01-16" 33.400002 33.419998 33.060001 27.653967
"2013-01-17" 33.41 33.779999 33.310001 28.10417
"2013-01-18" 34.009998 34.139999 33.580002 28.345936
"2013-01-22" 34 34.110001 33.759998 28.345936
"2013-01-23" 33.939999 34 33.529999 27.987448
"2013-01-24" 33.580002 34.23 33.57 28.345936
"2013-01-25" 34.080002 34.18 33.669998 28.070822
"2013-01-28" 33.860001 34.029999 33.630001 28.237564
"2013-01-29" 33.610001 34 33.369999 27.9541
"2013-01-30" 33.549999 35.75 33.549999 29.796591
"2013-01-31" 35.580002 35.619999 34.98 29.379738
"2013-02-01" 35.169998 35.529999 34.799999 29.588161
"2013-02-04" 35.23 35.34 34.59 29.046257
"2013-02-05" 35.080002 35.779999 35.080002 29.688202
"2013-02-06" 35.5 35.93 35.439999 29.896635
"2013-02-07" 35.709999 35.84 35.279999 29.638186
"2013-02-08" 35.639999 35.73 35.299999 29.563139
"2013-02-11" 35.5 35.57 35.32 29.479786
"2013-02-12" 35.380001 35.48 35.189999 29.438099
"2013-02-13" 35.48 35.610001 35.130001 29.34638
"2013-02-14" 35.049999 35.25 34.91 29.34638
"2013-02-15" 35.279999 35.98 35.189999 29.613178
"2013-02-19" 35.540001 37.150002 35.540001 30.62195
"2013-02-20" 36.73 36.830002 35.459999 29.563139
