"Index" "Open" "High" "Low" "Price"
"2012-09-17" 162.919998 163.25 161.020004 136.573212
"2012-09-18" 162.619995 162.619995 158.410004 133.33606
"2012-09-19" 159.020004 159.899994 158.050003 133.377975
"2012-09-20" 153.889999 158.270004 153.119995 130.383987
"2012-09-21" 160.710007 160.710007 155.020004 130.702682
"2012-09-24" 155.25 155.279999 153.330002 128.866074
"2012-09-25" 153.929993 155 151.389999 127.046204
"2012-09-26" 151.220001 152.339996 148.509995 126.894844
"2012-09-27" 151.860001 153.429993 149.75 127.786171
"2012-09-28" 150.770004 152.279999 148.059998 127.163925
"2012-10-01" 151.600006 154.149994 150.789993 127.609558
"2012-10-02" 151.960007 155.339996 151.759995 129.350143
"2012-10-03" 154.699997 156 153.639999 129.955612
"2012-10-04" 154.529999 158.850006 153.970001 132.873398
"2012-10-05" 159 160.25 157.139999 132.495041
"2012-10-08" 156.830002 158.610001 155.820007 131.427094
"2012-10-09" 155.979996 157.919998 154.190002 129.678101
"2012-10-10" 157.429993 159.649994 155.399994 131.158051
"2012-10-11" 158.740005 159.330002 155.199997 130.788055
"2012-10-12" 155.809998 157.059998 154.309998 130.20787
"2012-10-15" 156.059998 159.880005 155.649994 134.378571
"2012-10-16" 160 164.009995 159.710007 137.767212
"2012-10-17" 164.550003 164.990005 162.490005 137.077744
"2012-10-18" 162.880005 165.410004 162.050003 138.069977
"2012-10-19" 164.199997 164.990005 161.369995 136.161179
"2012-10-22" 159.289993 159.929993 156.550003 133.697403
"2012-10-23" 158.039993 158.039993 154.139999 130.535797
"2012-10-24" 156.839996 156.949997 152.490005 129.930359
"2012-10-25" 155.600006 156.320007 152.559998 129.282898
"2012-10-26" 153.75 154.960007 150.660004 128.248642
"2012-10-31" 155 157.100006 152.509995 129.232468
"2012-11-01" 155 159.460007 153.190002 133.731094
"2012-11-02" 163.240005 164.770004 159.679993 135.168976
"2012-11-05" 159.610001 161.660004 158.940002 135.572601
"2012-11-06" 160.789993 161.559998 159.369995 134.908279
"2012-11-07" 158.949997 158.949997 154.630005 131.099167
"2012-11-08" 155.869995 155.869995 150.270004 126.381958
"2012-11-09" 151.669998 153.179993 149.029999 127.197548
"2012-11-12" 151.639999 152.699997 150.720001 127.718918
"2012-11-13" 148.179993 153.889999 148.179993 128.240234
"2012-11-14" 153.5 153.789993 148.75 125.398125
"2012-11-15" 149.559998 151.220001 148.619995 126.003532
"2012-11-16" 148.610001 151.830002 148.610001 127.290039
"2012-11-19" 154 156.550003 153.550003 131.628906
"2012-11-20" 156.130005 156.619995 155.089996 131.603683
"2012-11-21" 156.470001 157.759995 154.759995 131.595291
"2012-11-23" 158.029999 159.970001 157.410004 134.454178
"2012-11-26" 159.289993 159.949997 157.279999 133.672226
"2012-11-27" 158.270004 160.309998 157.589996 133.798279
"2012-11-28" 159.050003 163.619995 158.839996 136.682495
"2012-11-29" 162.5 162.5 159.139999 134.874649
"2012-11-30" 160.460007 160.490005 156.789993 132.091385
"2012-12-03" 158.179993 159.460007 157.389999 132.402542
"2012-12-04" 157.960007 158.139999 153.270004 129.921951
"2012-12-05" 154.960007 155.399994 151.259995 128.433624
"2012-12-06" 152.25 154.050003 151.229996 129.291321
"2012-12-07" 154.229996 155.800003 153.149994 130.628311
"2012-12-10" 155.490005 155.910004 151.429993 127.794594
"2012-12-11" 152.610001 154.220001 150.649994 129.627655
"2012-12-12" 154.460007 154.899994 150.240005 126.550034
"2012-12-13" 150.729996 152.029999 148.490005 125.42878
"2012-12-14" 149.300003 151.149994 149.300003 126.541664
"2012-12-17" 150.419998 153.619995 148.960007 129.500961
"2012-12-18" 153.360001 154.630005 152.220001 128.641022
"2012-12-19" 152.860001 154.649994 151.589996 129.248016
"2012-12-20" 153.190002 153.190002 149.039993 127.612396
"2012-12-21" 149.759995 151.559998 147.529999 127.528076
"2012-12-24" 153.740005 153.740005 150.100006 127.376343
"2012-12-26" 151.460007 151.460007 144.139999 123.118629
"2012-12-27" 145.740005 149.089996 145.639999 125.066193
"2012-12-28" 148.720001 149.479996 146.399994 123.94487
"2012-12-31" 146.580002 150.130005 146.580002 126.398323
"2013-01-02" 152.75 152.789993 149.25 128.236343
"2013-01-03" 152.75 158.679993 152.75 132.544586
"2013-01-04" 157.100006 159.610001 156.470001 134.382523
"2013-01-07" 159.759995 162.839996 159.559998 136.17836
"2013-01-08" 161.559998 163.600006 161.050003 136.793823
"2013-01-09" 163.860001 165.699997 161.860001 139.601364
"2013-01-10" 163.740005 167.990005 163.179993 141.203217
"2013-01-11" 167.339996 167.850006 165 139.896439
"2013-01-14" 166.020004 167.490005 165.619995 140.242126
"2013-01-15" 165.850006 167.740005 165.460007 140.756409
"2013-01-16" 166.100006 166.910004 165.809998 140.587769
"2013-01-17" 167.070007 168.550003 165.020004 141.69223
"2013-01-18" 168.210007 168.789993 166.570007 141.388718
"2013-01-22" 168.110001 168.110001 163.449997 139.382187
"2013-01-23" 161.960007 164.479996 160.910004 138.429474
"2013-01-24" 164.559998 165.889999 163.789993 139.432724
"2013-01-25" 164.839996 170.320007 164.839996 143.39534
"2013-01-28" 169.979996 170.130005 168.020004 142.341461
"2013-01-29" 168.5 168.710007 166.710007 141.599503
"2013-01-30" 167.800003 168.100006 166.419998 141.152634
"2013-01-31" 165.399994 166.940002 163.759995 140.360168
"2013-02-01" 165.789993 167.199997 161.059998 136.195206
"2013-02-04" 161.600006 164.460007 160.710007 136.903397
"2013-02-05" 162.860001 165.149994 162.860001 139.036484
"2013-02-06" 175.009995 179.899994 173.990005 147.231476
"2013-02-07" 174.139999 178.100006 173.160004 150.123322
"2013-02-08" 176.740005 179.110001 176.660004 149.701752
"2013-02-11" 177.5 178.449997 176.199997 149.238068
"2013-02-12" 177.360001 178.339996 176.529999 149.052551
"2013-02-13" 176.990005 177.759995 175.320007 148.074539
"2013-02-14" 175.320007 175.410004 173.229996 147.425354
"2013-02-15" 175.820007 177.440002 175.119995 148.445526
"2013-02-19" 176.289993 177.619995 175.559998 149.263336
"2013-02-20" 176.070007 176.979996 173.270004 146.28717
"2013-02-21" 172.490005 173.059998 170.110001 143.850616
"2013-02-22" 170.880005 172.179993 170.360001 144.272125
"2013-02-25" 171.960007 173.779999 168.869995 142.383591
"2013-02-26" 170.080002 172.639999 168.470001 143.429016
"2013-02-27" 170.529999 173.770004 170.380005 146.118515
"2013-02-28" 173.089996 174.789993 172.110001 146.253494
"2013-03-01" 172.550003 174.649994 171.630005 146.843658
"2013-03-04" 173.229996 174.809998 172.759995 147.037537
"2013-03-05" 175 177.210007 174.509995 149.305527
"2013-03-06" 176.429993 178.380005 176.429993 149.583725
"2013-03-07" 177.809998 178.690002 176.779999 149.381393
"2013-03-08" 178 178 176.270004 149.617477
"2013-03-11" 176.869995 177.440002 176.289993 148.808105
"2013-03-12" 175.850006 176.580002 174.350006 147.04599
"2013-03-13" 175.070007 175.570007 172.649994 145.882507
"2013-03-14" 173.660004 174.220001 172.610001 145.992111
"2013-03-15" 172.320007 174.289993 171.190002 144.42395
"2013-03-18" 169.669998 171.279999 168.869995 142.670258
"2013-03-19" 169.660004 170.259995 165.770004 140.967209
"2013-03-20" 168.550003 171.110001 167.279999 143.757889
"2013-03-21" 169.149994 170.710007 168.229996 142.139145
"2013-03-22" 169.720001 170.490005 167.639999 141.987366
"2013-03-25" 168.860001 169.330002 165.899994 141.16954
"2013-03-26" 167.419998 167.899994 165.869995 141.617477
"2013-03-27" 166.970001 170.029999 165.910004 143.42601
"2013-03-28" 169.270004 169.600006 167.910004 143.087967
"2013-04-01" 169.119995 169.600006 166.289993 140.924423
"2013-04-02" 167.020004 169.020004 166.899994 141.921707
"2013-04-03" 168.380005 170.470001 167.350006 142.597778
"2013-04-04" 168.699997 169.639999 168.309998 143.34996
"2013-04-05" 166.889999 169.199997 165.330002 142.597778
"2013-04-08" 168.520004 169.869995 167.5 143.333069
"2013-04-09" 169.649994 170.820007 168.820007 143.738708
"2013-04-10" 170.679993 173.149994 170.229996 145.868423
"2013-04-11" 172.990005 175.940002 172.509995 147.888275
"2013-04-12" 174.220001 174.690002 172.330002 147.068512
"2013-04-15" 173.259995 174.910004 170.759995 144.38945
"2013-04-16" 172 172.300003 169.210007 144.752884
"2013-04-17" 169.809998 169.910004 167.339996 142.462585
"2013-04-18" 168.949997 169.050003 166.339996 141.431549
"2013-04-19" 168.240005 169.960007 167.970001 142.94429
"2013-04-22" 169.009995 169.460007 165.380005 140.231415
"2013-04-23" 167.509995 171.119995 167.509995 144.304962
"2013-04-24" 171.070007 171.949997 169.860001 144.888077
"2013-04-25" 171.880005 176.080002 171.880005 148.21785
"2013-04-26" 174.970001 175.710007 173.850006 148.403793
"2013-04-29" 175.720001 177.339996 174.570007 149.586975
"2013-04-30" 176.919998 181.830002 176.5 153.457626
"2013-05-01" 181.309998 181.419998 178.169998 150.913773
"2013-05-02" 179.169998 179.75 176.639999 150.043304
"2013-05-03" 178.729996 180.850006 178.729996 151.496964
"2013-05-06" 179.289993 181.800003 178.600006 152.899811
"2013-05-07" 181.300003 185.089996 181.300003 156.35643
"2013-05-08" 184.960007 185.5 184.089996 156.660645
"2013-05-09" 184.970001 186.630005 183.309998 155.181656
"2013-05-10" 184 185.100006 183.440002 156.347946
"2013-05-13" 184.589996 185.380005 183.669998 155.325363
"2013-05-14" 184.289993 186.770004 183.639999 157.657928
"2013-05-15" 186.300003 187.440002 185.070007 157.793152
"2013-05-16" 186.5 187.089996 183.330002 156.178909
"2013-05-17" 185.100006 187.880005 185.020004 158.046677
"2013-05-20" 186.889999 187.5 186.190002 157.767776
"2013-05-21" 187.009995 190 186.509995 160.201752
"2013-05-22" 189.279999 192.029999 187.910004 158.934052
"2013-05-23" 179.990005 184.490005 177.809998 155.24086
"2013-05-24" 182.639999 183.199997 180.100006 152.942108
"2013-05-28" 182.75 183.289993 178.369995 150.829285
"2013-05-29" 178.389999 179.679993 176.710007 149.865845
"2013-05-30" 177.520004 178.509995 175.259995 148.378464
"2013-05-31" 175.389999 177.919998 174.839996 147.972778
"2013-06-03" 175.240005 175.889999 172.449997 148.446045
"2013-06-04" 175.360001 178.389999 174.720001 149.012299
"2013-06-05" 175.149994 175.970001 173.600006 146.831879
"2013-06-06" 173.139999 174.940002 172.559998 147.550201
"2013-06-07" 175.089996 177 174.889999 148.691147
"2013-06-10" 176.100006 176.429993 175.190002 148.572845
"2013-06-11" 173.550003 175.300003 172.669998 146.865662
"2013-06-12" 175.210007 175.210007 172.220001 145.750076
"2013-06-13" 173.259995 174.940002 172.75 147.415009
"2013-06-14" 173.210007 174.839996 172.910004 146.333282
"2013-06-17" 174.460007 177.380005 174.460007 148.826401
"2013-06-18" 175.979996 178.960007 175.330002 151.192703
"2013-06-19" 178.660004 179.960007 177.520004 150.271545
"2013-06-20" 176.440002 176.610001 169.729996 143.950027
"2013-06-21" 171.570007 172 167.460007 142.902039
"2013-06-24" 169.089996 170.300003 165.729996 142.471039
"2013-06-25" 170.440002 171.809998 169.490005 143.890884
"2013-06-26" 172.699997 174.610001 170.050003 144.322876
"2013-06-27" 171.729996 174.190002 171.059998 147.44754
"2013-06-28" 173.059998 175.210007 171.039993 147.524002
"2013-07-01" 174.179993 176 173.669998 147.693832
"2013-07-02" 173.929993 174.75 171.899994 146.615448
"2013-07-03" 170.889999 173.479996 170.889999 146.717392
"2013-07-05" 173.850006 174.880005 172.320007 147.770218
"2013-07-08" 174.990005 176.119995 174.279999 149.408997
"2013-07-09" 173.910004 178.199997 173.910004 150.827042
"2013-07-10" 177.75 180.149994 177.75 152.856384
"2013-07-11" 181.949997 183.440002 181.429993 155.590546
"2013-07-12" 183 183.550003 181.990005 154.877274
"2013-07-15" 182.369995 182.779999 181.089996 154.325348
"2013-07-16" 181.570007 182.270004 179.399994 152.975296
"2013-07-17" 180.520004 181.350006 178.259995 151.591263
"2013-07-18" 178.529999 180 178.220001 152.822449
"2013-07-19" 179.880005 179.880005 178.240005 152.177124
"2013-07-22" 179.949997 181.669998 179.589996 153.255463
"2013-07-23" 180.910004 181.809998 180 152.958282
"2013-07-24" 180.539993 181.139999 179.020004 152.100677
"2013-07-25" 179.130005 181.149994 178.979996 152.21109
"2013-07-26" 178 181.100006 177.509995 153.671555
"2013-07-29" 180.669998 180.910004 179.809998 153.085663
"2013-07-30" 180.429993 182.059998 180.039993 154.231979
"2013-07-31" 182.460007 183.130005 180.979996 154.588562
"2013-08-01" 183.850006 187.600006 182.860001 158.774704
"2013-08-02" 186.690002 188.639999 185.020004 159.657745
"2013-08-05" 187.25 189.279999 187.25 159.887024
"2013-08-06" 187.360001 189.800003 186.009995 160.914429
"2013-08-07" 177.059998 180.759995 172.009995 147.006058
"2013-08-08" 174.160004 179.199997 173.110001 150.886536
"2013-08-09" 177.509995 179.210007 177.039993 151.947861
"2013-08-12" 175 178.419998 174.699997 151.209152
"2013-08-13" 177.699997 179.059998 177.419998 151.591263
"2013-08-14" 178.539993 178.800003 176.009995 150.088333
"2013-08-15" 174.990005 175.550003 173.570007 148.118423
"2013-08-16" 173.539993 174.649994 172.009995 146.114471
"2013-08-19" 172.059998 173 170.169998 144.543671
"2013-08-20" 171.050003 173.619995 170.759995 146.021072
"2013-08-21" 171.779999 173 171.059998 145.927673
"2013-08-22" 172.240005 173.429993 171.600006 146.352203
"2013-08-23" 172.660004 172.729996 170.740005 145.749374
"2013-08-26" 171.570007 172.410004 170.110001 144.526642
"2013-08-27" 167.529999 169.990005 165.679993 140.765137
"2013-08-28" 165.809998 167.020004 165.350006 140.569824
"2013-08-29" 165.550003 167.110001 165.5 141.07077
"2013-08-30" 166.639999 166.839996 165 140.450928
"2013-09-03" 167.990005 168.490005 165.679993 141.902924
"2013-09-04" 167.25 168 166.580002 141.520813
"2013-09-05" 166.039993 167.490005 165.460007 140.951904
"2013-09-06" 166.429993 166.779999 163.309998 140.255646
"2013-09-09" 165.479996 166.270004 165.130005 140.731125
"2013-09-10" 166.289993 166.300003 162.529999 138.438553
"2013-09-11" 164.130005 164.600006 163 139.168747
"2013-09-12" 163.630005 164.160004 162.220001 138.455536
"2013-09-13" 163.179993 166.830002 163.110001 141.24913
"2013-09-16" 168.729996 169.410004 166.919998 141.97937
"2013-09-17" 168.029999 168.029999 166.360001 141.529297
"2013-09-18" 167.100006 169.300003 165.740005 142.752014
"2013-09-19" 168.100006 169.350006 167.910004 142.913391
"2013-09-20" 168.169998 168.649994 167.039993 142.081238
"2013-09-23" 166.789993 167.399994 163.860001 140.102783
"2013-09-24" 165.270004 166.529999 164.059998 140.255646
"2013-09-25" 164.559998 165.759995 161.979996 138.74057
"2013-09-26" 164.070007 166.039993 163.660004 140.894012
"2013-09-27" 165.029999 166.309998 164.330002 140.979156
"2013-09-30" 163.589996 165.649994 162.559998 140.213104
"2013-10-01" 165.639999 166.320007 164.039993 140.383286
"2013-10-02" 164.339996 164.410004 161.899994 139.60022
"2013-10-03" 164.149994 166.229996 163.25 140.000305
"2013-10-04" 164.470001 167.570007 163.759995 141.881363
"2013-10-07" 165.449997 166.600006 164.25 139.889648
"2013-10-08" 164.559998 165.009995 160.550003 137.123383
"2013-10-09" 159.820007 164.100006 159.350006 138.229858
"2013-10-10" 165.380005 165.380005 163.399994 139.285263
"2013-10-11" 163.649994 164.100006 161.259995 137.327652
"2013-10-14" 160.940002 162.410004 160.309998 137.123383
"2013-10-15" 160.949997 161.660004 158.309998 135.106049
"2013-10-16" 159.179993 159.75 157.570007 135.063477
"2013-10-17" 158.470001 162 157.009995 137.616989
"2013-10-18" 162.009995 163.940002 161.800003 139.506561
"2013-10-21" 164.259995 164.860001 163.100006 139.259766
"2013-10-22" 164.199997 167.110001 163.610001 141.745163
"2013-10-23" 166.080002 166.440002 163.210007 139.770462
"2013-10-24" 164.160004 165.139999 163.970001 140.187531
"2013-10-25" 165 165.600006 163.979996 140.051361
"2013-10-28" 164.440002 165.220001 163.070007 140.485474
"2013-10-29" 165.789993 166.270004 164.550003 140.962128
"2013-10-30" 165.600006 167.839996 165.529999 141.99202
"2013-10-31" 166.330002 166.919998 164.919998 140.987656
"2013-11-01" 166.550003 168.970001 166.440002 143.677338
"2013-11-04" 169.669998 171.979996 168.309998 144.349747
"2013-11-05" 169.710007 173.320007 169.610001 145.711639
"2013-11-06" 180 180.779999 176.809998 153.653046
"2013-11-07" 180.25 181.070007 172.429993 147.090546
"2013-11-08" 172.990005 173.720001 172.320007 147.609756
"2013-11-11" 173.399994 173.5 171.800003 146.852173
"2013-11-12" 172.160004 173.080002 171.210007 145.966995
"2013-11-13" 171.970001 176.369995 171.970001 149.865372
"2013-11-14" 175.399994 176.699997 174.800003 150.376022
"2013-11-15" 176.520004 176.820007 173.440002 149.720657
"2013-11-18" 175.289993 175.759995 172.649994 147.311829
"2013-11-19" 173.559998 174.270004 172.5 147.473602
