"Index" "Open" "High" "Low" "Price"
"2012-09-17" 51.843925 51.957207 51.48521 40.75423
"2012-09-18" 51.340466 51.604782 51.032097 40.421829
"2012-09-19" 51.202015 51.466331 50.534927 40.540897
"2012-09-20" 51.220894 51.290119 50.459408 40.144035
"2012-09-21" 51.095028 51.195721 50.484581 40.059692
"2012-09-24" 50.616741 50.616741 49.987411 39.702496
"2012-09-25" 50.402767 50.497169 49.515419 39.077423
"2012-09-26" 49.65387 49.754562 49.28257 38.958355
"2012-09-27" 49.622402 49.716805 49.062302 38.869057
"2012-09-28" 48.760227 49.345501 48.414097 38.839294
"2012-10-01" 49.439899 49.949654 49.200756 38.869057
"2012-10-02" 49.452484 49.71051 49.07489 38.888897
"2012-10-03" 49.446194 49.565765 49.043423 38.973251
"2012-10-04" 49.672749 49.861549 49.36438 38.958355
"2012-10-05" 49.779736 49.886723 49.200756 38.948441
"2012-10-08" 49.207047 49.421021 48.949024 38.87899
"2012-10-09" 49.219635 49.395847 48.665829 38.363052
"2012-10-10" 48.584015 48.703587 47.734425 37.713161
"2012-10-11" 48.156075 48.552547 47.853996 37.728043
"2012-10-12" 47.828823 48.036503 47.633732 37.683399
"2012-10-15" 47.910637 48.174953 47.753304 37.777649
"2012-10-16" 48.256763 48.904972 48.080555 38.496994
"2012-10-17" 48.917557 49.57206 48.7854 38.963314
"2012-10-18" 49.295155 49.943359 49.118942 39.305634
"2012-10-19" 49.603523 49.804909 48.86092 38.690475
"2012-10-22" 48.86721 49.622402 48.659534 38.611073
"2012-10-23" 48.14978 49.402142 48.049088 38.234058
"2012-10-24" 48.835747 49.28257 48.325993 38.645821
"2012-10-25" 49.238514 49.465073 48.470737 38.343201
"2012-10-26" 48.741348 49.358086 48.640656 38.794655
"2012-10-31" 49.830082 49.830082 48.993076 38.774803
"2012-11-01" 49.376968 50.591568 49.162994 39.221302
"2012-11-02" 49.899307 50.283195 49.106358 38.730152
"2012-11-05" 49.087475 49.295155 48.904972 38.645821
"2012-11-06" 49.125237 50.509754 49.024544 39.672741
"2012-11-07" 49.817493 49.817493 48.401508 38.536667
"2012-11-08" 48.735054 48.898678 47.923222 37.782612
"2012-11-09" 47.835117 48.206421 47.602264 37.623852
"2012-11-12" 47.93581 48.577721 47.677784 38.174519
"2012-11-13" 48.067966 48.955318 47.992447 38.199333
"2012-11-14" 48.325993 48.332283 46.847073 37.292625
"2012-11-15" 47.117683 47.407173 46.916302 37.387543
"2012-11-16" 47.180618 47.633732 46.865952 37.592358
"2012-11-19" 47.879169 48.288231 47.577091 38.25679
"2012-11-20" 47.967274 48.344872 47.778477 38.311741
"2012-11-21" 48.338577 48.986786 48.118313 38.631458
"2012-11-23" 48.974197 49.502831 48.842037 39.270905
"2012-11-26" 48.94273 49.565765 48.94273 39.305862
"2012-11-27" 49.36438 49.716805 49.024544 39.380802
"2012-11-28" 49.402142 50.34613 49.320328 39.865387
"2012-11-29" 50.258022 50.471996 49.78603 39.845406
"2012-11-30" 50.320957 50.572685 50.106987 40.020252
"2012-12-03" 50.805538 51.195721 50.182507 39.865387
"2012-12-04" 50.327251 50.799244 50.062935 40.035236
"2012-12-05" 50.560101 50.818127 49.930775 40.0802
