"Index" "Open" "High" "Low" "Price"
"2012-09-17" 59.849998 60.799999 59.5 58.531807
"2012-09-18" 59.869999 60.599998 59.259998 59.020233
"2012-09-19" 60.240002 61.18 60.119999 59.606323
"2012-09-20" 60.970001 61.290001 60.560001 59.528175
"2012-09-21" 60.990002 61.810001 60.959999 60.075218
"2012-09-24" 61.290001 61.68 60.889999 60.114285
"2012-09-25" 61.619999 61.799999 61.119999 59.801704
"2012-09-26" 60.959999 61.639999 60.689999 60.084976
"2012-09-27" 61.549999 62.380001 61.369999 60.690617
"2012-09-28" 62.099998 63.220001 62.049999 61.44278
"2012-10-01" 63.009998 63.880001 62.82 61.70652
"2012-10-02" 62.650002 62.970001 62.25 61.003204
"2012-10-03" 62.830002 64.370003 62.610001 62.214478
"2012-10-04" 64.349998 65.199997 63.439999 62.439144
"2012-10-05" 64.370003 64.699997 63.959999 62.937325
"2012-10-08" 64.349998 64.589996 64.160004 63.025249
"2012-10-09" 64.459999 65.330002 64.449997 63.650421
"2012-10-10" 65.099998 65.849998 65.080002 63.87508
"2012-10-11" 66.389999 66.43 64.190002 62.849411
"2012-10-12" 64.260002 65.360001 64.260002 63.709023
"2012-10-15" 65.300003 66.709999 65.139999 64.695625
"2012-10-16" 66.540001 66.540001 65.989998 64.812836
"2012-10-17" 66.349998 66.889999 66.18 65.135216
"2012-10-18" 66.599998 67.220001 66.449997 65.154739
"2012-10-19" 66.459999 66.650002 65.720001 64.568642
"2012-10-22" 66.190002 66.230003 65.260002 64.177895
"2012-10-23" 65.550003 65.739998 64.620003 63.660179
"2012-10-24" 65.169998 65.940002 65.040001 64.03138
"2012-10-25" 65.989998 66.129997 64.720001 64.25605
"2012-10-26" 65.860001 66.220001 65.459999 64.53933
"2012-10-31" 66.25 66.860001 65.379997 64.822632
"2012-11-01" 66.519997 66.889999 66.089996 65.076607
"2012-11-02" 66.650002 67.480003 66.269997 65.05706
"2012-11-05" 66.879997 66.980003 65.800003 64.61747
"2012-11-06" 65.959999 67.529999 65.07 64.861687
"2012-11-07" 66.290001 68.68 66.110001 65.428261
"2012-11-08" 66.629997 67.800003 66.5 65.916656
"2012-11-09" 67.019997 67.529999 66.720001 65.67247
"2012-11-12" 67.629997 68.43 66.800003 65.506393
"2012-11-13" 67.160004 67.470001 66.449997 65.193825
"2012-11-14" 66.82 67.410004 65.830002 64.47097
"2012-11-15" 65.900002 66.050003 63.849998 63.337822
"2012-11-16" 65.43 66.290001 64.839996 64.44165
"2012-11-19" 66.139999 67.089996 66.139999 65.457565
"2012-11-20" 67.099998 67.800003 66.720001 65.525955
"2012-11-21" 66.959999 67.5 66.889999 65.692001
"2012-11-23" 67.279999 67.959999 67.099998 66.180412
"2012-11-26" 67.540001 68.489998 67 65.692001
"2012-11-27" 67.25 68.260002 66.730003 65.877602
"2012-11-28" 67.089996 67.919998 66.379997 66.229271
"2012-11-29" 68.050003 68.330002 67.900002 66.502762
