"Index" "Open" "High" "Low" "Price"
"2012-09-17" 68.839996 68.919998 67.339996 63.107559
"2012-09-18" 67.400002 67.400002 66.75 62.798805
"2012-09-19" 67.260002 67.269997 66.580002 62.480709
"2012-09-20" 66.169998 67.209999 65.220001 62.087734
"2012-09-21" 66.300003 67.160004 65.489998 61.629276
"2012-09-24" 65.699997 67.010002 65.519997 62.667828
"2012-09-25" 67.330002 67.440002 66.480003 62.218712
"2012-09-26" 66.410004 66.93 66 62.218712
"2012-09-27" 66.690002 67.32 66.370003 62.87365
"2012-09-28" 67.099998 67.199997 66.489998 62.761368
"2012-10-01" 67.529999 67.529999 66.139999 62.302921
"2012-10-02" 66.610001 67.199997 66.139999 62.817528
"2012-10-03" 67.169998 67.480003 66.989998 62.864292
"2012-10-04" 67.669998 67.839996 67.07 63.163696
"2012-10-05" 67.739998 68.209999 67.169998 63.182411
"2012-10-08" 67.309998 68.099998 67 63.687649
"2012-10-09" 68.07 68.709999 67.089996 62.911076
"2012-10-10" 67.269997 68.330002 67.269997 63.509872
"2012-10-11" 68.5 68.699997 67.620003 63.940254
"2012-10-12" 68.010002 68.43 66.919998 62.62104
"2012-10-15" 67.199997 67.639999 66.019997 62.246792
"2012-10-16" 66.889999 67.089996 65.57 61.872547
"2012-10-17" 66.220001 67.019997 65.610001 61.872547
"2012-10-18" 66.089996 66.559998 65.779999 61.825768
"2012-10-19" 66.239998 66.589996 65.779999 61.919334
"2012-10-22" 66.050003 66.510002 65.610001 62.059677
"2012-10-23" 67.599998 70.25 66.830002 65.353043
"2012-10-24" 70.379997 72.800003 70.199997 67.018448
"2012-10-25" 71.959999 72.309998 71.349998 67.224281
"2012-10-26" 71.660004 72 71.260002 67.121353
"2012-10-31" 71.860001 71.860001 70.5 66.653549
"2012-11-01" 71.010002 72.610001 70.330002 67.476929
"2012-11-02" 72.370003 72.470001 70.949997 66.438362
"2012-11-05" 71.099998 71.529999 70.019997 66.878113
"2012-11-06" 71.709999 72.339996 71.519997 67.44883
"2012-11-07" 71.419998 71.669998 69.480003 65.109772
"2012-11-08" 69.720001 70.089996 69.260002 64.810394
"2012-11-09" 69.080002 69.82 68.82 64.529716
"2012-11-12" 69.209999 69.510002 68.260002 64.847824
"2012-11-13" 69.019997 69.540001 68.410004 64.071236
"2012-11-14" 68.730003 68.879997 68.050003 63.893486
"2012-11-15" 68.25 68.949997 67.830002 64.417419
"2012-11-16" 69.360001 69.650002 67.879997 64.089966
"2012-11-19" 68.970001 68.989998 68.339996 64.539063
"2012-11-20" 68.93 70.599998 68.93 66.036057
"2012-11-21" 70.650002 70.800003 70.010002 65.811493
"2012-11-23" 70.379997 72.019997 70.169998 67.364632
"2012-11-26" 71.720001 72.150002 70.860001 66.728401
"2012-11-27" 71.300003 71.68 70.919998 66.644203
"2012-11-28" 70.730003 71.099998 69.699997 66.372887
"2012-11-29" 70.900002 72.050003 68.989998 65.736633
"2012-11-30" 70.18 70.449997 69.690002 65.643089
"2012-12-03" 70.5 70.900002 69.839996 65.998634
"2012-12-04" 70.410004 70.550003 69.300003 65.699242
"2012-12-05" 70.25 70.800003 70.059998 66.213821
"2012-12-06" 70.610001 71.330002 70.330002 66.307373
"2012-12-07" 71.150002 71.150002 70.010002 65.717926
"2012-12-10" 70.459999 70.849998 70.029999 65.736633
"2012-12-11" 70.75 71.080002 69.580002 66.269966
"2012-12-12" 70.940002 71.389999 70.769997 66.251236
"2012-12-13" 70.809998 70.93 69.290001 64.978798
"2012-12-14" 69.330002 69.470001 68.360001 64.164825
"2012-12-17" 68.690002 69.32 68.580002 64.744888
"2012-12-18" 69.559998 71.309998 69.559998 66.662918
"2012-12-19" 71.099998 72.18 70.809998 66.943604
"2012-12-20" 71.800003 72.629997 71.650002 67.916626
"2012-12-21" 71.050003 72.269997 71.050003 67.411407
"2012-12-24" 71.989998 72.480003 71.389999 67.121353
"2012-12-26" 72.019997 72.120003 71.239998 66.75647
"2012-12-27" 71.379997 71.440002 69.639999 66.185753
"2012-12-28" 70.349998 71.5 70.160004 66.429008
"2012-12-31" 71.029999 71.580002 70.550003 66.747124
"2013-01-02" 72.68 72.75 71.809998 67.794998
"2013-01-03" 72.660004 72.839996 71.910004 67.738884
"2013-01-04" 72.43 73.879997 72.059998 69.048744
"2013-01-07" 73.949997 74.449997 73.309998 69.516556
