"Index" "Open" "High" "Low" "Price"
"2012-09-17" 24.975 25.035 24.495001 20.85619
"2012-09-18" 24.780001 24.82 24.540001 20.684002
"2012-09-19" 24.67 25.205 24.575001 21.045187
"2012-09-20" 24.905001 25.605 24.825001 21.498764
"2012-09-21" 25.745001 25.825001 25.51 21.448362
"2012-09-24" 25.450001 25.715 25.299999 21.486156
"2012-09-25" 25.655001 25.84 25.235001 21.221575
"2012-09-26" 25.27 25.5 24.905001 21.040981
"2012-09-27" 25.165001 25.535 25 21.435772
"2012-09-28" 25.280001 25.48 24.945 21.297167
"2012-10-01" 25.465 25.65 24.950001 21.061983
"2012-10-02" 25.219999 25.219999 24.4 20.704998
"2012-10-03" 24.825001 24.915001 24.525 20.784794
"2012-10-04" 24.945 24.965 24.379999 20.621002
"2012-10-05" 24.735001 24.815001 24.33 20.46981
"2012-10-08" 24.33 24.584999 24.200001 20.47821
"2012-10-09" 24.34 24.49 23.629999 19.886038
"2012-10-10" 23.870001 23.905001 23.309999 19.71805
"2012-10-11" 23.6 23.76 23.445 19.80624
"2012-10-12" 23.76 23.844999 23.52 19.814644
"2012-10-15" 23.735001 23.91 23.67 20.020428
"2012-10-16" 24.014999 24.639999 23.940001 20.562206
"2012-10-17" 24.395 24.584999 24.165001 20.322815
"2012-10-18" 24.215 24.275 23.594999 19.911234
"2012-10-19" 23.465 23.475 22.700001 19.188873
"2012-10-22" 22.865 22.870001 22.545 19.02508
"2012-10-23" 22.48 22.59 22.135 18.886484
"2012-10-24" 22.65 22.764999 22.540001 19.008276
"2012-10-25" 23.040001 23.434999 22.955 19.424061
"2012-10-26" 23.025 23.1 22.690001 19.264471
"2012-10-31" 22.934999 23.094999 22.5 19.277067
"2012-11-01" 22.870001 23.370001 22.695 19.579453
"2012-11-02" 25.26 25.969999 25.200001 21.35177
"2012-11-05" 25.4 25.645 25.35 21.423162
"2012-11-06" 25.545 26.1 25.445 21.717152
"2012-11-07" 25.620001 26.15 25.545 21.759146
"2012-11-08" 25.82 25.870001 25.415001 21.360168
"2012-11-09" 25.469999 25.75 25.334999 21.402157
"2012-11-12" 25.48 25.68 25.33 21.284575
"2012-11-13" 25.209999 25.51 25.025 21.2171
"2012-11-14" 25 25.24 24.4 20.59716
"2012-11-15" 24.5 24.535 24.08 20.424248
"2012-11-16" 24.415001 24.5 23.924999 20.563416
"2012-11-19" 24.485001 25 24.475 20.976707
"2012-11-20" 24.790001 25.165001 24.715 21.111666
"2012-11-21" 24.975 25.32 24.955 21.301445
"2012-11-23" 25.275 25.66 25.275 21.588219
"2012-11-26" 25.424999 25.514999 25.245001 21.461699
"2012-11-27" 25.440001 25.73 25.065001 21.174921
"2012-11-28" 25.094999 25.700001 24.950001 21.664129
"2012-11-29" 25.889999 26.155001 25.75 21.845467
"2012-11-30" 25.709999 26.004999 25.52 21.874992
"2012-12-03" 26.07 26.135 25.75 21.841259
"2012-12-04" 25.825001 25.99 25.469999 21.558693
"2012-12-05" 26 26.07 24.780001 21.419525
"2012-12-06" 25.75 26.924999 25.594999 22.646753
"2012-12-07" 26.715 27 26.57 22.621447
