"Index" "Open" "High" "Low" "Price"
"2012-09-17" 48.743332 48.790001 48.353333 44.143635
"2012-09-18" 48.746666 48.746666 48.316666 43.986427
"2012-09-19" 48.619999 50.139999 48.426666 45.062733
"2012-09-20" 49.59 49.639999 49.09 44.772503
"2012-09-21" 49.636665 50.266666 49.546665 45.368088
"2012-09-24" 50.023335 50.083332 49.566666 45.168541
"2012-09-25" 49.903332 50.220001 49.243332 44.693893
"2012-09-26" 49.243332 49.573334 48.723331 44.234356
"2012-09-27" 48.866669 49.836666 48.833332 44.965977
"2012-09-28" 49.543331 49.720001 49.106667 45.020405
"2012-10-01" 49.799999 49.919998 49.126667 44.805759
"2012-10-02" 49.676666 50.073334 49.123333 44.92065
"2012-10-03" 49.496666 50.966667 49.369999 46.199505
"2012-10-04" 51.220001 51.966667 50.936668 46.668121
"2012-10-05" 51.683334 52.166668 51.583332 47.070225
"2012-10-08" 51.700001 51.986668 50.610001 46.024158
"2012-10-09" 50.483334 50.636665 49.843334 45.31366
"2012-10-10" 49.993332 50.393333 49.599998 45.479946
"2012-10-11" 50.413334 50.736668 49.59 45.135296
"2012-10-12" 49.790001 50.25 49.59 45.11412
"2012-10-15" 49.773335 50.576668 49.423332 45.815529
"2012-10-16" 50.816666 51.330002 50.563332 46.432301
"2012-10-17" 51.506668 51.833332 51.123333 46.62278
"2012-10-18" 51.200001 51.496666 50.683334 46.266022
"2012-10-19" 50.939999 51 50.083332 45.504135
"2012-10-22" 49.869999 50.716667 49.75 45.531361
"2012-10-23" 49.846668 50.119999 48.946667 45.165531
"2012-10-24" 50.113335 50.803333 49.936668 45.882061
"2012-10-25" 49.616669 49.973331 46.330002 42.326618
"2012-10-26" 46.606667 46.946667 46.119999 42.21476
"2012-10-31" 47.366669 48.073334 46.856667 43.106636
"2012-11-01" 47.663334 48.136665 47.253334 43.412006
"2012-11-02" 48 48.293331 47.306667 42.931286
"2012-11-05" 47.169998 48.046665 46.883331 43.535954
"2012-11-06" 48.133331 48.259998 47.613335 43.330368
"2012-11-07" 47.549999 48.25 46.98 43.496655
"2012-11-08" 47.853333 48.009998 47.306667 42.922211
"2012-11-09" 47.243332 47.596668 46.706669 42.580574
"2012-11-12" 48.259998 50.586666 47.866669 45.065754
"2012-11-13" 49.843334 51.453335 49.366669 45.96973
"2012-11-14" 50.506668 50.610001 49.663334 45.318043
"2012-11-15" 49.759998 50.360001 49.07 45.136181
"2012-11-16" 49.540001 51.080002 49.233334 45.942467
"2012-11-19" 50.779999 52.360001 50.713333 47.591373
"2012-11-20" 52.136665 52.880001 52 47.882366
"2012-11-21" 52.75 53.266666 52.323334 47.72171
"2012-11-23" 52.720001 53 52.446667 48.070286
"2012-11-26" 52.866669 53 52.446667 47.888432
"2012-11-27" 52.529999 52.836666 52.366669 47.633804
"2012-11-28" 51.773335 52.343334 51.113335 47.451935
"2012-11-29" 52.380001 52.380001 51.16 46.58202
"2012-11-30" 51.206669 51.806667 50.84 46.230404
"2012-12-03" 50.93 51.406666 50.176666 46.13644
"2012-12-04" 50.893333 51.243332 50.34 45.815144
"2012-12-05" 50.423332 50.540001 49.43 45.439297
