"Index" "Open" "High" "Low" "Price"
"2012-09-17" 62.169998 62.450001 61.959999 62.310001
"2012-09-18" 62.310001 62.310001 61.389999 61.75
"2012-09-19" 61.580002 61.919998 60.959999 61.380001
"2012-09-20" 60.669998 61.080002 59.619999 60.709999
"2012-09-21" 61.41 61.48 60.360001 60.580002
"2012-09-24" 61.32 62.849998 60.889999 61.049999
"2012-09-25" 61.119999 61.990002 60.209999 60.560001
"2012-09-26" 60.439999 61 60 60.57
"2012-09-27" 60.860001 61.759998 60.720001 61.099998
"2012-09-28" 60.709999 61.139999 60.330002 60.459999
"2012-10-01" 60.580002 61.080002 59.810001 60.700001
"2012-10-02" 60.869999 61.5 60.650002 61.07
"2012-10-03" 61.240002 61.759998 60.799999 61.049999
"2012-10-04" 61.279999 61.959999 60.52 61.919998
"2012-10-05" 62.110001 62.490002 61.310001 61.400002
"2012-10-08" 60.93 61.349998 60.580002 61.16
"2012-10-09" 61.009998 61.02 60.009998 60.080002
"2012-10-10" 60.150002 60.450001 59.549999 60.369999
"2012-10-11" 60.959999 61.529999 60.630001 60.869999
"2012-10-12" 60.41 60.77 58.799999 59.029999
"2012-10-15" 59.16 59.650002 58.369999 58.790001
"2012-10-16" 58.799999 58.869999 57.09 57.400002
"2012-10-17" 57.779999 58.790001 57.419998 58.150002
"2012-10-18" 58 58.5 57.759998 58.439999
"2012-10-19" 58.02 58.73 57.84 58
"2012-10-22" 57.52 58.48 57.52 57.950001
"2012-10-23" 57.150002 58.029999 56.919998 57.880001
"2012-10-24" 58.290001 58.709999 57.950001 58.459999
"2012-10-25" 59.189999 59.59 58.84 59.450001
"2012-10-26" 58.970001 58.970001 55.900002 56.290001
"2012-10-31" 56.259998 56.779999 55.27 56.59
"2012-11-01" 56.720001 58.66 56.080002 57.380001
"2012-11-02" 57.549999 58.130001 56.369999 56.43
"2012-11-05" 56.5 56.5 55.119999 56.099998
"2012-11-06" 56.009998 56.970001 55.990002 56.630001
"2012-11-07" 55.91 56.049999 54.169998 54.209999
"2012-11-08" 54.34 54.889999 53.549999 53.709999
"2012-11-09" 53.549999 54.57 53.400002 53.91
"2012-11-12" 53.93 56.580002 53.93 54.330002
"2012-11-13" 53.889999 55.099998 53.880001 53.919998
"2012-11-14" 54 54.169998 52.529999 52.57
"2012-11-15" 52.700001 53.169998 52.400002 52.849998
"2012-11-16" 52.919998 53.59 52.599998 53.5
"2012-11-19" 54.349998 54.860001 53.41 54.150002
"2012-11-20" 55.27 56.23 54.889999 55.560001
"2012-11-21" 55.860001 56.360001 55.150002 55.610001
"2012-11-23" 55.869999 57.139999 55.799999 57.130001
"2012-11-26" 56.98 57.139999 56.02 56.369999
"2012-11-27" 56.560001 56.919998 55.799999 56.43
"2012-11-28" 56.18 56.41 54.84 55.779999
"2012-11-29" 56.240002 56.68 55.02 55.52
"2012-11-30" 55.560001 55.869999 55 55.220001
"2012-12-03" 55.5 56.080002 55.34 55.669998
"2012-12-04" 55.610001 55.75 54.389999 54.68
"2012-12-05" 54.630001 55.060001 54 54.91
"2012-12-06" 55.119999 55.689999 54.810001 55.02
"2012-12-07" 55.169998 55.330002 54.32 54.790001
"2012-12-10" 54.830002 55.41 54.740002 55.040001
