"Index" "Open" "High" "Low" "Price"
"2012-09-17" 86.220001 87.349998 86.160004 66.878769
"2012-09-18" 87 87.150002 86.589996 66.571335
"2012-09-19" 86.93 87.199997 86.379997 66.540596
"2012-09-20" 86.68 87.239998 86.5 66.909508
"2012-09-21" 87.190002 87.269997 85.970001 66.125587
"2012-09-24" 85.910004 87.730003 85.889999 67.086281
"2012-09-25" 87.339996 87.459999 85.830002 66.164009
"2012-09-26" 86.18 86.550003 85.870003 66.002609
"2012-09-27" 85.889999 86.199997 85.330002 66.056427
"2012-09-28" 85.57 86.360001 84.940002 66.348473
"2012-10-01" 86.489998 87.339996 86.489998 66.963295
"2012-10-02" 87 87.699997 86.669998 66.986336
"2012-10-03" 87.089996 87.529999 86.860001 67.101631
"2012-10-04" 87.540001 87.809998 87.040001 67.224602
"2012-10-05" 87.050003 87.440002 86.120003 66.440681
"2012-10-08" 86.230003 86.360001 85.239998 65.710579
"2012-10-09" 85.279999 85.480003 84.019997 64.596191
"2012-10-10" 84.160004 84.5 83.470001 64.265717
"2012-10-11" 83.93 84.290001 83.5 64.219589
"2012-10-12" 83.800003 84.32 83.110001 64.135056
"2012-10-15" 83.709999 84.010002 82 64.311813
"2012-10-16" 84.080002 84.150002 83.580002 64.488586
"2012-10-17" 84.589996 85.550003 83.910004 65.480019
"2012-10-18" 85.099998 85.480003 84.550003 65.610664
"2012-10-19" 85.040001 85.330002 84.400002 65.14183
"2012-10-22" 84.769997 85 84.389999 65.226402
"2012-10-23" 84.410004 85.190002 84 65.441574
"2012-10-24" 85.279999 85.580002 84.809998 65.349342
"2012-10-25" 86.68 86.68 83.480003 65.910416
"2012-10-26" 85.910004 85.910004 84.860001 65.349342
"2012-10-31" 85.410004 86.629997 84.790001 65.818161
"2012-11-01" 85.68 85.849998 85.040001 65.64138
"2012-11-02" 85.93 86.059998 84.889999 65.372406
"2012-11-05" 84.720001 85.080002 84.470001 65.218727
"2012-11-06" 85.230003 86.139999 84.959999 65.91806
"2012-11-07" 85.629997 85.690002 84.279999 65.0112
"2012-11-08" 84.349998 84.949997 83.82 64.419411
"2012-11-09" 83.559998 84.760002 83.120003 64.811371
"2012-11-12" 84.32 85.459999 84.040001 65.602982
"2012-11-13" 84.790001 87.440002 84.779999 66.901833
"2012-11-14" 86.669998 87.089996 85.43 66.260078
"2012-11-15" 85.459999 85.760002 84.150002 66.012672
"2012-11-16" 83.870003 84.059998 81.599998 64.837471
"2012-11-19" 84.199997 85.650002 84 65.324547
"2012-11-20" 84.639999 85.370003 84.290001 65.463722
"2012-11-21" 84.57 85.18 84.470001 65.386421
"2012-11-23" 85.169998 86.099998 84.959999 66.530701
"2012-11-26" 85.870003 86.540001 85.620003 66.515236
"2012-11-27" 86.449997 86.790001 85.849998 66.592545
"2012-11-28" 85.93 87.18 85.870003 67.388901
"2012-11-29" 87.410004 87.949997 86.839996 67.744568
"2012-11-30" 87.769997 88.459999 87.480003 68.394012
"2012-12-03" 88.18 89.389999 87.139999 68.602783
"2012-12-04" 88.910004 89.300003 88.120003 68.749672
"2012-12-05" 89.080002 89.080002 87.849998 68.262581
"2012-12-06" 88.300003 88.400002 87.540001 68.007446
"2012-12-07" 88.25 88.730003 87.480003 67.883736
"2012-12-10" 87.699997 87.980003 87.260002 67.868286
"2012-12-11" 88.010002 88.099998 87.529999 67.82962
"2012-12-12" 88.010002 88.309998 87.57 67.906937
"2012-12-13" 87.809998 88.089996 86.809998 67.528084
"2012-12-14" 87.290001 87.699997 86.809998 67.234283
"2012-12-17" 87.360001 87.610001 86.559998 67.667244
"2012-12-18" 87.839996 87.919998 86.779999 67.53582
"2012-12-19" 87.269997 87.610001 85.93 66.461113
"2012-12-20" 86.07 87.089996 85.870003 67.21109
"2012-12-21" 86.589996 87.330002 85.660004 66.963661
"2012-12-24" 86.269997 86.720001 85.940002 66.747192
"2012-12-26" 86.32 86.480003 85.029999 65.9431
"2012-12-27" 85.290001 85.620003 84.849998 66.128654
"2012-12-28" 85.290001 85.809998 85.209999 65.912163
"2012-12-31" 85.129997 86.260002 84.57 66.677589
"2013-01-02" 86.480003 89.669998 86.480003 69.321831
"2013-01-03" 89.650002 89.650002 88.889999 68.950691
"2013-01-04" 89.230003 90.239998 89.230003 69.739334
"2013-01-07" 89.830002 90.120003 89.260002 69.499657
"2013-01-08" 90.230003 90.230003 88.970001 68.881111
"2013-01-09" 89.690002 90.040001 89.25 69.267677
"2013-01-10" 89.900002 90 89.57 69.460983
"2013-01-11" 89.169998 89.470001 87.970001 68.208466
"2013-01-14" 88.220001 88.830002 88.050003 68.270309
"2013-01-15" 88.309998 88.849998 88.209999 68.316711
"2013-01-16" 88.339996 88.660004 88.279999 68.494514
"2013-01-17" 88.82 89.809998 88.720001 69.267677
"2013-01-18" 89.75 89.900002 88.949997 69.244492
"2013-01-22" 89.529999 89.879997 88.910004 69.49192
"2013-01-23" 89.910004 90.190002 89.459999 69.399155
"2013-01-24" 89.809998 90.309998 89.709999 69.69294
"2013-01-25" 90.18 90.300003 89.080002 69.012543
"2013-01-28" 89.580002 90.110001 88.209999 68.656898
"2013-01-29" 88.639999 88.959999 88.279999 68.540916
"2013-01-30" 88.650002 89.169998 88.599998 68.718765
"2013-01-31" 88.870003 89.010002 88.629997 68.525444
"2013-02-01" 89.190002 90.400002 89.07 69.422325
"2013-02-04" 89.900002 89.980003 88.730003 68.703278
"2013-02-05" 89.349998 89.739998 89.110001 69.182632
"2013-02-06" 89.120003 89.410004 88.610001 68.881111
"2013-02-07" 88.949997 89.660004 88.379997 68.734207
"2013-02-08" 89.040001 89.480003 88.910004 68.935242
"2013-02-11" 89.089996 89.480003 88.449997 68.61824
"2013-02-12" 89.919998 91 89.389999 70.296005
"2013-02-13" 90.830002 90.830002 89.839996 70.241562
"2013-02-14" 90.809998 92.660004 90.57 71.664597
"2013-02-15" 92.220001 94.989998 91.860001 71.85125
