"Index" "Open" "High" "Low" "Price"
"2012-09-17" 73.169998 73.169998 72.029999 59.126125
"2012-09-18" 72.239998 72.949997 72.150002 59.493111
"2012-09-19" 73 73.199997 72.389999 59.460484
"2012-09-20" 72.550003 72.779999 72.029999 58.963013
"2012-09-21" 72.769997 72.980003 71.900002 58.702049
"2012-09-24" 71.489998 72.139999 71.080002 58.318726
"2012-09-25" 71.650002 72.029999 71.089996 58.090393
"2012-09-26" 71.230003 71.43 70.279999 57.380875
"2012-09-27" 70.669998 71.25 70.209999 58.082233
"2012-09-28" 70.959999 71.989998 70.379997 58.612331
"2012-10-01" 72.089996 72.720001 71.279999 58.310566
"2012-10-02" 71.800003 72.330002 71.349998 58.596031
"2012-10-03" 72.160004 72.199997 71.190002 58.416595
"2012-10-04" 71.910004 72.599998 71.75 59.036396
"2012-10-05" 72.489998 73.190002 72.360001 59.346317
"2012-10-08" 72.379997 73.120003 72.290001 59.370777
"2012-10-09" 72.790001 72.889999 71.510002 58.33506
"2012-10-10" 71.330002 71.699997 70.959999 58.383984
"2012-10-11" 72.089996 72.330002 71.599998 58.58786
"2012-10-12" 72 72 71.129997 58.131168
"2012-10-15" 71.459999 72.730003 71.099998 59.256626
"2012-10-16" 72.980003 73.709999 72.779999 60.055847
"2012-10-17" 73.330002 74.290001 72.849998 60.553299
"2012-10-18" 75.75 78.269997 75.470001 62.771534
"2012-10-19" 76.370003 76.379997 75.150002 61.85817
"2012-10-22" 75.730003 75.900002 74.769997 61.368839
"2012-10-23" 74.290001 75.620003 73.790001 61.531944
"2012-10-24" 75.919998 76.290001 75.370003 61.996803
"2012-10-25" 76.660004 77.010002 76.110001 62.282234
"2012-10-26" 76.440002 76.779999 76 62.396404
"2012-10-31" 76.540001 77.589996 76.540001 63.065159
"2012-11-01" 76.790001 79.540001 76.790001 64.565704
"2012-11-02" 79.580002 79.580002 78.540001 64.223221
"2012-11-05" 78.370003 79.589996 78.370003 64.761467
"2012-11-06" 79.360001 80.449997 78.82 65.128433
"2012-11-07" 79.110001 79.360001 76.989998 63.203785
"2012-11-08" 77.389999 77.910004 77.040001 62.828617
"2012-11-09" 76.839996 77.720001 76.529999 62.934677
"2012-11-12" 77.379997 77.839996 77 62.950951
"2012-11-13" 76.769997 77.639999 76.419998 62.388245
"2012-11-14" 76.949997 77.089996 74.449997 60.7164
"2012-11-15" 74.400002 75.040001 74 60.781975
"2012-11-16" 74.099998 74.889999 73.989998 61.282013
"2012-11-19" 75.540001 76.82 75.5 62.95425
"2012-11-20" 76.82 77.790001 76.419998 63.741158
"2012-11-21" 77.800003 78.410004 77.220001 63.691963
"2012-11-23" 77.870003 78 77.220001 63.798553
"2012-11-26" 77.599998 78.389999 77.279999 64.110054
"2012-11-27" 78.110001 78.589996 77.629997 63.683804
"2012-11-28" 77.379997 78.610001 77.010002 64.39695
"2012-11-29" 78.910004 80.059998 78.779999 65.601913
"2012-11-30" 80.139999 80.199997 78.980003 65.118294
"2012-12-03" 80 80.279999 78.779999 64.708427
"2012-12-04" 78.849998 79.449997 78.220001 64.470726
"2012-12-05" 78.760002 78.760002 77.050003 64.216606
"2012-12-06" 78.269997 79.150002 77.790001 64.372353
"2012-12-07" 78.610001 78.910004 77.75 63.98708
"2012-12-10" 78.089996 79.809998 77.699997 65.347794
"2012-12-11" 80.050003 80.050003 78.739998 65.011734
"2012-12-12" 79.709999 80.110001 79.220001 65.577339
"2012-12-13" 79.879997 80.120003 78.82 64.757622
"2012-12-14" 79.029999 79.110001 77.779999 63.847736
"2012-12-17" 78.190002 79.18 78.019997 64.847778
"2012-12-18" 79.209999 79.809998 78.709999 65.40519
"2012-12-19" 80.150002 80.150002 78.839996 64.651054
"2012-12-20" 78.989998 79.129997 78.470001 64.864174
"2012-12-21" 78.580002 79.150002 78.120003 64.118233
"2012-12-24" 78.550003 79.040001 78.050003 64.437958
"2012-12-26" 78.860001 78.860001 77.779999 63.905109
"2012-12-27" 77.849998 78.279999 77.209999 64.052643
"2012-12-28" 77.629997 78.339996 77.260002 63.396881
"2012-12-31" 76.989998 79.290001 76.919998 64.749397
"2013-01-02" 80.720001 81.849998 79.879997 66.282288
"2013-01-03" 80.900002 81.209999 80.220001 66.05275
"2013-01-04" 80.980003 81.080002 79.419998 65.552757
"2013-01-07" 79.769997 80.029999 79.629997 65.290428
"2013-01-08" 79.489998 79.660004 78.620003 64.921555
"2013-01-09" 79.260002 80.309998 79.089996 65.306831
"2013-01-10" 80.120003 80.290001 79.209999 65.167458
"2013-01-11" 79.440002 79.809998 79.300003 65.249451
"2013-01-14" 79.309998 79.93 79.309998 65.347794
"2013-01-15" 79.410004 80.410004 79.410004 65.864212
"2013-01-16" 80.029999 80.470001 79.760002 65.847847
"2013-01-17" 80.669998 81.309998 80.629997 66.30687
"2013-01-18" 81.129997 81.370003 80.75 66.429848
"2013-01-22" 80.849998 81.309998 80.480003 66.651199
"2013-01-23" 81 81.260002 80.370003 66.5774
"2013-01-24" 81.370003 82.089996 81.050003 66.888878
"2013-01-25" 81.599998 81.949997 80.790001 66.987236
"2013-01-28" 81.660004 81.699997 80.529999 66.30687
"2013-01-29" 80.82 82.559998 80.540001 67.634834
"2013-01-30" 82.480003 82.480003 81.589996 66.913475
"2013-01-31" 81.43 81.639999 80.739998 66.413437
"2013-02-01" 81.82 82.540001 81.379997 67.282349
"2013-02-04" 81.709999 81.709999 80.639999 66.298683
"2013-02-05" 81.040001 81.440002 80.279999 66.233131
"2013-02-06" 80.379997 81.080002 80.18 66.380661
"2013-02-07" 81.260002 82.690002 76.599998 63.314915
