"Index" "Open" "High" "Low" "Price"
"2012-09-17" 33.490002 33.950001 33.400002 33.869999
"2012-09-18" 33.779999 34 33.619999 33.889999
"2012-09-19" 33.900002 34.040001 33.66 33.950001
"2012-09-20" 33.740002 33.919998 33.669998 33.900002
"2012-09-21" 33.900002 34.049999 33.68 33.73
"2012-09-24" 33.419998 33.630001 33.310001 33.5
"2012-09-25" 33.580002 33.700001 32.689999 32.889999
"2012-09-26" 32.860001 32.919998 32.639999 32.77
"2012-09-27" 32.880001 33.240002 32.68 33.139999
"2012-09-28" 33.110001 33.150002 32.93 32.990002
"2012-10-01" 33.09 33.09 32.150002 32.369999
"2012-10-02" 32.470001 32.669998 32.380001 32.560001
"2012-10-03" 32.689999 32.889999 32.560001 32.720001
"2012-10-04" 32.849998 32.869999 32.490002 32.860001
"2012-10-05" 33 33.18 32.75 32.869999
"2012-10-08" 32.75 32.919998 32.549999 32.68
"2012-10-09" 32.57 32.650002 32.07 32.080002
"2012-10-10" 32.18 32.259998 31.92 32.110001
"2012-10-11" 32.389999 32.439999 32.09 32.25
"2012-10-12" 32.240002 32.41 31.969999 32.099998
"2012-10-15" 32.23 32.369999 32.02 32.18
"2012-10-16" 32.360001 32.900002 32.240002 32.799999
"2012-10-17" 32.580002 32.950001 32.48 32.790001
"2012-10-18" 32.919998 33 32.439999 32.560001
"2012-10-19" 32.450001 32.509998 31.93 32
"2012-10-22" 32 32.189999 31.85 32
"2012-10-23" 31.77 32.470001 31.549999 32.189999
"2012-10-24" 32.380001 32.610001 32.049999 32.34
"2012-10-25" 32.5 32.779999 32.189999 32.279999
"2012-10-26" 32.299999 32.5 32.130001 32.310001
"2012-10-31" 32.279999 32.450001 32.029999 32.200001
"2012-11-01" 32.200001 33.330002 32.119999 33.32
"2012-11-02" 33.290001 33.290001 32.549999 32.549999
"2012-11-05" 32.459999 32.689999 32.27 32.279999
"2012-11-06" 32.450001 32.810001 32.330002 32.419998
"2012-11-07" 32.07 32.080002 31.360001 31.65
"2012-11-08" 31.65 31.75 31.33 31.35
"2012-11-09" 31.33 32.02 31.26 31.959999
"2012-11-12" 31.91 32.09 31.74 31.85
"2012-11-13" 31.59 32.060001 31.57 31.969999
"2012-11-14" 32.009998 32.150002 31.389999 31.450001
"2012-11-15" 31.66 31.790001 31.280001 31.719999
"2012-11-16" 31.73 31.799999 31.02 31.27
"2012-11-19" 31.4 32.119999 31.290001 31.98
"2012-11-20" 31.93 32.150002 31.74 32.009998
"2012-11-21" 32.02 32.459999 32.02 32.43
"2012-11-23" 32.439999 32.779999 32.349998 32.759998
"2012-11-26" 32.560001 32.950001 32.560001 32.84
"2012-11-27" 32.810001 32.919998 32.59 32.709999
"2012-11-28" 32.77 32.98 32.25 32.919998
"2012-11-29" 33 33.049999 32.599998 32.650002
"2012-11-30" 32.540001 33.029999 32.540001 32.860001
"2012-12-03" 33.040001 33.209999 32.82 33.139999
"2012-12-04" 33.119999 33.389999 33.080002 33.23
