"Index" "Open" "High" "Low" "Price"
"2012-09-17" 45.060001 45.220001 44.639999 28.630905
"2012-09-18" 44.990002 45.029999 44.77 28.650026
"2012-09-19" 44.959999 45.23 44.849998 28.783833
"2012-09-20" 45.119999 45.349998 45.049999 28.828447
"2012-09-21" 45.34 45.380001 45.119999 28.841181
"2012-09-24" 45.389999 45.889999 45.310001 29.198042
"2012-09-25" 45.900002 46.080002 45.700001 29.147066
"2012-09-26" 45.740002 46.400002 45.740002 29.382849
"2012-09-27" 46.16 46.18 45.799999 29.261765
"2012-09-28" 45.82 46.18 45.669998 29.370085
"2012-10-01" 46.080002 46.189999 45.59 29.102455
"2012-10-02" 45.639999 45.82 45.41 29.038744
"2012-10-03" 45.720001 45.93 45.57 29.217161
"2012-10-04" 45.900002 46.099998 45.810001 29.293627
"2012-10-05" 46.200001 46.25 45.869999 29.293627
"2012-10-08" 45.91 46.169998 45.720001 29.357347
"2012-10-09" 46.040001 46.139999 45.759998 29.280888
"2012-10-10" 46 46.110001 45.810001 29.287256
"2012-10-11" 46.150002 46.150002 45.700001 29.134314
"2012-10-12" 45.849998 46.07 45.540001 29.064222
"2012-10-15" 45.599998 45.669998 45.310001 29.08971
"2012-10-16" 45.779999 46.02 45.580002 29.242647
"2012-10-17" 46.07 46.68 45.919998 29.656851
"2012-10-18" 46.560001 46.860001 46.43 29.822533
"2012-10-19" 46.75 47.09 46.540001 29.720573
"2012-10-22" 46.509998 46.75 46.400002 29.663225
"2012-10-23" 46.310001 46.549999 46.09 29.440199
"2012-10-24" 46.220001 46.490002 45.98 29.338236
"2012-10-25" 46.27 46.459999 45.950001 29.459309
"2012-10-26" 46.27 46.439999 46 29.523039
"2012-10-31" 46.52 46.93 46.349998 29.848019
"2012-11-01" 46.700001 46.700001 45.990002 29.6355
"2012-11-02" 46.27 46.400002 45.759998 29.474518
"2012-11-05" 45.52 45.52 44.509998 28.73395
"2012-11-06" 44.619999 44.790001 44.009998 28.424837
"2012-11-07" 44 44.080002 42.700001 27.561922
"2012-11-08" 43.189999 43.849998 43.02 27.858152
"2012-11-09" 43.099998 43.34 42.82 27.710039
"2012-11-12" 43.02 43.07 42.48 27.420256
"2012-11-13" 42.450001 43.040001 42.41 27.658524
"2012-11-14" 42.990002 43.02 42.57 27.613445
"2012-11-15" 42.869999 43.27 42.279999 27.394493
"2012-11-16" 42.52 42.759998 42.25 27.491087
"2012-11-19" 42.869999 42.900002 42.41 27.542608
"2012-11-20" 42.66 42.720001 42.040001 27.323656
"2012-11-21" 42.450001 42.66 41.779999 27.227057
"2012-11-23" 42.27 42.369999 41.75 27.066069
"2012-11-26" 41.880001 42.740002 41.849998 27.452448
"2012-11-27" 42.610001 42.900002 42.540001 27.555483
"2012-11-28" 42.700001 42.830002 42.330002 27.536167
"2012-11-29" 42.759998 43.310001 42.490002 27.877472
"2012-11-30" 43.200001 43.560001 43.009998 28.044901
"2012-12-03" 43.57 43.599998 42.990002 27.800203
"2012-12-04" 43.18 43.25 42.84 27.626322
"2012-12-05" 42.93 43.73 42.810001 27.986944
"2012-12-06" 43.950001 44 43.540001 28.160824
"2012-12-07" 43.740002 43.950001 43.43 28.160824
"2012-12-10" 43.73 43.860001 43.52 28.128616
"2012-12-11" 43.68 43.84 43.459999 28.077105
"2012-12-12" 43.580002 43.779999 43.299999 27.935427
"2012-12-13" 43.330002 43.380001 43.009998 27.787313
"2012-12-14" 43.02 43.139999 42.740002 27.658524
"2012-12-17" 42.93 43.77 42.93 28.167259
"2012-12-18" 43.740002 44.139999 43.66 28.257412
"2012-12-19" 43.98 43.98 43.32 27.896784
"2012-12-20" 43.459999 43.560001 43.099998 28.019148
"2012-12-21" 43.43 43.48 42.970001 27.896784
"2012-12-24" 43.490002 43.490002 42.91 27.761568
"2012-12-26" 43.169998 43.419998 42.75 27.5748
"2012-12-27" 42.740002 42.880001 42.25 27.484653
"2012-12-28" 42.439999 42.970001 42.240002 27.259258
"2012-12-31" 42.220001 42.849998 42.040001 27.568369
"2013-01-02" 43.34 43.779999 43.189999 28.193018
"2013-01-03" 43.759998 43.900002 43.66 28.186579
"2013-01-04" 43.82 44.209999 43.049999 28.437721
"2013-01-07" 44 44.09 43.279999 27.941868
"2013-01-08" 43.34 43.490002 43.029999 27.864592
"2013-01-09" 43.290001 43.310001 42.950001 27.729368
"2013-01-10" 43.139999 43.25 43.009998 27.832397
"2013-01-11" 43.279999 43.369999 43.07 27.79376
"2013-01-14" 43.18 43.299999 43.02 27.722918
"2013-01-15" 43.029999 43.07 42.830002 27.684284
"2013-01-16" 42.889999 43.060001 42.82 27.632771
"2013-01-17" 43.049999 43.049999 42.82 27.690725
"2013-01-18" 43.150002 43.490002 43.09 28.006269
"2013-01-22" 43.450001 43.869999 43.43 28.238094
"2013-01-23" 43.799999 43.880001 43.630001 28.250975
"2013-01-24" 43.950001 44.299999 43.950001 28.469921
"2013-01-25" 44.299999 44.84 44.189999 28.624485
"2013-01-28" 44.23 44.540001 44.130001 28.560078
"2013-01-29" 44.360001 44.740002 44.330002 28.73395
"2013-01-30" 44.950001 45 44.139999 28.675999
"2013-01-31" 44 44.23 43.799999 28.799707
"2013-02-01" 44.290001 44.41 43.939999 28.65646
"2013-02-04" 43.880001 43.91 43.75 28.526234
"2013-02-05" 43.98 44.09 43.619999 28.409027
"2013-02-06" 43.540001 43.860001 43.369999 28.539261
"2013-02-07" 43.869999 44.080002 43.720001 28.539261
"2013-02-08" 43.889999 43.889999 43.630001 28.552282
"2013-02-11" 43.849998 44.240002 43.790001 28.689022
"2013-02-12" 44.07 44.169998 43.91 28.754131
"2013-02-13" 44.119999 44.290001 44.060001 28.760641
"2013-02-14" 44.110001 44.220001 43.799999 28.591354
"2013-02-15" 44.040001 44.110001 43.919998 28.721577
"2013-02-19" 44.200001 44.630001 44.150002 28.962482
"2013-02-20" 44.439999 44.77 44.400002 29.008072
"2013-02-21" 44.529999 44.720001 44.400002 28.929928
"2013-02-22" 44.59 44.869999 44.509998 29.131786
"2013-02-25" 44.84 45.240002 44.529999 29.00156
"2013-02-26" 44.68 45.07 44.549999 29.112249
"2013-02-27" 44.709999 45.189999 44.630001 29.346655
"2013-02-28" 45.139999 45.25 44.869999 29.307589
"2013-03-01" 44.880001 45 44.68 29.190393
"2013-03-04" 44.689999 45.049999 44.549999 29.320616
"2013-03-05" 45.060001 45.439999 44.959999 29.535494
"2013-03-06" 45.540001 45.639999 45.27 29.613632
"2013-03-07" 45.470001 45.669998 45.34 29.555023
"2013-03-08" 45.400002 45.43 44.939999 29.509447
"2013-03-11" 45.220001 45.310001 45.130001 29.502932
"2013-03-12" 45.310001 45.32 45.029999 29.431311
"2013-03-13" 45.220001 45.310001 45.080002 29.489916
"2013-03-14" 45.259998 45.41 45.130001 29.542002
"2013-03-15" 45.189999 45.549999 44.91 29.639668
