"Index" "Open" "High" "Low" "Price"
"2012-09-17" 153.151459 154.440262 153.113831 99.929054
"2012-09-18" 153.424271 153.781754 151.702728 98.810783
"2012-09-19" 152.097839 152.445908 151.14769 98.181374
"2012-09-20" 146.754471 146.98024 145.870178 95.260406
"2012-09-21" 147.111954 147.554092 146.331131 95.443741
"2012-09-24" 146.754471 147.168396 146.086548 94.912132
"2012-09-25" 146.735657 146.914398 143.113831 93.121651
"2012-09-26" 143.066788 144.063965 141.909683 92.357826
"2012-09-27" 142.925674 144.590775 142.671677 92.846695
"2012-09-28" 142.201324 143.603012 142.050797 92.76722
"2012-10-01" 143.189087 143.405457 140.667923 92.388367
"2012-10-02" 142.671677 143.527756 142.163681 93.036095
"2012-10-03" 143.471313 145.136414 143.226715 93.445534
"2012-10-04" 144.47789 145.136414 142.784576 93.243866
"2012-10-05" 144.158051 144.628403 142.718719 93.3172
"2012-10-08" 143.631226 143.941681 142.511765 93.41497
"2012-10-09" 144.111008 145.051743 143.189087 93.030014
"2012-10-10" 143.179688 144.289749 143.113831 93.518845
"2012-10-11" 144.628403 145.145813 143.932266 93.524986
"2012-10-12" 143.998123 144.214493 143.170273 93.121651
"2012-10-15" 143.621826 144.393234 142.652863 93.567749
"2012-10-16" 145.108185 145.484482 144.327377 94.093269
"2012-10-17" 144.176865 144.355591 143.000946 93.402733
"2012-10-18" 143.744125 145.776108 143.217316 94.594353
"2012-10-19" 145.145813 147.09314 144.252121 93.824402
"2012-10-22" 143.23613 145.061142 142.257767 93.457756
"2012-10-23" 142.097839 142.850418 140.940735 92.284492
"2012-10-24" 142.088425 142.90686 141.439316 92.37616
"2012-10-25" 142.897461 144.835373 140.903107 92.553375
"2012-10-26" 142.49295 142.756348 140.82785 91.844528
"2012-10-31" 142.652863 143.555969 141.495773 93.011665
"2012-11-01" 143.142044 144.242706 141.909683 93.219429
"2012-11-02" 145.296326 147.158981 145.296326 95.174889
"2012-11-05" 145.268112 146.434616 144.421448 94.55159
"2012-11-06" 145.813736 146.641586 145.239883 95.015999
"2012-11-07" 145.597366 146.801498 144.957672 95.144318
"2012-11-08" 146.152405 146.820313 145.023514 94.203239
"2012-11-09" 143.960495 144.807144 142.765762 92.883331
"2012-11-12" 143.283157 143.781754 142.144867 92.962791
"2012-11-13" 142.464722 143.894638 142.455322 92.76722
"2012-11-14" 142.587021 142.728134 138.805267 91.19146
"2012-11-15" 139.501404 140.658508 137.412979 90.31739
"2012-11-16" 138.005646 138.457199 136.603958 90.434372
"2012-11-19" 139.567261 140.338669 138.833496 91.683891
"2012-11-20" 140.338669 141.476959 139.17215 92.564125
"2012-11-21" 141.57103 141.862656 140.442139 92.45948
"2012-11-23" 141.843842 142.850418 141.552216 93.327393
"2012-11-26" 141.890869 143.932266 141.890869 93.653625
"2012-11-27" 142.49295 142.916275 140.395111 92.958076
"2012-11-28" 141.806213 142.154282 140.818436 92.477951
"2012-11-29" 141.777985 142.756348 140.771408 93.09964
"2012-11-30" 142.746948 144.035751 142.182495 93.641319
"2012-12-03" 143.527756 144.873001 143.292572 94.072159
"2012-12-04" 143.471313 144.873001 142.963318 93.899818
"2012-12-05" 143.781754 143.781754 142.173096 93.727478
"2012-12-06" 144.195679 145.578552 144.176865 95.044731
"2012-12-07" 145.813736 146.547501 145.249298 95.808014
"2012-12-10" 146.481659 147.243652 145.83255 96.048065
"2012-12-11" 149.548447 150.131699 146.481659 96.466606
"2012-12-12" 147.300095 147.911575 146.199432 96.26963
"2012-12-13" 145.051743 146.001877 144.317963 94.786186
"2012-12-14" 145.136414 145.794922 144.459076 94.82312
"2012-12-17" 146.387589 147.149582 145.31514 95.697182
"2012-12-18" 146.35936 147.71402 145.964249 96.534325
"2012-12-19" 147.525864 147.80809 146.76387 96.263489
"2012-12-20" 147.130768 148.965195 146.867355 97.297577
"2012-12-21" 147.441208 149.040451 146.942612 97.131386
"2012-12-24" 148.476013 151.175919 147.619949 97.217575
"2012-12-26" 148.86171 149.143936 147.356537 96.614319
"2012-12-27" 147.591721 148.880524 146.829727 97.211411
"2012-12-28" 147.525864 148.805267 146.735657 96.035736
"2012-12-31" 146.500473 148.73941 146.274689 97.309898
"2013-01-02" 150.696136 151.204132 149.06868 98.362473
"2013-01-03" 150.667923 151.006592 148.654755 97.574562
"2013-01-04" 149.247406 149.774231 148.447784 97.617668
"2013-01-07" 148.748825 150.413925 148.701782 98.313202
"2013-01-08" 150.329254 150.40451 148.974594 97.956207
"2013-01-09" 150.065857 150.602066 149.68956 98.436295
"2013-01-10" 150.630295 151.128876 149.567261 98.424011
"2013-01-11" 150.423325 150.771408 149.971771 98.473259
"2013-01-14" 150.489182 150.489182 149.576675 98.140869
"2013-01-15" 149.567261 150.940735 149.397934 98.602509
"2013-01-16" 150.09407 150.799622 149.698959 98.313202
"2013-01-17" 150.978363 150.978363 150.103485 98.424011
"2013-01-18" 150.244598 150.545624 149.416748 98.417862
"2013-01-22" 150.395111 151.646286 150.169327 99.070305
"2013-01-23" 151.072433 152.210724 150.630295 99.40889
"2013-01-24" 152.295395 152.841019 151.6745 99.815117
"2013-01-25" 152.841019 153.179688 151.947311 99.932053
"2013-01-28" 153.988708 153.988708 152.135468 100.153679
"2013-01-29" 152.81279 153.386642 152.417679 100.202904
"2013-01-30" 152.737534 153.170273 151.222961 99.335022
"2013-01-31" 151.6651 151.759171 150.667923 98.596359
"2013-02-01" 151.740356 153.358414 150.959549 99.698196
"2013-02-04" 151.646286 153.762939 151.646286 100.030579
"2013-02-05" 153.847595 154.581375 151.937912 99.568871
"2013-02-06" 151.326431 152.775162 151.241776 99.531975
"2013-02-07" 152.304794 152.436493 151.26059 98.971848
"2013-02-08" 151.514587 153.160858 151.26059 100.184464
"2013-02-11" 153.198502 153.819382 152.859833 100.639938
"2013-02-12" 152.803391 153.725311 151.655685 101.024292
"2013-02-13" 153.480713 153.65004 151.956726 100.453957
"2013-02-14" 152.116653 152.28598 150.846664 99.536522
"2013-02-15" 150.366882 150.940735 149.313263 99.121208
"2013-02-19" 150.385696 151.081848 150.366882 99.493126
"2013-02-20" 150.630295 151.683914 149.962372 98.885612
"2013-02-21" 149.623703 149.849487 148.033859 97.955772
"2013-02-22" 148.95578 150.385696 148.899338 99.009605
"2013-02-25" 151.13829 151.204132 147.986832 97.552841
