"Index" "Open" "High" "Low" "Price"
"2012-09-17" 35.290001 35.43 34.98 30.800331
"2012-09-18" 35.119999 35.52 35.009998 31.089661
"2012-09-19" 35.490002 35.540001 35.290001 31.080889
"2012-09-20" 35.630001 35.630001 35.189999 31.13349
"2012-09-21" 35.610001 36.02 35.400002 31.580641
"2012-09-24" 36.009998 36.330002 35.869999 31.598175
"2012-09-25" 36.23 36.279999 35.59 31.238705
"2012-09-26" 35.77 36.02 35.529999 31.343924
"2012-09-27" 35.849998 36.150002 35.5 31.668306
"2012-09-28" 35.93 36.18 35.450001 31.098431
"2012-10-01" 35.540001 36 35.23 31.431583
"2012-10-02" 35.970001 36.279999 35.919998 31.782305
"2012-10-03" 36.25 36.48 35.950001 31.764769
"2012-10-04" 36.34 36.630001 36.099998 32.115471
"2012-10-05" 36.740002 37.18 36.41 31.983946
"2012-10-08" 36.389999 36.57 36.119999 31.940111
"2012-10-09" 36.34 36.41 35.27 30.966913
"2012-10-10" 35.380001 35.41 35.07 30.914307
"2012-10-11" 35.459999 35.59 35.110001 30.949383
"2012-10-12" 35.389999 35.470001 35.009998 30.800331
"2012-10-15" 35.27 35.32 34.93 30.809109
"2012-10-16" 35.41 36.259998 35.09 31.791061
"2012-10-17" 36.200001 36.779999 35.990002 32.010258
"2012-10-18" 36.41 36.529999 36.07 31.957649
"2012-10-19" 36.25 36.419998 35.560001 31.370216
"2012-10-22" 35.790001 36 35.66 31.466656
"2012-10-23" 35.68 35.900002 35.41 31.387753
"2012-10-24" 35.889999 35.959999 35.380001 31.151033
"2012-10-25" 35.790001 36.130001 35.630001 31.67709
"2012-10-26" 36.23 36.360001 35.740002 31.738455
"2012-10-31" 36.369999 36.529999 35.32 31.221161
"2012-11-01" 34.98 36.02 34.98 31.098431
"2012-11-02" 35.490002 35.619999 34.439999 30.256733
"2012-11-05" 34.560001 34.66 34.060001 30.133995
"2012-11-06" 34.349998 34.880001 34.02 30.475931
"2012-11-07" 34.349998 34.77 33.43 29.5378
"2012-11-08" 33.59 33.740002 33.23 29.134506
"2012-11-09" 32.990002 33.689999 32.990002 29.195873
"2012-11-12" 33.34 33.34 32.93 29.064365
"2012-11-13" 32.900002 33.380001 32.900002 28.871477
"2012-11-14" 32.93 33.200001 32.349998 28.380497
"2012-11-15" 32.330002 32.799999 32.23 28.538309
"2012-11-16" 32.439999 33.07 32.380001 28.810104
"2012-11-19" 33.02 33.23 32.810001 29.189302
"2012-11-20" 32.970001 33.259998 32.779999 29.3304
"2012-11-21" 33.259998 33.549999 33.040001 29.489128
"2012-11-23" 33.59 34.07 33.419998 29.991785
"2012-11-26" 33.900002 33.939999 33.369999 29.718409
"2012-11-27" 33.75 34.060001 33.619999 29.647861
"2012-11-28" 33.48 33.900002 33.099998 29.780142
