"Index" "Open" "High" "Low" "Price"
"2012-09-17" 43.959999 44.110001 43.790001 34.914974
"2012-09-18" 43.709999 43.939999 43.470001 34.740047
"2012-09-19" 43.709999 43.91 43.439999 34.549217
"2012-09-20" 43.110001 43.540001 42.860001 34.533306
"2012-09-21" 43.84 44.110001 43.66 34.755955
"2012-09-24" 43.419998 43.599998 42.959999 34.501499
"2012-09-25" 43.790001 44.049999 42.349998 33.682503
"2012-09-26" 42.27 42.310001 41.689999 33.165657
"2012-09-27" 41.759998 42.310001 41.419998 33.62151
"2012-09-28" 41.900002 42.060001 41.610001 33.557537
"2012-10-01" 42.259998 42.630001 41.880001 33.6455
"2012-10-02" 42.290001 42.349998 41.84 33.653503
"2012-10-03" 42.290001 42.450001 41.860001 33.541542
"2012-10-04" 42.099998 42.66 42.049999 33.821449
"2012-10-05" 42.59 42.68 41.880001 33.581524
"2012-10-08" 41.889999 42.130001 41.77 33.54953
"2012-10-09" 41.959999 42.080002 41.43 33.181648
"2012-10-10" 41.57 41.900002 41.400002 33.15765
"2012-10-11" 41.849998 42.490002 41.759998 33.605518
"2012-10-12" 41.82 41.82 41.09 33.093681
"2012-10-15" 41.549999 41.75 41.279999 33.253624
"2012-10-16" 42.080002 43.810001 41.369999 34.813141
"2012-10-17" 43.779999 44.779999 43.529999 35.740845
"2012-10-18" 44.68 45.07 44.549999 35.9328
"2012-10-19" 44.779999 44.98 44.470001 35.716854
"2012-10-22" 44.5 44.849998 44.009998 35.756844
"2012-10-23" 44 44.18 43.740002 35.125042
"2012-10-24" 44.130001 44.439999 44.07 35.396954
"2012-10-25" 44.700001 44.91 44.209999 35.740845
"2012-10-26" 44.549999 44.720001 44.07 35.492935
"2012-10-31" 44.599998 44.959999 44.400002 35.644875
"2012-11-01" 44.68 45.32 43.84 36.028763
"2012-11-02" 45.389999 45.459999 44.68 35.764851
"2012-11-05" 45.23 46.189999 45.049999 36.732552
"2012-11-06" 46 46.650002 45.869999 37.052441
"2012-11-07" 45.68 45.849998 44.630001 35.764851
"2012-11-08" 44.799999 45.48 44.369999 35.492935
"2012-11-09" 44.299999 44.939999 44.240002 35.436939
"2012-11-12" 44.369999 44.73 44.23 35.500923
"2012-11-13" 44.139999 44.77 44 35.41296
"2012-11-14" 44.380001 44.709999 43.869999 35.173035
"2012-11-15" 43.990002 44.369999 43.900002 35.300983
"2012-11-16" 44.599998 44.939999 43.599998 35.356972
"2012-11-19" 44.689999 45.5 44.689999 36.220703
"2012-11-20" 45.130001 45.529999 44.919998 36.220703
"2012-11-21" 45.259998 45.580002 45.02 36.308689
"2012-11-23" 45.66 45.810001 45.580002 36.612587
"2012-11-26" 45.380001 45.400002 44.66 35.908802
"2012-11-27" 44.810001 45.220001 44.52 35.620884
"2012-11-28" 44.34 44.759998 44.299999 35.716854
"2012-11-29" 44.93 45.060001 44.450001 35.668869
"2012-11-30" 44.560001 44.759998 44.310001 35.54092
"2012-12-03" 44.619999 45.07 44.41 35.756844
"2012-12-04" 44.759998 45.049999 44.290001 35.508919
"2012-12-05" 44.419998 44.950001 44.419998 35.692867
"2012-12-06" 44.619999 44.700001 44.049999 35.644875
"2012-12-07" 44.66 45.16 44.610001 36.108727
"2012-12-10" 45.470001 45.470001 44.599998 35.940788
"2012-12-11" 45.049999 45.41 44.880001 36.268696
"2012-12-12" 45.490002 45.98 45.220001 36.316685
"2012-12-13" 45.41 45.599998 45.240002 36.268696
