"Index" "Open" "High" "Low" "Price"
"2012-09-17" 30.25 30.33 29.57 18.399645
"2012-09-18" 29.74 30.17 29.360001 18.362537
"2012-09-19" 29.74 29.83 29.360001 18.226471
"2012-09-20" 29.450001 30.24 29.16 18.566635
"2012-09-21" 30.93 31.16 30.01 19.147999
"2012-09-24" 30.58 31.43 30.41 19.395388
"2012-09-25" 31.73 32.25 31.370001 19.512901
"2012-09-26" 31.42 31.5 30.41 19.16037
"2012-09-27" 31.1 31.950001 30.709999 19.747923
"2012-09-28" 31.84 31.91 30.799999 19.147999
"2012-10-01" 31.26 31.49 29.99 18.609926
"2012-10-02" 30.42 30.49 29.879999 18.733622
"2012-10-03" 30.280001 30.43 29.879999 18.585192
"2012-10-04" 30.110001 30.360001 29.809999 18.554266
"2012-10-05" 30.209999 30.280001 29.459999 18.300684
"2012-10-08" 29.5 29.74 29.27 18.263584
"2012-10-09" 29.379999 29.5 28.379999 17.744059
"2012-10-10" 28.6 28.75 28 17.459566
"2012-10-11" 28.58 28.93 28.129999 17.471937
"2012-10-12" 27.24 28.42 27.139999 17.360605
"2012-10-15" 28.08 28.49 27.98 17.583258
"2012-10-16" 28.610001 29.030001 28.440001 17.676031
"2012-10-17" 28.620001 28.860001 28.16 17.552334
"2012-10-18" 28.17 28.66 27.940001 17.298759
"2012-10-19" 27.950001 28.190001 27.82 17.255468
"2012-10-22" 27.969999 28.370001 27.91 17.509037
"2012-10-23" 26.82 28.09 26.75 17.193619
"2012-10-24" 27.959999 28.01 27.43 17.131769
"2012-10-25" 27.98 28.370001 27.809999 17.397717
"2012-10-26" 28.07 28.42 27.76 17.261652
"2012-10-31" 27.49 27.82 26.77 16.902935
"2012-11-01" 27.34 28.33 27.24 17.459566
"2012-11-02" 28.620001 28.620001 27.99 17.329687
"2012-11-05" 28.059999 28.92 28.049999 17.836828
"2012-11-06" 29 30.35 28.76 18.733622
"2012-11-07" 29.82 30.190001 29.309999 18.133699
"2012-11-08" 29.370001 29.92 29.370001 18.313055
"2012-11-09" 29.15 29.959999 29.040001 18.169254
"2012-11-12" 29.129999 29.190001 28.01 17.537767
"2012-11-13" 27.77 28.24 27.200001 17.462738
"2012-11-14" 28.07 28.1 26.709999 16.743725
"2012-11-15" 26.709999 27.129999 26.709999 16.799999
"2012-11-16" 26.879999 27.309999 26.459999 16.950054
"2012-11-19" 27.309999 27.469999 26.879999 16.937548
"2012-11-20" 27 27.08 26.24 16.649942
"2012-11-21" 26.76 27.299999 26.530001 16.724972
"2012-11-23" 26.969999 27.440001 26.77 17.062597
"2012-11-26" 27.24 27.43 26.92 17.100109
"2012-11-27" 27.33 27.4 25.9 16.224779
"2012-11-28" 25.870001 26.1 25.43 16.06222
"2012-11-29" 25.74 25.860001 24.98 15.79337
"2012-11-30" 25.690001 25.690001 24.9 15.693335
"2012-12-03" 25.35 25.709999 25.16 15.855897
"2012-12-04" 25.440001 26.469999 25.43 16.543652
"2012-12-05" 26.459999 28.459999 26.4 17.256414
"2012-12-06" 27.440001 28.73 27.41 17.837885
"2012-12-07" 28.780001 28.870001 28.290001 17.719091
"2012-12-10" 28.32 29.82 28.299999 18.075468
"2012-12-11" 29.16 29.66 28.73 18.150497
"2012-12-12" 27.9 28.17 27.67 17.580326
"2012-12-13" 27.74 28.200001 27.52 17.580326
"2012-12-14" 27.700001 27.75 27.35 17.516977
"2012-12-17" 27.82 28.290001 27.700001 17.77038
"2012-12-18" 28.200001 29.49 28.15 18.600302
"2012-12-19" 30 30.83 29.799999 19.208483
"2012-12-20" 30.27 30.530001 29.85 19.246498
"2012-12-21" 29.91 30.5 29.15 19.297182
"2012-12-24" 30.51 30.59 29.940001 19.189482
"2012-12-26" 30.41 30.889999 30.219999 19.246498
"2012-12-27" 30.219999 30.4 29.75 19.1388
"2012-12-28" 30.01 30.27 29.889999 18.974079
"2012-12-31" 29.91 30.77 29.799999 19.271835
"2013-01-02" 31.59 32 31.27 20.241137
"2013-01-03" 31.93 32 31.32 19.880024
"2013-01-04" 31.469999 31.629999 31.110001 19.924366
"2013-01-07" 31.389999 31.91 31.17 19.943377
"2013-01-08" 31.32 31.92 30.82 19.886354
"2013-01-09" 32 33.5 31.950001 21.210424
"2013-01-10" 33.66 33.720001 32.98 21.337128
"2013-01-11" 33.75 33.779999 33.049999 21.090054
"2013-01-14" 33.549999 34.450001 32.799999 21.520851
"2013-01-15" 33.93 34.689999 33.549999 21.831282
"2013-01-16" 34.220001 34.700001 34.060001 21.729918
"2013-01-17" 34.41 35.080002 34.360001 22.186054
"2013-01-18" 34.939999 35.41 34.599998 22.414125
"2013-01-22" 35.459999 37.919998 35.34 24.004267
"2013-01-23" 37.900002 37.939999 36.150002 23.199697
"2013-01-24" 36.389999 37.369999 36.27 23.35808
"2013-01-25" 37.130001 37.560001 36.919998 23.598814
"2013-01-28" 37.700001 37.830002 37.25 23.700174
"2013-01-29" 35.139999 35.150002 33.599998 21.48284
"2013-01-30" 33.91 34.439999 33.849998 21.470171
"2013-01-31" 33.209999 34.84 32.959999 21.527187
"2013-02-01" 34.380001 34.400002 33.23 21.330793
"2013-02-04" 33.439999 34.169998 33.16 21.413157
"2013-02-05" 33.82 34.240002 33.43 21.514523
"2013-02-06" 33.799999 34.700001 33.720001 21.932644
"2013-02-07" 34.389999 34.759998 33.529999 22.008671
"2013-02-08" 34.849998 36.830002 34.759998 22.477474
"2013-02-11" 35.560001 35.66 34.799999 22.205065
"2013-02-12" 35.119999 35.139999 34.66 21.970661
"2013-02-13" 34.93 35.080002 34.639999 22.17972
"2013-02-14" 34.810001 35.259998 34.799999 22.141706
"2013-02-15" 34.779999 35.02 34.240002 21.824945
"2013-02-19" 34.740002 34.740002 33.970001 21.653893
"2013-02-20" 34.240002 34.240002 32.389999 20.589569
"2013-02-21" 32.23 32.34 31.379999 20.095421
"2013-02-22" 31.98 32.25 31.370001 20.171446
"2013-02-25" 32.310001 32.400002 30.790001 19.53792
"2013-02-26" 30.93 31.530001 30.26 19.848349
"2013-02-27" 31.280001 32.130001 31.030001 20.253801
"2013-02-28" 31.860001 32.5 31.709999 20.374174
"2013-03-01" 32.029999 32.450001 31.719999 20.475536
"2013-03-04" 32.290001 32.400002 31.549999 20.298149
"2013-03-05" 32.290001 32.619999 32.099998 20.488209
"2013-03-06" 32.52 33.259998 32.450001 20.919008
"2013-03-07" 33.18 33.200001 31.940001 20.412186
"2013-03-08" 32.43 32.560001 32.009998 20.589569
"2013-03-11" 32.310001 33.389999 32.200001 21.115402
"2013-03-12" 33.279999 35.060001 33.119999 22.135368
"2013-03-13" 35.040001 35.82 34.700001 22.369783
"2013-03-14" 35.5 35.950001 35.369999 22.737223
"2013-03-15" 35.700001 35.82 34.799999 22.395123
"2013-03-18" 34.810001 35.560001 34.5 22.357111
"2013-03-19" 35.299999 35.439999 34.09 21.78693
"2013-03-20" 34.810001 35.110001 34.689999 22.141706
"2013-03-21" 34.700001 34.779999 34.080002 21.869286
"2013-03-22" 34.630001 34.849998 34.150002 21.995996
"2013-03-25" 34.93 34.990002 34.259998 21.995996
"2013-03-26" 35.09 36.48 35.009998 22.730881
"2013-03-27" 35.68 36.860001 35.59 23.237713
"2013-03-28" 36.650002 36.950001 36.259998 23.161692
"2013-04-01" 36.860001 37.139999 36.41 23.263042
"2013-04-02" 36.720001 36.720001 35.799999 22.984293
"2013-04-03" 36.419998 37 35.950001 22.844921
"2013-04-04" 36.130001 36.369999 35.77 23.022312
"2013-04-05" 35.880001 35.880001 35.009998 22.496485
"2013-04-08" 35.810001 36.25 35.18 22.794231
"2013-04-09" 36 37.27 35.950001 23.415094
"2013-04-10" 37.18 37.900002 37 23.871233
"2013-04-11" 36.990002 37.040001 35.75 23.142673
"2013-04-12" 36.490002 36.599998 35.84 22.863926
"2013-04-15" 35.790001 36.549999 34.57 22.046679
"2013-04-16" 34.98 35.849998 34.799999 22.388786
"2013-04-17" 35.009998 35.27 34.080002 21.995996
"2013-04-18" 34.889999 35.150002 33.689999 21.495512
"2013-04-19" 33.77 34.540001 33.220001 21.818609
"2013-04-22" 34.5 35.220001 34.349998 22.053019
"2013-04-23" 35.299999 36.240002 35.099998 22.82592
"2013-04-24" 36.220001 37.130001 36.080002 23.098322
"2013-04-25" 37.009998 37.849998 36.34 23.149012
"2013-04-26" 36.470001 36.75 36.209999 23.060328
"2013-04-29" 36.48 36.73 35.860001 22.946287
"2013-04-30" 36.189999 36.700001 35.990002 23.250376
"2013-05-01" 36.799999 37.220001 36.41 23.402422
"2013-05-02" 38.060001 39.919998 38.049999 25.106611
"2013-05-03" 40 41.52 39.889999 26.120249
"2013-05-06" 41.27 42.240002 41.27 26.58905
"2013-05-07" 42.049999 42.490002 41.560001 26.81078
"2013-05-08" 42.18 42.5 41.5 26.81078
"2013-05-09" 40.91 41.400002 40.110001 25.550076
"2013-05-10" 40.290001 40.720001 40.049999 25.65777
"2013-05-13" 40.029999 40.900002 39.970001 25.753704
"2013-05-14" 40.490002 41.200001 40.150002 26.124624
"2013-05-15" 40.900002 40.990002 40.470001 25.971142
"2013-05-16" 40.740002 41.139999 40.470001 25.958351
"2013-05-17" 40.919998 41.48 40.59 26.521135
"2013-05-20" 41.110001 41.189999 40.709999 26.246141
"2013-05-21" 41.040001 41.52 40.779999 26.553116
"2013-05-22" 41.150002 42.880001 41.150002 26.968801
"2013-05-23" 42.25 43.599998 41.639999 27.493212
"2013-05-24" 42.720001 43.040001 42.240002 27.403677
"2013-05-28" 43.549999 43.599998 43.029999 27.569962
"2013-05-29" 42.700001 43.990002 42.689999 27.985645
"2013-05-30" 43.900002 44.439999 43.57 27.928085
"2013-05-31" 43.59 43.849998 43.07 27.550768
"2013-06-03" 43.150002 44 42.669998 28.113556
"2013-06-04" 44.02 45 44.02 28.612381
"2013-06-05" 44.73 44.830002 43.380001 27.940887
"2013-06-06" 43.709999 44.119999 43.209999 28.215872
"2013-06-07" 44.389999 44.459999 43.630001 28.145523
"2013-06-10" 43.689999 44.130001 43.150002 28.119951
"2013-06-11" 43.59 44.610001 43.509998 28.100761
"2013-06-12" 44.360001 44.619999 43.41 27.864134
"2013-06-13" 43.669998 44.099998 43.150002 28.126339
"2013-06-14" 44.02 44.32 43.580002 27.960064
"2013-06-17" 43.959999 44.439999 43.75 28.145523
"2013-06-18" 44.18 45.049999 44.040001 28.772263
"2013-06-19" 44.740002 45.049999 44.130001 28.382149
"2013-06-20" 43.860001 44.060001 42.400002 27.39728
"2013-06-21" 43.169998 43.169998 41.91 27.019962
"2013-06-24" 41.959999 42 40.68 26.367647
"2013-06-25" 41.900002 42.610001 41.439999 27.115892
"2013-06-26" 42.779999 43.07 42.279999 27.307755
"2013-06-27" 43.380001 44.990002 43.209999 28.580408
"2013-06-28" 44.5 45.5 44.240002 28.669939
"2013-07-01" 45.490002 45.779999 45.119999 29.079229
"2013-07-02" 45.599998 45.84 44.860001 28.919359
"2013-07-03" 44.959999 45.459999 44.57 28.842613
"2013-07-05" 45.619999 45.93 45.09 29.239117
"2013-07-08" 46 46.419998 45.389999 29.066446
"2013-07-09" 45.48 46 45.32 29.245516
"2013-07-10" 45.75 46.16 45.380001 29.309473
"2013-07-11" 46.369999 46.5 45.790001 29.616434
"2013-07-12" 46.43 46.700001 46.240002 29.853062
"2013-07-15" 46.630001 46.98 46.549999 29.872244
"2013-07-16" 46.799999 47 46.34 29.776316
"2013-07-17" 46.669998 46.91 46.48 29.859453
"2013-07-18" 46.93 47.200001 46.630001 29.993759
"2013-07-19" 46.860001 47.759998 46.540001 30.390274
"2013-07-22" 47.560001 47.82 46.740002 29.9426
"2013-07-23" 47.130001 47.290001 45.259998 28.976921
"2013-07-24" 43.419998 44.290001 40.799999 28.260641
"2013-07-25" 42.900002 42.900002 41.009998 27.064724
"2013-07-26" 42.209999 42.209999 40.950001 26.252531
"2013-07-29" 40.950001 41.25 40.200001 25.772886
"2013-07-30" 40.380001 41.470001 40.310001 26.380436
"2013-07-31" 41.169998 41.34 40.650002 26.162998
"2013-08-01" 41.119999 41.93 41.02 26.725782
"2013-08-02" 41.66 41.66 40.759998 26.284513
"2013-08-05" 40.610001 41.189999 40.330002 26.097317
"2013-08-06" 40.41 40.700001 39.860001 26.013399
"2013-08-07" 40.349998 40.369999 39.529999 25.877851
"2013-08-08" 40.299999 41.290001 40.27 26.407152
"2013-08-09" 40.889999 41.049999 40.470001 26.37488
"2013-08-12" 40.740002 41.34 40.59 26.684719
"2013-08-13" 41.34 41.549999 41.009998 26.574984
"2013-08-14" 41.200001 41.540001 40.950001 26.510435
"2013-08-15" 40.59 40.630001 39.279999 25.509918
"2013-08-16" 39.700001 39.810001 39.110001 25.303364
"2013-08-19" 39.200001 39.639999 38.66 25.025795
"2013-08-20" 38.91 39.380001 38.66 25.316271
"2013-08-21" 39.049999 40.02 38.93 25.503458
"2013-08-22" 39.689999 40.490002 39.630001 25.871386
"2013-08-23" 40.169998 40.709999 39.82 25.903667
"2013-08-26" 40.130001 40.580002 39.75 25.884296
"2013-08-27" 39.740002 40.060001 38.27 24.857962
"2013-08-28" 38.689999 39.209999 38.400002 25.090345
"2013-08-29" 38.57 38.630001 37.169998 24.586859
"2013-08-30" 38.259998 38.869999 38 24.735319
"2013-09-03" 38.77 39.389999 38.52 24.961246
"2013-09-04" 38.740002 39.529999 38.380001 25.316271
"2013-09-05" 39.27 39.799999 38.970001 25.509918
"2013-09-06" 39.759998 39.759998 38.75 25.47118
"2013-09-09" 39.450001 40.459999 39.099998 25.923037
"2013-09-10" 40.5 41.869999 40.41 26.510435
"2013-09-11" 41.220001 41.419998 40.200001 26.200596
"2013-09-12" 40.450001 40.799999 40.02 25.903667
"2013-09-13" 39.98 40.279999 39.77 25.981127
