"Index" "Open" "High" "Low" "Price"
"2012-09-17" 76.300003 76.300003 74.959999 61.439468
"2012-09-18" 75.510002 75.800003 74.919998 61.618633
"2012-09-19" 75.769997 76.709999 75.120003 62.27813
"2012-09-20" 75.879997 76.580002 74.760002 62.147858
"2012-09-21" 76.769997 78.470001 76.620003 63.711132
"2012-09-24" 78.080002 78.080002 76.449997 63.295864
"2012-09-25" 77.779999 77.779999 75.75 61.765198
"2012-09-26" 76 76.239998 74.620003 60.967251
"2012-09-27" 75.230003 76.529999 74.260002 61.919891
"2012-09-28" 75.510002 76.419998 74.879997 62.082718
"2012-10-01" 76.5 77.449997 75.790001 61.944279
"2012-10-02" 75.93 76.620003 75.110001 62.27813
"2012-10-03" 76.540001 76.540001 74.540001 60.812595
"2012-10-04" 75 75.400002 74.550003 60.83699
"2012-10-05" 75.330002 75.5 74.639999 61.089394
"2012-10-08" 74.489998 74.730003 73.739998 60.438042
"2012-10-09" 74.470001 75.57 72.18 58.81778
"2012-10-10" 72.529999 72.779999 71.279999 58.540958
"2012-10-11" 72.699997 72.949997 71.639999 58.402546
"2012-10-12" 71.75 71.940002 69.629997 57.042835
"2012-10-15" 70.379997 71.43 69.43 58.101288
"2012-10-16" 71.690002 72.760002 70.860001 58.882923
"2012-10-17" 68.07 70.830002 67.57 56.277466
"2012-10-18" 68.580002 70.669998 68.209999 57.148682
"2012-10-19" 69.870003 70.669998 69.209999 57.213806
"2012-10-22" 69.980003 70.5 68.720001 56.383327
"2012-10-23" 68.309998 70.050003 68.059998 56.904408
"2012-10-24" 70.25 70.690002 68.830002 56.228622
"2012-10-25" 69.970001 70.18 67.900002 55.650547
"2012-10-26" 68.059998 68.519997 67.029999 54.991051
"2012-10-31" 68.099998 69.410004 68.099998 56.424034
"2012-11-01" 69.559998 70.419998 69.209999 57.0998
"2012-11-02" 70.540001 70.620003 69.809998 56.888126
"2012-11-05" 69.669998 70.580002 69.379997 57.352234
"2012-11-06" 70.510002 71.82 70.360001 58.2967
