"Index" "Open" "High" "Low" "Price"
"2012-09-17" 29.67 29.74 28.91 25.641874
"2012-09-18" 28.92 29.34 28.65 25.836399
"2012-09-19" 29.25 29.65 28.99 26.06629
"2012-09-20" 28.1 28.5 23.27 21.247385
"2012-09-21" 24.82 25.99 24.629999 21.937061
"2012-09-24" 24.379999 24.6 23.9 21.247385
"2012-09-25" 24.35 24.450001 23.43 20.787601
"2012-09-26" 23.34 23.530001 22.360001 20.495817
"2012-09-27" 23.9 24.120001 23.360001 21.176649
"2012-09-28" 23.98 24.26 23.450001 20.83182
"2012-10-01" 23.700001 23.75 22.879999 20.327818
"2012-10-02" 23.26 23.5 23.01 20.708027
"2012-10-03" 23.6 23.75 23.16 20.681496
"2012-10-04" 23.58 23.59 23.01 20.814127
"2012-10-05" 24 24.450001 23.459999 20.778759
"2012-10-08" 23.360001 23.68 23.040001 20.46929
"2012-10-09" 23.15 23.209999 22.6 20.318975
"2012-10-10" 22.98 23.040001 22.43 19.876875
"2012-10-11" 22.73 22.809999 22.200001 19.814981
"2012-10-12" 22.27 22.440001 21.959999 19.60277
"2012-10-15" 22.290001 22.58 22.049999 19.9034
"2012-10-16" 22.530001 23.58 22.49 20.822973
"2012-10-17" 23.49 23.65 23.040001 20.46929
"2012-10-18" 23.059999 23.1 22.52 19.938772
"2012-10-19" 22.559999 22.559999 22.110001 19.576242
"2012-10-22" 22.1 22.620001 21.98 19.974136
"2012-10-23" 22.23 22.77 22.1 20.080236
"2012-10-24" 23.1 23.17 22.59 20.053713
"2012-10-25" 23.440001 23.84 22.77 20.221716
"2012-10-26" 23.1 23.549999 22.59 20.486971
"2012-10-31" 23.049999 23.58 23 20.681496
"2012-11-01" 23.27 24.209999 23.15 21.291595
"2012-11-02" 22.41 22.629999 19.75 17.639839
"2012-11-05" 20.209999 20.889999 19.209999 18.435625
"2012-11-06" 20.93 21.139999 20.700001 18.426783
"2012-11-07" 20.459999 20.65 20.01 17.745943
"2012-11-08" 20.34 20.6 20 17.701736
"2012-11-09" 20.200001 20.75 20.049999 18.188047
"2012-11-12" 20.58 20.99 20.440001 18.400251
"2012-11-13" 20.290001 21.02 20.26 18.435625
"2012-11-14" 20.950001 21.07 20.549999 18.329525
"2012-11-15" 20.74 20.9 20.209999 17.905102
"2012-11-16" 20.23 20.26 19.51 17.524895
"2012-11-19" 20.35 20.870001 20.200001 18.26763
"2012-11-20" 20.639999 21.09 20.379999 18.612465
"2012-11-21" 21.129999 21.48 21.08 18.877724
"2012-11-23" 21.4 21.799999 21.290001 19.24909
"2012-11-26" 21.58 21.93 21.540001 19.125301
"2012-11-27" 21.459999 21.879999 21.25 19.142984
"2012-11-28" 21.42 21.639999 20.969999 19.063406
"2012-11-29" 21.690001 22.440001 21.620001 19.814981
"2012-11-30" 22.309999 22.74 22.290001 20.027189
"2012-12-03" 22.83 23.09 22.639999 20.115601
"2012-12-04" 22.700001 23.200001 22.690001 20.486971
"2012-12-05" 23.07 23.58 22.969999 20.787601
"2012-12-06" 23.43 23.68 23.23 20.663809
"2012-12-07" 23.440001 23.5 22.639999 20.19519
"2012-12-10" 22.790001 22.84 22.280001 19.744234
"2012-12-11" 22.59 23.690001 22.43 20.230549
"2012-12-12" 23.059999 23.1 22.440001 19.894556
"2012-12-13" 22.4 22.450001 20.84 18.612465
"2012-12-14" 20.73 20.73 19.25 17.50721
"2012-12-17" 20.07 20.76 19.709999 18.356043
"2012-12-18" 20.98 21.200001 20.93 18.656675
"2012-12-19" 21.139999 21.290001 20.799999 18.45331
"2012-12-20" 20.860001 20.9 20.27 18.037733
"2012-12-21" 19.92 20.18 19.610001 17.754786
"2012-12-24" 20.190001 20.35 20.01 17.922787
"2012-12-26" 20.25 20.370001 19.790001 17.50721
"2012-12-27" 19.85 20.02 19.639999 17.657528
"2012-12-28" 19.85 20.17 19.799999 17.577946
"2012-12-31" 19.82 20.33 19.73 17.94931
"2013-01-02" 21.040001 21.75 21.040001 19.142984
"2013-01-03" 21.83 22.040001 21.43 19.001507
"2013-01-04" 21.5 21.57 20.6 18.52405
"2013-01-07" 20.889999 21.49 20.77 18.798149
"2013-01-08" 21.219999 21.27 20.35 18.046572
"2013-01-09" 20.700001 21.1 20.469999 18.577105
"2013-01-10" 21.65 22.01 21.219999 18.851194
"2013-01-11" 21.379999 21.549999 21.07 18.895411
