"Index" "Open" "High" "Low" "Price"
"2012-09-17" 55.919998 56.240002 55.880001 49.325809
"2012-09-18" 56 56.009998 55.630001 49.062637
"2012-09-19" 55.830002 56.150002 55.41 49.027565
"2012-09-20" 55.68 55.779999 55.290001 48.922295
"2012-09-21" 56.110001 56.490002 55.580002 49.378426
"2012-09-24" 56.09 56.610001 55.830002 49.553883
"2012-09-25" 56.689999 56.799999 55.970001 49.106503
"2012-09-26" 55.900002 56 55.419998 48.950642
"2012-09-27" 55.650002 55.849998 55.369999 49.14436
"2012-09-28" 55.560001 55.91 55.349998 49.012287
"2012-10-01" 55.5 55.5 54.599998 48.343056
"2012-10-02" 55.02 55.139999 54.27 48.14053
"2012-10-03" 54.91 54.959999 54.18 47.920372
"2012-10-04" 54.439999 55.07 53.990002 48.48394
"2012-10-05" 55.220001 55.220001 54.509998 48.263798
"2012-10-08" 54.73 54.810001 54.299999 47.858742
"2012-10-09" 53.369999 53.959999 52.5 46.432228
"2012-10-10" 52.439999 52.439999 51.669998 45.983135
"2012-10-11" 52.5 53.139999 52.43 46.194466
"2012-10-12" 52.599998 52.98 52.209999 46.053574
"2012-10-15" 52.299999 52.32 51.919998 46.053574
"2012-10-16" 52.639999 53.48 52.540001 47.07505
"2012-10-17" 53.200001 54.290001 52.75 46.511471
"2012-10-18" 51.849998 53.740002 51.599998 47.20713
"2012-10-19" 53.419998 53.68 52.419998 46.352962
"2012-10-22" 52.689999 52.990002 52.389999 46.62595
"2012-10-23" 52.419998 52.529999 51.91 46.009552
"2012-10-24" 52.450001 52.599998 51.970001 46.035973
"2012-10-25" 52.630001 52.970001 51.990002 46.141636
"2012-10-26" 52.419998 52.57 51.970001 45.956726
"2012-10-31" 52.599998 52.93 52.029999 46.317749
"2012-11-01" 52.599998 53.259998 52.470001 46.731609
"2012-11-02" 53.439999 53.57 52.549999 46.352962
"2012-11-05" 52.57 52.810001 52.16 46.414616
"2012-11-06" 52.77 53.52 52.5 47.07505
"2012-11-07" 53.060001 53.110001 52.060001 46.326553
"2012-11-08" 52.470001 52.82 52.220001 46.159241
"2012-11-09" 52.299999 52.98 52.23 46.256111
"2012-11-12" 52.740002 53.119999 52.299999 46.714001
"2012-11-13" 52.790001 53.169998 52.599998 46.388191
"2012-11-14" 52.779999 53.009998 52.23 46.071182
"2012-11-15" 52.330002 52.529999 51.869999 45.789417
"2012-11-16" 52.549999 52.560001 51.810001 45.877453
"2012-11-19" 52.57 53.130001 52.490002 46.669975
"2012-11-20" 53.049999 53.889999 52.799999 47.198318
"2012-11-21" 53.619999 53.810001 53.419998 47.110264
"2012-11-23" 53.66 54.529999 53.610001 48.008427
"2012-11-26" 54.259998 54.529999 53.860001 48.017239
"2012-11-27" 54.380001 54.669998 54.18 47.744255
"2012-11-28" 54.080002 54.610001 53.59 48.078888
