"Index" "Open" "High" "Low" "Price"
"2012-09-17" 28.051359 28.436556 28.028702 13.398159
"2012-09-18" 28.338369 28.504532 28.119335 13.419536
"2012-09-19" 28.361027 28.670694 28.338369 13.455173
"2012-09-20" 28.489426 28.783989 28.398792 13.519309
"2012-09-21" 28.731117 29.138973 28.731117 13.569196
"2012-09-24" 28.927492 29.070997 28.867069 13.629774
"2012-09-25" 28.957705 29.13142 28.731117 13.562075
"2012-09-26" 28.76133 28.987915 28.700907 13.569196
"2012-09-27" 28.799093 28.919941 28.625378 13.537126
"2012-09-28" 28.632931 28.678247 28.398792 13.433792
"2012-10-01" 28.42145 28.678247 28.398792 13.451605
"2012-10-02" 28.648035 28.776436 28.459215 13.472987
"2012-10-03" 28.617825 28.950151 28.451662 13.601266
"2012-10-04" 28.950151 29.025681 28.867069 13.661844
"2012-10-05" 28.851965 28.919941 28.512085 13.698953
"2012-10-08" 28.481873 28.610271 28.323263 13.626585
"2012-10-09" 28.444109 28.466766 28.043806 13.438434
"2012-10-10" 28.013596 28.058912 27.832327 13.35883
"2012-10-11" 27.953173 28.021149 27.386707 13.120022
"2012-10-12" 27.379154 27.39426 26.73716 12.892069
"2012-10-15" 26.73716 26.759819 26.306646 12.740097
"2012-10-16" 26.608761 26.941088 26.518127 12.808846
"2012-10-17" 26.888218 27.099697 26.767372 12.924629
"2012-10-18" 27.07704 27.620846 27.05438 13.033183
"2012-10-19" 27.265862 27.265862 26.654079 12.7799
"2012-10-22" 26.616314 26.729607 26.472811 12.758186
"2012-10-23" 26.442598 26.79003 26.367069 12.664113
"2012-10-24" 26.042295 26.419941 24.924471 12.559185
"2012-10-25" 26.389729 26.397282 25.845921 12.483197
"2012-10-26" 26.034742 26.283989 25.944109 12.530237
"2012-10-31" 26.246223 26.344412 26.004532 12.515763
"2012-11-01" 26.314199 26.525681 26.223564 12.696677
"2012-11-02" 26.555891 26.722054 26.367069 12.638785
"2012-11-05" 26.344412 26.389729 26.004532 12.602602
"2012-11-06" 26.283989 26.382175 26.125378 12.591748
"2012-11-07" 25.528702 25.793051 25.135952 12.172022
"2012-11-08" 25.536255 25.634441 25.060423 12.01282
"2012-11-09" 24.939577 25.468279 24.705439 12.135841
"2012-11-12" 25.42296 25.70997 25.339878 12.255243
"2012-11-13" 25.581572 26.004532 25.498489 12.284192
"2012-11-14" 25.717524 25.891239 25.430513 12.222677
"2012-11-15" 25.415407 25.634441 25.060423 12.09242
"2012-11-16" 25.173716 25.226585 24.848944 11.991104
"2012-11-19" 25.271902 25.596678 24.705439 12.237148
"2012-11-20" 25.551359 25.558912 25.264351 12.186496
"2012-11-21" 25.513596 25.604231 25.354984 12.248013
"2012-11-23" 25.649548 25.951662 25.574018 12.432543
"2012-11-26" 25.785498 25.845921 25.528702 12.29143
"2012-11-27" 25.626888 25.694864 25.347431 12.164789
"2012-11-28" 25.279455 25.430513 25.083082 12.164789
"2012-11-29" 25.521149 25.732628 25.506042 12.276951
"2012-11-30" 25.641994 25.944109 25.626888 12.349321
"2012-12-03" 25.853474 25.981873 25.702417 12.352939
"2012-12-04" 25.717524 25.770393 25.543806 12.273337
"2012-12-05" 25.513596 25.913897 25.506042 12.269714
"2012-12-06" 25.566465 25.725077 25.377644 12.17564
"2012-12-07" 25.453173 25.536255 25.241692 12.208208
"2012-12-10" 25.438066 25.589125 25.279455 12.204588
"2012-12-11" 25.536255 25.853474 25.536255 12.356553
"2012-12-12" 25.86858 26.200907 25.861027 12.479577
"2012-12-13" 26.057402 26.155588 25.876133 12.418067
"2012-12-14" 25.86858 25.974319 25.664654 12.305903
"2012-12-17" 25.740181 25.883686 25.649548 12.385504
"2012-12-18" 25.785498 26.012085 25.657101 12.425303
"2012-12-19" 25.883686 25.936556 25.589125 12.269714
"2012-12-20" 25.589125 25.830816 25.543806 12.363796
"2012-12-21" 25.634441 25.785498 25.317221 12.182879
"2012-12-24" 25.294561 25.641994 25.294561 12.208208
"2012-12-26" 25.528702 25.641994 25.377644 12.222677
"2012-12-27" 25.566465 25.581572 25.075529 12.179258
"2012-12-28" 25.271902 25.400303 25.143505 12.056235
"2012-12-31" 25.022659 25.47583 25 12.197351
"2013-01-02" 25.974319 26.435045 25.838369 12.664113
"2013-01-03" 26.503021 26.563444 26.26133 12.671352
"2013-01-04" 26.510574 26.638973 26.435045 12.74734
"2013-01-07" 26.623867 26.812689 26.510574 12.805229
"2013-01-08" 26.450151 26.465258 25.883686 12.641753
"2013-01-09" 26.012085 26.117825 25.861027 12.601266
"2013-01-10" 26.019636 26.148035 25.929003 12.649114
"2013-01-11" 26.012085 26.049849 25.777946 12.61231
"2013-01-14" 25.800604 25.845921 25.649548 12.5203
"2013-01-15" 25.664654 25.702417 25.377644 12.424616
"2013-01-16" 25.400303 25.438066 25.045317 12.2406
"2013-01-17" 25.143505 25.196375 24.848944 12.218523
"2013-01-18" 24.788521 25.256798 24.743202 12.306846
"2013-01-22" 25.294561 25.558912 25.113293 12.369411
"2013-01-23" 25.362537 25.634441 25.332327 12.431974
"2013-01-24" 25.566465 25.740181 25.490936 12.420938
"2013-01-25" 25.770393 25.861027 25.543806 12.5203
"2013-01-28" 25.679758 25.906343 25.619335 12.560786
"2013-01-29" 25.777946 26.306646 25.770393 12.763201
"2013-01-30" 26.155588 26.336859 26.027189 12.689593
"2013-01-31" 26.080059 26.397282 26.042295 12.803683
"2013-02-01" 26.555891 26.910875 26.465258 13.068666
"2013-02-04" 26.722054 26.79003 26.435045 12.96562
"2013-02-05" 26.722054 26.910875 26.68429 13.009777
"2013-02-06" 26.510574 26.805136 26.510574 13.039218
"2013-02-07" 26.767372 26.850452 26.480364 12.980335
"2013-02-08" 26.729607 26.835346 26.555891 12.980335
"2013-02-11" 26.63142 26.669184 26.480364 12.96562
"2013-02-12" 26.623867 26.941088 26.608761 13.101781
"2013-02-13" 26.941088 27.046827 26.691843 13.035537
"2013-02-14" 26.752266 26.767372 26.457705 12.987697
"2013-02-15" 26.676737 26.850452 26.548338 13.013459
"2013-02-19" 26.714502 26.956194 26.714502 13.127547
"2013-02-20" 26.948641 27.175226 26.782476 13.053941
"2013-02-21" 26.706949 26.903322 26.435045 13.039218
"2013-02-22" 26.774923 26.963745 26.601208 13.131228
"2013-02-25" 27.016617 27.250755 26.57855 12.950896
