"Index" "Open" "High" "Low" "Price"
"2012-09-17" 45.82 45.91 45.470001 36.561497
"2012-09-18" 45.540001 45.900002 45.439999 36.729733
"2012-09-19" 45.939999 45.98 45.689999 36.673668
"2012-09-20" 45.689999 45.830002 45.580002 36.569523
"2012-09-21" 45.700001 45.849998 45.57 36.529472
"2012-09-24" 45.349998 45.540001 45.290001 36.281128
"2012-09-25" 45.5 45.639999 45.18 36.193005
"2012-09-26" 45.18 45.529999 45.080002 36.136932
"2012-09-27" 45.369999 45.459999 45.07 36.329197
"2012-09-28" 45.259998 45.290001 44.650002 36.088871
"2012-10-01" 44.689999 44.84 42.650002 34.302452
"2012-10-02" 43.080002 43.380001 42.959999 34.670944
"2012-10-03" 43.330002 43.869999 43.32 35.079498
"2012-10-04" 44.009998 44.630001 43.869999 35.728371
"2012-10-05" 44.93 45 44.580002 35.760429
"2012-10-08" 44.68 44.98 44.560001 35.880592
"2012-10-09" 44.759998 44.860001 44.279999 35.488052
"2012-10-10" 44.18 44.599998 44.150002 35.383907
"2012-10-11" 44.360001 44.599998 44.209999 35.496063
"2012-10-12" 44.43 44.57 44.150002 35.407951
"2012-10-15" 44.200001 44.599998 44.189999 35.648277
"2012-10-16" 44.599998 44.779999 44.43 35.736389
"2012-10-17" 44.75 45.189999 44.650002 36.193005
"2012-10-18" 45 45 44.18 35.728371
"2012-10-19" 44.490002 44.549999 43.900002 35.271755
"2012-10-22" 43.93 44.200001 43.630001 35.215683
"2012-10-23" 43.650002 44.040001 43.470001 35.199654
"2012-10-24" 43.959999 44.279999 43.439999 34.855194
"2012-10-25" 43.799999 44.110001 43.540001 35.087517
"2012-10-26" 43.77 43.810001 43.099998 34.815132
"2012-10-31" 43.720001 43.880001 42.93 34.558796
"2012-11-01" 43.259998 43.459999 43.09 34.606861
"2012-11-02" 43.450001 43.709999 43.259998 34.694969
"2012-11-05" 43.049999 43.25 42.790001 34.398582
"2012-11-06" 43.040001 43.619999 42.950001 34.606861
"2012-11-07" 42.619999 42.73 41.439999 33.325134
"2012-11-08" 41.200001 41.849998 40.900002 32.764378
"2012-11-09" 40.799999 41.619999 40.779999 32.98867
"2012-11-12" 41.189999 41.23 40.66 32.660217
"2012-11-13" 40.68 40.900002 40.369999 32.379845
"2012-11-14" 40.549999 40.549999 39.459999 31.714937
"2012-11-15" 39.560001 40.040001 39.459999 31.803061
"2012-11-16" 39.73 40.099998 39.509998 31.907213
"2012-11-19" 40.150002 40.450001 40.099998 32.267693
"2012-11-20" 40.34 40.34 39.91 32.171562
"2012-11-21" 40.209999 40.209999 39.880001 32.107471
"2012-11-23" 40.259998 40.540001 40.09 32.451946
"2012-11-26" 40.470001 40.580002 40.27 32.435928
"2012-11-27" 40.419998 40.549999 40.18 32.227634
"2012-11-28" 39.849998 40.419998 39.849998 32.582939
"2012-11-29" 40.380001 41.049999 40.349998 33.14819
"2012-11-30" 41.040001 41.459999 40.91 33.479271
"2012-12-03" 41.66 41.810001 41.32 33.527737
"2012-12-04" 41.630001 41.889999 41.41 33.713459
"2012-12-05" 41.73 42.41 41.689999 34.238327
"2012-12-06" 42.389999 42.560001 42.130001 34.319073
"2012-12-07" 42.549999 43.040001 42.540001 34.730915
"2012-12-10" 43.48 43.48 42.919998 35.045845
"2012-12-11" 43.380001 43.810001 43.279999 35.23156
"2012-12-12" 43.580002 43.689999 42.970001 34.811661
"2012-12-13" 43.27 43.48 42.990002 34.843975
"2012-12-14" 43.150002 43.18 42.950001 34.755127
"2012-12-17" 43.099998 43.669998 42.990002 35.118523
"2012-12-18" 43.509998 43.990002 43.450001 35.41729
"2012-12-19" 43.959999 44 43.450001 35.086216
"2012-12-20" 43.599998 43.650002 43.299999 35.13467
"2012-12-21" 43.099998 43.529999 43.099998 35.013542
"2012-12-24" 43.189999 43.48 43 34.948936
"2012-12-26" 43.299999 43.419998 43.099998 34.884338
"2012-12-27" 43.200001 43.360001 42.77 34.852039
"2012-12-28" 42.919998 43.040001 42.68 34.488663
"2012-12-31" 42.630001 42.790001 42.169998 34.553265
"2013-01-02" 43.419998 43.540001 43.110001 35.158894
"2013-01-03" 43.43 43.43 42.720001 34.674381
"2013-01-04" 42.959999 43.029999 42.560001 34.520966
"2013-01-07" 42.709999 42.939999 41.860001 33.883026
"2013-01-08" 41.77 42.040001 41.259998 33.778046
"2013-01-09" 41.98 42.189999 41.779999 34.004162
"2013-01-10" 42.34 42.5 42.09 34.189873
"2013-01-11" 42.560001 43.23 42.459999 34.472492
"2013-01-14" 42.650002 42.900002 42.310001 34.64209
"2013-01-15" 42.75 43.119999 42.580002 34.787449
"2013-01-16" 43.09 43.560001 43 35.118523
"2013-01-17" 43.77 44.240002 43.48 35.699917
"2013-01-18" 44.27 44.889999 44.029999 36.208656
"2013-01-22" 44.860001 45.580002 44.669998 36.563969
"2013-01-23" 45.169998 45.400002 44.700001 36.224815
"2013-01-24" 44.93 45.669998 44.93 36.717373
"2013-01-25" 45.490002 45.529999 44.880001 36.43475
"2013-01-28" 45.169998 45.169998 44.849998 36.450901
"2013-01-29" 45.080002 45.540001 45.060001 36.757759
"2013-01-30" 45.389999 45.75 45.23 36.814289
"2013-01-31" 45.48 45.57 44.860001 36.483204
"2013-02-01" 45.490002 45.759998 45.189999 36.636631
"2013-02-04" 45.040001 45.080002 44.110001 35.643391
"2013-02-05" 44.330002 44.740002 44.220001 35.998699
"2013-02-06" 44.419998 44.419998 44.02 35.619186
"2013-02-07" 44.080002 44.369999 44.080002 35.78067
"2013-02-08" 44.290001 44.5 44.23 35.86142
"2013-02-11" 44.32 44.450001 44 35.570732
"2013-02-12" 44.07 44.349998 43.900002 35.707993
"2013-02-13" 44.290001 44.619999 44.25 36.031006
"2013-02-14" 44.689999 45.349998 43.91 35.506119
"2013-02-15" 44.080002 44.23 43.380001 35.150814
"2013-02-19" 43.720001 45.27 43.720001 36.418594
"2013-02-20" 45.07 45.259998 44.57 36.014847
"2013-02-21" 44.509998 44.709999 44.09 35.926029
"2013-02-22" 44.619999 46.5 44.439999 37.532959
"2013-02-25" 46.48 47.09 46.080002 37.209965
"2013-02-26" 46.119999 46.5 44.91 36.33786
"2013-02-27" 44.919998 45.119999 44.310001 36.168282
"2013-02-28" 44.34 44.669998 44.02 35.95681
"2013-03-01" 44.09 45.259998 44.09 36.794529
"2013-03-04" 45.209999 45.349998 45.009998 36.778267
"2013-03-05" 45.299999 47 45.27 38.20158
"2013-03-06" 46.990002 47 46.509998 37.884384
"2013-03-07" 46.68 46.959999 46.470001 37.884384
"2013-03-08" 46.75 47.389999 46.560001 38.526901
"2013-03-11" 47.369999 48.73 47.150002 39.494751
"2013-03-12" 48.540001 48.540001 47.799999 39.112495
"2013-03-13" 48.189999 48.93 48.049999 39.68996
"2013-03-14" 48.84 48.84 48.25 39.340221
"2013-03-15" 48.23 48.580002 48.099998 39.413422
"2013-03-18" 47.900002 48.220001 47.73 39.039288
"2013-03-19" 48.080002 48.419998 47.639999 38.901031
"2013-03-20" 47.98 49.049999 47.880001 39.779408
"2013-03-21" 48.75 48.84 48.459999 39.494751
"2013-03-22" 48.799999 49.040001 48.509998 39.82008
"2013-03-25" 48.990002 49.150002 48.43 39.519146
"2013-03-26" 48.599998 49.290001 48.5 40.072208
"2013-03-27" 48.93 48.959999 48.459999 39.43782
"2013-03-28" 48.419998 48.98 48.400002 39.795673
"2013-04-01" 49.849998 51.900002 49.77 42.211231
"2013-04-02" 52.080002 52.93 51.52 42.52029
"2013-04-03" 52.400002 52.419998 50.970001 41.495518
"2013-04-04" 50.810001 51.490002 50.799999 41.495518
"2013-04-05" 50.419998 50.630001 49.990002 40.796055
"2013-04-08" 50.029999 50.380001 49.959999 40.926193
"2013-04-09" 50.32 50.32 49.73 40.641525
"2013-04-10" 50.02 51.119999 50.02 41.479237
"2013-04-11" 50.919998 51.599998 50.919998 41.853378
"2013-04-12" 51.18 51.91 50.939999 42.219372
"2013-04-15" 51.669998 51.93 50.599998 41.153915
"2013-04-16" 50.98 51.220001 50.580002 41.397915
"2013-04-17" 50.68 50.93 50.040001 40.804192
"2013-04-18" 50.290001 50.580002 49.599998 40.421928
"2013-04-19" 49.919998 52.68 49.919998 42.821228
"2013-04-22" 52.52 52.709999 51.849998 42.357624
"2013-04-23" 52.330002 53.07 52.119999 43.12215
"2013-04-24" 52.830002 53.099998 51.580002 41.991638
"2013-04-25" 51.900002 52.07 51.240002 41.73138
"2013-04-26" 51.209999 51.360001 50.790001 41.487389
"2013-04-29" 51.23 51.709999 51.18 41.894035
"2013-04-30" 51.290001 51.619999 50.599998 41.967243
"2013-05-01" 51.57 51.830002 50.939999 41.454853
"2013-05-02" 50.959999 51.150002 50.360001 41.00753
"2013-05-03" 50.75 51.419998 50.580002 41.73138
"2013-05-06" 51.200001 51.200001 50.380001 41.454853
"2013-05-07" 50 50.799999 48.849998 41.251522
"2013-05-08" 50.650002 50.700001 49.630001 40.421928
"2013-05-09" 49.509998 49.849998 49.130001 40.251148
"2013-05-10" 49.650002 50.09 49.509998 40.730988
"2013-05-13" 50.080002 50.299999 49.75 40.901794
"2013-05-14" 50.080002 51.130001 49.91 41.552448
"2013-05-15" 50.959999 51.139999 50.619999 41.528046
"2013-05-16" 51.91 53.099998 51.75 42.894405
"2013-05-17" 52.830002 53.349998 52.48 43.366154
"2013-05-20" 53.099998 53.119999 52.610001 43.024563
"2013-05-21" 52.869999 52.889999 52.16 42.756161
"2013-05-22" 52.48 52.84 51.639999 42.040436
"2013-05-23" 51.349998 51.68 50.959999 41.706978
"2013-05-24" 51.23 51.84 51.02 41.934711
"2013-05-28" 52.009998 52.369999 51.349998 42.194969
"2013-05-29" 51.130001 51.529999 50.990002 41.761234
"2013-05-30" 51.009998 51.389999 50.990002 41.777596
"2013-05-31" 50.880001 50.880001 49.389999 40.435478
"2013-06-03" 49.68 50.189999 49.009998 40.582783
"2013-06-04" 49.689999 50.490002 49.599998 41.229298
"2013-06-05" 50.220001 50.580002 49.779999 40.771027
"2013-06-06" 49.880001 50.049999 48.98 40.533684
"2013-06-07" 49.869999 50.720001 49.599998 41.458435
"2013-06-10" 50.709999 51.189999 50.389999 41.883987
"2013-06-11" 50.439999 51.02 50.119999 41.392956
"2013-06-12" 50.889999 51.07 49.599998 40.590961
"2013-06-13" 49.560001 49.939999 49.18 40.787388
"2013-06-14" 49.84 50.110001 49.450001 40.582783
"2013-06-17" 49.82 50.650002 49.52 40.910137
"2013-06-18" 49.970001 50.099998 49.75 40.787388
"2013-06-19" 49.900002 50.59 49.139999 40.214527
"2013-06-20" 48.720001 48.869999 47.52 38.9706
"2013-06-21" 48.099998 48.330002 47 39.109722
"2013-06-24" 47.150002 48.330002 46.939999 39.199749
"2013-06-25" 48.369999 48.369999 47.540001 39.371616
"2013-06-26" 48.529999 48.709999 48.09 39.666214
"2013-06-27" 48.790001 49.150002 48.48 39.739868
"2013-06-28" 48.470001 48.650002 47.82 39.167011
"2013-07-01" 48.18 48.470001 48.009998 39.412518
"2013-07-02" 48.07 48.32 47.66 39.338875
"2013-07-03" 47.669998 47.77 47.16 38.90514
"2013-07-05" 47.790001 47.919998 47.169998 38.995163
"2013-07-08" 47.869999 48.470001 47.790001 39.453438
"2013-07-09" 48.48 50.360001 48.470001 41.188377
"2013-07-10" 50.330002 50.59 49.759998 41.188377
"2013-07-11" 50.900002 51.939999 50.790001 42.473209
"2013-07-12" 51.759998 51.759998 51.040001 41.982197
"2013-07-15" 51.34 51.790001 51.200001 42.317719
"2013-07-16" 51.5 51.5 50.740002 41.802158
"2013-07-17" 51.220001 51.43 50.77 41.597565
"2013-07-18" 50.75 51.360001 50.700001 41.736675
"2013-07-19" 51 51.419998 50.799999 42.055855
"2013-07-22" 51.290001 51.400002 50.82 41.69577
"2013-07-23" 50.990002 51.02 50.400002 41.433891
"2013-07-24" 50.669998 50.75 49.279999 40.828285
"2013-07-25" 49.43 49.889999 48.93 40.779198
"2013-07-26" 49.080002 50.060001 49.080002 40.74646
"2013-07-29" 49.700001 49.950001 49.529999 40.81192
"2013-07-30" 49.950001 50.380001 49.82 40.820118
"2013-07-31" 50.18 50.509998 50.009998 40.967415
"2013-08-01" 50.57 50.950001 50.41 41.663033
"2013-08-02" 50.669998 51 50.650002 41.564827
"2013-08-05" 50.700001 50.759998 49.990002 40.983784
"2013-08-06" 50.889999 53.52 50.889999 43.586185
"2013-08-07" 53.209999 53.32 52.439999 43.201557
"2013-08-08" 52.790001 53.529999 52.610001 43.717136
"2013-08-09" 53.459999 53.75 53.18 43.53709
"2013-08-12" 52.93 52.93 52.419998 42.980598
"2013-08-13" 52.66 52.669998 52.16 42.898762
"2013-08-14" 52.459999 52.459999 51.84 42.473209
"2013-08-15" 51.580002 51.66 50.610001 41.532089
"2013-08-16" 50.560001 50.900002 50.419998 41.556641
"2013-08-19" 50.610001 50.68 50.049999 41.008335
"2013-08-20" 50.259998 50.849998 50.119999 41.343868
"2013-08-21" 50.5 50.5 49.700001 40.820118
"2013-08-22" 49.860001 50.119999 49.73 40.787388
"2013-08-23" 49.900002 50.580002 49.650002 41.294762
"2013-08-26" 50.470001 50.470001 49.630001 40.721905
"2013-08-27" 49.419998 49.57 49.150002 40.49276
"2013-08-28" 49.220001 49.220001 48.43 39.899715
"2013-08-29" 48.400002 48.790001 48.18 40.023258
"2013-08-30" 48.619999 48.91 48.389999 40.188007
"2013-09-03" 49.5 49.849998 48.330002 39.99855
"2013-09-04" 48.459999 49.32 48.25 40.616322
"2013-09-05" 49.119999 49.459999 49.029999 40.517483
"2013-09-06" 49.400002 49.470001 48.93 40.558659
"2013-09-09" 49.279999 49.279999 48.950001 40.43512
"2013-09-10" 49.380001 49.389999 49.029999 40.682217
"2013-09-11" 49.369999 49.779999 49.34 40.945805
"2013-09-12" 49.610001 49.700001 49.18 40.591606
"2013-09-13" 49.299999 49.650002 49.23 40.805775
"2013-09-16" 49.98 50.400002 49.959999 41.365883
"2013-09-17" 50.34 51.09 50.240002 41.761257
"2013-09-18" 50.66 51.580002 50.369999 42.469631
"2013-09-19" 51.790001 52.150002 51.369999 42.411968
"2013-09-20" 51.490002 51.490002 50.459999 41.621231
"2013-09-23" 50.43 50.509998 50.040001 41.423542
"2013-09-24" 50.200001 50.48 49.970001 41.349407
"2013-09-25" 50.330002 50.68 50.09 41.538853
