"Index" "Open" "High" "Low" "Price"
"2012-09-17" 64.330002 65.139999 64.330002 64.830002
"2012-09-18" 64.739998 65.040001 64.389999 64.739998
"2012-09-19" 64.860001 65 64.410004 64.760002
"2012-09-20" 64.410004 64.709999 64.160004 64.489998
"2012-09-21" 64.82 64.82 64.110001 64.400002
"2012-09-24" 64.059998 64.82 63.900002 64
"2012-09-25" 64.239998 64.739998 63.400002 63.41
"2012-09-26" 63.52 63.93 63.110001 63.48
"2012-09-27" 63.650002 64.07 63.169998 63.950001
"2012-09-28" 63.529999 64 63.040001 63.389999
"2012-10-01" 63.619999 64.099998 63.41 64
"2012-10-02" 64.389999 64.5 63.880001 64.120003
"2012-10-03" 64.339996 64.480003 63.790001 63.919998
"2012-10-04" 64.199997 64.690002 63.75 64.190002
"2012-10-05" 64.260002 65.459999 64.190002 64.459999
"2012-10-08" 64.050003 65.080002 64.050003 64.699997
"2012-10-09" 64.68 64.879997 63.549999 63.740002
"2012-10-10" 63.75 63.759998 63.259998 63.450001
"2012-10-11" 63.869999 64.370003 63.66 63.700001
"2012-10-12" 63.779999 64.260002 63.16 63.369999
"2012-10-15" 63.380001 63.740002 63.099998 63.630001
"2012-10-16" 63.810001 64.5 63.810001 64.330002
"2012-10-17" 64.389999 65.220001 64.300003 65.220001
"2012-10-18" 65.160004 65.470001 64.849998 65
"2012-10-19" 64.610001 65.169998 64.080002 64.529999
"2012-10-22" 64.470001 64.669998 63.099998 63.439999
"2012-10-23" 63.34 63.52 61.889999 62.360001
"2012-10-24" 62.790001 63.110001 61.450001 61.77
"2012-10-25" 62.959999 65.889999 62.959999 65.760002
"2012-10-26" 65.580002 66.110001 63.049999 63.23
"2012-10-31" 62.740002 64.029999 62.509998 64.029999
"2012-11-01" 64.239998 65.489998 63.669998 65.190002
"2012-11-02" 64.949997 65.239998 63.689999 63.689999
"2012-11-05" 63.77 64.699997 63.23 64.690002
"2012-11-06" 64.199997 66.360001 64.199997 65.330002
"2012-11-07" 65.309998 67.029999 62.970001 63.32
"2012-11-08" 63.389999 63.77 62.43 62.450001
"2012-11-09" 62.009998 63 60.66 62.52
"2012-11-12" 62.93 62.93 61.549999 61.599998
"2012-11-13" 61.279999 62.630001 61.080002 62
"2012-11-14" 62 62 60.310001 60.450001
"2012-11-15" 60.5 60.919998 59.73 60.400002
"2012-11-16" 60.259998 61.369999 59.610001 60.720001
"2012-11-19" 61.360001 62.259998 61.130001 62.259998
"2012-11-20" 62.18 62.700001 61.830002 62.639999
"2012-11-21" 62.790001 62.939999 62.220001 62.5
"2012-11-23" 62.599998 62.91 61.990002 62.91
"2012-11-26" 62.59 63.549999 62.59 63.549999
"2012-11-27" 63.529999 64.209999 62.959999 62.990002
"2012-11-28" 62.610001 63.439999 62.16 63.34
"2012-11-29" 63.299999 64.290001 63.259998 63.900002
"2012-11-30" 64.029999 64.110001 62.540001 63
"2012-12-03" 63.490002 63.599998 62.099998 62.959999
"2012-12-04" 62.830002 62.880001 61.950001 62.560001
"2012-12-05" 62.700001 62.990002 61.869999 62.580002
"2012-12-06" 62.490002 62.700001 62 62.689999
"2012-12-07" 63.119999 63.139999 62.509998 62.91
"2012-12-10" 62.990002 63.93 62.439999 63.810001
"2012-12-11" 64.220001 64.529999 63.709999 64.18
"2012-12-12" 64.519997 64.540001 62.610001 62.77
"2012-12-13" 62.650002 63.18 61.580002 61.91
"2012-12-14" 61.830002 62.43 61.419998 61.709999
"2012-12-17" 62 62.689999 61.810001 62.310001
"2012-12-18" 62.599998 64.370003 62.369999 64.339996
"2012-12-19" 64.309998 65.339996 63.360001 65.029999
"2012-12-20" 64.919998 65.599998 64.889999 65.190002
"2012-12-21" 64.720001 65.269997 64.190002 65.199997
"2012-12-24" 64.849998 65.089996 64.330002 64.82
"2012-12-26" 64.940002 65.040001 63.939999 64.099998
"2012-12-27" 64.029999 64.550003 63.66 64.43
"2012-12-28" 63.91 64.589996 63.59 63.669998
"2012-12-31" 63.529999 65.209999 63 65.07
"2013-01-02" 66.739998 67.309998 65.800003 66.660004
"2013-01-03" 66.580002 67.379997 66.029999 66.169998
"2013-01-04" 66.300003 66.809998 65.870003 66.690002
"2013-01-07" 66.139999 66.510002 65.800003 66.32
"2013-01-08" 67.160004 67.5 66.330002 66.900002
"2013-01-09" 66.900002 67.769997 66.669998 67.580002
"2013-01-10" 68.040001 68.239998 67.610001 68.150002
"2013-01-11" 68.309998 68.309998 67.459999 67.730003
"2013-01-14" 67.550003 67.860001 66.839996 67.349998
"2013-01-15" 66.940002 68.080002 66.940002 67.959999
"2013-01-16" 67.620003 67.870003 67.25 67.620003
"2013-01-17" 67.790001 68.050003 67.470001 67.910004
"2013-01-18" 67.779999 68 67.199997 68
"2013-01-22" 67.839996 69.989998 67.839996 69.779999
"2013-01-23" 69.800003 70.150002 69.480003 69.669998
"2013-01-24" 70.110001 72.239998 69.040001 71.790001
"2013-01-25" 71.919998 72.309998 70.809998 71
"2013-01-28" 70.940002 71 69.75 70
"2013-01-29" 69.849998 70.470001 69.5 69.900002
"2013-01-30" 69.610001 69.75 68.639999 68.82
"2013-01-31" 69.050003 69.050003 68.190002 68.260002
"2013-02-01" 68.620003 69.169998 68.529999 68.949997
"2013-02-04" 68.529999 68.949997 67.970001 68.199997
"2013-02-05" 68.610001 69.029999 68.489998 68.830002
"2013-02-06" 68.480003 69.230003 68.32 69.010002
"2013-02-07" 68.790001 69.309998 68.68 69.190002
"2013-02-08" 69.279999 70.290001 69.260002 69.870003
"2013-02-11" 69.650002 70.010002 69.239998 70.010002
"2013-02-12" 69.910004 70.480003 69.860001 70.139999
"2013-02-13" 70.18 70.510002 69.970001 70.510002
"2013-02-14" 70.129997 70.650002 70.129997 70.470001
"2013-02-15" 70.720001 70.830002 70.190002 70.629997
"2013-02-19" 70.589996 71.760002 70.589996 71.730003
"2013-02-20" 71.589996 72.209999 70.849998 70.870003
"2013-02-21" 70.699997 71.339996 70.400002 71.040001
"2013-02-22" 71.260002 71.620003 70.940002 71.470001
"2013-02-25" 71.769997 71.849998 70.839996 70.849998
"2013-02-26" 71.050003 71.93 70.849998 71.870003
"2013-02-27" 71.809998 73.279999 71.809998 72.879997
"2013-02-28" 72.629997 74.410004 72.440002 73.580002
"2013-03-01" 72.620003 74.330002 72.449997 74.230003
"2013-03-04" 73.910004 74.169998 72.720001 73.720001
"2013-03-05" 74.099998 75.120003 74.099998 74.800003
"2013-03-06" 74.790001 75.129997 74.370003 74.860001
"2013-03-07" 75.120003 75.449997 74.699997 75.379997
"2013-03-08" 76.169998 76.550003 75.629997 76.489998
"2013-03-11" 76.279999 76.800003 76.139999 76.300003
"2013-03-12" 76.449997 76.769997 75.970001 76.540001
"2013-03-13" 76.440002 77.43 76.440002 77.300003
"2013-03-14" 77.32 78.089996 77.32 78.080002
"2013-03-15" 77.5 78.529999 77.5 78.519997
"2013-03-18" 77.730003 78.099998 77.029999 77.290001
"2013-03-19" 77.419998 77.68 75.879997 76.589996
"2013-03-20" 76.940002 77.510002 76.940002 77.220001
"2013-03-21" 76.739998 77.43 76.330002 76.650002
"2013-03-22" 76.769997 77.400002 76.75 76.970001
"2013-03-25" 77.25 77.559998 75.589996 76.629997
"2013-03-26" 76.839996 77.769997 76.839996 77.57
"2013-03-27" 76.919998 78.419998 76.739998 78.32
"2013-03-28" 78.57 78.709999 77.860001 78.440002
"2013-04-01" 78.459999 78.889999 76.75 78.040001
"2013-04-02" 78.330002 78.389999 76.980003 77.209999
"2013-04-03" 77.239998 77.889999 75.800003 76.059998
"2013-04-04" 76.199997 76.480003 75.68 75.940002
"2013-04-05" 74.580002 75.919998 74.540001 75.580002
"2013-04-08" 75.709999 78.050003 75.699997 77.970001
"2013-04-09" 77.910004 78.010002 76.989998 77.019997
"2013-04-10" 77.360001 78.690002 77.360001 78.580002
"2013-04-11" 78.529999 78.889999 78.010002 78.339996
"2013-04-12" 77.919998 78.43 77.919998 78.330002
"2013-04-15" 77.910004 77.910004 75.080002 75.260002
"2013-04-16" 75.75 77.389999 75.480003 77.300003
"2013-04-17" 76.860001 76.860001 74.129997 74.639999
"2013-04-18" 74.760002 74.760002 72.489998 73.139999
"2013-04-19" 73.129997 73.599998 72.690002 73.209999
"2013-04-22" 73.379997 74.099998 72.529999 73.959999
