"Index" "Open" "High" "Low" "Price"
"2012-09-17" 16.290001 16.309999 15.56 14.626898
"2012-09-18" 15.61 15.63 15.11 14.141514
"2012-09-19" 15.09 15.13 14.75 13.982831
"2012-09-20" 14.86 14.87 14.62 13.721474
"2012-09-21" 14.77 14.9 14.58 13.628126
"2012-09-24" 14.5 14.59 14.14 13.450777
"2012-09-25" 14.52 14.69 14.28 13.366767
"2012-09-26" 14.22 14.23 13.8 13.114738
"2012-09-27" 14.17 14.5 13.93 13.469441
"2012-09-28" 14.27 14.32 14.01 13.273422
"2012-10-01" 14.3 14.3 13.95 13.198746
"2012-10-02" 14.24 14.32 14.1 13.217418
"2012-10-03" 14.18 14.21 13.93 13.040063
"2012-10-04" 14.05 14.12 13.86 13.15208
"2012-10-05" 14.19 14.38 14.01 13.133408
"2012-10-08" 13.96 14.1 13.86 13.068068
"2012-10-09" 13.96 14.03 13.67 12.872047
"2012-10-10" 13.79 13.82 13.44 12.592014
"2012-10-11" 13.61 13.81 13.55 12.769371
"2012-10-12" 13.6 13.73 13.54 12.713363
"2012-10-15" 13.66 13.78 13.4 12.816038
"2012-10-16" 13.8 14.18 13.79 13.161412
"2012-10-17" 14.07 14.31 14.03 13.217418
"2012-10-18" 14.15 14.36 14.07 13.301426
"2012-10-19" 14.16 14.3 14.01 13.180079
"2012-10-22" 14.12 14.25 14.02 13.226751
"2012-10-23" 13.93 13.97 13.74 12.881383
"2012-10-24" 13.97 14.06 13.6 12.713363
"2012-10-25" 13.84 14.98 13.65 13.749473
"2012-10-26" 14.65 14.8 14.46 13.534785
"2012-10-31" 14.53 14.63 14.3 13.646799
"2012-11-01" 14.69 15.42 14.61 14.393542
"2012-11-02" 15.37 15.49 15.15 14.290867
"2012-11-05" 15.25 15.75 15.25 14.636237
"2012-11-06" 15.72 16.15 15.7 14.869595
"2012-11-07" 15.69 15.78 15.3 14.486887
"2012-11-08" 15.53 15.66 15.36 14.365541
"2012-11-09" 15.35 15.72 15.26 14.477551
"2012-11-12" 15.53 15.72 15.45 14.636237
"2012-11-13" 15.32 15.72 15.32 14.505555
"2012-11-14" 15.55 15.68 15.19 14.216187
"2012-11-15" 15.24 15.3 14.82 13.870819
"2012-11-16" 14.91 15.09 14.68 14.029504
"2012-11-19" 15.26 15.45 15.21 14.328203
"2012-11-20" 15.29 15.47 15.13 14.272196
"2012-11-21" 15.28 15.58 15.25 14.430882
"2012-11-23" 15.51 16.030001 15.51 14.869595
"2012-11-26" 15.87 16.02 15.61 14.626898
"2012-11-27" 15.62 15.78 15.52 14.524226
"2012-11-28" 15.4 15.82 15.18 14.738914
"2012-11-29" 15.77 15.92 15.51 14.710909
"2012-11-30" 15.76 15.8 15.55 14.598898
"2012-12-03" 15.78 15.8 15.51 14.533561
"2012-12-04" 15.6 15.88 15.51 14.729579
"2012-12-05" 15.78 15.88 15.54 14.682906
"2012-12-06" 15.7 15.92 15.7 14.841593
"2012-12-07" 15.96 16 15.77 14.785585
"2012-12-10" 15.9 16.4 15.9 15.242967
"2012-12-11" 16.43 16.629999 16.379999 15.494994
"2012-12-12" 16.66 16.700001 16.5 15.494994
"2012-12-13" 16.57 16.639999 16.24 15.242967
"2012-12-14" 16.469999 16.68 16.370001 15.392316
"2012-12-17" 16.59 16.68 16.280001 15.373648
"2012-12-18" 16.469999 16.799999 16.41 15.653672
"2012-12-19" 16.77 16.85 16.67 15.579001
"2012-12-20" 16.700001 16.879999 16.52 15.747022
"2012-12-21" 16.559999 16.75 16.389999 15.635013
"2012-12-24" 16.530001 16.85 16.530001 15.43899
"2012-12-26" 16.629999 16.889999 16.540001 15.43899
"2012-12-27" 16.559999 16.639999 16.24 15.457657
"2012-12-28" 16.43 16.629999 16.35 15.326977
"2012-12-31" 16.35 16.9 16.290001 15.765685
"2013-01-02" 17.280001 17.49 17.18 16.325748
"2013-01-03" 17.440001 17.440001 17.18 16.111061
"2013-01-04" 17.27 17.370001 17.129999 16.148397
"2013-01-07" 17.17 17.219999 16.940001 16.008385
"2013-01-08" 17.1 17.139999 16.9 15.821696
"2013-01-09" 17.030001 17.049999 16.83 15.86837
"2013-01-10" 17.120001 17.139999 16.84 15.831026
"2013-01-11" 16.969999 17.120001 16.870001 15.961708
"2013-01-14" 17.049999 17.08 16.709999 15.719021
"2013-01-15" 16.73 16.76 16.610001 15.588342
"2013-01-16" 16.690001 16.83 16.620001 15.663014
"2013-01-17" 16.91 17.23 16.870001 15.943047
"2013-01-18" 17.110001 17.290001 17 15.989713
"2013-01-22" 17.1 17.219999 16.940001 15.952371
"2013-01-23" 17.07 17.16 16.85 15.896368
"2013-01-24" 15.9 16.82 15.75 15.130954
"2013-01-25" 16.16 16.620001 16.08 15.457657
"2013-01-28" 16.530001 16.530001 16.17 15.214965
"2013-01-29" 16.23 16.299999 15.9 15.196296
"2013-01-30" 16.23 16.41 16.129999 15.130954
"2013-01-31" 16.200001 16.27 16.08 15.084287
"2013-02-01" 16.290001 16.75 16.219999 15.532334
"2013-02-04" 16.530001 16.690001 16.25 15.168294
"2013-02-05" 16.450001 16.98 16.35 15.765685
"2013-02-06" 16.790001 17.059999 16.639999 15.86837
"2013-02-07" 17.01 17.040001 16.85 15.821696
"2013-02-08" 17 17.290001 16.93 16.036386
"2013-02-11" 17.129999 17.24 16.969999 16.064388
"2013-02-12" 17.17 17.370001 17.139999 16.148397
"2013-02-13" 17.290001 17.49 17.26 16.269747
"2013-02-14" 17.299999 17.66 17.299999 16.475101
"2013-02-15" 17.620001 17.639999 17.190001 16.139065
"2013-02-19" 17.309999 17.530001 17.23 16.260406
"2013-02-20" 17.42 17.450001 16.950001 15.840368
"2013-02-21" 16.85 16.870001 16.530001 15.569672
"2013-02-22" 16.780001 17 16.65 15.765685
"2013-02-25" 17.01 17.15 16.33 15.252298
"2013-02-26" 16.440001 16.59 16.280001 15.448319
"2013-02-27" 16.48 16.860001 16.440001 15.691015
"2013-02-28" 16.780001 17 16.709999 15.644344
"2013-03-01" 16.639999 16.780001 16.42 15.513662
"2013-03-04" 16.620001 16.77 16.450001 15.625675
"2013-03-05" 16.870001 17.48 16.860001 16.045723
"2013-03-06" 17.25 17.4 17.110001 15.980378
"2013-03-07" 17.15 17.200001 17.040001 16.008385
"2013-03-08" 17.23 17.25 17.030001 15.924372
"2013-03-11" 16.98 17.030001 16.790001 15.775021
"2013-03-12" 16.879999 16.950001 16.74 15.747022
"2013-03-13" 16.889999 16.98 16.66 15.803025
"2013-03-14" 16.99 17.09 16.93 15.86837
"2013-03-15" 16.93 17.02 16.66 15.709684
"2013-03-18" 16.610001 16.73 16.49 15.429653
"2013-03-19" 16.549999 16.639999 16.18 15.308308
"2013-03-20" 16.549999 16.75 16.35 15.35498
"2013-03-21" 16.33 16.42 15.83 14.878928
"2013-03-22" 16.030001 16.1 15.74 14.757582
"2013-03-25" 15.9 15.99 15.72 14.841593
"2013-03-26" 15.99 16.059999 15.84 14.953605
"2013-03-27" 15.85 15.87 15.44 14.804254
"2013-03-28" 15.86 16.25 15.86 15.140289
"2013-04-01" 16.25 16.25 15.81 14.785585
"2013-04-02" 15.9 15.94 15.36 14.430882
"2013-04-03" 15.52 15.54 15.11 14.234858
"2013-04-04" 15.23 15.42 15.13 14.328203
"2013-04-05" 15.09 15.35 14.86 14.290867
"2013-04-08" 15.3 15.62 15.11 14.542892
"2013-04-09" 15.63 15.74 15.37 14.542892
"2013-04-10" 15.6 16.02 15.6 14.906931
"2013-04-11" 15.91 16.049999 15.78 14.832255
"2013-04-12" 15.77 15.85 15.2 14.440217
"2013-04-15" 15.35 15.35 14.92 13.945498
"2013-04-16" 15.1 15.4 14.96 14.337535
"2013-04-17" 15.16 15.16 14.36 13.469441
"2013-04-18" 14.51 14.67 14.11 13.348097
"2013-04-19" 14.39 14.46 14.05 13.488113
"2013-04-22" 14.51 14.68 14.2 13.600122
"2013-04-23" 14.75 14.95 14.59 13.861485
"2013-04-24" 14.84 14.98 14.75 13.852151
"2013-04-25" 15.42 16.639999 15.42 14.990938
"2013-04-26" 16.309999 16.59 15.84 15.270972
"2013-04-29" 16.370001 16.57 16.26 15.326977
"2013-04-30" 16.360001 16.559999 16.200001 15.345641
"2013-05-01" 16.32 16.389999 16.07 15.037612
"2013-05-02" 16.139999 16.23 15.93 15.074948
"2013-05-03" 16.360001 16.67 16.280001 15.298973
"2013-05-06" 16.4 16.67 16.33 15.43899
"2013-05-07" 16.59 16.620001 16.41 15.466986
"2013-05-08" 16.52 16.639999 16.389999 15.476326
"2013-05-09" 16.52 16.77 16.52 15.532334
"2013-05-10" 16.66 16.98 16.549999 15.840368
"2013-05-13" 16.870001 16.9 16.530001 15.532334
"2013-05-14" 16.629999 16.790001 16.530001 15.653672
"2013-05-15" 16.73 17.690001 16.719999 16.316414
"2013-05-16" 17.450001 17.76 17.26 16.139065
"2013-05-17" 17.389999 17.74 17.389999 16.531103
"2013-05-20" 17.68 17.799999 17.59 16.512436
"2013-05-21" 17.75 17.879999 17.67 16.540438
"2013-05-22" 17.709999 17.77 17.15 16.129734
"2013-05-23" 17.059999 17.17 16.879999 15.915041
"2013-05-24" 16.940001 17.23 16.92 16.036386
"2013-05-28" 17.459999 17.59 17.370001 16.353756
"2013-05-29" 17.370001 17.530001 17.299999 16.251078
"2013-05-30" 17.469999 18.09 17.469999 16.643116
"2013-05-31" 17.780001 18.26 17.719999 16.745796
"2013-06-03" 18.459999 18.57 17.639999 16.829809
"2013-06-04" 18.02 18.299999 17.68 16.61512
"2013-06-05" 17.719999 17.84 17.52 16.437765
"2013-06-06" 17.639999 17.73 17.209999 16.269747
"2013-06-07" 17.549999 17.9 17.440001 16.671118
"2013-06-10" 17.870001 17.93 17.690001 16.680456
"2013-06-11" 17.620001 17.799999 17.48 16.381756
"2013-06-12" 17.709999 17.75 17.139999 16.055052
"2013-06-13" 17.15 17.620001 17.030001 16.428431
"2013-06-14" 17.57 17.610001 17.26 16.185736
"2013-06-17" 17.51 17.77 17.469999 16.465759
"2013-06-18" 17.77 17.860001 17.73 16.633781
"2013-06-19" 17.809999 17.9 17.48 16.363085
