"Index" "Open" "High" "Low" "Price"
"2012-09-17" 69.980003 70.510002 69.669998 64.529243
"2012-09-18" 69.949997 70.5 69.760002 64.510788
"2012-09-19" 70.059998 70.459999 69.559998 64.483116
"2012-09-20" 69.779999 70.629997 69.760002 65.137917
"2012-09-21" 70.779999 70.779999 69.730003 64.409332
"2012-09-24" 69.010002 70.050003 68.730003 64.224899
"2012-09-25" 69.790001 70.339996 69.260002 63.920544
"2012-09-26" 69.300003 69.300003 68.260002 63.173534
"2012-09-27" 68.730003 69.459999 68.519997 64.04966
"2012-09-28" 69.160004 69.279999 68.309998 63.487091
"2012-10-01" 69.019997 69.230003 68.199997 63.570084
"2012-10-02" 68.919998 69.239998 68.610001 63.625454
"2012-10-03" 69.129997 69.68 68.879997 64.141907
"2012-10-04" 69.650002 70.739998 69.650002 65.045715
"2012-10-05" 70.540001 71.07 70.459999 65.386902
"2012-10-08" 70.620003 71.160004 70.410004 65.008812
"2012-10-09" 70.32 70.32 69.089996 63.773006
"2012-10-10" 69.150002 69.260002 68.239998 63.431759
"2012-10-11" 69.169998 69.529999 68.839996 63.496326
"2012-10-12" 68.93 69.260002 68.260002 63.090542
"2012-10-15" 68.629997 68.660004 68.230003 63.136639
"2012-10-16" 68.720001 69.139999 68.419998 63.523975
"2012-10-17" 68.93 69.230003 68.389999 63.459412
"2012-10-18" 68.629997 68.650002 67.330002 62.251316
"2012-10-19" 67.400002 67.550003 66.379997 61.550369
"2012-10-22" 66.519997 66.830002 65.940002 61.21838
"2012-10-23" 66.150002 66.389999 65.790001 60.987808
"2012-10-24" 66.220001 66.43 65.849998 60.969372
"2012-10-25" 66.480003 67.57 66.300003 62.315849
"2012-10-26" 67.480003 68.019997 66.919998 61.799385
"2012-10-31" 65.07 68.029999 65.07 62.666306
"2012-11-01" 68.589996 70.889999 68.589996 64.086548
"2012-11-02" 69.540001 70.160004 68.510002 63.182777
"2012-11-05" 68.360001 69.120003 68.25 63.551674
"2012-11-06" 68.760002 71.379997 68.760002 65.396149
"2012-11-07" 70.449997 70.449997 68.629997 63.763786
"2012-11-08" 69.190002 69.300003 67.760002 62.684761
