"Index" "Open" "High" "Low" "Price"
"2012-09-17" 64.650002 64.75 64.18 48.891933
"2012-09-18" 64.25 64.349998 63.709999 48.793262
"2012-09-19" 64.339996 65.379997 64.290001 49.347378
"2012-09-20" 64.919998 65.589996 64.550003 49.643421
"2012-09-21" 65.489998 65.800003 65.260002 49.673779
"2012-09-24" 65.309998 65.419998 65 49.453659
"2012-09-25" 65.550003 65.599998 64.360001 48.86916
"2012-09-26" 64.360001 64.440002 63.759998 48.451675
"2012-09-27" 63.700001 63.810001 62.450001 48.269501
"2012-09-28" 63.529999 63.880001 62.98 48.178406
"2012-10-01" 63.18 63.849998 62.830002 47.814056
"2012-10-02" 63.16 63.5 62.77 47.806461
"2012-10-03" 63.209999 63.490002 62.990002 47.889957
"2012-10-04" 63.799999 64.040001 63.330002 48.315044
"2012-10-05" 64 64.410004 63.950001 48.717354
"2012-10-08" 64.059998 64.199997 63.720001 48.573132
"2012-10-09" 63.91 64.059998 62.889999 47.73814
"2012-10-10" 63 63.369999 62.610001 47.563557
"2012-10-11" 63.099998 63.119999 61.220001 46.493259
"2012-10-12" 61.32 62.080002 61.27 46.698219
"2012-10-15" 61.610001 62.009998 61.32 46.918343
"2012-10-16" 62.25 62.990002 62.110001 47.745743
"2012-10-17" 62.990002 63.419998 62.48 47.852016
"2012-10-18" 63.119999 63.490002 62.52 47.776085
"2012-10-19" 62.869999 63.02 61.830002 47.237152
"2012-10-22" 61.959999 62.34 61.790001 47.22197
"2012-10-23" 61.869999 62.93 61.700001 47.548367
"2012-10-24" 62.91 62.959999 62.52 47.692604
"2012-10-25" 63.09 63.27 62.639999 47.912731
"2012-10-26" 63.43 64.230003 63.32 48.519993
"2012-10-31" 64.190002 64.190002 63.279999 48.390945
"2012-11-01" 62.970001 63.73 62.689999 47.776085
"2012-11-02" 63.330002 63.43 62.619999 47.601505
"2012-11-05" 63.169998 63.610001 63.080002 48.125275
"2012-11-06" 63.599998 63.900002 63.299999 48.117668
"2012-11-07" 63.02 63.220001 62.32 47.662247
"2012-11-08" 62.91 63.139999 61.82 46.925934
"2012-11-09" 61.689999 62.43 61.509998 47.077763
"2012-11-12" 62.049999 62.299999 61.610001 47.047382
"2012-11-13" 61.830002 62.919998 61.650002 47.130898
"2012-11-14" 62.110001 62.689999 61.02 46.591938
"2012-11-15" 62.23 62.98 61.139999 47.396564
"2012-11-16" 62.369999 62.66 61.889999 47.442112
"2012-11-19" 62.880001 63.240002 62.630001 48.106312
"2012-11-20" 63 63.119999 62.529999 48.098694
"2012-11-21" 63.040001 63.82 62.889999 48.648392
"2012-11-23" 64.099998 64.5 63.689999 49.228638
"2012-11-26" 64.120003 64.120003 62.59 47.930729
"2012-11-27" 62.869999 63.380001 62.52 47.770405
"2012-11-28" 62.509998 62.98 62.27 47.95364
"2012-11-29" 61.189999 62.849998 61.189999 47.93837
"2012-11-30" 62.669998 63.240002 62.07 48.197948
