"Index" "Open" "High" "Low" "Price"
"2012-09-17" 22.950001 23.08 22.775 20.171015
"2012-09-18" 22.889999 22.940001 22.58 19.890251
"2012-09-19" 22.674999 22.715 22.415001 19.868317
"2012-09-20" 22.504999 22.655001 22.27 19.815678
"2012-09-21" 22.584999 22.655001 22.275 19.543686
"2012-09-24" 22.209999 22.254999 22.059999 19.438398
"2012-09-25" 22.25 22.465 22.01 19.328728
"2012-09-26" 22.035 22.440001 22.035 19.56562
"2012-09-27" 22.299999 22.59 22.23 19.763027
"2012-09-28" 22.09 22.51 21.975 19.648972
"2012-10-01" 22.424999 22.785 22.42 19.920959
"2012-10-02" 22.82 22.844999 22.405001 19.815678
"2012-10-03" 22.674999 22.799999 22.504999 19.833221
"2012-10-04" 22.655001 22.985001 22.65 19.960443
"2012-10-05" 22.889999 22.985001 22.605 19.916576
"2012-10-08" 22.665001 22.775 22.57 19.859545
"2012-10-09" 22.625 22.75 22.32 19.591944
"2012-10-10" 22.355 22.549999 22.27 19.635807
"2012-10-11" 22.485001 22.540001 21.940001 19.249762
"2012-10-12" 21.975 22.02 21.299999 18.789141
"2012-10-15" 21.450001 21.705 21.309999 19.02165
"2012-10-16" 21.75 21.780001 21.48 18.907583
"2012-10-17" 21.6 21.709999 21.375 18.885651
"2012-10-18" 21.525 21.639999 21.41 18.964613
"2012-10-19" 21.610001 21.65 21.25 18.666304
"2012-10-22" 21.184999 21.305 20.709999 18.359222
"2012-10-23" 20.705 21.34 20.665001 18.679468
"2012-10-24" 21.434999 21.48 20.995001 18.420633
"2012-10-25" 21.094999 21.18 20.594999 18.139864
"2012-10-26" 20.709999 20.75 20.190001 17.867884
"2012-10-31" 20.334999 20.865 20.315001 18.262711
"2012-11-01" 21.49 21.605 21.045 18.556631
"2012-11-02" 21.334999 21.445 20.705 18.214455
"2012-11-05" 20.695 21.075001 20.625 18.420633
"2012-11-06" 21.01 21.049999 20.73 18.28207
"2012-11-07" 20.67 20.805 20.459999 18.044529
"2012-11-08" 20.51 20.58 20.155001 17.754192
"2012-11-09" 20.110001 20.504999 20.040001 17.916954
"2012-11-12" 20.395 20.629999 20.264999 18.022537
"2012-11-13" 20.764999 21.325001 20.385 18.502014
"2012-11-14" 21.030001 21.165001 20.875 18.515217
"2012-11-15" 20.99 21.1 20.665001 18.475624
"2012-11-16" 20.924999 21.285 20.799999 18.673574
"2012-11-19" 21.32 22.045 21.32 19.39061
"2012-11-20" 22.040001 22.08 21.58 19.153059
"2012-11-21" 21.84 21.955 21.610001 19.117872
"2012-11-23" 21.879999 21.955 21.615 19.315823
"2012-11-26" 21.905001 21.950001 21.525 19.13987
"2012-11-27" 21.709999 21.799999 21.514999 18.955107
"2012-11-28" 21.530001 22.059999 21.42 19.373014
"2012-11-29" 21.905001 22.165001 21.73 19.408203
"2012-11-30" 22.014999 22.264999 21.965 19.504976
"2012-12-03" 22.275 22.275 22.004999 19.377411
"2012-12-04" 22.055 22.094999 21.674999 19.069477
"2012-12-05" 21.785 21.844999 21.424999 19.06068
"2012-12-06" 21.635 21.92 21.504999 19.153059
"2012-12-07" 21.540001 21.92 21.540001 19.113472
"2012-12-10" 21.725 21.764999 21.465 18.950708
"2012-12-11" 21.610001 21.735001 21.23 18.761553
"2012-12-12" 21.375 21.459999 21.030001 18.72636
"2012-12-13" 21.25 21.360001 21.129999 18.699968
"2012-12-14" 21.190001 21.34 21.15 18.743956
"2012-12-17" 21.32 21.82 21.25 19.188257
"2012-12-18" 21.805 21.934999 21.68 19.214651
"2012-12-19" 21.815001 21.905001 21.625 19.025499
"2012-12-20" 21.66 21.75 21.02 18.629589
"2012-12-21" 20.965 21.1 20.889999 18.453627
"2012-12-24" 20.875 21.24 20.875 18.568003
"2012-12-26" 21.1 21.1 20.58 18.136904
"2012-12-27" 20.615 20.82 20.49 18.268871
"2012-12-28" 20.695 21.035 20.65 18.308466
"2012-12-31" 20.74 21.26 20.719999 18.673574
"2013-01-02" 21.450001 21.584999 21.18 18.990301
"2013-01-03" 22.174999 22.465 22.055 19.610552
"2013-01-04" 22.295 22.475 22.200001 19.601759
"2013-01-07" 22.225 22.33 22.040001 19.46979
"2013-01-08" 22.049999 22.24 21.75 19.135468
"2013-01-09" 21.745001 21.975 21.700001 19.210249
"2013-01-10" 21.870001 21.905001 21.66 19.236647
"2013-01-11" 21.860001 22.025 21.809999 19.337818
"2013-01-14" 21.92 22.02 21.764999 19.324623
"2013-01-15" 21.93 22.235001 21.84 19.509375
"2013-01-16" 22.07 22.219999 21.955 19.496187
"2013-01-17" 22.200001 22.385 22.110001 19.623755
"2013-01-18" 22.355 22.42 22.145 19.685337
