"Index" "Open" "High" "Low" "Price"
"2012-09-17" 60.34 60.759998 60.02 57.953773
"2012-09-18" 60.18 60.27 59.66 57.751583
"2012-09-19" 59.98 60.259998 59.57 57.520489
"2012-09-20" 59.580002 60.110001 59.419998 57.501251
"2012-09-21" 60.009998 60.150002 59.68 57.491615
"2012-09-24" 59.310001 59.740002 59.240002 57.260521
"2012-09-25" 59.73 60.119999 58.959999 56.817608
"2012-09-26" 59.02 59.369999 58.59 56.538383
"2012-09-27" 58.849998 59.630001 58.849998 57.231636
"2012-09-28" 59.18 59.310001 58.459999 56.644302
"2012-10-01" 59.09 60.07 59.02 57.029446
"2012-10-02" 59.310001 59.849998 59.09 57.501251
"2012-10-03" 60 60.189999 59.52 57.530106
"2012-10-04" 59.990002 60.459999 59.810001 58.059696
"2012-10-05" 60.950001 61.720001 60.66 58.637394
"2012-10-08" 60.48 60.849998 60.189999 58.252258
"2012-10-09" 60.279999 60.279999 58.84 56.69244
"2012-10-10" 58.77 58.919998 58.099998 56.239902
"2012-10-11" 58.970001 59.5 58.84 56.971672
"2012-10-12" 59.380001 59.860001 58.779999 56.653931
"2012-10-15" 58.939999 59.490002 58.740002 57.222008
"2012-10-16" 59.619999 60.439999 59.349998 58.030811
"2012-10-17" 60.48 60.799999 60.23 58.281155
"2012-10-18" 60.150002 60.150002 58.360001 56.807995
"2012-10-19" 58.849998 59.16 57.84 55.883656
"2012-10-22" 58 58.779999 57.68 56.278423
"2012-10-23" 57.630001 58.130001 57.209999 55.469635
"2012-10-24" 59.220001 60.529999 58.889999 58.117462
"2012-10-25" 61 61.990002 60.790001 59.407669
"2012-10-26" 61.779999 61.790001 60.369999 58.772205
"2012-10-31" 61.02 61.25 60.369999 58.791458
"2012-11-01" 61.330002 62.610001 61.110001 60.110561
"2012-11-02" 62.75 62.939999 61.439999 59.215103
"2012-11-05" 61.450001 62.060001 61.380001 59.629131
"2012-11-06" 61.810001 62.349998 61.73 59.523216
"2012-11-07" 61.66 61.869999 60.18 58.589256
"2012-11-08" 60.689999 60.849998 59.650002 57.539753
"2012-11-09" 59.98 60.939999 59.610001 58.435184
"2012-11-12" 60.810001 60.810001 60.119999 58.37743
"2012-11-13" 60.02 61.919998 60 58.916618
"2012-11-14" 61.240002 62.040001 60.549999 58.464096
"2012-11-15" 60.810001 61.07 59.950001 58.194489
"2012-11-16" 60.349998 60.959999 59.810001 58.338924
"2012-11-19" 61.169998 61.490002 60.610001 59.128456
"2012-11-20" 61.169998 61.869999 60.950001 59.532845
"2012-11-21" 61.689999 61.720001 60.98 58.887733
"2012-11-23" 61.650002 62.639999 61.02 60.312752
"2012-11-26" 62.080002 62.32 61.439999 60.004627
"2012-11-27" 62.23 62.549999 61.810001 59.879467
"2012-11-28" 62.009998 62.779999 61.380001 60.418667
"2012-11-29" 62.849998 63.669998 62.709999 61.150421
"2012-11-30" 63.68 63.779999 63.349998 61.188942
"2012-12-03" 63.889999 64.160004 63.43 61.150421
"2012-12-04" 63.630001 63.790001 62.919998 61.246716
"2012-12-05" 63.650002 63.98 63.07 61.583721
"2012-12-06" 63.810001 64.370003 63.349998 61.978481
"2012-12-07" 64.400002 64.519997 63.869999 61.891811
"2012-12-10" 64.019997 65 64 62.373253
"2012-12-11" 64.779999 65.470001 64.760002 62.854668
"2012-12-12" 65.349998 65.540001 65.07 62.729504
"2012-12-13" 64.959999 65.139999 64.779999 62.652287
"2012-12-14" 64.790001 64.849998 64.099998 61.967094
"2012-12-17" 64.459999 64.800003 64.339996 62.536495
"2012-12-18" 64.889999 65.309998 64.43 62.970764
"2012-12-19" 65.360001 65.489998 64.68 62.488224
"2012-12-20" 64.309998 65.160004 64.150002 62.874271
"2012-12-21" 64.540001 64.739998 63.709999 61.581066
"2012-12-24" 63.759998 64.160004 63.720001 61.706524
"2012-12-26" 64.019997 64.410004 63.27 61.06958
"2012-12-27" 63.349998 63.709999 62.5 61.204689
"2012-12-28" 63.07 63.48 62.900002 60.712505
"2012-12-31" 62.810001 63.869999 62.299999 61.55212
"2013-01-02" 64.790001 65.18 64.540001 62.7295
"2013-01-03" 64.949997 65.150002 64.620003 62.536495
"2013-01-04" 64.949997 65.639999 64.68 63.086594
"2013-01-07" 65.199997 65.93 65.080002 63.578758
"2013-01-08" 65.93 65.980003 65.339996 63.18309
"2013-01-09" 65.93 67.75 65.699997 65.364128
"2013-01-10" 67.910004 68 66.940002 65.180794
"2013-01-11" 67.410004 67.730003 67.339996 65.190437
"2013-01-14" 67.650002 67.839996 67.18 65.200096
"2013-01-15" 67.139999 67.879997 67 65.373772
"2013-01-16" 67.660004 67.800003 67.279999 65.354469
"2013-01-17" 68 69.089996 67.910004 66.522217
"2013-01-18" 69.160004 69.449997 68.779999 66.975815
"2013-01-22" 69.110001 69.790001 69.080002 67.246056
"2013-01-23" 69.510002 69.93 69.32 67.361839
"2013-01-24" 69.809998 70.290001 69.489998 67.323242
"2013-01-25" 69.980003 71.25 69.68 68.72258
"2013-01-28" 71.339996 71.489998 70.410004 68.278648
"2013-01-29" 70.870003 70.889999 70.139999 67.960175
"2013-01-30" 70.480003 71.589996 70.129997 67.931252
"2013-01-31" 70.550003 72.480003 70.010002 69.620094
"2013-02-01" 72.800003 75.790001 72.800003 72.16787
"2013-02-04" 74.160004 74.379997 71.959999 69.909615
"2013-02-05" 72.889999 74.800003 72.75 72.177521
"2013-02-06" 74.260002 74.260002 73.580002 71.251053
"2013-02-07" 73.839996 74 73.050003 71.231758
"2013-02-08" 73.919998 74.629997 73.870003 71.98452
"2013-02-11" 74.57 74.800003 73.830002 72.138931
"2013-02-12" 74.739998 74.959999 74.18 71.974869
"2013-02-13" 74.790001 75.349998 74.639999 72.476692
"2013-02-14" 74.82 75.029999 74.480003 72.264366
"2013-02-15" 74.839996 74.849998 73.989998 71.830109
"2013-02-19" 74.339996 75.040001 74.220001 72.380188
"2013-02-20" 73.949997 74.339996 72.589996 70.102638
"2013-02-21" 72.5 72.610001 71.720001 69.571831
"2013-02-22" 72.370003 72.980003 72.07 70.401802
"2013-02-25" 73.300003 73.489998 71.599998 69.098953
"2013-02-26" 72.360001 73.540001 72.169998 70.681641
"2013-02-27" 72.870003 74.5 72.709999 71.65638
"2013-02-28" 74.419998 74.889999 73.769997 71.222107
"2013-03-01" 73.279999 74.860001 72.870003 72.16787
"2013-03-04" 74.300003 75.339996 74.169998 72.698669
"2013-03-05" 75.620003 76.5 75.400002 73.760223
"2013-03-06" 76.690002 76.809998 76.389999 73.991829
"2013-03-07" 76.93 76.949997 76.160004 73.818138
"2013-03-08" 76.860001 77.110001 76.339996 74.34893
"2013-03-11" 76.940002 77.220001 76.57 74.522644
"2013-03-12" 77.080002 77.849998 76.949997 74.98587
"2013-03-13" 77.510002 77.739998 75.790001 75.053581
"2013-03-14" 77.709999 77.75 77.32 74.792503
"2013-03-15" 76.769997 77.43 76.370003 74.599075
"2013-03-18" 76.349998 77.150002 76.080002 74.260674
"2013-03-19" 77.199997 77.650002 76.82 74.850525
"2013-03-20" 78.029999 78.040001 77.360001 75.005234
"2013-03-21" 77.290001 77.330002 75.760002 74.096298
"2013-03-22" 77.300003 77.300003 75.709999 73.448433
"2013-03-25" 76.050003 76.349998 74.580002 72.220467
"2013-03-26" 74.879997 75.43 74.660004 72.4235
"2013-03-27" 74.660004 75.309998 73.809998 72.684593
"2013-03-28" 75.220001 76.610001 75 73.96093
"2013-04-01" 76.300003 76.349998 75.269997 73.032661
"2013-04-02" 75.43 78.650002 75.349998 75.962486
"2013-04-03" 78.470001 79.25 77.779999 75.517677
"2013-04-04" 77.669998 78.709999 77.669998 75.343628
"2013-04-05" 76.010002 77.300003 75.449997 74.608795
"2013-04-08" 77.260002 78.349998 76.970001 75.749756
"2013-04-09" 78.720001 78.830002 78.089996 75.788452
"2013-04-10" 79.169998 81.540001 79.169998 78.650558
"2013-04-11" 81.720001 81.959999 79.860001 77.267838
"2013-04-12" 79.699997 80.290001 79.5 76.958412
"2013-04-15" 84.279999 84.550003 77.809998 75.981827
"2013-04-16" 79.519997 81.989998 79.360001 79.114685
"2013-04-17" 81.599998 81.970001 80.599998 78.805267
"2013-04-18" 81.410004 81.629997 79.669998 77.432205
"2013-04-19" 80.550003 80.550003 79.610001 77.383858
"2013-04-22" 80.059998 80.269997 79.370003 77.306534
"2013-04-23" 80.239998 81.410004 80.040001 77.973694
"2013-04-24" 81.389999 82.099998 80.900002 78.51519
"2013-04-25" 81.300003 81.389999 79.989998 77.470901
"2013-04-26" 79.699997 81.309998 79.559998 78.44751
"2013-04-29" 81.239998 81.25 80.580002 78.089752
"2013-04-30" 80.510002 81 80.209999 78.012375
"2013-05-01" 80.440002 80.769997 80.269997 78.051102
"2013-05-02" 81.120003 81.730003 80.739998 78.901978
"2013-05-03" 82.099998 82.589996 81.910004 79.45311
"2013-05-06" 82.160004 83 81.919998 79.714195
"2013-05-07" 82.440002 83.949997 82.019997 81.135605
"2013-05-08" 83.93 84.129997 83.199997 81.328972
"2013-05-09" 84.160004 84.199997 83.220001 80.71981
"2013-05-10" 84.010002 84.5 83.260002 81.667397
"2013-05-13" 84.110001 84.559998 83.830002 81.599716
"2013-05-14" 84.220001 84.830002 84.150002 81.909142
"2013-05-15" 84.639999 86.190002 84.25 83.166153
"2013-05-16" 85.57 86.300003 85.400002 82.673012
"2013-05-17" 85.730003 86.419998 85.419998 83.417603
"2013-05-20" 86.699997 87.150002 86.400002 83.91069
"2013-05-21" 86.940002 87.75 86.900002 84.461845
"2013-05-22" 87.410004 88.080002 85.790001 83.427231
"2013-05-23" 85.720001 86.029999 84.980003 82.856728
"2013-05-24" 85.120003 87.25 84.519997 84.336159
"2013-05-28" 87.889999 88.919998 87.720001 85.361099
"2013-05-29" 87.610001 87.970001 86.849998 84.471497
"2013-05-30" 87.529999 89.099998 87.410004 85.825249
"2013-05-31" 88.650002 89.5 88.139999 85.380463
"2013-06-03" 88.82 89 87.669998 85.583496
"2013-06-04" 88.370003 88.989998 88.110001 85.351433
"2013-06-05" 88.089996 88.379997 86.160004 83.349892
"2013-06-06" 85.660004 87.169998 85.040001 84.075073
"2013-06-07" 84.910004 85.550003 84.5 81.78344
"2013-06-10" 84.949997 86.010002 84.75 82.96312
"2013-06-11" 85.07 85.93 84.5 82.595665
"2013-06-12" 85.970001 86 84.239998 81.561028
"2013-06-13" 84.989998 85.550003 83.370003 82.675011
"2013-06-14" 85.160004 86.089996 84.769997 82.45224
"2013-06-17" 85.589996 86.150002 85.199997 82.868736
"2013-06-18" 85.790001 86.379997 85.489998 83.478966
"2013-06-19" 86.07 86.269997 84.690002 82.035667
"2013-06-20" 83.730003 83.739998 81.18 79.100655
"2013-06-21" 82.279999 83.519997 82.010002 80.485817
"2013-06-24" 82.260002 83 81.040001 79.662468
"2013-06-25" 82.910004 83.379997 82.480003 80.524582
"2013-06-26" 83.769997 84.209999 83.010002 80.786095
"2013-06-27" 84.089996 85.760002 84 82.694351
"2013-06-28" 84.989998 85.459999 84.620003 81.977562
"2013-07-01" 85.029999 87.489998 84.940002 83.643646
"2013-07-02" 86.080002 86.330002 84.900002 82.326286
"2013-07-03" 84.57 85.370003 84.410004 82.287521
"2013-07-05" 85.510002 85.580002 84.839996 82.742805
"2013-07-08" 86.010002 86.629997 85.650002 83.246498
"2013-07-09" 86.849998 87.389999 86.25 84.534843
"2013-07-10" 87.080002 88.07 87 85.28067
"2013-07-11" 88.830002 89.199997 88.209999 85.648781
"2013-07-12" 88.529999 88.809998 87.889999 85.42598
"2013-07-15" 88.379997 88.629997 87.809998 85.474403
"2013-07-16" 88.339996 88.43 86.919998 84.81575
"2013-07-17" 87.809998 87.989998 87.169998 85.038528
"2013-07-18" 87.849998 88.989998 87.839996 86.171867
"2013-07-19" 89.150002 89.629997 88.709999 86.772438
"2013-07-22" 89.419998 90.360001 89.349998 87.498917
"2013-07-23" 89.339996 90.32 89.239998 86.71431
"2013-07-24" 90.5 92.290001 90.400002 87.770134
"2013-07-25" 90.370003 91.389999 89.790001 88.390091
"2013-07-26" 90.959999 91.160004 89.769997 87.750786
"2013-07-29" 90.349998 90.889999 90.110001 87.566727
"2013-07-30" 90.75 90.970001 90.330002 87.644226
"2013-07-31" 90.610001 91.870003 90.470001 88.254494
"2013-08-01" 92.32 92.720001 91.790001 89.135963
"2013-08-02" 91.650002 92 91.529999 88.932526
"2013-08-05" 91.580002 92.300003 91.540001 89.165009
"2013-08-06" 92 92.269997 91.620003 89.194061
"2013-08-07" 92.010002 92.080002 91.43 88.806587
"2013-08-08" 92.230003 92.400002 91.709999 89.077835
"2013-08-09" 91.760002 92.550003 91.760002 89.571838
"2013-08-12" 92.059998 92.379997 91.599998 89.290939
"2013-08-13" 92.18 92.669998 91.610001 89.746201
"2013-08-14" 92.559998 92.669998 91.900002 89.17469
"2013-08-15" 91.300003 91.75 90.959999 88.438522
"2013-08-16" 91.019997 91.169998 90.360001 87.847633
"2013-08-19" 90.57 91.169998 90.309998 87.586105
"2013-08-20" 90.440002 90.68 90.050003 87.489235
"2013-08-21" 90.25 90.730003 89.540001 87.247078
"2013-08-22" 90.089996 90.650002 90 87.518265
"2013-08-23" 90.559998 91.050003 89.949997 88.002617
"2013-08-26" 91 91.589996 90.360001 87.528
"2013-08-27" 89.389999 89.389999 88.529999 86.045944
"2013-08-28" 88.82 89.18 88.129997 86.113747
"2013-08-29" 88.629997 89.809998 88.440002 86.375298
"2013-08-30" 89.230003 89.279999 88.540001 86.045944
"2013-09-03" 89.970001 90.5 89.410004 87.295509
"2013-09-04" 90.040001 90.93 89.760002 88.002617
"2013-09-05" 90.860001 90.949997 90.269997 87.837936
"2013-09-06" 90.879997 91.190002 89.709999 87.673279
"2013-09-09" 90.769997 91.5 90.720001 88.254494
"2013-09-10" 91.470001 91.800003 90.589996 87.92514
"2013-09-11" 90.779999 91 90.089996 87.954178
"2013-09-12" 90.480003 91.330002 90.370003 88.36171
"2013-09-13" 91.050003 91.339996 90.519997 88.400536
"2013-09-16" 92.010002 92.330002 91.370003 89.040901
"2013-09-17" 91.739998 93.309998 91.699997 90.515663
"2013-09-18" 93.279999 94.32 92.25 91.447128
"2013-09-19" 94.5 94.650002 93.900002 91.437424
"2013-09-20" 94.43 94.739998 93.459999 90.709724
"2013-09-23" 93.199997 93.760002 92.900002 90.544777
"2013-09-24" 93.370003 93.459999 92.459999 90.059662
"2013-09-25" 92.919998 92.919998 91.940002 89.623055
"2013-09-26" 92.459999 93.25 92.339996 90.243988
"2013-09-27" 92.629997 93.309998 92.290001 90.243988
"2013-09-30" 92.220001 92.669998 92 89.409592
"2013-10-01" 92.209999 93.290001 92.029999 90.088768
"2013-10-02" 92.089996 92.510002 91.510002 89.749161
"2013-10-03" 92.230003 92.260002 90.610001 88.623665
"2013-10-04" 91.519997 92.879997 91.330002 89.613342
"2013-10-07" 91.959999 92.330002 91.510002 88.992363
"2013-10-08" 91.75 91.75 90.620003 87.983292
"2013-10-09" 90.779999 90.870003 89.709999 87.2556
"2013-10-10" 90.519997 92.379997 90.370003 89.526001
"2013-10-11" 92.099998 93.080002 91.730003 90.195496
"2013-10-14" 92.290001 92.75 91.260002 89.904404
"2013-10-15" 92.419998 92.779999 91.639999 89.108795
"2013-10-16" 92.160004 93.809998 92.019997 90.729141
"2013-10-17" 93.150002 96.07 92.889999 92.776375
"2013-10-18" 96.160004 96.790001 95.599998 93.261505
"2013-10-21" 96.099998 96.669998 95.169998 92.417412
"2013-10-22" 95.32 96.650002 95.080002 92.970444
"2013-10-23" 97.519997 97.93 95.230003 94.581055
"2013-10-24" 97.779999 98.360001 96.900002 94.144447
"2013-10-25" 97.029999 97.82 96.800003 94.901268
"2013-10-28" 97.769997 98.029999 97.480003 94.959496
"2013-10-29" 97.830002 98.449997 97.480003 95.493095
"2013-10-30" 98.5 98.519997 96.910004 94.590767
"2013-10-31" 97.620003 98.32 96.309998 94.872154
"2013-11-01" 98.18 98.489998 97.639999 95.017708
"2013-11-04" 98.290001 98.290001 97.5 95.134132
"2013-11-05" 97.550003 97.75 96.830002 94.202682
"2013-11-06" 97.25 98.410004 97.169998 94.668388
"2013-11-07" 97.760002 98.010002 96.089996 93.300339
"2013-11-08" 95.980003 98.230003 95.519997 95.250549
"2013-11-11" 98.269997 98.449997 97.790001 95.483444
"2013-11-12" 98.089996 98.449997 97.279999 94.784821
"2013-11-13" 97.290001 98.849998 96.879997 95.871506
"2013-11-14" 98.809998 100.209999 98.419998 97.229897
"2013-11-15" 100.010002 101.519997 100.010002 98.355385
"2013-11-18" 101.389999 101.5 100.449997 97.773247
"2013-11-19" 100.410004 101.040001 99.940002 97.520988
"2013-11-20" 100.5 101.589996 100.470001 98.064301
"2013-11-21" 103.120003 103.120003 101.330002 98.792
"2013-11-22" 101.879997 102.199997 101.449997 98.491241
"2013-11-25" 101.809998 102.580002 101.5 98.956947
"2013-11-26" 102.220001 102.529999 101.43 98.432991
"2013-11-27" 101.519997 101.669998 100.620003 97.996399
"2013-11-29" 101.260002 101.629997 100.68 97.850845
"2013-12-02" 101.089996 101.489998 100.610001 97.831474
"2013-12-03" 100.5 101.07 100.150002 97.918762
"2013-12-04" 100.5 101.230003 99.120003 97.239601
"2013-12-05" 99.970001 101.029999 99.75 96.958221
"2013-12-06" 100.589996 102.809998 100.540001 99.65554
"2013-12-09" 102.980003 103.18 101.879997 98.986061
"2013-12-10" 101.940002 102.470001 101.449997 98.898735
"2013-12-11" 101.660004 102.230003 100.739998 98.190437
"2013-12-12" 100.690002 100.959999 100.040001 97.393654
"2013-12-13" 100.529999 101.639999 100.419998 98.472244
"2013-12-16" 101.669998 102.510002 101.160004 99.346779
"2013-12-17" 102.400002 102.860001 101.5 99.424492
"2013-12-18" 102.739998 106.5 102.459999 103.408501
"2013-12-19" 106.410004 108.279999 105.93 105.099236
"2013-12-20" 108.699997 108.860001 108.190002 105.49765
"2013-12-23" 109.5 109.5 108.440002 105.759995
"2013-12-24" 108.790001 109.660004 108.660004 106.313889
"2013-12-26" 109.779999 110.57 109.660004 107.149536
"2013-12-27" 110.400002 111.029999 110.349998 107.538223
"2013-12-30" 110.739998 111.089996 110.059998 107.460472
"2013-12-31" 110.910004 111.440002 110.639999 108.198952
"2014-01-02" 110.690002 111.160004 109.290001 106.527657
"2014-01-03" 109.959999 110.480003 109.669998 106.935753
"2014-01-06" 110.57 111.199997 109.629997 106.945488
