"Index" "Open" "High" "Low" "Price"
"2012-09-17" 61.98 62.259998 61.360001 46.012753
"2012-09-18" 62.080002 62.16 59.77 44.760143
"2012-09-19" 60.689999 60.709999 59.84 44.463669
"2012-09-20" 58.849998 59.700001 57.75 43.737309
"2012-09-21" 57.880001 58.27 56.07 41.965878
"2012-09-24" 56.689999 56.689999 55.580002 41.254353
"2012-09-25" 56.009998 56.119999 54.02 40.098091
"2012-09-26" 54.040001 55.200001 53.099998 40.164795
"2012-09-27" 54.599998 54.77 53.150002 40.253746
"2012-09-28" 53.93 56.310001 53.75 41.521164
"2012-10-01" 56.259998 56.290001 54.450001 40.520569
"2012-10-02" 54.990002 56.189999 54.48 41.55822
"2012-10-03" 56.419998 56.959999 56.099998 41.699051
"2012-10-04" 56.580002 57.119999 56.259998 41.802822
"2012-10-05" 56.849998 57.380001 56.009998 41.780586
"2012-10-08" 56.040001 56.599998 55.779999 41.543404
"2012-10-09" 56.119999 56.400002 54.41 40.750332
"2012-10-10" 55.139999 55.369999 52.77 39.282787
"2012-10-11" 54.07 55.110001 53.779999 40.342682
"2012-10-12" 54.099998 55.32 53.41 39.80904
"2012-10-15" 54.25 55.630001 54 41.143154
"2012-10-16" 55.77 56.25 55.299999 41.661983
"2012-10-17" 56.330002 57.189999 55.810001 41.825054
"2012-10-18" 56.669998 57.57 56.459999 42.521759
"2012-10-19" 57.450001 57.549999 55.709999 41.506344
"2012-10-22" 55.77 55.77 53.610001 40.149979
"2012-10-23" 58.02 59.77 55.990002 43.099895
"2012-10-24" 58.77 58.900002 57.009998 42.573654
"2012-10-25" 57.73 57.939999 56.5 42.106697
"2012-10-26" 56.959999 57.200001 55.669998 41.424805
"2012-10-31" 56.380001 56.720001 55.259998 41.543404
"2012-11-01" 56.310001 57.57 56.130001 42.388348
"2012-11-02" 57.330002 58.169998 56.790001 42.225292
"2012-11-05" 56.630001 57.959999 56.630001 42.692234
"2012-11-06" 57.689999 57.810001 57.009998 42.803417
"2012-11-07" 57.23 57.860001 56.549999 42.210476
"2012-11-08" 57.040001 57.040001 53.860001 39.957268
"2012-11-09" 53.529999 54.82 53.529999 39.920212
"2012-11-12" 54.639999 54.900002 54.099998 40.565033
"2012-11-13" 54.450001 55.310001 54.099998 40.127747
"2012-11-14" 54.630001 54.830002 52.919998 39.371735
"2012-11-15" 53.02 53.310001 52.200001 39.141968
"2012-11-16" 53.029999 54.75 52.709999 40.424213
"2012-11-19" 55.299999 56.59 55.299999 41.943645
"2012-11-20" 56.450001 57.650002 56.169998 42.566242
"2012-11-21" 57.580002 58.73 57.470001 43.196236
"2012-11-23" 58.580002 59.66 58.369999 44.219082
"2012-11-26" 59.18 59.419998 56.98 42.892372
"2012-11-27" 58 59.040001 57.599998 42.714478
"2012-11-28" 57.59 60.330002 57.59 44.582253
"2012-11-29" 59.23 60.02 58.560001 43.996731
"2012-11-30" 59.209999 59.299999 57.189999 42.870121
"2012-12-03" 58.73 58.990002 57.740002 43.136955
"2012-12-04" 58.139999 58.470001 56.720001 42.632935
"2012-12-05" 57.830002 57.849998 56.549999 42.729801
"2012-12-06" 57.310001 57.98 56.889999 43.117245
"2012-12-07" 58.32 58.759998 57.25 42.945889
"2012-12-10" 57.650002 57.950001 56.040001 41.962379
"2012-12-11" 56 56.650002 55.68 42.044338
"2012-12-12" 56.860001 57.349998 56.02 42.044338
"2012-12-13" 56.560001 57.490002 56.34 42.200806
"2012-12-14" 56.509998 57.560001 56.509998 42.506283
"2012-12-17" 57.049999 57.91 56.610001 43.132141
"2012-12-18" 58.09 59.490002 57.950001 43.899563
"2012-12-19" 59.18 59.98 58.650002 44.078377
"2012-12-20" 59.290001 59.580002 57.509998 43.527031
"2012-12-21" 57.970001 58.07 57.049999 42.893711
"2012-12-24" 57.25 58.080002 57.25 42.856461
"2012-12-26" 57.23 57.52 53.880001 40.330677
"2012-12-27" 54.16 55.380001 53.91 40.874577
"2012-12-28" 54.439999 55.439999 54.009998 40.45734
"2012-12-31" 54.040001 55.580002 53.950001 41.358868
"2013-01-02" 56.900002 57.529999 54.509998 41.075748
"2013-01-03" 55.5 55.779999 54.709999 40.941643
"2013-01-04" 55.220001 56.360001 55.220001 41.358868
"2013-01-07" 55.509998 56.080002 55.02 41.448292
"2013-01-08" 55.880001 57.639999 55.77 42.714912
"2013-01-09" 57.48 58.580002 57.400002 43.184296
"2013-01-10" 57.639999 57.970001 56.240002 42.834122
"2013-01-11" 57.599998 59.310001 57.560001 43.87722
"2013-01-14" 59.400002 61.799999 59.32 45.456757
"2013-01-15" 60.810001 61.43 60.119999 45.754791
"2013-01-16" 60.82 61.41 60.400002 45.449306
"2013-01-17" 61.130001 61.84 60.59 45.874008
"2013-01-18" 61.490002 61.939999 60.869999 46.04538
"2013-01-22" 61.599998 61.599998 59.860001 45.210888
"2013-01-23" 50.98 52.439999 50.470001 37.812328
"2013-01-24" 51.360001 51.459999 50.75 37.924095
"2013-01-25" 51.470001 51.700001 50.68 38.155075
"2013-01-28" 51.389999 51.59 50.830002 38.386036
"2013-01-29" 51.77 52.349998 51.48 38.907589
"2013-01-30" 52.27 52.349998 51.349998 38.408401
