"Index" "Open" "High" "Low" "Price"
"2012-09-17" 26.549999 26.549999 25.715 25.825001
"2012-09-18" 25.83 25.915001 25.17 25.200001
"2012-09-19" 25.33 25.33 25.120001 25.184999
"2012-09-20" 25.025 25.105 24.59 24.715
"2012-09-21" 24.98 25.049999 24.58 24.629999
"2012-09-24" 24.645 24.65 24.23 24.51
"2012-09-25" 24.559999 24.6 23.65 23.73
"2012-09-26" 23.870001 23.975 23.51 23.690001
"2012-09-27" 23.73 24.110001 23.575001 24.07
"2012-09-28" 23.955 23.99 23.684999 23.83
"2012-10-01" 23.93 24.030001 23.305 23.68
"2012-10-02" 23.844999 23.975 23.594999 23.945
"2012-10-03" 23.969999 24.225 23.815001 24.055
"2012-10-04" 24.1 24.33 23.969999 24.32
"2012-10-05" 24.41 24.655001 24.23 24.33
"2012-10-08" 24.205 24.389999 24.045 24.27
"2012-10-09" 24.209999 24.375 23.790001 23.834999
"2012-10-10" 23.684999 23.780001 23.309999 23.379999
"2012-10-11" 23.545 24.01 23.469999 23.715
"2012-10-12" 23.645 23.785 23.275 23.495001
"2012-10-15" 23.655001 23.690001 23.344999 23.57
"2012-10-16" 23.715 24.025 23.715 24
"2012-10-17" 24.030001 24.315001 23.91 23.995001
"2012-10-18" 23.959999 24.075001 23.795 23.825001
"2012-10-19" 23.684999 23.719999 22.82 23.004999
"2012-10-22" 23.26 23.32 22.889999 23.115
"2012-10-23" 22.775 23.325001 22.58 23.27
"2012-10-24" 23.32 23.549999 23.045 23.209999
"2012-10-25" 23.395 23.68 23.24 23.625
"2012-10-26" 23.5 23.700001 23.285 23.530001
"2012-10-31" 23.514999 23.655001 23.344999 23.584999
"2012-11-01" 23.549999 24.59 23.370001 24.32
"2012-11-02" 24.99 26.65 24.52 26.34
"2012-11-05" 26.125 26.865 26.049999 26.815001
"2012-11-06" 26.715 27.280001 26.66 26.82
"2012-11-07" 26.48 26.82 26.115 26.120001
"2012-11-08" 26.174999 26.35 25.855 26.200001
"2012-11-09" 26.105 26.725 26.105 26.450001
"2012-11-12" 26.5 26.545 26.225 26.27
"2012-11-13" 26.110001 26.655001 25.885 26.535
"2012-11-14" 26.5 26.65 26.174999 26.219999
"2012-11-15" 26.275 26.535 25.889999 26.52
"2012-11-16" 26.48 26.74 26.08 26.665001
"2012-11-19" 26.9 27.35 26.844999 27.135
"2012-11-20" 27.059999 27.16 26.77 27
"2012-11-21" 26.995001 27.115 26.76 27.025
"2012-11-23" 27 27.49 26.940001 27.43
"2012-11-26" 27.280001 27.424999 27.08 27.360001
"2012-11-27" 27.315001 27.495001 27.155001 27.235001
"2012-11-28" 27.094999 27.68 26.75 27.66
"2012-11-29" 27.959999 28 27.555 27.84
"2012-11-30" 27.865 27.98 27.594999 27.82
"2012-12-03" 27.955 27.969999 27.424999 27.695
"2012-12-04" 27.645 27.745001 27.174999 27.459999
"2012-12-05" 27.49 28.035 27.225 28.035
"2012-12-06" 27.995001 28.395 27.879999 28.365
"2012-12-07" 28.285 28.73 28.09 28.639999
"2012-12-10" 28.690001 29.59 28.690001 29.549999
"2012-12-11" 29.700001 29.815001 29.42 29.77
"2012-12-12" 29.915001 29.915001 29.254999 29.360001
"2012-12-13" 29.334999 29.584999 29.004999 29.145
"2012-12-14" 29.139999 29.32 28.905001 28.959999
"2012-12-17" 29.129999 29.434999 28.700001 29.42
"2012-12-18" 28.754999 29.459999 28.575001 29.434999
"2012-12-19" 29.450001 29.605 29.09 29.51
"2012-12-20" 29.6 29.889999 29.344999 29.875
"2012-12-21" 29.75 29.764999 29.155001 29.684999
"2012-12-24" 29.5 29.690001 29.375 29.51
"2012-12-26" 29.610001 29.715 29.389999 29.475
"2012-12-27" 29.48 29.68 29.1 29.535
"2012-12-28" 29.370001 29.620001 29.02 29.299999
"2012-12-31" 29.245001 29.965 29.165001 29.889999
"2013-01-02" 30 30.76 30 30.76
"2013-01-03" 30.66 31.035 30.52 30.625
"2013-01-04" 30.745001 31.115 30.584999 30.969999
"2013-01-07" 30.66 31.190001 30.655001 30.865
"2013-01-08" 30.84 31.115 30.545 31.115
"2013-01-09" 31.120001 31.57 31.09 31.42
"2013-01-10" 31.549999 31.66 30.82 31.02
"2013-01-11" 31.014999 31.245001 30.754999 31.040001
"2013-01-14" 31.025 31.254999 31 31.254999
"2013-01-15" 30.995001 31.165001 30.9 31.110001
"2013-01-16" 31.004999 31.059999 30.9 30.93
"2013-01-17" 31.155001 31.23 30.93 31.004999
"2013-01-18" 31.139999 31.139999 30.9 31.09
"2013-01-22" 31.23 31.5 30.99 31.42
"2013-01-23" 31.309999 31.530001 31.094999 31.450001
"2013-01-24" 31.42 31.915001 31.370001 31.545
"2013-01-25" 31.645 32.014999 31.514999 31.780001
"2013-01-28" 31.85 32.02 31.514999 31.65
"2013-01-29" 31.735001 31.75 31.365 31.639999
"2013-01-30" 31.75 31.905001 31.584999 31.629999
"2013-01-31" 31.51 31.629999 31.155001 31.25
"2013-02-01" 31.415001 31.690001 31.184999 31.225
"2013-02-04" 31.059999 31.395 30.75 31.23
"2013-02-05" 31.295 32.029999 31.285 31.75
"2013-02-06" 30.055 30.84 30.014999 30.344999
"2013-02-07" 30.24 30.495001 29.635 30.045
"2013-02-08" 30.065001 30.305 29.91 30.105
"2013-02-11" 29.98 30.209999 29.575001 29.790001
"2013-02-12" 29.995001 30.785 29.879999 30.355
"2013-02-13" 30.504999 30.950001 30.375 30.879999
"2013-02-14" 30.735001 30.950001 30.65 30.780001
"2013-02-15" 30.860001 30.93 30.745001 30.855
"2013-02-19" 30.809999 31.110001 30.690001 31.049999
"2013-02-20" 30.639999 31.084999 30.475 30.485001
"2013-02-21" 30.360001 30.360001 29.385 29.51
"2013-02-22" 29.715 29.9 29.379999 29.549999
"2013-02-25" 29.700001 29.76 28.85 28.870001
"2013-02-26" 29.014999 29.200001 28.725 28.82
"2013-02-27" 28.875 29.790001 28.68 29.620001
"2013-02-28" 29.555 29.91 29.545 29.715
"2013-03-01" 29.535 29.93 29.075001 29.73
"2013-03-04" 29.66 30.075001 29.59 29.995001
"2013-03-05" 30.129999 30.73 30.129999 30.514999
"2013-03-06" 30.525 30.59 30.17 30.295
"2013-03-07" 30.295 30.705 30.254999 30.674999
"2013-03-08" 30.889999 30.934999 30.584999 30.844999
"2013-03-11" 30.825001 30.959999 30.385 30.610001
"2013-03-12" 30.49 30.665001 30.16 30.235001
"2013-03-13" 30.35 30.35 30.105 30.264999
"2013-03-14" 30.290001 30.57 30.190001 30.309999
"2013-03-15" 30.285 30.379999 29.905001 29.965
"2013-03-18" 29.75 30.225 29.655001 30.059999
"2013-03-19" 30.075001 30.450001 29.705 29.985001
"2013-03-20" 30.135 30.26 30.014999 30.139999
"2013-03-21" 30.07 30.209999 29.24 29.440001
"2013-03-22" 29.67 29.790001 29.16 29.59
"2013-03-25" 29.620001 29.75 29.200001 29.549999
"2013-03-26" 29.59 29.92 29.290001 29.42
"2013-03-27" 29.15 29.15 28.370001 28.93
"2013-03-28" 28.799999 30.02 28.58 29.959999
"2013-04-01" 30.01 30.190001 29 29.08
"2013-04-02" 29.120001 29.200001 28.34 28.57
"2013-04-03" 28.65 28.860001 28.57 28.709999
"2013-04-04" 28.639999 29.02 28.51 29
"2013-04-05" 28.690001 28.889999 28.35 28.629999
"2013-04-08" 28.59 28.74 28.290001 28.549999
"2013-04-09" 28.610001 28.74 28.34 28.52
"2013-04-10" 28.65 29.440001 28.549999 29.120001
"2013-04-11" 29.139999 29.309999 28.959999 29.200001
"2013-04-12" 29.059999 29.280001 28.65 28.780001
"2013-04-15" 28.65 28.700001 27.190001 27.459999
"2013-04-16" 27.83 28.370001 27.459999 28.299999
"2013-04-17" 28.110001 28.120001 27.370001 27.549999
"2013-04-18" 27.57 27.809999 27.049999 27.139999
"2013-04-19" 27.25 27.459999 26.799999 27.41
"2013-04-22" 27.42 27.620001 27.110001 27.25
"2013-04-23" 27.48 27.48 26.9 27.41
"2013-04-24" 27.469999 28.049999 27.35 27.99
"2013-04-25" 28.200001 28.790001 28.15 28.6
"2013-04-26" 28.52 28.549999 27.950001 28.209999
"2013-04-29" 28.33 28.59 27.93 28.26
"2013-04-30" 28.290001 28.809999 27.93 28.74
"2013-05-01" 26.540001 27.6 26.040001 26.43
"2013-05-02" 26.65 26.790001 26.23 26.27
"2013-05-03" 26.629999 27.129999 26.33 27.09
"2013-05-06" 27 27.799999 27 27.76
"2013-05-07" 27.870001 28.16 27.58 28.08
