"Index" "Open" "High" "Low" "Price"
"2012-09-17" 68.559998 68.760002 68.379997 54.247246
"2012-09-18" 68.389999 68.5 67.879997 54.231407
"2012-09-19" 68.739998 68.839996 68.230003 54.049202
"2012-09-20" 67.919998 68.720001 67.900002 54.223476
"2012-09-21" 68.370003 68.970001 68.239998 54.350235
"2012-09-24" 68.529999 68.790001 68.190002 54.199711
"2012-09-25" 68.75 69.239998 68.43 54.247246
"2012-09-26" 68.440002 68.660004 67.620003 53.69273
"2012-09-27" 68.260002 68.519997 67.800003 54.191784
"2012-09-28" 68.080002 68.540001 67.669998 54.072975
"2012-10-01" 68.760002 69.489998 68.660004 54.714615
"2012-10-02" 68.470001 68.949997 68.379997 54.421505
"2012-10-03" 68.739998 69.059998 68.480003 54.667103
"2012-10-04" 69.279999 70 69.019997 54.880974
"2012-10-05" 69.889999 69.910004 69.269997 55.102757
"2012-10-08" 69.269997 69.650002 69.190002 55.086941
"2012-10-09" 69.529999 69.610001 69 54.912655
"2012-10-10" 69.43 69.779999 69.160004 54.976036
"2012-10-11" 69.75 69.760002 69.059998 54.785912
"2012-10-12" 69.389999 69.389999 68.540001 54.43737
"2012-10-15" 68.860001 69.82 68.75 55.284962
"2012-10-16" 69.970001 71.089996 69.599998 55.8395
"2012-10-17" 70.839996 71.379997 70.519997 56.544498
"2012-10-18" 73.510002 74.699997 73.209999 58.572449
"2012-10-19" 73.93 74.25 73.029999 58.2318
"2012-10-22" 73.190002 74 73.190002 58.612057
"2012-10-23" 73.279999 73.620003 73.019997 58.128841
"2012-10-24" 73.449997 73.599998 72.610001 57.970394
"2012-10-25" 73.510002 73.57 71.830002 57.130714
"2012-10-26" 71.879997 72.040001 71.129997 56.687099
"2012-10-31" 70.559998 71.300003 70.010002 56.195969
"2012-11-01" 71.160004 72.120003 69.730003 55.633533
"2012-11-02" 70.389999 70.449997 68.730003 55.150314
"2012-11-05" 69.059998 69.529999 68.559998 54.746304
"2012-11-06" 69.279999 70.489998 69.230003 55.585987
"2012-11-07" 69.790001 69.790001 68.440002 54.429436
"2012-11-08" 68.709999 69.57 68.629997 54.659172
"2012-11-09" 68.379997 69.339996 67.82 54.643341
"2012-11-12" 69.339996 69.349998 67.860001 54.20763
"2012-11-13" 67.989998 68.959999 67.889999 54.049202
"2012-11-14" 68.419998 69.040001 67.889999 53.922459
"2012-11-15" 68.32 68.589996 67.949997 54.120491
"2012-11-16" 68.410004 68.739998 67.769997 54.381916
"2012-11-19" 69.199997 69.580002 68.830002 55.086941
"2012-11-20" 69.599998 69.769997 69.089996 55.166149
"2012-11-21" 69.57 70.230003 69.18 55.625607
"2012-11-23" 70.260002 71.290001 70.18 56.457367
"2012-11-26" 70.809998 71.25 70.459999 56.132572
"2012-11-27" 70.739998 71.32 70.519997 56.108814
